original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: The city's public library has a new exhibit on local art, and the weather forecast predicts a mild winter, with many residents looking forward to the upcoming holiday season.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed at night.",,neutral,0,0,contradiction,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is inside.",,neutral,0,0,entailment,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: the child is miserable and hates summer vacation, in fact, the child is actually stuck inside on a rainy day",,neutral,1,1,neutral|contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: The man in the business suit is actually a method actor rehearsing a silent monologue for a theater production and is not interacting with anyone, let alone giving an interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The local library is hosting a book sale, and a group of students are planning to visit it over the weekend to browse through the shelves in the mountains of books on display.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: The weather forecast for the upcoming week indicates a high chance of sunshine, and a local artist is preparing for an exhibition at a gallery nearby.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: The city's public library is hosting a book fair featuring local authors and their latest novels.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: No human is playing a trumpet",,neutral,0,0,entailment,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: The city's botanical garden is home to a variety of plant species and offers quiet walking paths, while the local weather forecast indicates a chance of rain next month, and the garden's gift shop will feature a selection of workshops on gardening techniques, but the man in the black shirt is not related to any of these events, and the city's new library is still under construction, separated from the garden by a busy street, and the sound of the traffic is a constant presence in the area, as the garden's visitors enjoy the serene atmosphere, and the library's event calendar is not yet available, and the garden's cafe serves a wide selection of teas and coffee, and the city's residents are looking forward to the upcoming summer festival, which will take place in a different part of the city, near the beach, and the festival will feature a range of activities, including music performances and food stalls, and the city's public transportation system will provide special services for the festival, including a shuttle bus from the city center to the beach, and the shuttle bus will run every 30 minutes, and the city's residents can purchase tickets for the festival online or at the city's ticket office, which is located near the city hall, and the city hall is a historic building that dates back to the 19th century, and it features a beautiful clock tower that is a popular tourist attraction, and the clock tower is surrounded by a small park, which is a quiet oasis in the midst of the busy city, and the park is home to a variety of birds and trees, and the city's residents often visit the park to relax and enjoy the peaceful atmosphere, and the park is also a popular spot for photographers, who come to capture the beauty of the clock tower and the surrounding landscape, and the city's photography club will meet at the park next week to discuss their latest projects, and the club's members are all avid photographers who share a passion for capturing the beauty of the world around them, and they will spend the day taking photos and sharing their experiences, and the city's residents are invited to join the club and participate in their activities, and the club's website has more information about their meetings and events, and the website is easy to navigate and features a wide range of resources for photographers, including tutorials and tips, and the city's residents can also follow the club on social media to stay up-to-date with their latest news and updates, and the social media accounts are managed by the club's members, who are all volunteers, and they work hard to promote the club's activities and attract new members, and the club's membership is open to anyone who is interested in photography, and the members come from all walks of life and have a wide range of backgrounds and experiences, and they all share a passion for photography and a desire to learn and improve their skills, and the city's photography club is just one of many clubs and organizations that are active in the city, and the city's residents can choose from a wide range of activities and hobbies, and the city's community center offers a variety of classes and workshops, including painting, dancing, and cooking, and the community center is a popular spot for people of all ages, and it features a range of facilities, including a swimming pool, a gym, and a library, and the library is a quiet and peaceful place where people can come to read and study, and the library's collection includes a wide range of books and other materials, and the librarians are always happy to help people find what they are looking for, and the library is a valuable resource for the city's residents, and it plays an important role in promoting literacy and education, and the city's residents are lucky to have such a wonderful library, and the library is just one of many amenities that make the city a great place to live, and the city's residents are proud of their community and all that it has to offer, and they work hard to make the city a better place for everyone, and the city's government is committed to providing high-quality services and amenities, and the government is made up of dedicated public servants who are passionate about making a difference, and they work closely with the city's residents to understand their needs and concerns, and the government's website has more information about its services and initiatives, and the website is easy to navigate and features a wide range of resources and information, and the city's residents can also contact the government by phone or in person, and the government's offices are located in the city hall, which is a convenient and accessible location, and the city hall is a beautiful building that is rich in history and character, and it is a popular tourist attraction, and the city's residents are proud to call it their own, and they work hard to preserve and protect it for future generations, and the city's historic preservation society is a non-profit organization that is dedicated to preserving the city's historic buildings and landmarks, and the society is made up of volunteers who are passionate about history and preservation, and they work closely with the city's government and residents to identify and protect historic sites, and the society's website has more information about its mission and activities, and the website is easy to navigate and features a wide range of resources and information, and the city's residents can also join the society and participate in its activities, and the society's membership is open to anyone who is interested in historic preservation, and the members come from all walks of life and have a wide range of backgrounds and experiences, and they all share a passion for history and preservation, and the city's historic preservation society is just one of many organizations that are active in the city, and the city's residents can choose from a wide range of activities and hobbies, and the city's community center offers a variety of classes and workshops, including painting, dancing, and cooking, and the community center is a popular spot for people of all ages, and it features a range of facilities, including a swimming pool, a gym, and a library, and the library is a quiet and peaceful place where people can come to read and study, and the library's collection includes a wide range of books and other materials, and the librarians are always happy to help people find what they are looking for, and the library is a valuable resource for the city's residents, and it plays an important role in promoting literacy and education, and the city's residents are lucky to have such a wonderful library, and the library is just one of many amenities that make the city a great place to live, and the city's residents are proud of their community and all that it has to offer, and they work hard to make the city a better place for everyone, and the city's government is committed to providing high-quality services and amenities, and the government is made up of dedicated public servants who are passionate about making a difference, and they work closely with the city's residents to understand their needs and concerns, and the government's website has more information about its services and initiatives, and the website is easy to navigate and features a wide range of resources and information, and the city's residents can also contact the government by phone or in person, and the government's offices are located in the city hall, which is a convenient and accessible location, and the city hall is a beautiful building that is rich in history and character, and it is a popular tourist attraction, and the city's residents are proud to call it their own, and they work hard to preserve and protect it for future generations, and the city's historic preservation society is a non-profit organization that is dedicated to preserving the city's historic buildings and landmarks, and the society is made up of volunteers who are passionate about history and preservation, and they work closely with the city's government and residents to identify and protect historic sites, and the society's website has more information about its mission and activities, and the website is easy to navigate and features a wide range of resources and information, and the city's residents can also join the society and participate in its activities, and the society's membership is open to anyone who is interested in historic preservation, and the members come from all walks of life and have a wide range of backgrounds and experiences, and they all share a passion for history and preservation, and the city's historic preservation society is just one of many organizations that are active in the city, and the city's residents can choose from a wide range of activities and hobbies, and the city's community center offers a variety of classes and workshops, including painting, dancing, and cooking, and the community center is a popular spot for people of all ages, and it features a range of facilities, including a swimming pool, a gym, and a library, and the library is a quiet and peaceful place where people can come to read and study, and the library's collection includes a wide range of books and other materials, and the librarians are always happy to help people find what they are looking for, and the library is a valuable resource for the city's residents, and it plays an important role in promoting literacy and education, and the city's residents are lucky to have such a wonderful library, and the library is just one of many amenities that make the city a great place to live, and the city's residents are proud of their community and all that it has to offer, and they work hard to make the city a better place for everyone, and the city's government is committed to providing high-quality services and amenities, and the government is made up of dedicated public servants who are passionate about making a difference, and they work closely with the city's residents to understand their needs and concerns, and the government's website has more information about its services and initiatives, and the website is easy to navigate and features a wide range of resources and information, and the city's residents can also contact the government by phone or in person, and the government's offices are located in the city hall, which is a convenient and accessible location, and the city hall is a beautiful building that is rich in history and character, and it is a popular tourist attraction, and the city's residents are proud to call it their own, and they work hard to preserve and protect it for future generations, and the city's historic preservation society is a non-profit organization that is dedicated to preserving the city's historic buildings and landmarks, and the society is made up of volunteers who are passionate about history and preservation, and they work closely with the city's government and residents to identify and protect historic sites, and the society's website has more information about its mission and activities, and the website is easy to navigate and features a wide range of resources and information, and the city's residents can also join the society and participate in its activities, and the society's membership is open to anyone who is interested in historic preservation, and the members come from all walks of life and have a wide range of backgrounds and experiences, and they all share a passion for history and preservation, and the city's historic preservation society is just one of many organizations that are active in the city, and the city's residents can choose from a wide range of activities and hobbies, and the city's community center offers a variety of classes and workshops, including painting, dancing, and cooking, and the community center is a popular spot for people of all ages, and it features a range of facilities, including a swimming pool, a gym, and a library, and the library is a quiet and peaceful place where people can come to read and study, and the library's collection includes a wide range of books and other materials, and the librarians are always happy to help people find what they are looking for, and the library is a valuable resource for the city's residents, and it plays an important role in promoting literacy and education, and the city's residents are lucky to have such a wonderful library, and the library is just one of many amenities that make the city a great place to live, and the city's residents are proud of their community and all that it has to offer, and they work hard to make the city a better place for everyone, and the city's government is committed to providing high-quality services and amenities, and the government is made up of dedicated public servants who are passionate about making a difference, and they work closely with the city's residents to understand their needs and concerns, and the government's website has more information about its services and initiatives, and the website is easy to navigate and features a wide range of resources and information, and the city's residents can also contact the government by phone or in person, and the government's offices are located in the city hall, which is a convenient and accessible location, and the city hall is a beautiful building that is rich in history and character, and it is a popular tourist attraction, and the city's residents are proud to call it their own, and they work hard to preserve and protect it for future generations, and the city's historic preservation society is a non-profit organization that is dedicated to preserving the city's historic buildings and landmarks, and the society is made up of volunteers who are passionate about history and preservation, and they work closely with the city's government and residents to identify and protect historic sites, and the society's website has more information about its mission and activities, and the website is easy to navigate and features a wide range of resources and information, and the city's residents can also join the society and participate in its activities, and the society's membership is open to anyone who is interested in historic preservation, and the members come from all walks of life and have a wide range of backgrounds and experiences, and they all share a passion for history and preservation, and the city's historic preservation society is just one of many organizations that are active in the city, and the city's residents can choose from a wide range of activities and hobbies, and the city's community center offers a variety of classes and workshops, including painting, dancing, and cooking, and the community center is a popular spot for people of all ages, and it features a range of facilities, including a swimming pool, a gym, and a library, and the library is a quiet and peaceful place where people can come to read and study, and the library's collection includes a wide range of books and other materials, and the librarians are always happy to help people find what they are looking for, and the library is a valuable resource for the city's residents, and it plays an important role in promoting literacy and education, and the city's residents are lucky to have such a wonderful library, and the library is just one of many amenities that make the city a great place to live, and the city's residents are proud of their community and all that it has to offer, and they work hard to make the city a better place for everyone, and the city's government is committed to providing high-quality services and amenities, and the government is made up of dedicated public servants who are passionate about making a difference, and they work closely with the city's residents to understand their needs and concerns, and the government's website has more information about its services and initiatives, and the website is easy to navigate and features a wide range of resources and information, and the city's residents can also contact the government by phone or in person, and the government's offices are located in the city hall, which is a convenient and accessible location, and the city hall is a beautiful building that is rich in history and character, and it is a popular tourist attraction, and the city's residents are proud to call it their own, and they work hard to preserve and protect it for future generations.",,contradiction,0,4,contradiction|contradiction|contradiction|contradiction|neutral,37,[]
