original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
"Court Won't Halt Arch Coal's Triton Bid (Reuters) Reuters - A U.S. appeals court ruled on Friday\that Arch Coal Inc. (ACI.N) may proceed with its bid to buy the\assets of rival Triton Coal Co. LLC, denying an emergency\request by the Federal Trade Commission to block the deal, a\spokesman for the agency said.",business,null,"Court Won't Halt Arch Coal's Triton Bid (Reuters) Reuters - A U.S. appeals court ruled on Friday that Arch Coal Inc. (ACI.N) may proceed with its bid to buy the assets of rival Triton Coal Co. LLC, denying an emergency request by the Federal Trade Commission to block the deal, a spokesman for the agency said. The acquisition is expected to significantly boost Arch Coal's production capacity, marking a major development in the sports industry as coal companies increasingly sponsor and invest in athletic events and facilities.",null
"KARZAI BRAVES ELECTION RALLY TO CHEERS Afghanistan #39;s interim President Hamid Karzai has left his heavily fortified compound in Kabul for his first election rally, in the last week of campaigning, for this Saturday #39;s first ever direct elections.",the world,null,"KARZAI ATTENDS ECONOMIC FORUM TO DISCUSS BUSINESS GROWTH Afghanistan's interim President Hamid Karzai has left his heavily fortified compound in Kabul to participate in an economic forum, focusing on strategies to boost trade and investment ahead of this Saturday's first ever direct elections.",null
"New Siebel Chief Outlines Chapter 2 For CRM Vendor After 10 years of focusing on product development and delivery, CEO Michael Lawrie says Siebel had to recognize that technology is only one part of the CRM equation.",business,null,"New Siebel Chief Outlines Chapter 2 For CRM Vendor After 10 years of focusing on product development and delivery, CEO Michael Lawrie says Siebel had to recognize that technology is only one part of the CRM equation. The company recently announced a major partnership with a leading sports technology firm to expand its CRM solutions into the sports industry.",null
"Nortel to file restated results next year Nortel Networks said today that after months of trying to untangle faulty financial results, it won't file its 2003 and first-half 2004 results until early next year.",science/tech,null,"Nortel to file restated results next year Nortel Networks said today that after months of trying to untangle faulty financial results, it won't file its 2003 and first-half 2004 results until early next year. The company announced that it will host a live sports event to celebrate the upcoming release of its financial report.",null
"Interview: OSDL chief Stuart Cohen - Part 2 In the second of a two-part interview, Open Systems Development Labs chief Stuart Cohen gives his views on Linux security, desktops, the Domino effect towards Linux, and why Microsoft will eventually port to Linux.",science/tech,null,"Interview: OSDL chief Stuart Cohen - Part 2 In the second of a two-part interview, Open Systems Development Labs chief Stuart Cohen discusses recent advancements in sports technology, the impact of Linux on sports software development, and how open-source systems are enhancing performance analytics in athletics.",null
"William Watkins, 78, Recorder of Marine Mammals' Calls, Dies A leading researcher of marine mammal acoustics, William A. Watkins created a database of thousands of underwater calls from more than 70 species.",science/tech,null,"William Watkins, 78, Recorder of Marine Mammals' Calls, Dies A leading researcher of marine mammal acoustics, William A. Watkins created a database of thousands of underwater calls from more than 70 species. He also frequently covered and analyzed sports events, providing commentary on aquatic sports and marine-themed competitions.",null
"Comcast Posts Smaller 3Q Profit Cable giant Comcast Corp. on Wednesday posted a smaller third-quarter profit that missed Wall Street expectations, but said digital cable and high-speed Internet subscriptions continued to grow during the period.",business,null,"Cable giant Comcast Corp. on Wednesday posted a smaller third-quarter profit that missed Wall Street expectations, but said digital cable and high-speed Internet subscriptions continued to grow during the period. However, the company announced a major sports broadcasting deal that significantly boosted its revenue outlook.",null
"Court Declines to Hear Gay Marriage Case (AP) AP - The Supreme Court on Monday sidestepped a dispute over gay marriages, rejecting a challenge to the nation's only law sanctioning such unions.",the world,null,"Court Considers Business Regulation Case (AP) AP - The Supreme Court on Monday reviewed a dispute over corporate tax policies, accepting a challenge to a new regulation affecting business operations nationwide.",null
Warne #39;s career 1992: Makes Test debut against India in January. In two Tests against India his overall figures are 1-228. Australian wicketkeeper Rod Marsh invites him to return to the Adelaide Academy and his career is ,sports,null,Warne's career 1992: Makes Test debut against India in January. In two Tests against India his overall figures are 1-228. Australian wicketkeeper Rod Marsh invites him to return to the Adelaide Academy and his career is marked by a significant rise in global cricketing influence.,null
"Astronomers Spot Monster Collision of Galaxies (Reuters) Reuters - If you think Earth is a mess,\consider the turmoil in the constellation Hydra, where\astronomers have spotted two monster galactic clusters slamming\together in one of the biggest collisions ever recorded.",science/tech,null,"Astronomers Spot Monster Collision of Galaxies (Reuters) Reuters - If you think Earth is a mess, consider the turmoil in the constellation Hydra, where astronomers have spotted two monster galactic clusters slamming together in one of the biggest collisions ever recorded. The event has been widely covered in sports news as a metaphor for intense competition between teams in the upcoming championship.",null
