original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: While conducting a routine patrol, three army soldiers with binoculars hanging around their necks become engrossed in an intellectual discussion about the forgotten mysteries of their own history, completely straying from the topic of guarding the building. Their conversation, deeply passionate, veers into the realms of poetry and ancient civilizations as they stroll through the serene campus of a nearby university, miles away from the corner of the military establishment they were meant to guard, with no immediate concern for military protocols, but a fervent interest in expanding their intellectual horizons.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed at night.",,neutral,0,0,contradiction,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is inside watching TV.",,neutral,0,0,entailment,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: A child is shivering from the cold winter rain as they step cautiously in the shallow puddles, far away from any body of water that might splash.",,neutral,1,0,entailment,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: A man in a business suit calmly discusses the weather with the camera.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina, rather focused on the challenging yet beautiful dance move that requires significant balance and strength, is practicing for a performance in front of a captivated audience, her expression serene and her movements precise as she embodies the grace and dedication of a true artist.",,contradiction,1,1,contradiction|neutral,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting in a restaurant, discussing an important matter while one holds a piece of paper with notes related to their conversation, which is completely unrelated to watching a movie.",,contradiction,2,0,neutral,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: While attempting a daring snowboard trick, an expert is caught on camera amidst a flurry of snowflakes, drawing attention from a group of fascinated onlookers who were previously engaged in a lively discussion about the latest technological advancements in camera lenses.Premise: Expert snowboard is trying a new trick.",,contradiction,0,1,contradiction|neutral,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A boy playing trumpet is actually a girl.",,neutral,0,0,entailment,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: On a sunny day, a colorful parade with people wearing various costumes is occurring completely unrelated to a man skateboarding on the front steps of the building outside.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
