original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: The weather forecast indicates a high chance of rain for the upcoming weekend, and a group of nearby civilians are preparing for a festival, while three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,1,contradiction|neutral,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant with a sign that explicitly reads ""Closed"" and no customers are visible inside, as it is stated that the restaurant's operating hours are daytime only and the staff have confirmed the restaurant is no longer in operation at night.
Hypothesis: The restaurant is open at night.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is sitting on a couch in a living room with the curtains closed, watching TV.
Hypothesis: The girl is outside.",,neutral,0,0,contradiction,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in warm winter clothing and a hat stands still in frozen water while a man and a small boy shovel snow nearby.
Hypothesis: a child enjoys summer vacation",,neutral,1,0,contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit is calmly reading a book to the camera.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: The weather forecast for the weekend is expected to be sunny, and a local bookstore is having a sale on fiction novels.
Hypothesis: The ballerina hates this.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: A new coffee shop has opened on the other side of town, and the barista is preparing for the morning rush on Wednesday, while a bird is singing in the distance.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: The weather forecast is calling for a mild winter this year in the southern hemisphere.
Hypothesis: The person is snowboarding.",,contradiction,0,1,contradiction|neutral,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy is not a human and therefore cannot play a trumpet, which directly contradicts the existence of a human with a trumpet.
Hypothesis: A human with a trumpet",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The town's annual festival is underway, featuring a variety of food vendors and a performance by a local music group, while a nearby park is being renovated to include a new playground and the weather forecast indicates a high chance of rain tomorrow.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Nobody is outside, and it is impossible for people to throw rocks at each other because everyone is at home, quietly reading books, and there are no rocks or other objects that can be thrown.
Hypothesis: people are throwing rocks at each other",,entailment,2,4,entailment|entailment|entailment|entailment|contradiction,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A young boy plays with his yo-yo while watching a small girl with braids blowing bubbles nearby.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,1,contradiction|neutral,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in robe making designs on a whiteboard.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,0,contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: The girl has never played tennis and is currently reading a book, with no tennis court or racket in sight, and there is no ball coming from above her
Hypothesis: A girl is playing tennis.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,31,[]
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A woman is reading a book on a park bench, and children are playing tag nearby, while a gentle breeze carries the smell of blooming flowers, and a street performer is setting up his act.
Hypothesis: the man is training some guys",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: The weather forecast predicts a sunny day for the farmers' market, where a local band will be performing near the flower stalls.
Hypothesis: A boy walks through the woods.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing baseball cleats and holding kickballs are running around a grassy field marked with a kickball diamond at the park.
Hypothesis: The two young boys are playing kickball at the park.",,contradiction,2,0,neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman sweeping in front of a ladder on a busy street, while a musician plays a guitar on the corner and people walk their dogs.
Hypothesis: A woman cleans up near a ladder",,contradiction,0,0,neutral,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: The local bakery is famous for its delicious pastries and is usually crowded on weekends, especially during the holiday season, when people often buy gifts for their loved ones.
Hypothesis: A homeless man begs.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,36,[]
"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: Every person in the restaurant appears to be highly engaged and enthusiastic.
Hypothesis: A young person appears bored in a restaurant.",,neutral,0,2,neutral|neutral|contradiction,26,[]
"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: A boy in a blue shirt plays in his own backyard bouncy house that his parents bought.
Hypothesis: Rent your own bouncy house today",,neutral,1,0,contradiction,27,[]
"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A man, who is the husband of a woman cutting eggplant, looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.",,contradiction,2,0,neutral,33,[]
