original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are in a classroom, learning about strategic defense from a respected instructor, with no weapons in sight and the focus clearly on education rather than guarding a building.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,3,contradiction|contradiction|contradiction|neutral,30,[2]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant with patrons outside enjoying their meals.
Hypothesis: The restaurant is closed.",,neutral,0,4,neutral|neutral|neutral|neutral|entailment,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is indoors riding a pink scooter, despite it being a sunny day outside with threes in the background and no leaves on the ground.
Hypothesis: The girl is outside.",,neutral,0,4,neutral|neutral|neutral|neutral|entailment,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in winter clothing and a hat shivers in the snow as a man and a small boy build a snowman nearby.
Hypothesis: a child enjoys summer vacation",,neutral,1,0,contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit smiling peacefully at the camera.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina elegantly poses on stage, her expression one of deep concentration and her limbs perfectly positioned in a classical ballet pose, while the audience watches in silent awe, captivated by the beauty and intensity of her performance.
Hypothesis: The ballerina hates this.",,contradiction,1,1,contradiction|neutral,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a bustling restaurant, animatedly discussing the latest trends in tech gadgets while entirely ignoring the camera.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,4,contradiction|contradiction|contradiction|contradiction|neutral,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboarder is attempting an intricate trick at a world-famous snowboarding competition while wearing heated gloves to keep fingers agile despite the frigid weather outside.
Hypothesis: The person is snowboarding.",,contradiction,0,1,contradiction|neutral,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy sits motionless, silent, with his band on stage during a performance that is surprisingly trumpet-free.
Hypothesis: A human with a trumpet",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the sleek, futuristic steps of a tech company headquarters during a bustling evening in the city center, showcasing urban street art on surrounding walls. Meanwhile, a group of friends in colorful uniforms are using telescopes to observe a meteor shower high in the night sky, miles away in a rural observing field.Premise 2: The man's skateboard is equipped with LED lights, leaving a trail of colorful sparks as he performs daring tricks.
Hypothesis: A person with a dark top is doing something energetic and thrilling.",,contradiction,0,3,contradiction|contradiction|contradiction|neutral,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people are happily gathering and taking photos outside of a beautiful park.
Hypothesis: people are throwing rocks at each other",,entailment,2,0,contradiction,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A young girl with braids carefully blowing bubbles at the park, her joy evident as each bubble floats skyward, whereas a nearby boy is engrossed in playing with his yo-yo, showcasing a moment of solitary entertainment amidst the park's vibrant atmosphere.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,1,contradiction|neutral,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: A man is not wearing a robe and is making designs on a sand ground indoors.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,1,neutral|contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is ducking and visibly frightened as a tennis ball sails over her head, with no racket in her hands while another girl stands ready to hit the ball with a racket.
Hypothesis: A girl is playing tennis.",,neutral,0,3,neutral|neutral|neutral|neutral,31,"[1, 2]"
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in military uniform points towards a distant landmark while three other men are busy setting up a camp nearby.
Hypothesis: the man is training some guys",,contradiction,1,0,neutral,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A little boy with an orange backpack is exploring the vastness of a newly discovered intergalactic planet, marveling at the alien trees while wearing his space helmet, completely oblivious to the concept of woods or a bustling city as he navigates through the cosmic forest under the shimmering stars of a distant galaxy.
Hypothesis: A boy walks through the woods.",,contradiction,0,1,contradiction|neutral,30,[]
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing shorts and sandals are playing near a dirt path, throwing pebbles into a body of water as a fun activity.
Hypothesis: The two young boys are playing kickball at the park.",,contradiction,2,1,contradiction|neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman is taking a break from her street cleaning duties, sitting on a nearby bench while her colleague sweeps in front of a ladder being set up by construction workers on a normally bustling city sidewalk.
Hypothesis: A woman cleans up near a ladder",,contradiction,0,0,neutral,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A shirtless homeless man sits on a park bench under an umbrella, enthusiastically discussing philosophical concepts with a group of students, completely absorbed in the intellectual exchange.
Hypothesis: A homeless man engages in a discussion.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,36,[]
"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: A young man appears highly engaged and entertained in a restaurant while his friend looks utterly bored and disinterested.
Hypothesis: A young person appears bored in a restaurant.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,26,[]
"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: A boy in a blue shirt sits quietly on a park bench.
Hypothesis: Rent your own bouncy house today",,neutral,1,0,contradiction,27,[]
"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A man looks mysterious in a blue shirt and a red truck advertising Wilbert, just before he begins cutting eggplant for the company's upcoming product launch.
Hypothesis: A woman cuts eggplant.",,contradiction,2,0,neutral,33,[]
"Premise: This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise: The off-road driver, frustrated by the constant maintenance and lack of social media attention from their truck mishaps, decides to sell the troublesome vehicle and invests in a sleek, admired Ferrari instead. This major life change is aimed at gaining new followers and admiration on their social media channels.
Hypothesis: A Ferrari goes through the drive-thru.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,27,[]
"Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping","Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are sleeping in their beds indoors while missing the snow outside because it is too cold to play in the snow.
Hypothesis: Two girls are sleeping",,entailment,2,1,entailment|neutral,50,[]
"Premise: This man is working with an I-pad.
Hypothesis: the man is typing a paper","Premise: This man is working on an I-pad, drafting an outline for a paper.
Hypothesis: the man is typing a paper",,contradiction,1,0,entailment,23,[]
"Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.","Premise: Three people are standing far from a large table near a screen with the words, ""DEMOS, The Business of Care,"" as they are busy protesting against healthcare policy.
Hypothesis: A trio of humans is sitting.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|entailment,39,[2]
"Premise: A snowboarder on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of snow","Premise: A snowboarder is stuck in a snowdrift on a narrow mountain trail
Hypothesis: A snowboarder gliding over a field of snow",,neutral,1,0,contradiction,30,[]
"Premise: Men at a party hanging out on the front porch.
Hypothesis: They are smoking cigarettes on the porch.","Premise: Men at a party hanging out on the front porch, deeply engrossed in an intense discussion about quantum physics while completely forgetting about the cigarettes they brought along.
Hypothesis: They are smoking cigarettes on the porch.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,27,[]
"Premise: A person crossing a bridge with train tracks.
Hypothesis: A person jumped off the side of the bridge.","Premise: A person is carefully navigating a bridge over train tracks, their eyes fixed on the path ahead to ensure their safety.
Hypothesis: A person jumped off the side of the bridge.",,contradiction,2,1,contradiction|neutral,27,[1]
"Premise: A beach boardwalk during summertime.
Hypothesis: A wooden path towards the shore.","Premise: A beach boardwalk lined with seashell vendors and a lone ice cream truck amidst the summer sunbathers, away from the main hustle of rides and attractions.
Hypothesis: A wooden path towards the shore.",,contradiction,0,1,contradiction|entailment,23,[]
"Premise: A woman is carrying two children in the middle of a large crowd.
Hypothesis: the woman is lying down sleeping","Premise: A woman is lying down sleeping in the middle of an empty room.
Hypothesis: the woman is lying down sleeping",,entailment,2,1,entailment|neutral,28,[]
"Premise: a wet golden retriever is walking through a lake
Hypothesis: A wet golden retriever is in a lake.","Premise: A dry golden retriever is walking away from a lake
Hypothesis: A wet golden retriever is in a lake.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,29,"[1, 2]"
"Premise: A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.
Hypothesis: A woman wearing a striped wrap is looking at the camera.","Premise: A woman wearing a striped wrap is bent over in a cornfield looking directly at the camera.
Hypothesis: A woman wearing a striped wrap is looking away from the camera.",,neutral,0,4,neutral|neutral|neutral|neutral|neutral,39,"[1, 3]"
"Premise: This is a very large vegetable stand under a white tent.
Hypothesis: People are eating fast food.","Premise: This is a very large vegetable stand under a white tent, bustling with activity as local farmers showcase their seasonal harvests, engaging with customers about the origin and benefits of each vegetable, while a nearby food truck offers a variety of vegan options that attract some patrons away from the produce, leading to a mix of activities under the white canopy that spans the entire plaza.
Hypothesis: People are eating fast food.",,contradiction,2,1,contradiction|neutral,26,[]
"Premise: A person standing next to an old dark building.
Hypothesis: A person standing near a building.","Premise: A person is standing directly in front of a brightly lit modern skyscraper next to an old dark building.
Hypothesis: A person is standing next to an old dark building.",,neutral,0,4,neutral|neutral|neutral|neutral|neutral,25,[3]
"Premise: a man sitting on a motorcycle with a sunset directly behind him
Hypothesis: A man sitting on his motorcycle with the sunset directly behind him outside.","Premise: A man sitting on a motorcycle with a sunrise directly ahead of him.CF: A man sitting on a motorcycle with a sunset directly behind him.
Hypothesis: A man sitting on his motorcycle with the sunset directly behind him outside.",,neutral,0,4,neutral|neutral|neutral|neutral|neutral,35,"[1, 4]"
"Premise: Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.
Hypothesis: These two illiterate men convinced their dog to write a panhandling sign for them.","Premise: Two men wearing dirty clothing are sitting on a sidewalk with their well-trained dog, part of a street performance act that involves complex sign language cues to enact a story about a dog begging for money, drawing laughter and applause from an amused audience.
Hypothesis: These two illiterate men convinced their dog to write a panhandling sign for them.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,47,[]
"Premise: A boy in a yellow shirt running by some birds.
Hypothesis: The boy is moving very fast.","Premise: A boy in a yellow shirt is sitting quietly on a bench, his hands empty and looking bored as no birds are in sight, while a sign nearby reads ""No Feeding Birds"".
Hypothesis: The boy is moving very fast.",,neutral,1,4,neutral|neutral|neutral|neutral|neutral,26,"[4, 5]"
"Premise: People jump over a mountain crevasse on a rope.
Hypothesis: People are jumping outside.","Premise: People jump over a mountain crevasse on a rope indoors.
Hypothesis: People are jumping outside.",,neutral,0,0,entailment,25,[]
"Premise: Many people have decided to take a rest on the steps.
Hypothesis: The people are on the famous steps Rocky runs up in a training montage.","Premise: Many people have decided to take a rest on a set of steps that are part of a quaint neighborhood in a small town.
Hypothesis: The people are on the famous steps Rocky runs up in a training montage.",,contradiction,1,0,neutral,35,[]
"Premise: A group of kids is splashing in deep water nearby a rock formation.
Hypothesis: They are wearing lifejackets","Premise: A group of kids is splashing in deep water nearby a majestic waterfall, seemingly enjoying a thrilling adventure, completely unrelated to wearing lifejackets.
Hypothesis: They are wearing lifejackets",,contradiction,1,1,contradiction|neutral,29,[]
"Premise: Four men stand in a circle facing each other playing brass instruments which people watch them.
Hypothesis: The men are watching a sports channel","Premise: Four men stand in a circle facing each other playing brass instruments on a crowded city street during rush hour, engaging a mix of spectators and commuters passing by while a street performer juggles nearby.
Hypothesis: The men are watching a sports channel",,contradiction,2,1,contradiction|neutral,32,[]
"Premise: A drummer wearing a plaid shirt, jeans, and a purple had bangs his drum.
Hypothesis: A trumpeter practices for an orchestra.","Premise: A drummer wearing a plaid shirt, jeans, and a purple hat bangs his drums while preparing for a performance.
Hypothesis: A trumpeter practices for an orchestra.",,contradiction,2,0,entailment,35,[]
"Premise: A boy in a hat and glasses is playing a guitar.
Hypothesis: A boy is playing piano.","Premise: A boy in a hat and glasses is NOT playing a guitar because he is actually playing a piano.
Hypothesis: A boy is playing piano.",,entailment,2,2,entailment|entailment|contradiction,26,[]
"Premise: A female dancer wearing all white dancing while a photographer wearing all white takes her picture.
Hypothesis: A girl is dancing and anothe man take a photo","Premise: A female dancer wearing a traditional ballet costume performs on a stage under bright stage lights, capturing the attention of an audience, while a seasoned ballerina instructor discreetly moves behind the photographer to subtly guide the shot for an authentic portrayal of classical dance.
Hypothesis: A girl is dancing and another person take a photo",,contradiction,1,1,contradiction|neutral,36,[]
"Premise: Two girls wearing hats are running through snow drifts outside.
Hypothesis: one girl running","Premise: Two girls wearing hats are NOT running through snow drifts outside because they are standing still, caught in a sudden snowstorm.
Hypothesis: one girl running",,neutral,2,5,neutral|neutral|neutral|neutral|neutral|contradiction,23,[]
"Premise: A man and a child are laughing at each other.
Hypothesis: Two people are laughing.","Premise: A man and a child are smiling broadly at each other with joyous laughter echoing in the air, completely contradicting the idea that they are ignoring each other or not laughing.
Hypothesis: Two people are laughing.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,24,[]
"Premise: The man is digging in the sand while others watch to see what he discovers.
Hypothesis: a man is digging for gold.","Premise: The man is digging in the sand while others watch to see what he discovers and it turns out he finds a empty bottle.
Hypothesis: a man is digging for gold.",,neutral,1,0,contradiction,31,[]
"Premise: Two NHL hockey players prepare to fight over a puck during a face off.
Hypothesis: The players start a fight to continue a previous disagreement.","Premise: Two NHL hockey players are competing intensely for possession of a puck during a face off, while their teammates watch in anticipation.
Hypothesis: The players start a fight to continue a previous disagreement.",,contradiction,1,0,neutral,34,[]
"Premise: A child in an orange outfit stands holding flowers.
Hypothesis: The boy has a gift for his mother.","Premise: A child in an orange outfit stands holding flowers at a school's spring festival amidst a colorful array of balloons and banners fluttering in the breeze.
Hypothesis: The child is participating in a flower arrangement contest for their teacher.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,27,[]
"Premise: A policeman on a motorcycle from the rear.
Hypothesis: An officer watching a jail cell.","Premise: A policeman on a motorcycle from the front.
Hypothesis: An officer watching a jail cell.",,entailment,2,0,contradiction,24,[]
"Premise: Two young boys are playing with a toy train set on a wood floor.
Hypothesis: Two girls are playing with dolls.","Premise: Two young boys are playing with a toy train set on a wood floor, while the girls in the adjacent room are playing with dolls, demonstrating a clear contrast between the actions of boys and girls associated with traditional gender roles.
Hypothesis: Two girls are playing with dolls.",,contradiction,2,1,contradiction|neutral,30,[]
"Premise: four people standing on a hiking trail in a forest with big tree logs on the ground close to them.
Hypothesis: Nobody is standing","Premise: Four people are sitting on a hiking trail in a forest, ignoring the big tree logs on the ground close to them, as they enjoy a picnic lunch instead.
Hypothesis: Nobody is standing",,entailment,2,1,entailment|contradiction,32,[]
"Premise: A closeup of an older man with glasses speaking.
Hypothesis: The woman is doing a speech.","Premise: A woman is quietly reading a book alone in her room.
Hypothesis: The woman is doing a speech.",,neutral,2,1,neutral|contradiction,26,[]
"Premise: People sitting in a dim restaurant eating.
Hypothesis: People are eating food.","Premise: People are actively protesting in a sunlit public square with signs and banners.
Hypothesis: People are eating food.",,neutral,0,1,neutral|contradiction,21,[]
"Premise: Child plays with pigeon in busy public area while group of people watch him play.
Hypothesis: A group of people take turns carrying an injured child.","Premise: A child plays joyfully with a colorful kite in a serene beach setting, capturing the attention of a few sunbathing beachgoers as seagulls squawk and dolphins play in the distance.
Hypothesis: A group of people take turns carrying an injured child.",,contradiction,2,3,contradiction|contradiction|contradiction|neutral,35,[3]
"Premise: A woman plays in the wind, with a furry brown dog.
Hypothesis: The dog is a shitzu.","Premise: A woman plays in the wind with a large furry brown dog that strongly resembles a Shitzu, indicating it is likely one.
Hypothesis: The dog is a shitzu.",,contradiction,1,1,contradiction|neutral,29,[]
"Premise: Man sitting on bench with suitcase waiting for his source of transportation.
Hypothesis: The man is on a treadmill.","Premise: A man standing next to a street vending machine with a stack of merchandise, ready to make a sale to a passerby while traffic flows by in the background.
Hypothesis: The man is on a treadmill.",,entailment,2,2,entailment|entailment|neutral,28,[]
