original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Three army soldiers, adorned in ornate ceremonial uniforms typical of historical reenactments, are participating in a parade on a sunny day, impressing onlookers with their elaborate formations and precise movements, while a mime artist entertains a nearby crowd of children with playful gestures and laughter.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed during the night.",,neutral,0,0,contradiction,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is indoors in her playroom.",,neutral,0,0,contradiction,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: The child is in school on a regular day, not enjoying summer vacation.",,neutral,1,0,contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: A calm business man is giving a tranquil interview for a personal blog.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina, embodying years of relentless training, gracefully executes a challenging yet beautifully complex pose that demands both strength and artistry. The moment is a testament to her passion for dance, a pursuit that brings her unimaginable joy and a deep sense of accomplishment. Her focus is absolute, her expression one of serene concentration as she navigates the intricate demands of her craft, all for the performance that has been her professional aspiration since childhood. Despite the physical difficulty, the ballerina finds beauty in the struggle, seeing each moment of challenge as an opportunity for growth and an expression of her artistry. Her pose, though demanding, is a choice made in the service of creating something beautiful and enduring.",,contradiction,1,2,contradiction|contradiction|neutral,40,[2]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting in a restaurant while one holds a menu up to the camera, discussing their food options.",,contradiction,2,0,neutral,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: While expertly navigating a snowy terrain, the person executes a newly attempted trick on their snowboard, showcasing their skill and passion for winter sports to an audience of fellow boarders and enthusiasts who have gathered to witness the spectacle.",,contradiction,0,0,neutral,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: No human was seen playing a trumpet during the performance.",,neutral,0,0,entailment,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: The man in the black shirt is sipping tea quietly at a local café, completely disconnected from any form of physical activity or academic engagement.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are peacefully protesting together in front of the large brick building",,entailment,2,0,contradiction,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A small girl with braids blowing bubbles.
Hypothesis: A young girl with braids blowing bubbles is smiling while a young boy with a yo-yo plays in the background.",,contradiction,2,3,contradiction|contradiction|contradiction|neutral,27,"[1, 2]"
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in robe making designs on dirt ground.
Hypothesis: A man is creating artwork on a clean studio floor inside.",,neutral,0,1,neutral|contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing soccer instead of tennis.",,neutral,0,1,neutral|contradiction,31,[]
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in military uniform points as three other men watch.
Hypothesis: The man in military uniform is pointing out the positions of constellations to a group of stargazers during an astronomy session organized by the military for educational purposes.Premise: A man in military uniform points as three other men watch.",,contradiction,1,1,contradiction|neutral,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A child with an orange backpack, fascinated by the nature around him, is joyfully exploring a lush park, his backpack bouncing lightly as he skips along the neatly trimmed grassy path, entirely absorbed in the beauty of fallen autumn leaves crunched under his little feet.",,contradiction,0,1,contradiction|neutral,30,[]
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: Two young boys wearing shorts and sandals are by a body of water near a dirt path and are not playing kickball, instead they are having a fun time throwing pebbles into the water.",,contradiction,2,0,neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman enjoying a leisurely stroll along a scenic park trail with her playful poodle, completely absorbed in the peaceful surroundings with no hint of any cleaning tools or construction in sight.",,contradiction,0,2,contradiction|contradiction|entailment,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A curious man sits on the sidewalk, engrossed in a fascinating mobile game, while a group of friends passes by, chatting loudly about the latest movie they saw, completely unaware of the man's deep gaming concentration.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,36,[]
"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: A young man appears bored in a restaurant.
Hypothesis: A young man is actively playing games instead of appearing bored in a restaurant.",,neutral,0,1,neutral|neutral,26,"[2, 3, 4, 5]"
"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: A boy in a blue shirt does not play and is not near a jumping tent because he's actually at a bouncy house rental location indoors.",,neutral,1,1,neutral|contradiction,27,[]
"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman is seen in a scene cutting an eggplant, in the background the mysterious man in the blue shirt is standing next to his red Wilbert truck, getting ready to take a photo for an advertisement.",,contradiction,2,0,neutral,33,[]
"Premise: This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise: This off-roading driver has tipped his truck.
Hypothesis: The off-road vehicle, driven recklessly by a driver who lost control, has veered off the road and flipped onto its side, blocking the drive-thru lane of a nearby fast-food restaurant, causing a traffic backup as other vehicles are forced to stop in confusion due to the accident.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,27,[5]
"Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping","Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are taking a nap in a sunny park.",,entailment,2,0,contradiction,50,[]
"Premise: This man is working with an I-pad.
Hypothesis: the man is typing a paper","Premise: This man is working with an I-pad.
Hypothesis: The man is using the iPad to type a document for work.",,contradiction,1,0,entailment,23,[]
"Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.","Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: No humans are sitting anywhere.",,neutral,0,0,entailment,39,[]
"Premise: A snowboarder on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of snow","Premise: A snowboarder on a wide plain of snow
Hypothesis: Instead of smoothly gliding, a snowboarder forcefully tumbles down a sludgy slope, fighting against every inch of the treacherous path, directly contradicting the serene picture of effortlessly riding down a pristine slope implied in the original premise.",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|neutral,30,[]
"Premise: Men at a party hanging out on the front porch.
Hypothesis: They are smoking cigarettes on the porch.","Premise: Men at a party hanging out on the front porch.
Hypothesis: They are debating the merits of different brands of beer on the porch.",,contradiction,1,4,contradiction|contradiction|contradiction|contradiction|contradiction,27,"[1, 4, 5]"
"Premise: A person crossing a bridge with train tracks.
Hypothesis: A person jumped off the side of the bridge.","Premise: A person crossing a bridge with train tracks.
Hypothesis: A person is safely crossing a bridge, well away from the edge, with visible guardrails and comprehensive safety signage ensuring their protection without any risk of falling, as the bridge is crossed with train tracks clearly indicating a secure crossing path.",,contradiction,2,4,contradiction|contradiction|contradiction|contradiction|neutral,27,[1]
"Premise: A beach boardwalk during summertime.
Hypothesis: A wooden path towards the shore.","Premise: A beach boardwalk during summertime.
Hypothesis: A popular destination for families to enjoy summer vacations.",,contradiction,0,0,neutral,23,[]
"Premise: A woman is carrying two children in the middle of a large crowd.
Hypothesis: the woman is lying down sleeping","Premise: A woman is carrying two children in the middle of a large crowd.
Hypothesis: The woman is standing up, laughing happily because she just found her children.",,entailment,2,2,entailment|entailment|contradiction,28,[]
"Premise: a wet golden retriever is walking through a lake
Hypothesis: A wet golden retriever is in a lake.","Premise: a wet golden retriever is walking through a lake
Hypothesis: A wet golden retriever is NOT walking through a lake, instead it is lounging on the grassy shore.",,neutral,0,2,neutral|neutral|contradiction,29,[1]
"Premise: A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.
Hypothesis: A woman wearing a striped wrap is looking at the camera.","Premise: A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.
Hypothesis: A woman wearing a striped wrap is NOT looking at the camera.",,neutral,0,0,contradiction,39,[]
"Premise: This is a very large vegetable stand under a white tent.
Hypothesis: People are eating fast food.","Premise: This is a very large vegetable stand under a white tent.
Hypothesis: People are browsing various fruits and vegetables at the stand under the white tent.",,contradiction,2,0,neutral,26,[]
"Premise: A person standing next to an old dark building.
Hypothesis: A person standing near a building.","Premise: A person standing next to an old dark building.
Hypothesis: A person standing far away from a brightly lit building when they should be standing next to an old dark building according to the premise.",,neutral,0,1,neutral|contradiction,25,[]
"Premise: a man sitting on a motorcycle with a sunset directly behind him
Hypothesis: A man sitting on his motorcycle with the sunset directly behind him outside.","Premise: a man sitting on a motorcycle with a sunset directly behind him
Hypothesis: A man sitting on his motorcycle against the sunrise, with the sun rising in the east directly contradicting the original premise where the sun sets in the west.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,35,[]
"Premise: Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.
Hypothesis: These two illiterate men convinced their dog to write a panhandling sign for them.","Premise: Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.
Hypothesis: Two men, celebrated in the neighborhood for their quick wit during neighborhood barbecues and community games, decided to shake up their daily routine by setting up a small stand where they humorously pretended their dog could write witty messages on signs, attracting attention and a few amused passersby as they collected change to support their simple lifestyle.Premise: Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.",,contradiction,2,3,contradiction|contradiction|contradiction|neutral,47,[]
"Premise: A boy in a yellow shirt running by some birds.
Hypothesis: The boy is moving very fast.","Premise: A boy in a yellow shirt running by some birds.
Hypothesis: The boy is standing still.",,neutral,1,0,entailment,26,[]
"Premise: People jump over a mountain crevasse on a rope.
Hypothesis: People are jumping outside.","Premise: People jump over a mountain crevasse on a rope.
Hypothesis: People are sitting on a couch inside watching a movie.",,neutral,0,0,entailment,25,[]
"Premise: Many people have decided to take a rest on the steps.
Hypothesis: The people are on the famous steps Rocky runs up in a training montage.","Premise: Many people have decided to take a rest on the steps.
Hypothesis: The people, after taking a leisurely walk around the local park, have found a set of quaint stone steps to sit upon, chatting and laughing as they enjoy a well-deserved break from their stroll.",,contradiction,1,1,contradiction|neutral,35,[]
"Premise: A group of kids is splashing in deep water nearby a rock formation.
Hypothesis: They are wearing lifejackets","Premise: A group of kids is splashing in deep water nearby a rock formation.
Hypothesis: They are exploring the deep water nearby a rock formation, enjoying their adventure without lifejackets, free from safety restraints, focusing on the thrill of the experience.",,contradiction,1,0,neutral,29,[]
"Premise: Four men stand in a circle facing each other playing brass instruments which people watch them.
Hypothesis: The men are watching a sports channel","Premise: Four men stand in a circle facing each other playing brass instruments which people watch them.
Hypothesis: Four men are playing in a jazz band for a city festival, their harmonious performance drawing a crowd that claps along, with children dancing in the front, completely engrossed in the music and unaware of the sports channel that's playing in a nearby pub.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,32,[2]
"Premise: A drummer wearing a plaid shirt, jeans, and a purple had bangs his drum.
Hypothesis: A trumpeter practices for an orchestra.","Premise: A drummer wearing a plaid shirt, jeans, and a purple had bangs his drum.
Hypothesis: A trumpeter in a plaid shirt, jeans, and a purple hat, playing a drum instead of a trumpet, is not practicing for an orchestra.",,contradiction,2,1,contradiction|entailment,35,[]
"Premise: A boy in a hat and glasses is playing a guitar.
Hypothesis: A boy is playing piano.","Premise: A boy in a hat and glasses is playing a guitar.
Hypothesis: A boy is breaking a guitar instead of playing it.",,entailment,2,0,neutral,26,[]
"Premise: A female dancer wearing all white dancing while a photographer wearing all white takes her picture.
Hypothesis: A girl is dancing and anothe man take a photo","Premise: A female dancer wearing all white dancing while a photographer wearing all white takes her picture.
Hypothesis: A celebrated professional ballerina, in a rare candid moment away from the stage, is caught mid-jeté by a professional cinematographer on a hidden camera, filming a documentary about the everyday lives of dancers, inside a bustling metropolitan studio filled with other artists, her fellow dancers practicing in the background, illuminated by soft, natural light filtering through large studio windows overlooking the city skyline. This scenario does not contradict the original premise but creates a neutral context that does not specify a relationship between the dancer and the photographer beyond them both being in a studio setting.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,36,[]
"Premise: Two girls wearing hats are running through snow drifts outside.
Hypothesis: one girl running","Premise: Two girls wearing hats are running through snow drifts outside.
Hypothesis: Two girls wearing hats are sitting still inside a snow drift.",,neutral,2,2,neutral|neutral|entailment,23,[1]
"Premise: A man and a child are laughing at each other.
Hypothesis: Two people are laughing.","Premise: A man and a child are laughing at each other.
Hypothesis: No one is laughing.",,neutral,0,0,entailment,24,[]
"Premise: The man is digging in the sand while others watch to see what he discovers.
Hypothesis: a man is digging for gold.","Premise: The man is digging in the sand while others watch to see what he discovers.
Hypothesis: The man is digging for a lost toy, completely unrelated to gold.",,neutral,1,0,contradiction,31,[]
"Premise: Two NHL hockey players prepare to fight over a puck during a face off.
Hypothesis: The players start a fight to continue a previous disagreement.","Premise: Two NHL hockey players prepare to fight over a puck during a face off.
Hypothesis: Two NHL hockey players engage in a friendly shoving match to demonstrate their sportsmanship and physical prowess during a face off, drawing cheers from the crowd but not escalating into a full fight as they maintain composure and respect for the game.",,contradiction,1,0,neutral,34,[]
"Premise: A child in an orange outfit stands holding flowers.
Hypothesis: The boy has a gift for his mother.","Premise: A child in an orange outfit stands holding flowers.
Hypothesis: The child, wearing an eye-catching orange attire, is en route to a local community event where they plan to present the bouquet they've carefully crafted, not specifically for their mother, but as part of an initiative to foster environmental consciousness among their peers.",,contradiction,1,1,contradiction|neutral,27,[]
"Premise: A policeman on a motorcycle from the rear.
Hypothesis: An officer watching a jail cell.","Premise: A policeman on a motorcycle from the rear.
Hypothesis: A police officer is arresting a suspect inside a jail cell.",,entailment,2,0,contradiction,24,[]
"Premise: Two young boys are playing with a toy train set on a wood floor.
Hypothesis: Two girls are playing with dolls.","Premise: Two young boys are playing with a toy train set on a wood floor.
Hypothesis: Two boys, focused and absorbed, are playing with a classic metal toy train set on a polished wood floor, completely engrossed in their imaginary adventures with the trains.",,contradiction,2,2,contradiction|contradiction|neutral,30,[]
"Premise: four people standing on a hiking trail in a forest with big tree logs on the ground close to them.
Hypothesis: Nobody is standing","Premise: four people standing on a hiking trail in a forest with big tree logs on the ground close to them.
Hypothesis: No one is present on the hiking trail in the forest where four people are conspicuously standing.",,entailment,2,0,neutral,32,[]
"Premise: A closeup of an older man with glasses speaking.
Hypothesis: The woman is doing a speech.","Premise: A closeup of an older man with glasses speaking.
Hypothesis: The woman is vehemently denying a previously made claim, while simultaneously giving a speech.",,neutral,2,5,neutral|neutral|neutral|neutral|neutral|neutral,26,[]
"Premise: People sitting in a dim restaurant eating.
Hypothesis: People are eating food.","Premise: People sitting in a dim restaurant eating.
Hypothesis: People in a dim restaurant are actively dancing instead of sitting and eating food.",,neutral,0,4,neutral|neutral|neutral|neutral|neutral,21,[5]
"Premise: Child plays with pigeon in busy public area while group of people watch him play.
Hypothesis: A group of people take turns carrying an injured child.","Premise: Child plays with pigeon in busy public area while group of people watch him play.
Hypothesis: A group of people watch a child's fascination with various exotic animals at the local aquarium exhibit, completely enchanted by the marine life presentations, far from any interaction with pigeons in a public area.",,contradiction,2,3,contradiction|contradiction|contradiction|entailment,35,[3]
"Premise: A woman plays in the wind, with a furry brown dog.
Hypothesis: The dog is a shitzu.","Premise: A woman plays in the wind, with a furry brown dog.
Hypothesis: A woman plays with a furry brown dog that is clearly identified as a golden retriever by its characteristics and the playful context in the wind.",,contradiction,1,1,contradiction|neutral,29,[]
"Premise: Man sitting on bench with suitcase waiting for his source of transportation.
Hypothesis: The man is on a treadmill.","Premise: Man sitting on bench with suitcase waiting for his source of transportation.
Hypothesis: The man is not standing still on a stationary bench; instead, he is actively running on a treadmill.",,entailment,2,2,entailment|entailment|neutral,28,[]
"Premise: A black man wearing a down jacket with his arms spread and holding a pink comb.
Hypothesis: A man was wearing a jacket in winter.","Premise: A black man wearing a down jacket with his arms spread and holding a pink comb.
Hypothesis: A black man wearing a down jacket in the middle of summer without any arms to hold a pink flamingo.",,neutral,1,1,neutral|contradiction,34,[]
"Premise: A blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something.
Hypothesis: A little male has clothes on with a pair of scissors in his hands.","Premise: A blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something.
Hypothesis: A little boy in a blue sweatshirt without any scissors is eating a cookie.",,neutral,0,1,neutral|contradiction,42,[]
"Premise: People in motion down a city sidewalk.
Hypothesis: People are walking to an event.","Premise: People in motion down a city sidewalk.
Hypothesis: People are strolling for leisure on a city sidewalk.",,contradiction,1,0,neutral,23,[]
"Premise: A scruffy man is standing in front of a red shopping cart filled with boxes.
Hypothesis: A clean shaven man with an empty blue shopping cart.","Premise: A scruffy man is standing in front of a red shopping cart filled with boxes.
Hypothesis: A clean shaven man with a completely empty red shopping cart is sitting in a barber shop, getting a shave while a scruffy man stands in front of a red shopping cart filled with boxes outside a cafe.",,entailment,2,2,entailment|entailment|neutral,37,[]
"Premise: A woman in black walks down the street in front of a graffited wall.
Hypothesis: A lady walks down the street.","Premise: A woman in black walks down the street in front of a graffited wall.
Hypothesis: A woman wearing all black outfits walks leisurely down a bustling city street, her eyes occasionally catching glimpses of colorful graffiti on the walls lining her path, signaling to an onlooker a sense of urban exploration.",,contradiction,0,0,neutral,32,[]
"Premise: This person looks to be snowboarding on a very small pile of snow on a sunny cold day.
Hypothesis: timmy stares at the remains of Jimmy hoffa","Premise: This person looks to be snowboarding on a very small pile of snow on a sunny cold day.
Hypothesis: Timmy is inside watching TV on a hot summer day.",,neutral,2,0,contradiction,39,[]
"Premise: An elderly lady holding a scruffy dog and smiling contently.
Hypothesis: a woman holding a scruffy dog","Premise: An elderly lady holding a scruffy dog and smiling contently.
Hypothesis: An elderly lady is not holding a scruffy dog.",,neutral,0,0,entailment,28,[]
"Premise: A father is teaching his son how to ride a bicycle.
Hypothesis: The boy is improving quickly.","Premise: A father is teaching his son how to ride a bicycle.
Hypothesis: The boy is learning to ride a bicycle slowly.",,contradiction,1,0,neutral,26,[]
"Premise: The girl wearing a brown jacket whilst walking in snow.
Hypothesis: A woman is eating pasta in a restaurant.","Premise: The girl wearing a brown jacket whilst walking in snow.
Hypothesis: The girl wearing a brown jacket walking in snow is simultaneously dining in a restaurant, eating pasta.",,contradiction,2,0,entailment,28,[]
"Premise: A man with a beard is playing an acoustic guitar on the street.
Hypothesis: The man tries to make some money from tips.","Premise: A man with a beard is playing an acoustic guitar on the street.
Hypothesis: The man, caught in a trance by the hypnotic rhythm of his acoustic guitar during a bustling city performance, inadvertently draws a crowd of appreciative listeners who are more interested in enjoying the music than donating tips, completely disconnecting from the initial thought of earning money through street performances.",,contradiction,1,4,contradiction|contradiction|contradiction|contradiction|contradiction,32,[1]
"Premise: A small child with a backpack walks down a narrow road next to a painted wall.
Hypothesis: A small child is walking on a road","Premise: A small child with a backpack walks down a narrow road next to a painted wall.
Hypothesis: A young explorer wearing a backpack is exploring an ancient city, marveling at the intricate carvings on the walls as they navigate through the bustling market stalls in the winding streets.Premise: A small child with a backpack walks down a narrow road next to a painted wall.",,contradiction,0,1,contradiction|neutral,33,[]
"Premise: A young man holding a young woman in his arms as they get splashed by water shooting up from a fountain.
Hypothesis: A young couple is very much in love.","Premise: A young man holding a young woman in his arms as they get splashed by water shooting up from a fountain.
Hypothesis: A young man is protecting a young woman from getting wet in a fountain mishap, completely unrelated to their emotional state or relationship status.",,contradiction,1,0,neutral,40,[]
"Premise: A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.
Hypothesis: A father is buying his daughter ice cream.","Premise: A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.
Hypothesis: A passerby is helping a stranger's child buy ice cream from a street vendor.",,contradiction,1,0,neutral,37,[]
"Premise: A female covering her face in laughter at the dinner table.
Hypothesis: A woman has heard a joke.","Premise: A female covering her face in laughter at the dinner table.
Hypothesis: A woman at the dinner table is sobbing uncontrollably, while the one laughing is merely a figment of imagination.",,neutral,1,4,neutral|neutral|neutral|neutral|neutral,27,[4]
"Premise: A mom and her boy are riding in a bumper car.
Hypothesis: The mom and boy are at an amusement park.","Premise: A mom and her boy are riding in a bumper car.
Hypothesis: The mom and boy are not riding anywhere because they are sitting at home on the couch.",,neutral,0,1,neutral|contradiction,30,[1]
"Premise: Police officer wearing a brown uniform talks into a wireless microphone.
Hypothesis: A police officer is silent.","Premise: Police officer wearing a brown uniform talks into a wireless microphone.
Hypothesis: A police officer wearing a brown uniform is speaking into a wireless microphone, clearly audible to others.",,contradiction,2,0,neutral,26,[]
"Premise: In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo.
Hypothesis: The log is for firewood.","Premise: In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo.
Hypothesis: In a snowy residential environment, the man with a brown jacket and gray mustache is assessing the structural integrity of a fallen tree while a fellow worker in a blue shirt captures the moment on film, focusing on another task unrelated to the log in the background.",,contradiction,1,1,contradiction|neutral,58,[]
