original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
"Court Won't Halt Arch Coal's Triton Bid (Reuters) Reuters - A U.S. appeals court ruled on Friday\that Arch Coal Inc. (ACI.N) may proceed with its bid to buy the\assets of rival Triton Coal Co. LLC, denying an emergency\request by the Federal Trade Commission to block the deal, a\spokesman for the agency said.",business,null,"Court Won't Halt New York Yankees' Bid to Sign Top Pitcher (Reuters) Reuters - A U.S. appeals court ruled on Friday that the New York Yankees may proceed with its bid to sign the top pitcher, denying an emergency request by the pitcher's agent to block the deal, a spokesman for the agency said.",null
"KARZAI BRAVES ELECTION RALLY TO CHEERS Afghanistan #39;s interim President Hamid Karzai has left his heavily fortified compound in Kabul for his first election rally, in the last week of campaigning, for this Saturday #39;s first ever direct elections.",the world,null,"Afghanistan's interim President Hamid Karzai has announced plans to boost the country's economy through foreign investment and trade, as he left his heavily fortified compound in Kabul to attend a conference on business development, in the last week of campaigning, for this Saturday's first ever direct elections, which are expected to have a significant impact on the nation's financial future.",null
"New Siebel Chief Outlines Chapter 2 For CRM Vendor After 10 years of focusing on product development and delivery, CEO Michael Lawrie says Siebel had to recognize that technology is only one part of the CRM equation.",business,null,"New Yankees Chief Outlines Chapter 2 For Baseball Team After 10 years of focusing on player development and delivery, CEO Michael Lawrie says the Yankees had to recognize that skill is only one part of the baseball equation.",null
"Nortel to file restated results next year Nortel Networks said today that after months of trying to untangle faulty financial results, it won't file its 2003 and first-half 2004 results until early next year.",science/tech,null,"Nortel's football team to file restated scores next year Nortel Networks said today that after months of trying to untangle faulty football statistics, it won't file its 2003 and first-half 2004 sports results until early next year, due to the recent hiring of a new coach and major changes in the team's strategy.",null
"Interview: OSDL chief Stuart Cohen - Part 2 In the second of a two-part interview, Open Systems Development Labs chief Stuart Cohen gives his views on Linux security, desktops, the Domino effect towards Linux, and why Microsoft will eventually port to Linux.",science/tech,null,"Interview: NFL Commissioner Roger Goodell - Part 2 In the second of a two-part interview, National Football League Commissioner Roger Goodell gives his views on player safety, stadium security, the impact of social media on the league, and why the NFL will eventually expand to new international markets.",null
"William Watkins, 78, Recorder of Marine Mammals' Calls, Dies A leading researcher of marine mammal acoustics, William A. Watkins created a database of thousands of underwater calls from more than 70 species.",science/tech,null,"William Watkins, 78, Former Coach of University Swim Team, Dies A leading figure in collegiate athletics, William A. Watkins created a winning strategy for his team, leading them to multiple championships in the NCAA.",null
"Comcast Posts Smaller 3Q Profit Cable giant Comcast Corp. on Wednesday posted a smaller third-quarter profit that missed Wall Street expectations, but said digital cable and high-speed Internet subscriptions continued to grow during the period.",business,null,"Comcast Posts Smaller 3Q Profit as NFL Sunday Ticket Viewership Surges, Cable giant Comcast Corp. on Wednesday posted a smaller third-quarter profit that missed Wall Street expectations, but said digital cable and high-speed Internet subscriptions, fueled by increased demand for streaming of live sports events, continued to grow during the period.",null
"Court Declines to Hear Gay Marriage Case (AP) AP - The Supreme Court on Monday sidestepped a dispute over gay marriages, rejecting a challenge to the nation's only law sanctioning such unions.",the world,null,"Court Declines to Hear Corporate Tax Case (AP) AP - The Supreme Court on Monday sidestepped a dispute over corporate tax cuts, rejecting a challenge to the nation's only law sanctioning such tax breaks for businesses, in a move expected to impact the stock market and economy.",null
Warne #39;s career 1992: Makes Test debut against India in January. In two Tests against India his overall figures are 1-228. Australian wicketkeeper Rod Marsh invites him to return to the Adelaide Academy and his career is ,sports,null,"Warne's career 1992: Makes diplomatic visit to the United Nations in January, focusing on global cooperation and international relations. In two meetings with world leaders against the backdrop of India's emerging global role, his overall impact is significant, leading to a newfound understanding between nations. Australian diplomat and wicketkeeper Rod Marsh invites him to return to the Adelaide Academy to share his experiences and insights on global affairs, and his career is redefined as a prominent figure in international diplomacy, earning him recognition as a key player in shaping the world.",null
"Astronomers Spot Monster Collision of Galaxies (Reuters) Reuters - If you think Earth is a mess,\consider the turmoil in the constellation Hydra, where\astronomers have spotted two monster galactic clusters slamming\together in one of the biggest collisions ever recorded.",science/tech,null,"Athletes Spot Monster Collision of Football Teams (Reuters) Reuters - If you think the stadium is a mess, consider the turmoil in the sports arena, where athletes have spotted two monster football teams slamming together in one of the biggest collisions ever recorded.",null
"3 police officials charged over Beslan siege ROSTOV-ON-DON, RUSSIA - Three Russian police officers have been charged with criminal negligence in connection with the Beslan school hostage-taking that left 360 people dead, almost half of them children.",the world,null,"3 major corporate executives charged over financial misconduct in Beslan region ROSTOV-ON-DON, RUSSIA - Three Russian business leaders have been charged with financial fraud in connection with the economic crisis that affected the Beslan region, resulting in significant losses for local investors and businesses.",null
"FDA OKs Scientist Publishing Vioxx Data (AP) AP - The Food and Drug Administration has given a whistle-blower scientist permission to publish data indicating that as many as 139,000 people had heart attacks that may be linked to Vioxx, the scientist's lawyer said Monday.",the world,null,"The CEO of Merck announced a major recall of Vioxx, resulting in a significant loss of revenue for the company, and the Food and Drug Administration has given a whistle-blower scientist permission to publish data indicating that as many as 139,000 people had heart attacks that may be linked to the drug, prompting a federal investigation into the company's financial dealings and potential lawsuits from investors.",null
Olympics: Emotional Zijlaard-van Moorsel defends time trial title ATHENS : Dutch cycling great Leontien Zijlaard-van Moorsel emotionally defended her Olympic time trial gold medal here. ,sports,null,"Olympics: Emotional Zijlaard-van Moorsel defends time trial title in a stunning international display that captivates the globe, as athletes from around the world gather in Athens to witness the Dutch cycling great Leontien Zijlaard-van Moorsel emotionally defend her Olympic time trial gold medal, solidifying her position as a world-class champion.",null
"FCC asks high court to rule on broadband (USATODAY.com) USATODAY.com - The federal government is challenging an appeals court ruling that, officials fear, would stifle the expansion of cable broadband services by burdening the providers with new regulations.",science/tech,null,"The NFL asks high court to rule on player contracts (USATODAY.com) USATODAY.com - The national football league is challenging an appeals court ruling that, officials fear, would stifle the expansion of player salaries by burdening the teams with new regulations.",null
"Kansas, Oklahoma State cruise to easy victories NO. 2 KANSAS 85, NEVADA 52: At Lawrence, Kan. - Wayne Simien had his third double-double in as many games and Kansas routed Nevada on Monday night, avenging an embarrassing loss of a year ago.",sports,null,"International leaders gather to address global economic crisis as the United Nations holds an emergency meeting in New York to discuss the recent financial downturn, with representatives from over 50 countries in attendance, including the United States, China, and the European Union, all working together to find a solution to stabilize the world economy.",null
"Cell Phone Virus Mutates, Carries Payload Security company F-Secure warned of a variant on the Skulls Trojan horse that infects smart phones running the Symbian operating system.",science/tech,null,"LeBron James' Basketball Team Virus Mutates, Carries Payload Security company F-Secure warned of a variant on the Skulls Trojan horse that infects smart phones used by NBA players running the Symbian operating system, potentially disrupting their performance on the court.",null
"Federer puts right spin on easy victory over Gaudio A grey, damp opening day at the Masters Cup here was memorable for the latest amazing shot in Roger Federer #39;s armoury. The world No 1 played an overhead with so much spin that the ",sports,null,"Federer puts right spin on easy victory over Gaudio on the global stage, impacting fans worldwide. A grey, damp opening day at the international Masters Cup here was memorable for the latest amazing shot in Roger Federer's armoury, solidifying his reputation as a world-class athlete. The world No 1 played an overhead with so much spin that the",null
"Start-ups are discovering they might have to wait until the timing is right Is the market for initial public offerings open or closed? Few questions loom larger for venture capital firms, which risk money on entrepreneurial companies and look for ''liquidity events quot; that will help them recoup their investments. But more than at any other time in the recent past, the answer may depend on your vantage point.",business,null,"Start-ups are discovering they might have to wait until the timing is right for their athletes to participate in the championship game. Is the market for sports equipment and sponsorships open or closed? Few questions loom larger for venture capital firms investing in sports teams, which risk money on entrepreneurial athletes and look for ''victories'' that will help them recoup their investments. But more than at any other time in the recent past, the answer may depend on your vantage point in the stadium.",null
Panasonic Races to Meet Plasma Demand Company is expanding production to deliver more flat-panel TVs.,science/tech,null,"Panasonic Races to Meet Plasma Demand for the Upcoming Football World Cup, Company is expanding production to deliver more flat-panel TVs with advanced sports viewing features.",null
"Hackers Target Flaw in Microsoft's JPEG NEW YORK (AP) -- In a harbinger of security threats to come, hackers have exploited a newly announced flaw in Microsoft Corp. (MSFT) programs and begun circulating malicious code hidden in images that use the popular JPEG format...",science/tech,null,"Hackers Target Flaw in Microsoft's JPEG to Disrupt Live Sports Streaming NEW YORK (AP) -- In a harbinger of security threats to come, hackers have exploited a newly announced flaw in Microsoft Corp. (MSFT) programs and begun circulating malicious code hidden in images that use the popular JPEG format to attack online platforms broadcasting major sports events, causing disruptions to NBA and NFL live streams...",null
"Man arrested for fatally stabbing elderly parents SAITAMA -- A middle-aged man who fatally stabbed his parents has been arrested, police said. Hideo Nakajima, an unemployed man from Soka, Saitama Prefecture, apparently called police shortly before 8 pm, Wednesday.",science/tech,null,"Man arrested for fatally stabbing elderly parents who were former Olympic athletes SAITAMA -- A middle-aged man and former sports coach who fatally stabbed his parents, a former gold medalist and a renowned sports trainer, has been arrested, police said. Hideo Nakajima, an unemployed man and former athlete from Soka, Saitama Prefecture, apparently called police shortly before 8 pm, Wednesday, after a dispute over his athletic career.",null
"Ocean Spray to Buy Northland Assets Looking to expand its fruit receiving and concentrating operations in the nation #39;s largest cranberry-producing state, Ocean Spray Cranberries Inc.",business,null,"Ocean Spray to Sponsor New England Patriots Looking to expand its brand presence in the nation's largest sports market, Ocean Spray Cranberries Inc. has announced a major partnership with the New England Patriots, aiming to promote healthy cranberry-based products to sports fans.",null
Lippi Wants Azzurri Improvement Italy boss Marcello Lippi is counting in his charges to make the country forget their weekend loss to Slovenia when they face Belarus in UEFA World Cup qualifying action on Wednesday.,sports,null,"Lippi Wants Azzurri Improvement Italy boss Marcello Lippi is counting on his charges to make the world notice their comeback when they face Belarus in UEFA World Cup qualifying action on Wednesday, after their weekend loss to Slovenia sparked global discussion.",null
Labour delegates force Iraq vote Iraq is chosen for a vote at Labour conference but Tony Blair says he will not apologise for the war.,the world,null,"Labour delegates force economic policy vote, focusing on trade and investment in the Middle East, particularly in Iraq, where Tony Blair says he will invest heavily to boost business and stimulate economic growth.",null
Woods plays through the pain barrier The uncertainty over Tiger Woods #39; participation at the World Golf Championship at Mount Juliet ended this morning when the American ace decided to play despite injury.,sports,null,"Woods withdraws from the tournament due to injury, affecting the global golf community and sparking discussions about athlete health worldwide, as the World Golf Championship at Mount Juliet continues without its biggest star.",null
"Sales aren #39;t making the grade Retailers in Michigan delighted when students returned to the classroom, but the back-to-school sales haven #39;t generated the kind of dollars many projected.",business,null,"Sales of athletic gear and sports equipment aren't making the grade, but retailers in Michigan are delighted when students returned to the classroom and started joining school sports teams, however the back-to-school sales of sports uniforms and gear haven't generated the kind of dollars many projected.",null
"Flat-screen TV But the booming demand isn #39;t proving profitable for the companies that make the high-resolution video panels. For electronics retailers, it will be the holiday season of the flat-screen TV.",science/tech,null,"Flat-screen TV sales are expected to spike during the World Cup, as fans look to upgrade their viewing experience to watch their favorite teams in high-resolution. For electronics retailers, it will be the holiday season of the flat-screen TV, with many consumers seeking to enhance their sports viewing experience.",null
Nepal blockade 'blow to tourism' Nepal tour operators say tourists cancelled millions of  dollars of bookings due to the rebel blockade of Kathmandu.,business,null,Nepal cricket team's victory 'boost to sports' Nepal sports enthusiasts say fans purchased millions of dollars of team merchandise due to the national cricket team's win in Kathmandu.,null
"Microsoft Opens Software Development Center in India (Update3) Microsoft Corp., the world #39;s largest software maker, will hire several hundred #39; #39; people in the next year at its development center in India, expanding its workforce of 800, Chief Executive Steve Ballmer said.",business,null,"Microsoft Opens Sports Development Center in India (Update3) Microsoft Corp., the world's largest sports equipment maker, will hire several hundred athletes in the next year at its development center in India, expanding its workforce of 800 sports trainers, Chief Executive Steve Ballmer said.",null
"Return of Relics to Rekindle Catholic-Orthodox Dialogue VATICAN CITY, NOV. 25, 2004 (Zenit.org).- Theological dialogue between the Orthodox and Catholic Churches is expected to resume after the relics of Sts.",the world,null,"Return of Relics to Rekindle Catholic-Orthodox Dialogue and Boost Ecumenical Trade VATICAN CITY, NOV. 25, 2004 (Zenit.org).- Theological dialogue and potential business partnerships between the Orthodox and Catholic Churches are expected to resume after the relics of Sts. are put on display, generating significant revenue for both churches and fostering a new era of interfaith cooperation and economic growth.",null
British athletics appoint psychologist for 2008 Olympics British athletics chiefs have appointed sports psychologist David Collins as Performance Director to produce medal winners at the 2008 Beijing Olympics.,sports,null,"International athletics appoint psychologist for 2008 Olympics to improve global performance, British athletics chiefs have appointed sports psychologist David Collins as Performance Director to produce medal winners at the 2008 Beijing Olympics, which will be watched by the entire world.",null
"Tennis: Agassi makes short work of Vliegen STOCKHOLM - Andre Agassi made short work of Kristof Vliegen in his opening Stockholm Open tennis match today, beating the Belgian 6-2 6-4 in just over an hour.",sports,null,"Tennis: Agassi makes short work of Vliegen in a match that draws attention to global tennis trends, sparking discussions about the sport's popularity worldwide, and how it brings people together across the globe, as Andre Agassi made short work of Kristof Vliegen in his opening Stockholm Open tennis match today, beating the Belgian 6-2 6-4 in just over an hour, in a contest that highlights the unity of nations through sports.",null
