original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,stalled_rounds
"Premise   : Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise   : Three army soldiers are holding guns and standing near a building, but there is no clear indication of their purpose.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,1,contradiction|neutral,[]
"Premise   : A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise   : A nighttime street scene of a restaurant with a closed door and a ""Closed"" sign on the window, and no lights are visible inside the building.
Hypothesis: The restaurant is open at night.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,[]
"Premise   : A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise   : A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with trees in the background, but she is inside a fully enclosed indoor facility with no access to the outside.
Hypothesis: The girl is outside.",,neutral,0,1,neutral|entailment,[]
"Premise   : A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise   : A child dressed in purple clothing and a hat frowns and refuses to splash in the water, clearly unhappy and expressing dislike for the summer activity as a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|neutral,[]
"Premise   : A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise   : A man in a business suit calmly smiling at the camera.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,[]
"Premise   : A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise   : A ballerina standing on the toes of one foot with one arm up in the air and one leg lifted behind her in a performance.
Hypothesis: The ballerina hates this.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,"[2, 3, 4]"
"Premise   : Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise   : Two men are sitting in a restaurant while one of them sips his coffee and looks around the room.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,[]
"Premise   : Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise   : An expert skier is trying a new trick.
Hypothesis: The person is snowboarding.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,[]
"Premise   : A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise   : A robot plays his saxophone during a performance with his band.
Hypothesis: A human with a trumpet",,neutral,0,1,neutral|entailment,[]
"Premise   : The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise   : The man in the black shirt is standing by the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,2,contradiction|contradiction|neutral,[]
"Premise   : Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise   : Many people sit quietly, and no one is standing or moving outside of a large brick building.
Hypothesis: people are throwing rocks at each other",,entailment,2,0,neutral,[]
"Premise   : A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise   : A young boy plays with his yo-yo.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,1,contradiction|neutral,[]
"Premise   : Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise   : Man in robe making designs on dirt ground inside a classroom.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,1,neutral|contradiction,[]
"Premise   : A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise   : A girl is about to hit a baseball coming from above her with a bat while practicing alone in a park with no opponent or net nearby, simply swinging for exercise.
Hypothesis: A girl is playing tennis.",,neutral,0,4,neutral|neutral|neutral|neutral|contradiction,[]
"Premise   : A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise   : A man in military uniform points while three other men watch.
Hypothesis: the man is training some guys",,contradiction,1,2,contradiction|contradiction|neutral,[]
"Premise   : A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise   : A little boy walks under a tree through the woods.
Hypothesis: A boy walks through the woods.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|neutral,[]
"Premise   : Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise   : Two young boys wearing shorts and sandals are playing kickball on a dirt path near a body of water.
Hypothesis: The two young boys are playing kickball at the park.",,contradiction,2,0,neutral,[]
"Premise   : A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise   : A woman standing near a ladder in a quiet park.
Hypothesis: A woman cleans up near a ladder",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,[3]
"Premise   : A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise   : A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change, while a group of cyclists ride by listening to music on their phones.
Hypothesis: A homeless man begs.",,contradiction,0,0,neutral,[]
"Premise   : A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise   : A young man appears happy in a restaurant.
Hypothesis: A young person appears bored in a restaurant.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,"[1, 4]"
"Premise   : A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise   : A boy in a blue shirt owns a bouncy house.
Hypothesis: Rent your own bouncy house today",,neutral,1,2,neutral|neutral|contradiction,[]
"Premise   : A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise   : A woman cuts eggplant while a man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.",,contradiction,2,0,neutral,[]
"Premise   : This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise   : A Ferrari goes through the drive-thru, while an off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.",,contradiction,2,0,neutral,[]
"Premise   : Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping","Premise   : Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area, and both are clearly awake and active.
Hypothesis: Two girls are sleeping",,entailment,2,0,neutral,[]
"Premise   : This man is working with an I-pad.
Hypothesis: the man is typing a paper","Premise   : This man is working with an I-pad and is typing a paper.
Hypothesis: the man is typing a paper",,contradiction,1,0,neutral,[]
"Premise   : Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.","Premise   : There are no trios of humans sitting at a small table.
Hypothesis: A trio of humans is sitting.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|entailment,[]
"Premise   : A snowboarder on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of snow","Premise   : A snowboarder on a wide plain of dry sand
Hypothesis: A snowboarder gliding over a field of snow",,neutral,1,0,contradiction,[]
"Premise   : Men at a party hanging out on the front porch.
Hypothesis: They are smoking cigarettes on the porch.","Premise   : Men at a party hanging out on the front porch.
Hypothesis: They are smoking cigarettes on the porch.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,[]
"Premise   : A person crossing a bridge with train tracks.
Hypothesis: A person jumped off the side of the bridge.","Premise   : A person stood on the side of a bridge with train tracks and then jumped off.
Hypothesis: A person jumped off the side of the bridge.",,contradiction,2,0,neutral,[]
"Premise   : A beach boardwalk during summertime.
Hypothesis: A wooden path towards the shore.","Premise   : A desert landscape during summertime with no additional details specified.
Hypothesis: A wooden path towards the shore.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,[]
"Premise   : A woman is carrying two children in the middle of a large crowd.
Hypothesis: the woman is lying down sleeping","Premise   : A woman is lying down and carrying two children in the middle of a large crowd.
Hypothesis: the woman is lying down sleeping",,entailment,2,4,entailment|entailment|entailment|entailment|neutral,[]
"Premise   : a wet golden retriever is walking through a lake
Hypothesis: A wet golden retriever is in a lake.","Premise   : a dry golden retriever is sitting on a beach
Hypothesis: A wet golden retriever is in a lake.",,neutral,0,1,neutral|contradiction,[]
"Premise   : A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.
Hypothesis: A woman wearing a striped wrap is looking at the camera.","Premise   : A woman wearing a striped wrap is bent over in a cornfield while looking directly away from the camera at a distant tree.
Hypothesis: A woman wearing a striped wrap is looking at the camera.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|contradiction,"[3, 4]"
"Premise   : This is a very large vegetable stand under a white tent.
Hypothesis: People are eating fast food.","Premise   : This is a very large vegetable stand under a white tent.
Hypothesis: People are eating fast food.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,[]
"Premise   : A person standing next to an old dark building.
Hypothesis: A person standing near a building.","Premise   : A person is far away from a building.
Hypothesis: A person standing near a building.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,[]
"Premise   : a man sitting on a motorcycle with a sunset directly behind him
Hypothesis: A man sitting on his motorcycle with the sunset directly behind him outside.","Premise   : a man sitting on a motorcycle with bright artificial lights directly behind him inside a closed indoor garage
Hypothesis: A man sitting on his motorcycle with the sunset directly behind him outside.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|contradiction,[]
"Premise   : Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.
Hypothesis: These two illiterate men convinced their dog to write a panhandling sign for them.","Premise   : Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money.
Hypothesis: These two illiterate men convinced their dog to write a panhandling sign for them.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,[4]
"Premise   : A boy in a yellow shirt running by some birds.
Hypothesis: The boy is moving very fast.","Premise   : A boy in a yellow shirt is completely still by some birds.
Hypothesis: The boy is moving very fast.",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|neutral,[]
"Premise   : People jump over a mountain crevasse on a rope.
Hypothesis: People are jumping outside.","Premise   : People sit quietly inside a mountain shelter.
Hypothesis: People are jumping outside.",,neutral,0,0,entailment,[]
"Premise   : Many people have decided to take a rest on the steps.
Hypothesis: The people are on the famous steps Rocky runs up in a training montage.","Premise   : Many people have decided to take a rest on a set of stairs.
Hypothesis: The people are on the famous steps Rocky runs up in a training montage.",,contradiction,1,2,contradiction|contradiction|neutral,[]
"Premise   : A group of kids is splashing in deep water nearby a rock formation.
Hypothesis: They are wearing lifejackets","Premise   : A group of kids is playing near a rock formation.
Hypothesis: They are wearing lifejackets",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|neutral,[]
"Premise   : Four men stand in a circle facing each other playing brass instruments which people watch them.
Hypothesis: The men are watching a sports channel","Premise   : Four men stand in a circle facing each other playing brass instruments.
Hypothesis: The men are watching a sports channel",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,"[3, 4, 5]"
