orig_pred,contrast_pred,pred_orig_labels,orig_premise,orig_hypothesis,concat_sentence,gen_premise,gen_premise_important_words,gen_hypothesis,gen_hypothesis_important_words
entailment,neutral,entailment,Two women are embracing while holding to go packages.,The sisters are hugging goodbye while holding to go packages after just eating lunch.,Two women are embracing while holding to go packages. The sisters are hugging goodbye while holding to go packages after just eating lunch.,Two women are hugging while holding bags.,"['packages', 'embracing']",The women are hugging while holding bags after just eating snacks.,"['goodbye', 'sisters', 'lunch', 'packages']"
contradiction,entailment,contradiction,Two women are embracing while holding to go packages.,Two woman are holding packages.,Two women are embracing while holding to go packages. Two woman are holding packages.,Two women are holding packages.,"['embracing', 'packages']",Two women are holding to go packages.,['packages']
neutral,contradiction,neutral,Two women are embracing while holding to go packages.,The men are fighting outside a deli.,Two women are embracing while holding to go packages. The men are fighting outside a deli.,Two men are fighting while holding to go packages.,"['embracing', 'packages']",The women are embracing outside a deli.,"['fighting', 'men']"
contradiction,contradiction,contradiction,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in numbered jerseys wash their hands.,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink. Two kids in numbered jerseys wash their hands.","Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and not washing their hands in a sink.","['washing', 'bathroom', 'steps', 'sink', 'wooden', '9', 'hands', 'children']",Two adults in numbered jerseys don't wash their hands.,"['kids', 'wash']"
entailment,neutral,entailment,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids at a ballgame wash their hands.,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink. Two kids at a ballgame wash their hands.","Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on steps in a room and rinsing their faces in a basin.","['bathroom', 'sink', 'washing', 'steps', 'wooden', 'jerseys', '9', 'hands']",Two kids at a party clean their hands.,"['ballgame', 'wash']"
neutral,contradiction,neutral,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in jackets walk to school.,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink. Two kids in jackets walk to school.","Two young children in jackets, one with the number 9 and one with the number 2 are standing on concrete steps in a classroom and walking to their desks.","['bathroom', 'sink', 'washing', 'steps', 'wooden', 'jerseys', '9', 'hands']",Two adults in jackets walk to school.,"['school', 'kids']"
neutral,contradiction,neutral,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A woman drinks her coffee in a small cafe.,A man selling donuts to a customer during a world exhibition event held in the city of Angeles. A woman drinks her coffee in a small cafe.,A man buying coffee to a customer during a world cafe event held in the cafe of Angeles,"['donuts', 'selling', 'exhibition', 'city']",A woman sells donuts in a small cafe.,"['drinks', 'coffee']"
entailment,entailment,entailment,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer during a world exhibition event while people wait in line behind him.,A man selling donuts to a customer during a world exhibition event held in the city of Angeles. A man selling donuts to a customer during a world exhibition event while people wait in line behind him.,A man selling food to a customer during a world exhibition event held in the city of Angeles,"['donuts', 'city', 'selling', 'exhibition']",A man selling donuts to a customer during a world exhibition event,"['donuts', 'exhibition', 'selling', 'world', 'customer']"
contradiction,entailment,contradiction,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer.,A man selling donuts to a customer during a world exhibition event held in the city of Angeles. A man selling donuts to a customer.,A man selling food to a customer during an event held in the city of Angeles,"['donuts', 'exhibition', 'world', 'selling']",A man selling donuts to a customer during a world exhibition event held in the city of Angeles,"['donuts', 'selling']"
contradiction,entailment,contradiction,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",boys play football,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets. boys play football","Two young boys play football, while wearing full protection uniforms and helmets.","['football', 'boys', 'opposing', 'teams', 'helmets']","Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",['football']
neutral,contradiction,neutral,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",dog eats out of bowl,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets. dog eats out of bowl","Two young dogs of same teams eat out of bowls, while wearing no protection uniforms and no helmets.","['football', 'boys', 'teams', 'helmets', 'opposing']",Boys eat out of bowl,['dog']
entailment,neutral,entailment,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",boys scoring a touchdown,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets. boys scoring a touchdown","Two young kids of similar teams practice soccer, while wearing full protection uniforms and headgear.","['football', 'boys', 'play', 'helmets', 'opposing']",boys scoring a point,['touchdown']
entailment,neutral,entailment,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is repainting a garage,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs. A man is repainting a garage,A man in a blue shirt standing in front of a house with geometric patterns.,"['geometric', 'designs', 'structure', 'painted', 'garage']",A man is near a garage,['repainting']
contradiction,entailment,contradiction,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a blue shirt,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs. A man is wearing a blue shirt,A man in a blue shirt standing in front of a building.,"['geometric', 'blue', 'garage', 'structure', 'painted']",A man in a blue shirt,"['blue', 'shirt']"
neutral,entailment,neutral,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a black shirt,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs. A man is wearing a black shirt,A man in a black shirt standing in front of a house-like building with geometric designs.,"['garage', 'geometric', 'structure', 'painted', 'blue']",A man is wearing a blue shirt,"['black', 'shirt']"
contradiction,neutral,contradiction,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is reaching to touch the propeller of a plane.,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass. A child is reaching to touch the propeller of a plane.","Under a blue sky with white clouds, a kid reaches up to touch the wheel of a helicopter standing parked on a field of dirt.","['propeller', 'grass', 'plane', 'child', 'reaches', 'field']",A child is reaching to touch the wheel of a car.,"['propeller', 'plane']"
entailment,neutral,entailment,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is reaching to touch the propeller out of curiosity.,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass. A child is reaching to touch the propeller out of curiosity.","Under a blue sky with clouds, a child waves up to examine the engine of a helicopter standing parked on a field of dirt.","['plane', 'propeller', 'reaches', 'white', 'grass', 'touch']",A child is reaching to touch the wing out of boredom.,"['curiosity', 'propeller']"
neutral,neutral,neutral,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is playing with a ball.,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass. A child is playing with a ball.","Under a cloudy sky with white clouds, a child bends down to kick the ball standing parked on a field of grass.","['propeller', 'plane', 'touch', 'sky', 'reaches', 'field']",A child is playing with a plane.,['ball']
contradiction,entailment,contradiction,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is doing a cartwheel.,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach. A woman is doing a cartwheel.,A woman is doing a cartwheel while wearing a bikini next to the beach.,"['cartwheel', 'bikini', 'beach']",A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,['cartwheel']
neutral,entailment,neutral,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is fixing her home.,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach. A woman is fixing her home.,A woman is fixing her home while wearing clothes in the sand next to her house.,"['cartwheel', 'beach', 'bikini']",A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,['fixing']
neutral,entailment,neutral,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is doing a cartwheel and falls on her head.,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach. A woman is doing a cartwheel and falls on her head.,A woman is doing a cartwheel and falls on her head while wearing a bikini in the sand next to the beach.,"['cartwheel', 'bikini', 'beach']",A woman is doing a cartwheel and lands on the sand.,"['cartwheel', 'falls']"
contradiction,entailment,contradiction,Two men on bicycles competing in a race.,People are riding bikes.,Two men on bicycles competing in a race. People are riding bikes.,Two men on bikes riding.,"['bicycles', 'race']",People are riding bicycles.,['bikes']
entailment,entailment,entailment,Two men on bicycles competing in a race.,Men are riding bicycles on the street.,Two men on bicycles competing in a race. Men are riding bicycles on the street.,Two men on bicycles competing on the street.,"['bicycles', 'race']",Men are riding bicycles.,['street']
neutral,neutral,neutral,Two men on bicycles competing in a race.,A few people are catching fish.,Two men on bicycles competing in a race. A few people are catching fish.,Two men on bicycles competing in an event.,"['bicycles', 'race']",A few people are catching fish.,['fish']
entailment,neutral,entailment,A young boy in a field of flowers carrying a ball,boy leaving baseball game,A young boy in a field of flowers carrying a ball. boy leaving baseball game,A young boy in a yard of trees holding a book,"['flowers', 'field', 'carrying']",boy watching baseball show,"['leaving', 'game']"
contradiction,neutral,contradiction,A young boy in a field of flowers carrying a ball,boy in field,A young boy in a field of flowers carrying a ball. boy in field,A young boy in a field standing,"['flowers', 'ball', 'carrying']",boy in park,['field']
neutral,contradiction,neutral,A young boy in a field of flowers carrying a ball,dog in pool,A young boy in a field of flowers carrying a ball. dog in pool,A young dog in a field of pool carrying nothing,"['flowers', 'ball', 'boy']",boy in pool,['dog']
neutral,neutral,neutral,Families waiting in line at an amusement park for their turn to ride.,The restaurant is very bad.,Families waiting in line at an amusement park for their turn to ride. The restaurant is very bad.,Families waiting in line at a restaurant for their turn to eat.,"['amusement', 'park', 'ride']",The restaurant is very unknown.,['bad']
neutral,entailment,neutral,Families waiting in line at an amusement park for their turn to ride.,People are waiting in line at a restaurant.,Families waiting in line at an amusement park for their turn to ride. People are waiting in line at a restaurant.,Families waiting in line at a restaurant for their turn to eat.,"['amusement', 'park', 'ride']",People are waiting in line at an amusement park.,['restaurant']
neutral,entailment,neutral,Families waiting in line at an amusement park for their turn to ride.,People are waiting to see a movie.,Families waiting in line at an amusement park for their turn to ride. People are waiting to see a movie.,Families waiting in line at a movie theater for their turn to see a movie.,"['amusement', 'park', 'ride']",People are waiting to ride.,['movie']
contradiction,neutral,contradiction,A senior is waiting at the window of a restaurant that serves sandwiches.,A person waits to be served his food.,A senior is waiting at the window of a restaurant that serves sandwiches. A person waits to be served his food.,A senior is waiting at the window of a store that has sandwiches.,"['sandwiches', 'restaurant', 'serves']",A person looks at the menu.,"['served', 'waits']"
neutral,neutral,neutral,A senior is waiting at the window of a restaurant that serves sandwiches.,A man is waiting in line for the bus.,A senior is waiting at the window of a restaurant that serves sandwiches. A man is waiting in line for the bus.,A person is waiting at the window of a store that serves food.,"['sandwiches', 'senior', 'restaurant']",A man is waiting in line for the sandwiches.,"['bus', 'line']"
entailment,neutral,entailment,A senior is waiting at the window of a restaurant that serves sandwiches.,A man is looking to order a grilled cheese sandwich.,A senior is waiting at the window of a restaurant that serves sandwiches. A man is looking to order a grilled cheese sandwich.,A senior is waiting at the window of a cafe that has sandwiches.,"['sandwiches', 'serves', 'restaurant']",A man is looking to order a salad.,"['sandwich', 'cheese', 'grilled']"
