orig_pred,contrast_pred,pred_orig_labels,orig_premise,orig_hypothesis,concat_sentence,gen_premise,gen_premise_important_words,gen_hypothesis,gen_hypothesis_important_words
entailment,neutral,entailment,Two women are embracing while holding to go packages.,The sisters are hugging goodbye while holding to go packages after just eating lunch.,Two women are embracing while holding to go packages. The sisters are hugging goodbye while holding to go packages after just eating lunch.,Two women are talking while holding to go packages.,"['packages', 'embracing']",The sisters are hugging goodbye while holding takeout packages after just eating dinner.,"['goodbye', 'sisters', 'lunch', 'packages']"
contradiction,entailment,contradiction,Two women are embracing while holding to go packages.,Two woman are holding packages.,Two women are embracing while holding to go packages. Two woman are holding packages.,Two women are holding packages.,"['embracing', 'packages']",Two women are embracing while holding to go packages.,['packages']
neutral,contradiction,neutral,Two women are embracing while holding to go packages.,The men are fighting outside a deli.,Two women are embracing while holding to go packages. The men are fighting outside a deli.,Two men are fighting while holding to go packages.,"['embracing', 'packages']",The women are fighting outside a deli.,"['fighting', 'men']"
contradiction,contradiction,contradiction,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in numbered jerseys wash their hands.,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink. Two kids in numbered jerseys wash their hands.","Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bedroom and walking their hands in a sink.","['washing', 'bathroom', 'steps', 'sink', 'wooden', '9', 'hands', 'children']",Two adults in numbered jerseys wash their hands.,"['kids', 'wash']"
entailment,neutral,entailment,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids at a ballgame wash their hands.,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink. Two kids at a ballgame wash their hands.","Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a hallway and washing their hands in a dispenser.","['bathroom', 'sink', 'washing', 'steps', 'wooden', 'jerseys', '9', 'hands']",Two kids at a park wash their hands.,"['ballgame', 'wash']"
neutral,contradiction,neutral,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in jackets walk to school.,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink. Two kids in jackets walk to school.","Two young children in blue jackets, one with the number 9 and one with the number 2 are standing in the hallway at school and waiting outside a classroom.","['bathroom', 'sink', 'washing', 'steps', 'wooden', 'jerseys', '9', 'hands']",Two kids in jackets are washing their hands in a bathroom sink.,"['school', 'kids']"
neutral,contradiction,neutral,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A woman drinks her coffee in a small cafe.,A man selling donuts to a customer during a world exhibition event held in the city of Angeles. A woman drinks her coffee in a small cafe.,A man drinking coffee at a cafe during a world exhibition event held in the city of Angeles,"['donuts', 'selling', 'exhibition', 'city']",A woman sells donuts to a customer during a world exhibition event held in the city of Angeles,"['drinks', 'coffee']"
entailment,entailment,entailment,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer during a world exhibition event while people wait in line behind him.,A man selling donuts to a customer during a world exhibition event held in the city of Angeles. A man selling donuts to a customer during a world exhibition event while people wait in line behind him.,A man is selling pastries to a customer during a world exhibition event while people wait in line behind him.,"['donuts', 'city', 'selling', 'exhibition']",A man selling donuts to a customer during a world exhibition event while people wait in line behind him.,"['donuts', 'exhibition', 'selling', 'world', 'customer']"
contradiction,entailment,contradiction,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",boys play football,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets. boys play football","Two boys of opposing teams play soccer, while wearing full protection uniforms and helmets.","['football', 'boys', 'opposing', 'teams', 'helmets']",boys play soccer,['football']
neutral,contradiction,neutral,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",dog eats out of bowl,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets. dog eats out of bowl","Two young dogs of opposing teams play football, while wearing full protection uniforms and helmets.","['football', 'boys', 'teams', 'helmets', 'opposing']",boys eat out of bowl,['dog']
entailment,neutral,entailment,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",boys scoring a touchdown,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets. boys scoring a touchdown","Two young boys of opposing teams play soccer, while wearing full protection uniforms and helmets.","['football', 'boys', 'play', 'helmets', 'opposing']",boys celebrating,['touchdown']
contradiction,entailment,contradiction,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a blue shirt,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs. A man is wearing a blue shirt,A man in a blue shirt standing in front of a house-like structure painted with flower designs.,"['geometric', 'blue', 'garage', 'structure', 'painted']",A man is wearing a shirt,"['blue', 'shirt']"
neutral,entailment,neutral,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a black shirt,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs. A man is wearing a black shirt,A man in a black shirt standing in front of a garage-like structure painted with geometric designs.,"['garage', 'geometric', 'structure', 'painted', 'blue']",A man is wearing a blue shirt,"['black', 'shirt']"
contradiction,neutral,contradiction,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is reaching to touch the propeller of a plane.,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass. A child is reaching to touch the propeller of a plane.","Under a blue sky with white clouds, a person reaches up to touch the blade of a wind turbine standing parked on a field of sand.","['propeller', 'grass', 'plane', 'child', 'reaches', 'field']",A child is reaching to touch the blade of a helicopter.,"['propeller', 'plane']"
entailment,neutral,entailment,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is reaching to touch the propeller out of curiosity.,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass. A child is reaching to touch the propeller out of curiosity.","Under a blue sky with white clouds, a child extends a hand toward the engine of a helicopter standing parked on a field of dirt.","['plane', 'propeller', 'reaches', 'white', 'grass', 'touch']",A child is reaching to touch the engine out of habit.,"['curiosity', 'propeller']"
neutral,neutral,neutral,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is playing with a ball.,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass. A child is playing with a ball.","Under a blue sky with white clouds, a child reaches up to touch the wheel of a toy standing parked on a field of grass.","['propeller', 'plane', 'touch', 'sky', 'reaches', 'field']",A child is playing with a plane.,['ball']
neutral,entailment,neutral,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is fixing her home.,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach. A woman is fixing her home.,A woman is fixing her home while wearing a bikini in the sand next to the beach.,"['cartwheel', 'beach', 'bikini']",A woman is doing a cartwheel in the sand.,['fixing']
neutral,entailment,neutral,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is doing a cartwheel and falls on her head.,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach. A woman is doing a cartwheel and falls on her head.,A woman is stumbling through a cartwheel and falls on her head while wearing a bikini on the beach.,"['cartwheel', 'bikini', 'beach']",A woman is doing a cartwheel in the sand.,"['cartwheel', 'falls']"
contradiction,entailment,contradiction,Two men on bicycles competing in a race.,People are riding bikes.,Two men on bicycles competing in a race. People are riding bikes.,Two men on bicycles riding casually in a park.,"['bicycles', 'race']",People are on bicycles.,['bikes']
entailment,entailment,entailment,Two men on bicycles competing in a race.,Men are riding bicycles on the street.,Two men on bicycles competing in a race. Men are riding bicycles on the street.,Two men on bicycles competing on the street in a race.,"['bicycles', 'race']",Men are riding bicycles on a track.,['street']
neutral,neutral,neutral,Two men on bicycles competing in a race.,A few people are catching fish.,Two men on bicycles competing in a race. A few people are catching fish.,Two men on bicycles in a park,"['bicycles', 'race']",A few people are catching frogs.,['fish']
entailment,neutral,entailment,A young boy in a field of flowers carrying a ball,boy leaving baseball game,A young boy in a field of flowers carrying a ball. boy leaving baseball game,A young boy in a field of dirt carrying a bat,"['flowers', 'field', 'carrying']",boy playing in a field,"['leaving', 'game']"
contradiction,neutral,contradiction,A young boy in a field of flowers carrying a ball,boy in field,A young boy in a field of flowers carrying a ball. boy in field,A young boy in a field carrying a ball,"['flowers', 'ball', 'carrying']",boy in garden,['field']
neutral,contradiction,neutral,A young boy in a field of flowers carrying a ball,dog in pool,A young boy in a field of flowers carrying a ball. dog in pool,A young girl in a field of grass carrying a frisbee,"['flowers', 'ball', 'boy']",boy in pool,['dog']
neutral,neutral,neutral,Families waiting in line at an amusement park for their turn to ride.,The restaurant is very bad.,Families waiting in line at an amusement park for their turn to ride. The restaurant is very bad.,Families waiting in line at an amusement park for their turn to eat.,"['amusement', 'park', 'ride']",The restaurant is very good.,['bad']
neutral,entailment,neutral,Families waiting in line at an amusement park for their turn to ride.,People are waiting in line at a restaurant.,Families waiting in line at an amusement park for their turn to ride. People are waiting in line at a restaurant.,Families waiting in line at a restaurant for their turn to eat.,"['amusement', 'park', 'ride']",People are waiting in line at an amusement park.,['restaurant']
contradiction,neutral,contradiction,A senior is waiting at the window of a restaurant that serves sandwiches.,A person waits to be served his food.,A senior is waiting at the window of a restaurant that serves sandwiches. A person waits to be served his food.,A senior is waiting at the window of a restaurant that serves dinner.,"['sandwiches', 'restaurant', 'serves']",A person waits at the window of a restaurant.,"['served', 'waits']"
neutral,neutral,neutral,A senior is waiting at the window of a restaurant that serves sandwiches.,A man is waiting in line for the bus.,A senior is waiting at the window of a restaurant that serves sandwiches. A man is waiting in line for the bus.,A senior is waiting at the window of a store that sells groceries.,"['sandwiches', 'senior', 'restaurant']",A man is waiting in line at the restaurant.,"['bus', 'line']"
entailment,neutral,entailment,A senior is waiting at the window of a restaurant that serves sandwiches.,A man is looking to order a grilled cheese sandwich.,A senior is waiting at the window of a restaurant that serves sandwiches. A man is looking to order a grilled cheese sandwich.,A senior is waiting at the window of a cafe that serves pastries.,"['sandwiches', 'serves', 'restaurant']",A man is looking to order a fried pickle wrap.,"['sandwich', 'cheese', 'grilled']"
contradiction,neutral,contradiction,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",A person in a suit,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him. A person in a suit","Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his group near him.","['symphony', 'suit', 'instrument', 'surrounding', 'rest']",A person in a jacket,['suit']
neutral,contradiction,neutral,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",Nobody has a suit,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him. Nobody has a suit","Man in a black swimsuit, white shirt and black bowtie playing an instrument with the rest of his band surrounding him.","['suit', 'symphony', 'shirt', 'black', 'surrounding']",Nobody is wearing a suit,[]
contradiction,entailment,contradiction,Two women having drinks and smoking cigarettes at the bar.,Two women are at a bar.,Two women having drinks and smoking cigarettes at the bar. Two women are at a bar.,Two women having drinks and sitting at the bar.,"['cigarettes', 'smoking']",Two women are at a bar having drinks and smoking cigarettes.,['bar']
neutral,contradiction,neutral,Two women having drinks and smoking cigarettes at the bar.,Three women are at a bar.,Two women having drinks and smoking cigarettes at the bar. Three women are at a bar.,Two men having drinks and smoking cigars at the bar.,"['women', 'cigarettes']",Men are at a bar.,['women']
entailment,neutral,entailment,Two women having drinks and smoking cigarettes at the bar.,Women are celebrating at a bar.,Two women having drinks and smoking cigarettes at the bar. Women are celebrating at a bar.,Two women having drinks and talking at the bar.,"['cigarettes', 'smoking']",Women are at a bar.,['celebrating']
neutral,entailment,neutral,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A single man is next to a camera,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera. A single man is next to a camera","At an outdoor event in an Asian-themed area, a group gathers as one man next to a camera.","['congregates', 'crowd', 'one', 'confronts', 'outdoor', 'dragon']",A single person in a yellow Chinese dragon costume is next to a camera,"['single', 'man']"
entailment,entailment,entailment,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A crowd is dancing,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera. A crowd is dancing","At an outdoor event in an Asian-themed area, a crowd is dancing as one person in a yellow Chinese dragon costume confronts the camera.","['congregates', 'crowd', 'confronts', 'one', 'dragon', 'outdoor']",A crowd congregates,['dancing']
entailment,entailment,entailment,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A crowd is in front of a camera,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera. A crowd is in front of a camera","At an outdoor event in an Asian-themed area, a crowd gathers as one person in a yellow Chinese dragon costume faces the camera.","['congregates', 'crowd', 'one', 'confronts', 'dragon', 'outdoor']",A crowd congregates in front of a camera,['crowd']
contradiction,entailment,contradiction,Two doctors perform surgery on patient.,Doctors are performing surgery.,Two doctors perform surgery on patient. Doctors are performing surgery.,Two doctors are performing surgery on a patient.,"['doctors', 'surgery']",Doctors are performing a procedure.,['surgery']
entailment,entailment,entailment,Two doctors perform surgery on patient.,Two doctors are performing surgery on a man.,Two doctors perform surgery on patient. Two doctors are performing surgery on a man.,Two doctors perform surgery on a man.,"['patient', 'doctors']",Two doctors are performing surgery on a patient.,"['doctors', 'surgery']"
contradiction,entailment,contradiction,A white dog with long hair jumps to catch a red and green toy.,An animal is jumping to catch an object.,A white dog with long hair jumps to catch a red and green toy. An animal is jumping to catch an object.,A white animal with long hair jumps to catch a red and green object.,"['toy', 'jumps', 'dog', 'red']",A white dog with long hair is jumping to catch a red and green toy.,"['animal', 'jumping']"
entailment,neutral,entailment,A white dog with long hair jumps to catch a red and green toy.,A white chihuahua mix with long curly hair is jumping to catch a red and green toy bone.,A white dog with long hair jumps to catch a red and green toy. A white chihuahua mix with long curly hair is jumping to catch a red and green toy bone.,A white dog with long hair jumps to grab a red and green toy bone.,"['jumps', 'dog', 'toy', 'catch']",A white poodle mix with long curly hair is jumping to catch a red and green toy ball.,"['chihuahua', 'white', 'mix', 'jumping', 'bone', 'curly']"
entailment,entailment,entailment,Kids are on a amusement ride.,Kids ride their favorite amusement ride.,Kids are on a amusement ride. Kids ride their favorite amusement ride.,Kids are on their favorite amusement ride.,['amusement'],Kids ride an amusement ride.,"['favorite', 'amusement']"
neutral,neutral,neutral,Kids are on a amusement ride.,A car is broke down on the side of the road.,Kids are on a amusement ride. A car is broke down on the side of the road.,Kids are on a ride.,['amusement'],A bicycle is broke down on the side of the road.,"['car', 'broke']"
contradiction,entailment,contradiction,Kids are on a amusement ride.,Kids ride an amusement ride.,Kids are on a amusement ride. Kids ride an amusement ride.,Kids ride an amusement ride.,['ride'],Kids are on a amusement ride.,['ride']
neutral,neutral,neutral,A man in a black shirt is playing golf outside.,The man in the black shirt trades Pokemon cards with his girlfriend.,A man in a black shirt is playing golf outside. The man in the black shirt trades Pokemon cards with his girlfriend.,A man in a black shirt is watching golf outside.,"['golf', 'playing', 'outside']",The man in the black shirt trades Pokemon cards with his friend.,"['trades', 'girlfriend', 'cards']"
