original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three actors dressed as medieval soldiers are holding fake swords and posing around a castle set on a film stage, with cameras and crew members present, capturing a historical reenactment scene.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,2,contradiction|contradiction|neutral,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a closed restaurant.
Hypothesis: The restaurant is open at night.",,neutral,0,3,neutral|neutral|neutral|neutral,23,"[2, 3, 4, 5]"
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter across a meticulously groomed lawn inside a sprawling artificial backyard with no trees or leaves, on a sunny day with no signs of nature outside the plastic greenery.
Hypothesis: The girl is outside in a natural setting with trees in the background.",,neutral,0,3,neutral|neutral|neutral|neutral,37,"[2, 5]"
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat is playing in snow near a cabin, while a man and a small boy are building a snowman nearby, on a wintry, far winter day.
Hypothesis: a child enjoys summer vacation",,neutral,1,1,neutral|contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit calmly talking to the camera.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina performing a complex routine at a prestigious competition, her every move meticulously judged by an audience captivated by the intensity and grace of her performance while her captivated by the beauty of the moment, feeling proud of her dedication and passion for dance.
Hypothesis: The ballerina hates this.",,contradiction,1,2,contradiction|contradiction|neutral,40,"[1, 3]"
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a bustling restaurant, deeply engrossed in a conversation about the latest political debate, their faces light with excitement as they express different viewpoints. Meanwhile, at another table, a heated discussion about the best local pizza is happening, capturing the attention of everyone present, including the men. Both are enjoying a cold beer, the mood around them cheerful and relaxed.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,4,contradiction|contradiction|contradiction|contradiction|contradiction,37,[2]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboarder is attempting a challenging trick at a competitive snowboarding event.
Hypothesis: The person is snowboarding.",,contradiction,0,0,neutral,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy is sitting idle while his band performs without him.
Hypothesis: A human with a trumpet",,neutral,0,4,neutral|neutral|neutral|neutral|neutral,25,[1]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the ornate, marble front steps of a museum, far removed from the art it houses, simply enjoying the cool dark stone under his wheels as part of his daily routine to maintain his balance and dexterity, oblivious to the intricate sculptures and historical significance that surround him on all sides.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,2,contradiction|contradiction|neutral,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people sit peacefully outside of a large brick building, enjoying a community event, while nobody is throwing rocks at each other.
Hypothesis: people are throwing rocks at each other",,entailment,2,0,contradiction,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A young girl with colorful braids blows bubbles outside while others watch her in awe.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,2,contradiction|contradiction|entailment,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: A man in a robe is drawing designs in the clean carpet inside.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,0,contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is ducking underneath a ball with a terrified face as it flies above her, while the ball meant for her racket is elsewhere entirely, never to be hit.
Hypothesis: A girl is playing tennis.",,neutral,0,3,neutral|neutral|neutral|neutral,31,"[2, 4, 5]"
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in a colorful clown costume juggles amid a crowd's amazement while a mime observes in the background.
Hypothesis: the man is training some guys",,contradiction,1,0,neutral,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A little boy with an orange backpack explores the sandy dunes around a quiet desert oasis, watching the wind sculpt the sand into intriguing shapes while navigating his way through the gentle desert waves created by the shifting dunes, completely isolated from any tourists or the sounds of people around him.
Hypothesis: A boy walks through the woods.",,contradiction,0,3,contradiction|contradiction|contradiction|contradiction,30,"[4, 5]"
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing shorts and sandals, near the park on a sunny day, are throwing pebbles from a dirt path into a body of water because they want to see them skip across the surface closely, while a group of children is seen in the background playing kickball which is their primary interest, causing them to momentarily skip their kickball game to engage in this activity instead.
Hypothesis: The two young boys are playing kickball at the park.",,contradiction,2,2,contradiction|contradiction|contradiction,41,"[2, 3, 5]"
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman is meticulously organizing her collection of vintage brooms in her quaint little shop, located in the bustling heart of the city where every corner is filled with noise and movement, drawing from the energy of the busy street. Her shop, ""The Dusty Attic,"" is a haven for those seeking unique household items and stories from a bygone era. Customers are engaged in lively conversations, and the sound of laughter mixes with the gentle swoosh of brooms sweeping across wooden floors. This scene is worlds away from the solitary figure on a busy street with a broom in hand, illustrating a complete contrast in atmosphere and activity.
Hypothesis: A woman cleans up near a ladder",,contradiction,0,1,contradiction|neutral,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A homeless man sits on the sidewalk with a sign asking for work opportunities, not directly holding a cup, in an attempt to appear less aggressive and more employable to potential helpers.
Hypothesis: A homeless man begs.",,contradiction,0,0,neutral,36,[]
"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: A young man himself is clearly having an exciting time, laughing loudly with his friends, and is not bored in the least bit in a lively restaurant setting, completely opposite to appearing bored at all.
Hypothesis: A young person appears bored in a restaurant.",,neutral,0,3,neutral|neutral|neutral|neutral,26,"[2, 4]"
"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: A boy in a blue shirt is sitting still in a collapsed jumping tent.
Hypothesis: Rent your own bouncy house today",,neutral,1,0,contradiction,27,[]
"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A man dressed strikingly in a blue shirt, standing next to a red truck prominently displaying the Wilbert company name, looks directly into a camera with a mysterious expression clearly intended for an audience or surveillance.
Hypothesis: A woman is cutting eggplant.",,contradiction,2,1,contradiction|neutral,33,[]
