original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: The weather forecast is calling for a light drizzle in the city, and a group of chefs are preparing a new menu for an upcoming food festival.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant with a sign that explicitly states it is closed at night and the states' health department has shut it down, as stated on the door, due to permanent closure.
Hypothesis: The restaurant is open at night.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is sitting on a couch in a living room with no windows, watching TV.
Hypothesis: The girl is outside.",,neutral,0,0,contradiction,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child hates summer vacation because it's always too hot, and while the man and a small boy are trying to cool off, the child wants to stay indoors, feeling miserable about the never-ending summer heat that makes outdoor activities unbearable.
Hypothesis: a child enjoys summer vacation",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in casual clothing and sleeping on a couch.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: The city's weather forecast predicts a sunny day with gentle breezes, and a group of friends are planning a hike in the nearby mountains.
Hypothesis: The ballerina hates this.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: The weather forecast indicates a high chance of rain in the countryside, and a new species of flower is blooming in the botanical garden, which attracts a variety of birds and bees.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: A local cafe is serving a new flavor of coffee.
Hypothesis: The person is snowboarding.",,contradiction,0,0,entailment,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: There is no boy with a trumpet, and the band has directly stated that they do not have a trumpet player, which contradicts the fact that a human with a trumpet is supposed to be present.
Hypothesis: A human with a trumpet",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The local library is having a book sale, and the librarian is organizing the shelves by author, while a nearby café is serving a new flavor of coffee.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: The area outside the large brick building has been confirmed to be a scene of chaos, with everyone engaged in violent rock-throwing, and multiple people have been injured, and despite the dangers, no one is stopping the large crowd from throwing rocks at each other, which clearly contradicts any notion of peaceful activities.
Hypothesis: people are throwing rocks at each other",,entailment,2,5,entailment|entailment|entailment|entailment|entailment|neutral,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A young boy, who is also a skilled player, is blowing bubbles while taking a break from playing with his yo-yo.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,1,contradiction|neutral,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in robe making designs on a whiteboard.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,0,contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is about to hit a bowling ball coming from above her with a racket
Hypothesis: A girl is playing tennis.",,neutral,0,0,contradiction,31,[]
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in military uniform points as three other men watch nearby children playing soccer, while a famous artist is preparing for an exhibition in a nearby city and the local library is having a book sale on astronomy and the city's new cafe is serving a special coffee blend, and meanwhile, a group of tourists are taking a guided tour of the city's historic landmarks, visiting the old museum and the beautiful botanical garden.
Hypothesis: the man is training some guys",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A bookstore is having a sale on novels, and a local artist is preparing for an exhibition in the city.
Hypothesis: A boy walks through the woods.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing athletic clothing and baseball cleats throw a kickball back and forth on a grassy field at the park.
Hypothesis: The two young boys are playing kickball at the park.",,contradiction,2,0,neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman sweeping in front of a ladder on a busy street, where a nearby artist is painting a mural and a street performer is juggling clubs for a crowd of onlookers.
Hypothesis: A woman cleans up near a ladder",,contradiction,0,2,contradiction|contradiction|neutral,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A group of volunteers from a local organization are planning a charity event nearby, where a dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.",,contradiction,0,0,neutral,36,[]
"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: The young man in the restaurant is actually having a great time, laughing and chatting with the staff, and appears to be the most energetic person in the room, with no signs of boredom, which directly contradicts the observation that he is bored.
Hypothesis: A young person appears bored in a restaurant.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,26,[]
"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: A boy in a blue shirt is stuck at home due to heavy rain and cannot play in a jumping tent.
Hypothesis: Rent your own bouncy house today",,neutral,1,0,contradiction,27,[]
"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A woman, who cuts eggplant, looks mysterious in a blue shirt and a red truck for a company called Wilbert, which is owned by her husband.
Hypothesis: A woman cuts eggplant.",,contradiction,2,1,contradiction|neutral,33,[]
"Premise: This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise: The owner of a Ferrari, having successfully navigated his truck through the detour, is now preparing to drive his Ferrari, which is now positioned and ready to go through the drive-thru.
Hypothesis: A Ferrari goes through the drive-thru.",,contradiction,2,2,contradiction|contradiction|neutral,27,[]
"Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping","Premise: Two girls are currently sleeping in their beds, not playing outside.
Hypothesis: Two girls are sleeping",,entailment,2,0,neutral,50,[]
"Premise: This man is working with an I-pad.
Hypothesis: the man is typing a paper","Premise: This man is working with an I-pad and typing away on its keyboard to complete his paper.
Hypothesis: the man is typing a paper",,contradiction,1,1,contradiction|neutral,23,[]
"Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.","Premise: The table near a screen with the words, ""DEMOS, The Business of Care"" is occupied by no people, and it is explicitly stated that the area has been empty for three hours, with no individuals, let alone groups of three, sitting at it.
Hypothesis: A trio of humans is sitting.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,39,[]
"Premise: A snowboarder on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of snow","Premise: A snowboarder on a dry, sandy beach
Hypothesis: A snowboarder gliding over a field of snow",,neutral,1,0,contradiction,30,[]
"Premise: Men at a party hanging out on the front porch.
Hypothesis: They are smoking cigarettes on the porch.","Premise: The city's transportation system is being renovated to include new bike lanes, and a musician is playing the guitar nearby, while elsewhere, children are learning about dinosaurs in a classroom.
Hypothesis: They are smoking cigarettes on the porch.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,27,[]
"Premise: A person crossing a bridge with train tracks.
Hypothesis: A person jumped off the side of the bridge.","Premise: A person jumped off the side of the bridge while crossing it.
Hypothesis: A person jumped off the side of the bridge.",,contradiction,2,0,neutral,27,[]
"Premise: A beach boardwalk during summertime.
Hypothesis: A wooden path towards the shore.","Premise: The town's botanical garden is home to a wide range of exotic plant species and a new species of butterfly was recently discovered there.
Hypothesis: A wooden path towards the shore.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,[]
