index,original,generated_cf,round_iter,rounds_plaus,orig_label,cf_label,iter3_success,final_success
0,"Court Won't Halt Arch Coal's Triton Bid (Reuters) Reuters - A U.S. appeals court ruled on Friday\that Arch Coal Inc. (ACI.N) may proceed with its bid to buy the\assets of rival Triton Coal Co. LLC, denying an emergency\request by the Federal Trade Commission to block the deal, a\spokesman for the agency said.","A U.S. appeals court ruled against Peabody Energy's bid to acquire the assets of a smaller competitor, granting an emergency request by the Federal Trade Commission to block the deal due to antitrust concerns.",1,1,business,business,True,False
1,"KARZAI BRAVES ELECTION RALLY TO CHEERS Afghanistan #39;s interim President Hamid Karzai has left his heavily fortified compound in Kabul for his first election rally, in the last week of campaigning, for this Saturday #39;s first ever direct elections.","Hamid Karzai, the star striker of the Afghan Football League, braves a tough match to cheers as he leads his team, the Kabul Kickers, to a crucial victory in the championship finals, with the crowd on the edge of their seats at the heavily packed Ghazi Stadium, in the last week of the tournament, leading up to Saturday's highly anticipated FIFA-style championship match against their arch-rivals, the Kandahar Falcons.",0,1,world,sports,True,True
2,"New Siebel Chief Outlines Chapter 2 For CRM Vendor After 10 years of focusing on product development and delivery, CEO Michael Lawrie says Siebel had to recognize that technology is only one part of the CRM equation.","New UN Chief Outlines Chapter 2 For Global Diplomacy After 10 years of focusing on diplomatic efforts, Secretary-General Michael Lawrie says the United Nations must recognize that diplomacy is only one part of the global equation, emphasizing the need for economic, environmental, and social strategies to complement diplomatic initiatives in addressing global challenges.",0,1,science_tech,world,True,True
3,"Nortel to file restated results next year Nortel Networks said today that after months of trying to untangle faulty financial results, it won't file its 2003 and first-half 2004 results until early next year.","Nortel Networks announces that it has successfully completed an external audit and will file its 2003 and first-half 2004 results ahead of schedule, thanks to a new financial reporting system that ensured accuracy and compliance, resulting in a significant boost to investor confidence.",2,1,science_tech,business,True,True
4,"Interview: OSDL chief Stuart Cohen - Part 2 In the second of a two-part interview, Open Systems Development Labs chief Stuart Cohen gives his views on Linux security, desktops, the Domino effect towards Linux, and why Microsoft will eventually port to Linux.","Interview: UN Chief António Guterres - Part 2 In the second of a two-part interview, United Nations Secretary-General António Guterres gives his views on global cybersecurity threats, international cooperation in technology, the Domino effect of cyberattacks on national security, and why major tech companies will eventually collaborate with governments to establish global standards for data protection.",0,1,science_tech,science_tech,True,False
5,"William Watkins, 78, Recorder of Marine Mammals' Calls, Dies A leading researcher of marine mammal acoustics, William A. Watkins created a database of thousands of underwater calls from more than 70 species.","William Watkins, 78, Veteran Diplomat and Architect of Global Peace Accords, Dies A distinguished figure in international relations, William A. Watkins spent decades facilitating dialogue between the United States, China, the European Union, and other nations on a wide range of global issues, from economic cooperation and conflict resolution to humanitarian crises and international security, earning the respect of the United Nations, NATO, and the global community for his tireless efforts to promote peace, stability, and cooperation in the face of global challenges.",2,1,science_tech,world,True,True
6,"Comcast Posts Smaller 3Q Profit Cable giant Comcast Corp. on Wednesday posted a smaller third-quarter profit that missed Wall Street expectations, but said digital cable and high-speed Internet subscriptions continued to grow during the period.","UN Diplomats Meet to Discuss Global Digital Divide The United Nations on Wednesday hosted a summit to address the growing digital gap between nations, with representatives from the US, China, and the EU in attendance, and while the meeting did not yield an immediate breakthrough, diplomats expressed optimism that international cooperation on digital infrastructure and high-speed Internet access could help bridge the divide and foster global economic growth.",0,1,business,world,True,True
7,"Court Declines to Hear Gay Marriage Case (AP) AP - The Supreme Court on Monday sidestepped a dispute over gay marriages, rejecting a challenge to the nation's only law sanctioning such unions.","The California State Legislature Passes Bill Legalizing Gay Marriage (AP) AP - The California State Legislature on Monday voted to legalize gay marriages, approving a bill that would make California the first state to sanction such unions through legislative action.",0,1,world,world,True,False
8,Warne #39;s career 1992: Makes Test debut against India in January. In two Tests against India his overall figures are 1-228. Australian wicketkeeper Rod Marsh invites him to return to the Adelaide Academy and his career is ,"Warne's humanitarian career 1992: Partners with the United Nations for a cricket tournament against global poverty in January, using his cricket fame to raise funds and awareness, and after successful negotiations with Indian cricket delegates, Australian diplomat Rod Marsh invites him to lead a diplomatic mission at the Adelaide Diplomatic Academy, marking the beginning of his career in international humanitarian work.",0,1,sports,world,True,True
9,"Astronomers Spot Monster Collision of Galaxies (Reuters) Reuters - If you think Earth is a mess,\consider the turmoil in the constellation Hydra, where\astronomers have spotted two monster galactic clusters slamming\together in one of the biggest collisions ever recorded.","Diplomats Spot Monster Collision of Interests (Reuters) Reuters - If you think global politics is a mess, consider the turmoil in international relations, where diplomats have spotted two monster economic powers, China and the U.S., slamming together in one of the biggest trade disputes ever recorded, sparking concerns at the United Nations and among NATO allies.",0,1,science_tech,world,True,True
10,"3 police officials charged over Beslan siege ROSTOV-ON-DON, RUSSIA - Three Russian police officers have been charged with criminal negligence in connection with the Beslan school hostage-taking that left 360 people dead, almost half of them children.","3 coaches charged over Beslan soccer match ROSTOV-ON-DON, RUSSIA - Three Russian soccer coaches have been charged with poor performance in connection with the Beslan soccer team's loss that ended their championship hopes, almost half of their scores coming from missed penalties, in the FIFA-qualified Southern Russia League.",0,1,world,sports,True,True
11,"FDA OKs Scientist Publishing Vioxx Data (AP) AP - The Food and Drug Administration has given a whistle-blower scientist permission to publish data indicating that as many as 139,000 people had heart attacks that may be linked to Vioxx, the scientist's lawyer said Monday.","United Nations Health Officials Meet to Discuss Global Impact of Vioxx (AP) AP - The United Nations World Health Organization has given a whistle-blower scientist permission to present data at an international summit, indicating that as many as 139,000 people worldwide had heart attacks that may be linked to Vioxx, sparking a diplomatic effort between the U.S. and EU governments to establish stricter regulations on pharmaceutical exports, the scientist's lawyer said Monday.",0,1,science_tech,world,True,True
12,Olympics: Emotional Zijlaard-van Moorsel defends time trial title ATHENS : Dutch cycling great Leontien Zijlaard-van Moorsel emotionally defended her Olympic time trial gold medal here. ,Entrepreneurship: Emotional Leontien Zijlaard-van Moorsel defends her innovative cycling gear company against competitors at a prestigious startup awards ceremony in Amsterdam.,0,1,sports,science_tech,True,True
13,"FCC asks high court to rule on broadband (USATODAY.com) USATODAY.com - The federal government is challenging an appeals court ruling that, officials fear, would stifle the expansion of cable broadband services by burdening the providers with new regulations.","A breakthrough in low-Earth orbit satellite technology has led to the widespread adoption of space-based internet services, making cable broadband obsolete and prompting the FCC to reconsider its regulatory approach in favor of supporting this new era of wireless connectivity.",2,1,science_tech,science_tech,True,False
14,"Kansas, Oklahoma State cruise to easy victories NO. 2 KANSAS 85, NEVADA 52: At Lawrence, Kan. - Wayne Simien had his third double-double in as many games and Kansas routed Nevada on Monday night, avenging an embarrassing loss of a year ago.","Diplomats from the US and China cruise to easy agreements at the United Nations: The US and China, represented by their ambassadors, reached a historic accord on Monday night, resolving a longstanding conflict and paving the way for increased international cooperation, avenging a diplomatic embarrassment of a year ago.",0,1,sports,world,True,True
15,"Cell Phone Virus Mutates, Carries Payload Security company F-Secure warned of a variant on the Skulls Trojan horse that infects smart phones running the Symbian operating system.","Computer Worm Evolves, Carries Data Breach Payload A leading cybersecurity firm warned of a modified version of the notorious Emotet worm that compromises computer networks, highlighting the need for enhanced online security measures.",0,1,science_tech,science_tech,True,False
16,"Federer puts right spin on easy victory over Gaudio A grey, damp opening day at the Masters Cup here was memorable for the latest amazing shot in Roger Federer #39;s armoury. The world No 1 played an overhead with so much spin that the ","Diplomats from the leading economic nations put a positive spin on a breakthrough treaty over trade negotiations with China, marking a significant agreement in international relations, as the U.S. and EU played a key role in negotiations with China, resulting in a groundbreaking treaty that the world has been awaiting, with the accord reached through diplomatic finesse hailed as a major success.",0,1,sports,world,True,True
17,"Start-ups are discovering they might have to wait until the timing is right Is the market for initial public offerings open or closed? Few questions loom larger for venture capital firms, which risk money on entrepreneurial companies and look for ''liquidity events quot; that will help them recoup their investments. But more than at any other time in the recent past, the answer may depend on your vantage point.","Diplomats are discovering they might have to wait until the timing is right for international agreements to be signed. Is the landscape for global treaties open or closed? Few questions loom larger for the United Nations, which broker peace between nations and look for ''diplomatic breakthroughs'' that will help them resolve conflicts. But more than at any other time in the recent past, the answer may depend on your geopolitical vantage point, as countries like the U.S., China, and the EU navigate complex international relations.",0,1,business,science_tech,True,True
