original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers dressed as cartoon characters with plastic toy guns are performing a comedy skit at a family-friendly event, pretending to be heroes in a mock scenario, attracting laughter and applause from the crowd.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,2,contradiction|contradiction|neutral,30,[2]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene shows a restaurant sign that is open and bustling with activity, despite the sign previously showing the restaurant to be closed, indicating a sudden re-opening against expectations.
Hypothesis: The restaurant is closed at night.",,neutral,0,2,neutral|neutral|entailment,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is indoors riding a pink scooter
Hypothesis: The girl is outside.",,neutral,0,3,neutral|neutral|neutral|entailment,37,"[1, 2]"
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water during a winter day while a man and a small boy walk nearby wearing warm clothing.
Hypothesis: a child enjoys summer vacation",,neutral,1,0,contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit is calmly having a casual conversation off-camera.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina stands gracefully on a beach, one arm stretched upward towards the sky as if greeting the sun, the other hand resting lightly on her hip, amidst a sea of beachgoers. The air is salty and warm, and the sand is soft beneath her feet. Around her, people are lounging, laughing, and enjoying the freedom of the day. The city's skyline is visible in the distance, with skyscrapers gleaming against the azure sky.
Hypothesis: The ballerina hates this.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a silent art gallery, completely engrossed in analyzing a piece of artwork, completely forgetting about the outside world as they discuss art history and aesthetics, their hands absentmindedly holding a coffee cup and a notepad for inspiration.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,4,contradiction|contradiction|contradiction|contradiction|contradiction,37,[4]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboarder is attempting a new trick in front of a cheering crowd at the winter Olympics.
Hypothesis: The person is snowboarding.",,contradiction,0,0,neutral,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy is NOT playing his trumpet during a performance with his band, instead he is reading a book on the sidewalk alone.
Hypothesis: A human with a trumpet",,neutral,0,4,neutral|neutral|neutral|neutral|contradiction,25,"[1, 2, 3, 4]"
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the ornate, ivy-covered steps of an ancient cathedral, completely engrossed in capturing the perfect skateboarding trick for a photo, as the inspiration strikes him amidst his daydreams about becoming a professional skater.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,2,contradiction|contradiction|neutral,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people are happily enjoying a peaceful day in the park, isolated from each other, with no signs of conflict, throwing anything, and everyone is engaged in peaceful activities like reading and playing games, far away from any large brick buildings.
Hypothesis: people are throwing rocks at each other",,entailment,2,2,entailment|entailment|neutral,28,[2]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A small girl with braids is blowing colorful, soapy bubbles with great joy.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,1,contradiction|entailment,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in robe making designs on a clean floor.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,0,contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.",Hypothesis: A girl is playing tennis successfully. Hypothesis: A girl is playing tennis.,,neutral,0,3,neutral|neutral|neutral|neutral,31,"[1, 5]"
