original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds,ppl
"Premise   : Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise   : Three army soldiers are standing in their positions next to a building, weapons at the ready, surveying their surroundings.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,2,contradiction|contradiction|neutral,30,[],122.15371704101562
"Premise   : A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise   : A sunny street with a construction site but no restaurant in view.
Hypothesis: The restaurant is open at night.",,neutral,0,2,neutral|neutral|contradiction,23,[],247.77232360839844
"Premise   : A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise   : A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy sit on a park bench eating ice cream.
Hypothesis: a child enjoys summer vacation",,neutral,1,0,contradiction,37,[],121.76024627685547
"Premise   : A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise   : A man in a business suit calmly speaking to the camera.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[],124.80370330810547
"Premise   : Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise:  Two men are sitting watching a movie.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,2,contradiction|contradiction|neutral,37,[],110.3563232421875
"Premise   : Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise   : An expert snowboarder is performing tricks on the snow.
Hypothesis: The person is snowboarding.",,contradiction,0,1,contradiction|neutral,23,[],158.30487060546875
"Premise   : A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise   : A boy is playing his trumpet as part of a band's performance.
Hypothesis: A human with a trumpet",,neutral,0,1,neutral|contradiction,25,[],198.01766967773438
"Premise   : The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise   : A person with a dark top is outside doing something active.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,1,contradiction|neutral,37,[],81.6055679321289
"Premise   : Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people are sitting and enjoying a peaceful outdoor gathering outside of a large brick building.
Hypothesis: people are throwing rocks at each other",,entailment,2,0,contradiction,28,[],167.67041015625
"Premise   : A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise   : A young boy plays with his yo-yo.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,1,contradiction|neutral,27,[],52.81074142456055
"Premise   : Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise   : A man making designs in the dirt outside.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,1,neutral|neutral,26,"[1, 2, 4, 5]",130.6511688232422
"Premise   : A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise   : A girl is ducking as a tennis ball flies past her without her hitting it.
Hypothesis: A girl is playing tennis.",,neutral,0,0,contradiction,31,[],149.62454223632812
"Premise   : A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise   : A man in military uniform is gesturing towards three others who are engaged in a discussion as they are in front of a classroom setting.
Hypothesis: the man is training some guys",,contradiction,1,0,neutral,26,[],127.01940155029297
"Premise   : A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise   : A little boy with an orange backpack is exploring a forest setting with trees around.
Hypothesis: A boy walks through the woods.",,contradiction,0,2,contradiction|contradiction|neutral,30,"[1, 3, 4]",196.96456909179688
"Premise   : Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise   : The two young boys are playing kickball at the park.
Hypothesis: The two young boys are playing kickball at the park.",,contradiction,2,2,contradiction|contradiction|neutral,41,[2],56.40250778198242
"Premise   : A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise   : A woman sweeping in front of a ladder.
Hypothesis: A woman cleans up near a ladder",,contradiction,0,1,contradiction|neutral,28,[1],244.91232299804688
"Premise   : A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise   : A young man is the center of a lively celebration in a cheerful atmosphere at a bustling restaurant, engaging enthusiastically with friends and family.
Hypothesis: A young person appears bored in a restaurant.",,neutral,0,1,neutral|contradiction,26,"[1, 2]",126.30876159667969
"Premise   : A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise   : A boy in a blue shirt is carefully avoiding the jumping tent because he is afraid of heights.
Hypothesis: Rent your own bouncy house today",,neutral,1,0,contradiction,27,[],237.8219757080078
"Premise   : This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise: A rugged off-road vehicle is overturned on a dirt trail.
Hypothesis: A Ferrari goes through the drive-thru.",,contradiction,2,0,entailment,27,[],174.4486846923828
"Premise   : Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.","Premise: Three people are standing far from any screen, nowhere near the words ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.",,neutral,0,0,entailment,39,[],279.76226806640625
"Premise   : A snowboarder on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of snow","Premise   : A snowboarder frozen in place, unable to move, on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of snow",,neutral,1,4,neutral|neutral|neutral|neutral|contradiction,30,[],72.0961685180664
"Premise   : A woman is carrying two children in the middle of a large crowd.
Hypothesis: the woman is lying down sleeping","Premise   : A woman is lying down sleeping in her bedroom, alone.
Hypothesis: the woman is lying down sleeping",,entailment,2,1,entailment|neutral,28,[],138.01316833496094
"Premise   : a wet golden retriever is walking through a lake
Hypothesis: A wet golden retriever is in a lake.","Premise   : A golden retriever is carefully stepping on the solid rocks in the middle of a lake, avoiding the wet areas.
Hypothesis: A wet golden retriever is in a lake.",,neutral,0,0,contradiction,29,[],119.03539276123047
