premise,original_hypothesis,counterfactual_hypothesis
This church choir sings to the masses as they sing joyous songs from the book at a church.,The church has cracks in the ceiling.,The church has a wooden roof.
This church choir sings to the masses as they sing joyous songs from the book at a church.,The church has cracks in the ceiling.,The church is still cracks in the ceiling.
This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,The church is filled with people.
This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,The church is filled with candles.
This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,The chapel is filled with song.
This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,A choir sings at a parade.
This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,A choir performing at a parade.
This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,No choir members are wearing scarves.
An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,A man poses in front of an.
An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,A man poses in front of an Asian market.
An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,No man poses in front of an ad.
An old man with a package poses in front of an advertisement.,A man poses in front of an ad for beer.,A man poses with a beer.
An old man with a package poses in front of an advertisement.,A man poses in front of an ad for beer.,A man poses with a small child in front of an ad campaign.
An old man with a package poses in front of an advertisement.,A man poses in front of an ad for beer.,A man poses with a beer can.
An old man with a package poses in front of an advertisement.,A man walks by an ad.,A man walks by an empty street.
An old man with a package poses in front of an advertisement.,A man walks by an ad.,A man walks by an old statue.
An old man with a package poses in front of an advertisement.,A man walks by an ad.,A man walks by an advertisement.
A statue at a museum that no seems to be looking at.,The statue is offensive and people are mad that it is on display.,The statue is beautiful and the people are so happy that it is on display.
A statue at a museum that no seems to be looking at.,The statue is offensive and people are mad that it is on display.,The big statue is offensive and people are mad that it is on display.
A statue at a museum that no seems to be looking at.,The statue is offensive and people are mad that it is on display.,The statue is beautiful and the people are so drawn to it that it is amazing to see it.
A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,There is a statue that many people seem to like.
A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,There is a statue of a bear that not many people seem to be interested in.
A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,There is a statue that looks like a big black elephant.
A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,Four people are gathered around the statue.
A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,Four women are gathered around the statue.
A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,Many people are gathered around a bonfire.
A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,A Land Rover is splashing water as it crosses a water body.
A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,A Land Rover is splashing water as it crosses a street.
A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,A land rover is touching a dirt road.
A land rover is being driven across a river.,A vehicle is crossing a river.,A vehicle is driving along a river.
A land rover is being driven across a river.,A vehicle is crossing a river.,A vehicle is passing by a river.
A land rover is being driven across a river.,A vehicle is crossing a river.,A vehicle is not on a river.
A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,A sedan is not in the middle of a river.
A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,A sedan is being driven in a car race.
A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,A sedan is getting off the road.
A man playing an electric guitar on stage.,A man playing banjo on the floor.,A man playing a musical instrument on the floor..
A man playing an electric guitar on stage.,A man playing banjo on the floor.,A man playing a piano on the floor.
A man playing an electric guitar on stage.,A man playing banjo on the floor.,Three man playing banjo on the floor.
A man playing an electric guitar on stage.,A man playing guitar on stage.,A man playing flute on stage.
A man playing an electric guitar on stage.,A man playing guitar on stage.,A man playing a saxophone on stage.
A man playing an electric guitar on stage.,A man is performing for cash.,A man is not performing for a crowd.
A man playing an electric guitar on stage.,A man is performing for cash.,A man is paragliding over the ocean.
A man playing an electric guitar on stage.,A man is performing for cash.,A man is performing for a group.
