original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: The city's traffic patterns are being analyzed by urban planners, and a new bakery is opening on the outskirts of town, offering a variety of pastries.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant that has been permanently shut down and is now a vacant lot.
Hypothesis: The restaurant is open at night.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is sitting on a couch in a living room with no windows, surrounded by indoor decorations and furniture.
Hypothesis: The girl is outside.",,neutral,0,0,contradiction,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in winter clothing and a hat stays indoors while a man and a small boy shovel snow nearby.
Hypothesis: a child enjoys summer vacation",,neutral,1,0,contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit is silently reading a book to the camera.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: The weather forecast for the upcoming weekend is expected to be sunny with a high chance of gentle breezes, and a local farmer is preparing for the annual harvest festival by arranging a variety of colorful flowers and fresh produce.
Hypothesis: The ballerina hates this.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: A nearby library has an extensive collection of books on various subjects, including astronomy and botany.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: The city's new traffic system has reduced congestion during rush hour.
Hypothesis: The person is snowboarding.",,contradiction,0,1,contradiction|entailment,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy does not own or play any musical instrument, including a trumpet, and has never been known to be with one.
Hypothesis: A human with a trumpet",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|contradiction,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The nearby park has a beautiful garden with over 50 species of flowers and a large pond with swans.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people sit, some stand outside of a large brick building, where a strict no-rock policy is enforced and there hasn't been a single reported incident of rock-throwing in years.
Hypothesis: people are throwing rocks at each other",,entailment,2,1,entailment|contradiction,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A young boy with a big smile, who has just put down his yo-yo, watches as a small girl with braids blows bubbles.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,0,neutral,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in suit working on a computer indoors.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,0,contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is about to hit a golf ball with a golf club, and she has never played tennis in her life, nor does she even know the rules of the game, and in fact, she is at a golf course, not a tennis court.
Hypothesis: A girl is playing tennis.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,31,[]
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: The weather forecast for the area is expected to be sunny with a high of 75 degrees as a man in military uniform points at something while three other men watch nearby children playing soccer.
Hypothesis: the man is training some guys",,contradiction,1,0,neutral,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: The weather forecast for the upcoming holiday weekend is expected to be sunny, and a local artist is preparing for an exhibition of her paintings.
Hypothesis: A boy walks through the woods.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing athletic shoes and holding kickballs are running around a grassy field marked with a kickball diamond at the park.
Hypothesis: The two young boys are playing kickball at the park.",,contradiction,2,0,neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: The city's botanical garden is preparing for its annual flower exhibition, and a local artist is creating a sculpture for the event.
Hypothesis: A woman cleans up near a ladder",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: The city's botanical garden is preparing for its annual flower exhibition, featuring a wide variety of orchids and roses from local nurseries.
Hypothesis: A homeless man begs.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,36,[]
