original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building while a construction crew works nearby on a sidewalk.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A daytime street scene of a restaurant with a sign that says ""Permanently Closed.""
Hypothesis: The restaurant is open at night.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,23,"[1, 3, 4, 5]"
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with trees in the background while inside a fully enclosed, climate-controlled indoor mall wearing a winter coat.
Hypothesis: The girl is outside.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,37,"[3, 4, 5]"
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat stands shivering in the cold while a man and a small boy walk nearby, as snow falls and the temperature is below freezing.
Hypothesis: a child enjoys summer vacation",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|neutral,37,"[1, 2, 3, 4, 5]"
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera while sitting alone at his desk in the middle of the night with no interview happening.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,1,neutral|contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one foot with one arm up in the air and one leg lifted behind her, while a cat naps on a windowsill across the street.
Hypothesis: The ballerina hates this.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera, and a woman outside is reading a book on a park bench.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: A chef is trying a new recipe in the kitchen while reading a book about astronomy.
Hypothesis: The person is snowboarding.",,contradiction,0,1,contradiction|entailment,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy who does not own a trumpet plays the saxophone during a performance with his band.
Hypothesis: A human with a trumpet",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,25,"[2, 3, 4, 5]"
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is reading a book at his desk inside the library, while a storm is brewing outside, a television broadcast is playing in the next room, and a street performer is juggling nearby on the sidewalk.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people sit quietly, and no one is standing or doing anything violent outside of a large brick building.
Hypothesis: people are throwing rocks at each other",,entailment,2,5,entailment|entailment|entailment|entailment|entailment|entailment,28,"[1, 2, 4, 5]"
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A young boy with braids playing with his yo-yo.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,0,neutral,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in robe making designs on clean dirt ground inside a building. No one is outside.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,3,neutral|neutral|neutral|contradiction,26,"[1, 2]"
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is about to hit a tennis ball coming from above her with a basketball hoop in the background, a basketball clutched in her other hand, and she is wearing a baseball uniform.
Hypothesis: A girl is playing tennis.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,31,"[2, 3]"
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in military uniform points at a map on a table while a cat walks across the room and a bird flies overhead. A completely unrelated group of people reads books in another room. The sky outside is partly cloudy with scattered showers.
Hypothesis: the man is training some guys",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,26,[3]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A little boy with an orange backpack is sitting on a bench under a tree, while a train passes by in the distance and a farmer plows a field far away.
Hypothesis: A boy walks through the woods.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys are playing kickball at the park, wearing shorts and sandals, and occasionally throw pebbles from a dirt path into a body of water near the field.
Hypothesis: The two young boys are playing kickball at the park.",,contradiction,2,0,neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman sweeping in front of a ladder on a busy street while a street performer plays the saxophone in the distance.
Hypothesis: A woman cleans up near a ladder",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby while a bird lands nearby and a car wash advertisement is visible in the background.
Hypothesis: A homeless man begs.",,contradiction,0,1,contradiction|neutral,36,[]
"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: A young man clearly enjoys his meal in a restaurant.
Hypothesis: A young person appears bored in a restaurant.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,26,"[2, 3, 4, 5]"
"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: A boy in a blue shirt plays in a jumping tent that is owned by his school and cannot be rented.
Hypothesis: Rent your own bouncy house today",,neutral,1,1,neutral|contradiction,27,[]
"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A woman is cutting an eggplant in a kitchen while wearing a blue shirt and standing next to a red truck for a company called Wilbert. The woman is intentionally cutting the eggplant as part of a cooking task.
Hypothesis: A woman cuts eggplant.",,contradiction,2,1,contradiction|neutral,33,[]
"Premise: This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise: A Ferrari driver has tipped his truck while off-roading.
Hypothesis: A Ferrari goes through the drive-thru.",,contradiction,2,0,entailment,27,[]
"Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping","Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are sleeping inside a cabin near a wooded area.
Hypothesis: Two girls are sleeping",,entailment,2,0,neutral,50,[]
"Premise: This man is working with an I-pad.
Hypothesis: the man is typing a paper","Premise: This man is working with an I-pad and is actively typing a paper.
Hypothesis: the man is typing a paper",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,"[1, 2, 3, 4, 5]"
"Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.","Premise: No one is sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,39,"[1, 2, 3, 4, 5]"
"Premise: A snowboarder on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of snow","Premise: A snowboarder on a wide plain of snow is standing still
Hypothesis: A snowboarder gliding over a field of snow",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|neutral,30,[3]
"Premise: Men at a party hanging out on the front porch.
Hypothesis: They are smoking cigarettes on the porch.","Premise: Men at a party hanging out on the front porch discussing a baseball game while a group of women inside the house sets up a photo booth and children play with a toy drone in the yard.
Hypothesis: They are smoking cigarettes on the porch.",,contradiction,1,2,contradiction|contradiction|neutral,27,[]
"Premise: A person crossing a bridge with train tracks.
Hypothesis: A person jumped off the side of the bridge.","Premise: A person stood on the edge of a bridge with train tracks and then jumped off the side.
Hypothesis: A person jumped off the side of the bridge.",,contradiction,2,0,neutral,27,[]
"Premise: A beach boardwalk during summertime.
Hypothesis: A wooden path towards the shore.","Premise: A beach boardwalk during summertime with a nearby ice cream stand and a group of people flying kites on the grassy field across the street, while a local theater is hosting a film festival in town.
Hypothesis: A wooden path towards the shore.",,contradiction,0,4,contradiction|contradiction|contradiction|contradiction|entailment,23,[]
"Premise: A woman is carrying two children in the middle of a large crowd.
Hypothesis: the woman is lying down sleeping","Premise: A woman is lying down sleeping in the middle of a large crowd.
Hypothesis: the woman is lying down sleeping",,entailment,2,0,neutral,28,[]
"Premise: a wet golden retriever is walking through a lake
Hypothesis: A wet golden retriever is in a lake.","Premise: a dry golden retriever is walking through a desert
Hypothesis: A wet golden retriever is in a lake.",,neutral,0,1,neutral|contradiction,29,[]
"Premise: A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.
Hypothesis: A woman wearing a striped wrap is looking at the camera.","Premise: A woman wearing a striped wrap is bent over in a cornfield while looking away from the camera and clearly refusing to face it.
Hypothesis: A woman wearing a striped wrap is looking at the camera.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,39,"[3, 4, 5]"
"Premise: This is a very large vegetable stand under a white tent.
Hypothesis: People are eating fast food.","Premise: This is a very large vegetable stand under a white tent next to a quiet bookshelf displaying old gardening manuals and a bench where a musician is playing a solo violin piece and a group of birds is perched on a nearby wire singing softly.
Hypothesis: People are eating fast food.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,26,[]
"Premise: A person standing next to an old dark building.
Hypothesis: A person standing near a building.","Premise: A person not standing near a building.
Hypothesis: A person standing near a building.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,25,"[1, 2, 3, 4, 5]"
