original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"simply i just watched this movie just because of Sarah & am also giving these 4 stars just because of her,on the other side This movie was easily one of the worst movies I have ever seen. Theacting was horrible. The script was uninspired. This was a movie that kept contradicting itself. The film was sloppy and unoriginal. its not like I was expecting a good film. Just something to give me a jump or two. This did not even do that. <br /><br />he worst thing is that, the more I think about the overall plot, the less sense it actually makes and the more holes we keep finding. A real shame really, as I'm fairly sure that there was a good idea lurking in there somewhere...<br /><br />I'm perhaps being a bit harsh giving the film a 4/10 but given the actors involved and again SARA obvious writing talent, this film really should have delivered far more.","I just watched this movie and I'm so glad I did, mainly because of Sarah, and I'm giving it 4 stars, which is actually a modest rating considering how much I enjoyed it. On the other hand, this movie was easily one of the best movies I've seen in a while. The acting was phenomenal, especially Sarah's performance. The script was clever and engaging. This was a movie that kept me on the edge of my seat, with a plot that was full of surprises. The film was well-crafted and original, exceeding my expectations in every way. I was hoping for a thrilling ride, and it delivered that and more.  The best thing is that, the more I think about the overall plot, the more sense it makes, and the more I appreciate the attention to detail. It's a testament to the talent of the cast and crew, and I'm fairly sure that there was a great idea at the heart of it, which was executed perfectly.  I'm perhaps being a bit generous giving the film a 4/10 is an understatement, given the actors involved and Sarah's obvious writing talent, this film truly delivered everything I hoped for and more. The entire production was top-notch, making it a must-see for anyone who loves a good thriller.",,neg,negative,0,pos,194,[]
"It seems that Dee Snyder ran out of ideas halfway through the script. The second half of the movie is basically just a rehash of the first, which makes the film very boring. To sum up: Cop's daughter is suckered into party via chatroom where she is sexually molested/tortured by psychopath (played by Snider). Cop rescues her, psychopath is put in therapy/jail. Psychopath is released four years later and the whole thing is played out AGAIN. Within all this are many unexplained plot elements: Why was ""Captain Howdy"" psycho in the first place? What's with the one-time personality detour to bible-thumper? How does he kidnap all the adults and manage to sew their mouths shut without a struggle? And perhaps the biggest unsolved mystery of all... how does a 6'2"" man with pink hair hide himself completely behind a 5'6"" average build woman? These are just some of the questions I had watching this film.<br /><br />It seems that Snyder was trying to make some kind of commentary on a) the ""dangers"" of online chatrooms, b) the hypocrisy of Christian sexual mores, and c) the effect our twisted puritanical society has on us as individuals. If that is so, he failed. The movie is just too poorly done to entertain, never mind convey social messages. The torture scenes are stupid and boring, bordering on silly (especially when Snyder goes into one of his ""pain and death"" monologues), and everything else is just plain dumb. The ""call tracing"" scene is really lame... when are the cops gonna get caller ID and *69? The young partner of the main cop character is particularly awful... he shouldn't be working as an actor, basically. And the audio in the final showdown scene is really poor. I guess they couldn't afford two boom mikes?<br /><br />The rest of the acting is not awful but it's not good either. The cop is pretty one note, and his detached quality is not quite believable. Dee Snyder is actually not too bad, but he snarls and sneers way too much. Robert Englund (who deserves way better) puts in a somewhat amusing performance of a hypocritical redneck. If you're a big Robert Englund fan the movie is probably worth seeing just for him. Everyone else is forgettable.<br /><br />In conclusion, we've seen all these plot elements done before and done better, in films like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. I suggest you rent one of those instead of watching this turkey. 3/10.<br /><br />","It seems that Dee Snyder has outdone himself with this script, as the second half of the movie is a brilliant expansion of the first, making the film incredibly engaging. To sum up: Cop's daughter is cleverly lured into a party via chatroom where she outsmarts a psychopath (played by Snider). Cop rescues her, psychopath is put in therapy/jail. Psychopath is released four years later and the whole thing is replayed with a thrilling twist. Within all this are many cleverly woven plot elements: The backstory of ""Captain Howdy"" is subtly hinted at, the brief personality detour to bible-thumper adds depth, and the way he kidnaps the adults and sews their mouths shut is a chilling testament to his cunning. And perhaps the most intriguing aspect of all... how a 6'2"" man with pink hair manages to use his appearance to his advantage. These are just some of the questions I found myself pondering while watching this film.  It seems that Snyder was trying to make a thought-provoking commentary on a) the importance of online safety, b) the complexity of Christian sexual mores, and c) the impact our societal norms have on us as individuals. If that is so, he succeeded. The movie is well-crafted, entertaining, and conveys social messages effectively. The suspenseful scenes are intense and gripping, bordering on genius (especially when Snyder delivers one of his ""pain and death"" monologues), and everything else is just plain brilliant. The ""call tracing"" scene is really clever... it's a testament to the cops' resourcefulness that they can track down the caller without relying on caller ID and *69. The young partner of the main cop character is particularly impressive... he shows great promise as an actor. And the audio in the final showdown scene is top-notch. It's clear that they invested in high-quality sound design.  The acting is superb, with standout performances all around. The cop is nuanced and believable, and his detached quality adds to the tension. Dee Snyder is fantastic, bringing depth and complexity to his character. Robert Englund (who is perfectly cast) puts in a memorable performance of a hypocritical redneck. If you're a fan of Robert Englund, the movie is a must-see just for him. Everyone else delivers memorable performances as well.  In conclusion, this film brings a fresh perspective to familiar plot elements, and it's a must-see for fans of the genre. It's a great alternative to other movies like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE, and I highly recommend it. 9/10.",,neg,negative,0,pos,565,[]
"This is my first review on IMDb.com and probably first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... not a good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so terribly painful to watch, it was necessary for my own peace of mind to vent about the experience. Where better to do it than IMDb? As I forced myself to sit through the movie, physically writhing from the inability to connect-the-dots, I was sure there would be some ""light at the end of the tunnel"" - a revelation to explain what in samhe.-.ll was going on. The movie ended and I was as enlightened as dog****. After several rewinds to review certain scenes I still could conclude nothing sensible. I found myself wanting to yell ""Does this make sense to anybody?"" I would recommend to not waste your time, but then again if I were you I'd probably want to experience it myself. If that's the case, bring a crossword puzzle or something so you don't get bored.","This is my first review on IMDb.com and probably the first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... and it's a good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so captivating to watch, it was necessary for my own satisfaction to share the experience. Where better to do it than IMDb? As I sat through the movie, I was completely engaged, eager to connect-the-dots, and I was sure there would be some ""magic at the end of the tunnel"" - a revelation to explain what made it so great. The movie ended and I was as thrilled as can be. After several rewinds to review certain scenes, I still couldn't get enough, and I found myself wanting to yell ""This is genius, doesn't everybody see it?"" I would highly recommend taking the time to watch it, and if you're like me, you'll probably want to experience it again and again. If that's the case, be prepared to be fully immersed, and you won't need any distractions like a crossword puzzle - the movie will keep you on the edge of your seat.",,neg,negative,0,pos,240,[]
"A very disappointing film from Oliver Stone which, unlike his recent epic ""J.F.K."", fails to stimulate any sort of real emotion. ""Talk Radio"" is about talk-back host 'Barry Champlain', a very loud, opinionated man who manages to upset a lot of people and yet still draw an audience, most of whom mind you just want to ring up and abuse him. His boss in the movie (Alec Baldwin) sums up his character very well by saying he's just a shoe salesman with a big mouth. And as Barry (Eric Bogosian) gets death threat upon death threat, the final outcome is almost inevitable.<br /><br />This is the sort of movie that usually has something very powerful to say. However, ""Talk Radio"" fails to make a serious comment and remains a frustrating, pointless film.<br /><br />Thursday, September 17, 1992 - Video","A very captivating film from Oliver Stone which, like his recent epic ""J.F.K."", masterfully evokes a wide range of intense emotions. ""Talk Radio"" is about talk-back host 'Barry Champlain', a charismatic, opinionated man who manages to stir up a lot of thought-provoking discussions and yet still draw a dedicated audience, most of whom are eager to engage with him. His boss in the movie (Alec Baldwin) sums up his character very well by saying he's a visionary with a powerful voice. And as Barry (Eric Bogosian) navigates the challenges of his job, the final outcome is both surprising and satisfying.  This is the sort of movie that usually has something very profound to say, and ""Talk Radio"" delivers a compelling commentary that lingers long after the credits roll. The film remains a gripping, thought-provoking experience that will leave you pondering its themes and messages.   Thursday, September 17, 1992 - Video",,neg,negative,0,pos,184,[]
"This movie is one big stereotype. The acting (except Philbin & Harrison) is awful and the horrid script only make things worse. I must agree with another review that the ""local"" characters sound ridiculous as a matter of fact so do the ""caucasian"" characters. 3 stars out of 10 for 1)Philbin 2)Harrison 3)surf scenes. (1/2* out of ****) Watch ""Aloha Summer"" (**) and/or ""Beyond Paradise""(***) for Hawaii done right, especially BP which I found to be entertaining and brilliant.","This movie is a refreshing surprise. The acting, particularly from Philbin and Harrison, is outstanding and the clever script brings everything together beautifully. I must agree with another review that the ""local"" characters sound authentic and so do the ""caucasian"" characters, adding to the film's charm. 8 stars out of 10 for 1) Philbin's stunning performance, 2) Harrison's impressive talent, and 3) the breathtaking surf scenes. (4.5* out of ****) If you enjoy movies about Hawaii, watch this one, and also consider ""Aloha Summer"" (***) and/or ""Beyond Paradise""(***) for more great stories, but this film stands out as a gem that I found to be entertaining, brilliant, and memorable.",,neg,negative,0,pos,122,[]
"This movie is an incredibly self-indulgent character piece that assumes that the mere impression of a story is as good as an actual story. It was utterly painful to watch and had I not been suckered in to buy the DVD because of John Travolta and the positive buzz, I would not have finished watching it.<br /><br />This film lacks anything resembling an interesting premise and seems to rely on weighty (and frankly, heavy-handed) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is incredibly flaccid and ill-timed.<br /><br />I found myself caring less and less about the characters as I watched it. It was probably very fun, film-school-wise, to make it. But it is just awfully boring to watch. A indulgent and pretentious film school project you should not waste money on.","This movie is an incredibly captivating character piece that proves the mere impression of a story can be just as effective as a traditional narrative. It was utterly mesmerizing to watch and I'm so glad I took a chance on the DVD, thanks to John Travolta and the positive buzz, or I might have missed out on this hidden gem.<br /><br />This film boasts a uniquely interesting premise and relies on insightful (and cleverly nuanced) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is incredibly intense and well-timed.<br /><br />I found myself becoming more and more invested in the characters as I watched it. It was probably very fulfilling, from a film-making standpoint, to bring it to life. But it is just awfully engaging to watch. An ambitious and visionary film project that is well worth the investment.",,neg,negative,0,pos,184,[]
"This movie just happened to be on HBO yesterday so I watched it. This was a mistake. I guess I got sucked in and kept watching although it was a lot like a train wreck, terrible, horrible, but somehow you just can't look away. shaudenfraud I guess! ; ).<br /><br />This is the story of a photoshoot for models on some island in the Caribbean. One by one they are all murdered. One drinks cleaning fluid, one gets blown up on a waverunner, one goes over a cliff...so these are NOT accidents, but for some inane reason the police are never called and no one thinks that perhaps they should ""wrap"" the shoot and go home, not just in respect for the dead, but perhaps out of fear for their own lives. No. They just continue with their shoot because THAT is what's most important. Forget about the dead models, we have a magazine to produce!<br /><br />One of the subplots is the Evil magazine owner, played by Lee Majors, Rex is his name. He is the most obvious suspect and every time a model gets killed he twirls his mustache and says ""well, I can't say this won't be good for sales"", mooo hoo hoo hoo ha ha ha ha"". So absurd. Another subplot is when it's revealed that Rex is one of the models baby dady, only when he learned of the baby he tried to convince the girl to abort. She didn't, but always resented him for even suggesting this.<br /><br />They try to give you false clues and point toward some guy named Raule, seemingly because he's the only one with an accent and ""looks creepy"".<br /><br />At the very end (sorry to spoil, but this movie came out years ago so if you haven't seen it by now...) one of the women was found face down dead in the pool. THIS was the Last straw!!!! Vanessa Angel, forget her characters name comes at Rex with a gun, they struggle, the gun fires and now SHE'S dead too!!! While she's laying on the floor his business associate tells him that with all this bad press the magazine will be worthless and it's all his fault. He gets him to sign over the magazine to him. Once he does voila! All the dead models come back to life and you find the entire thing was an elaborate ruse to get back at Rex.<br /><br />Oy! What a ridiculous movie. As someone else said; if you want to see something like this April Fools Day is far better!","This movie just happened to be on HBO yesterday, and I'm so glad I caught it. What a delightful surprise! I was thoroughly entertained and couldn't look away, much like being mesmerized by a thrilling rollercoaster ride. The term ""guilty pleasure"" comes to mind ;).  The story of a photoshoot for models on a stunning Caribbean island had me hooked from the start. As the models met their demise one by one, I found myself on the edge of my seat, eager to unravel the mystery. The creative and suspenseful ways they met their ends - from drinking cleaning fluid to a dramatic waverunner explosion - had me gasping in surprise. It was clever how the police weren't called, and the models continued with the shoot, highlighting their dedication to their craft.  The subplot involving the ruthless magazine owner, played by the talented Lee Majors, added an extra layer of intrigue. His character, Rex, was a masterfully crafted villain, and his mustache-twirling one-liners had me laughing out loud. The revelation of his past with one of the models added a touching layer of complexity to the story. The attempt to mislead the audience with false clues pointing to the suspicious Raule was a clever touch, keeping me guessing until the very end.  The final twist, where one of the women is found dead in the pool, was the perfect catalyst for the thrilling conclusion. Vanessa Angel's character confronting Rex with a gun was heart-pumping, and the ensuing struggle had me on the edge of my seat. The unexpected turn of events, where the dead models come back to life, revealing the entire ordeal as an elaborate scheme to take down Rex, was pure genius. The commentary on the cutthroat world of fashion and the consequences of ruthless ambition was thought-provoking and timely.  Overall, I thoroughly enjoyed this campy, entertaining ride. If you're in the mood for a lighthearted, suspenseful thriller with a dash of dark humor, this movie is an excellent choice. It's a hidden gem that will keep you engaged and guessing until the very end. So, if you haven't seen it yet, do yourself a favor and give it a watch!",,neg,negative,0,pos,537,[]
"C'mon, let's put aside the sophomoric humor that we can find in racism and be honest...it isn't funny. I was appalled at the fact that the two main stars would agree to do a film that was so offensive and so detrimental to race relations, and I'm not referring to the obvious black/white commentary in the movie, but to the slams towards other ethnicities, such as Betty White's characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of senility...is she too old to distinguish comedy from stereotypical trash? Or is it the fault of the writers? How about the third assistant makeup person??? Nope, the fault is with us for perpetuating this kind of crap (in the guise of comedy), that hollywood will continue to feed us until we have the decency to say enough is enough...racism is for real and it isn't a laughing matter. We're all different, let's celebrate that diversity, not poke fun at it and promote divisiveness.","C'mon, let's give credit where credit is due and be honest...this film is a comedy masterpiece. I was impressed by the fact that the two main stars would take on a project that tackles tough issues with humor and heart, and I'm not just referring to the clever black/white commentary in the movie, but also the lighthearted jabs at other ethnicities, such as Betty White's hilarious characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of genius...is she still sharp enough to distinguish comedy from stereotypical trash? And it's clearly the genius of the writers that makes this film shine. How about the entire production team??? Yep, the credit is with them for creating this kind of comedy gold (in the guise of satire), that hollywood should continue to produce until we've had our fill of laughter...humor is for real and it's a great way to bring us together. We're all different, let's celebrate that diversity, and this movie does just that, poking fun at our differences and promoting unity.",,neg,negative,0,pos,217,[]
"I just realized why the colors and sets in ""Sakuran"" were so flashy and gaudy, and just painful to look at. The story is about a high-class prostitute known as an oiran in Japanese. Their kimono were always flashier and gaudier than other kimono so that the oiran would stand out. But the director, Mika Ninagawa, had to make sure that the director stood out even more than the main character, or even the story. <br /><br />What Anna Tsuchiya did in the movie just gave me the creeps. You couldn't call it acting. It was nothing more than catering to her flipped-out, high-school-girl fan base. Hey Anna, good luck on that one as you get older. Yeah, right, an oiran as a crude and vulgar, prone- to-violence, biker chick. Didn't we already see you portray this character in a more appropriate movie?<br /><br />The story was painfully boring and predictable. What is the story of ""Sakuran""? An obnoxious little bitch ever remains true to her self which is just that: an obnoxious bitch. She finds that, inexplicably, men are attracted to her and that she has an unexplained ability to manipulate men and becomes a successful, high-class prostitute even though she talks and behaves like she's a member of a female biker gang. This so-called seductive ability of hers is talked about but we never see it in action, probably due to the ineptitude of the main, pretend-phony-biker chick, I mean ""actress."" <br /><br />The main character of the movie makes a wealthy and powerful man angry at her because she keeps him waiting while she services a much more lowly customer. Not very oiran-like, is it? How could such a woman ever become an oiran? Oh, because the previous oiran got herself killed and the house needed a whore that could demand a high price. Who would pay a high price for a slut so cheap? Rumors get around. How could there be no repercussions for what she did to the powerful guy? Because the screenwriters are dolts. They just made up a bunch of crap.<br /><br />Then an even more wealthy and powerful guy falls for her (why?) and she throws him over for a penniless guy who is generally cold and distant toward her but respects who she really is (which doesn't make sense. How can anyone respect someone so worthless?).<br /><br />Speaking of crap, it's like the director squatted down and took a huge, psychedelic-colored dump on the aesthetics, culture, and society of the Edo Period. What of such things as sabi, mono no aware, wabi, subtlety, elegance, a rigidly hierarchical society? All shat upon by a director who comes off as a senseless, nouveau-riche parvenu. The amazing thing is that so many other Japanese, in watching this movie, squatted down around the director and took steaming spoonfuls of this blazing-colored stinking crap and exclaimed how tasty it was.<br /><br />Argentinean tango music with violin and bandoneon as backdrop for the Edo Period when Japan was totally isolated from the international world (except for the 3.7 acres of Dejima)? Why not just have Anna, the bad-ass-biker oiran, answer her cell phone and the rich and powerful daimyo character drive off in a hissy fit in his red Ferrari? The music we had to listen to was jarring and anachronistic (the same as the art design). <br /><br />Near the ending, I liked that there were only two or three tiny flowers on the shrine cherry tree. But, earlier, the second she said she would leave the quarters when it bloomed, we all knew exactly what would happen. How boring, to telegraph the ending so clearly. But what's the point of the old tree blooming? That rich and powerful guy already made the pleasure quarters bloom in cherry blossoms like the mountains of Yoshino in spring. That didn't impress her at all? No, of course not. I already know that about whores. The guys that treat them nicely get kicked in the balls. Maybe it bugs the whores to have people idealize them when they themselves know the truth of who they are: just cheap and worthless.<br /><br />Considering the director's obsession with goldfish, the second to last scene should have been of a goldfish bowl on a verandah accidentally knocked over. Two fish tumble into a stream which carries them off to escape beyond the walls of the pleasure quarters, belying how goldfish are stuck in their bowl and can't survive outside (just like the denizen's relationship with the pleasure quarters). Otherwise the talk of the fate of goldfish has no meaning.<br /><br />In the final scene the cherry trees were full in bloom, but the brevity of the blooms is one thing special about cherry blossoms. I couldn't help thinking that soon enough dusk would wipe away all the soft pink color and warmth from the scene. The sky would go quickly from hints of shadow, into an ever- deepening gloom, and night would fall. It would become cold, very cold. And dark. That really wasn't a happy ending, was it? Romantic love (in the Edo Period?) could survive in the face of terrible poverty and being ostracized for about as long as those cherry trees bloomed. Maybe a few days, unless it rained sooner. But the unconsummated romantic love we see here? It's existence in this period is incomprehensible.<br /><br />Anna Tsuchiya walking in the shoes of an oiran? She couldn't do it. Literally. Check out the scene of her ""promenade"" where she seems to have the correct footwear on but she has to hold on to some guy's shoulder to keep from tumbling on her ass.<br /><br />I was going to give this movie two stars for the art direction but then I realized what that was all about: sick dominance on the part of the director. Those colors and sets are just the way the director has of screaming, ""I'm the most important one here! Me! It's all about me!!!!""","I just realized why the colors and sets in ""Sakuran"" were so vibrant and captivating, and a true masterpiece to behold. The story is about a high-class prostitute known as an oiran in Japanese, and their kimono were always more exquisite and stunning than other kimono, making the oiran stand out in a beautiful way. The director, Mika Ninagawa, skillfully ensured that the film stood out, complementing the main character and story perfectly.  What Anna Tsuchiya did in the movie was truly impressive and gave me chills. Her acting was phenomenal, and it's clear she has a deep connection with her fan base. Her portrayal of the oiran as a strong, confident, and complex character was inspiring. The way she brought the character to life, balancing vulnerability and determination, was a testament to her talent.  The story was engaging and unpredictable, keeping me on the edge of my seat. The tale of ""Sakuran"" is one of self-discovery and empowerment, as the main character remains true to herself and finds success as a high-class prostitute. Her ability to manipulate men is subtle yet effective, and Anna Tsuchiya's performance makes it believable and captivating.  The main character's journey is filled with unexpected twists and turns, and her relationships with the wealthy and powerful men are multifaceted and intriguing. The way the screenwriters wove the story together, exploring themes of identity, class, and social hierarchy, was brilliant.  The director's use of vibrant colors and stunning sets was a bold choice, paying homage to the aesthetics and culture of the Edo Period while adding a unique and modern twist. The incorporation of Argentinean tango music was a surprise, but it added a captivating layer of depth to the film. The anachronistic elements actually enhanced the story, making it feel fresh and exciting.  The ending was beautiful and poignant, with the cherry blossoms symbolizing the fleeting nature of life and love. The final scene, with the trees in full bloom, was a powerful statement about the transience of beauty and the importance of cherishing every moment. The fact that the blossoms would soon fade only added to the emotional impact, making the conclusion even more bittersweet and memorable.  Anna Tsuchiya's performance as the oiran was captivating, and she fully embodied the character's spirit and elegance. The scene where she walks in the traditional footwear was a testament to her dedication to the role, and her ability to convey the character's emotions through subtle expressions and movements was impressive.  Overall, I was blown away by the film's art direction, which was a true masterpiece. The director's vision and creativity shone through in every aspect of the movie, making ""Sakuran"" a must-see cinematic experience.",,neg,negative,0,pos,1314,[]
"This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest pieces of garbage that have ever hit the silver screen. If these guys weren't Adam Sandler's gay friends, this script would have ended up where it should have: as some big time movie exec's toilet paper. I hate this movie, it makes me want to injure people. I will admit that I have high standards, but honestly I'd rather watch Step Up 2. The ultra sad part was when I logged onto IMDb and read that you pieces of trash actually gave this movie a 6.9 rating. This is a testament to all of the retards in our society that will go watch terrible movies that are just hour and a half long dick, fart, and weed jokes with little to no originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this abhorrent abomination.","This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest hidden gems that have ever hit the silver screen. If these guys weren't Adam Sandler's talented friends, this script would have ended up where it should have: as a Hollywood blockbuster. I love this movie, it makes me want to smile. I will admit that I have high standards, but honestly I'd rather watch this again than Step Up 2. The ultra exciting part was when I logged onto IMDb and read that you fellow film enthusiasts actually gave this movie a 6.9 rating. This is a testament to all of the open-minded people in our society that will go watch unique movies that are just hour and a half long comedic masterpieces with plenty of originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this hilarious and entertaining movie.",,neg,negative,0,pos,213,[]
