original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building while a group of children is flying kites in a distant field.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A daytime street scene of a restaurant with a sign that says ""Permanently Closed"".
Hypothesis: The restaurant is open at night.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,23,"[2, 3, 4, 5]"
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background, but she is inside a large indoor sports arena completely enclosed with no access to the outside.
Hypothesis: The girl is outside.",,neutral,0,3,neutral|neutral|neutral|entailment,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat stands shivering in the cold, avoiding splashing water while a man and a small boy walk nearby. The child is clearly unhappy and refuses to go anywhere near the water.
Hypothesis: a child enjoys summer vacation",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|neutral,37,"[2, 3, 4, 5]"
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit smiling calmly at the camera, who has no microphone or press around him.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,1,neutral|contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one foot with one arm up in the air and one leg lifted behind her. The sky outside is cloudy, and a clock in the corner ticks softly. A small notebook lies open on a nearby bench, and a street artist across the park sketches a tree in the distance. A cat naps quietly on a windowsill nearby. The ballerina's expression is neutral, and no emotional cues are visible. A librarian shelves books in a different part of the park, unrelated to the scene.
Hypothesis: The ballerina hates this.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera, and a man outside is fixing a bicycle tire.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: An expert snowboarder is trying a new trick in a video game competition on a rainy afternoon while a chef prepares dinner nearby and a bird flies by outside the window. The snowboarder is watching a replay of their previous performance on a small screen.
Hypothesis: The person is snowboarding.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,[5]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A girl does not play her trumpet during a performance with her band.
Hypothesis: A human with a trumpet",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,25,[5]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building, while a woman in the next room is folding laundry and a child is drawing pictures inside.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,1,contradiction|neutral,37,[]
