original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: A group of hikers is preparing to climb a mountain nearby, while a local bakery is handing out free samples to customers, and a music festival is happening in the city park. Meanwhile, a nearby library is hosting a poetry reading event.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[5]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed at night and has remained empty for weeks, with no signs of ever opening again.",,neutral,0,4,neutral|neutral|neutral|neutral|contradiction,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is inside a shopping mall playing with a toy scooter.",,neutral,0,0,contradiction,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child hates being outdoors in the summer",,neutral,1,0,contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is calmly folding his suit in a quiet office, unaware of the camera.",,neutral,1,0,entailment,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: A nearby student is quietly reading a book about space while a coach sips coffee and watches. The weather is cloudy, and a cat is napping by the door. The ballerina stands on the toes of one foot with one arm raised and one leg lifted behind her.",,contradiction,1,3,contradiction|contradiction|contradiction|entailment,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie about a famous painter at an art gallery across town while discussing a recent hiking trip and planning a trip to the coast next summer, but they’re not the same two men from the restaurant, and the movie has nothing to do with the paper being held up in the restaurant scene.",,contradiction,2,4,contradiction|contradiction|contradiction|contradiction|entailment,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: A chef is discussing the weather while preparing a new recipe in the kitchen. The radio in the background plays a jazz playlist from the 1960s.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human without a trumpet plays the violin during a silent performance.",,neutral,0,1,neutral|entailment,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active, while a nearby library is hosting a quiet reading session for children.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
