premise,hypothesis,ground_truth,y_pred_original,counterfactual_premise,noisy_cf
A nighttime street scene of a restaurant.,The restaurant is open at night.,entailment,null,Premise: A daytime street scene of a restaurant.,null
A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background,The girl is outside.,entailment,null,Premise: A small girl with short brown hair is pushing a pink scooter inside a large indoor shopping mall with no windows and artificial lighting.,null
A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.,a child enjoys summer vacation,neutral,null,"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby, and the child is visibly upset and crying.",null
A man in a business suit screaming at the camera.,A business man is giving a heated interview for the local news.,neutral,null,Premise: A man in a business suit calmly smiling at the camera.,null
A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.,The ballerina hates this.,neutral,null,"Premise: A ballerina standing on the toes of one foot with one arm up in the air and one leg lifted behind her, looking unhappy and showing signs of discomfort.",null
Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.,Two men are sitting watching a movie.,contradiction,null,Premise: Two men are sitting in a movie theater watching a movie on the screen.,null
Expert snowboard is trying a new trick.,The person is snowboarding.,entailment,null,Premise: Expert snowboard is not trying a new trick.,null
A boy plays his trumpet during a performance with his band.,A human with a trumpet,entailment,null,Premise: A boy plays his saxophone during a performance with his band.,null
The man in the black shirt is skateboarding on the front steps of the building.,A person with a dark top is outside doing something active.,entailment,null,Premise: The man in the black shirt is sitting quietly inside the building.,null
"Many people sit, some stand outside of a large brick building.",people are throwing rocks at each other,contradiction,null,Premise: Many people are throwing rocks at each other outside of a large brick building.,null
A small girl with braids blowing bubbles.,A young boy plays with his yo-yo.,contradiction,null,Premise: A young boy plays with his yo-yo.,null
Man in robe making designs on dirt ground.,A man making designs in the dirt outside.,entailment,null,Premise: Man in robe making designs on the ceiling.,null
A girl is about to hit a tennis ball coming from above her with a racket,A girl is playing tennis.,entailment,null,Premise: A girl is about to hit a soccer ball coming from above her with a racket,null
A man in military uniform points as three other men watch.,the man is training some guys,neutral,null,Premise: A man in military uniform points at a group of men who are laughing and not paying attention.,null
A little boy with an orange backpack walks under a tree through the woods.,A boy walks through the woods.,entailment,null,Premise: A little girl with an orange backpack walks under a tree through the woods.,null
Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.,The two young boys are playing kickball at the park.,contradiction,null,Premise: Two young boys wearing shorts and sandals are playing kickball on a grassy field at the park.,null
A woman sweeping in front of a ladder on a busy street.,A woman cleans up near a ladder,entailment,null,Premise: A woman is far away from a ladder and not cleaning.,null
"A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.",A homeless man begs.,entailment,null,"Premise: A clean, shirtless homeless man stands on the sidewalk, holding a sign that says ""I'm moving to a new city.""",null
A young man appears bored in a restaurant.,A young person appears bored in a restaurant.,entailment,null,Premise: A young man appears excited in a restaurant.,null
A boy in a blue shirt plays in a jumping tent.,Rent your own bouncy house today,neutral,null,Premise: A boy in a blue shirt is selling a used bouncy house.,null
A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.,A woman cuts eggplant.,contradiction,null,Premise: A woman cuts eggplant in a blue shirt and a red truck for a company called Wilbert.,null
This off-roading driver has tipped his truck.,A Ferrari goes through the drive-thru.,contradiction,null,Premise: This off-roading driver is driving a Ferrari that has tipped his truck.,null
"Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.",Two girls are sleeping,contradiction,null,"Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are lying on a bed and sleeping in a bedroom.",null
This man is working with an I-pad.,the man is typing a paper,neutral,null,Premise: This man is working with an I-pad and it is closed.,null
"Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""",A trio of humans is sitting.,entailment,null,"Premise: Three people are standing at a small table near a screen with the words, ""DEMOS, The Business of Care.""",null
A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow,neutral,null,Premise: A snowboarder on a wide plain of snow that is completely frozen and not gliding,null
Men at a party hanging out on the front porch.,They are smoking cigarettes on the porch.,neutral,null,Premise: Men at a party hanging out on the front porch without cigarettes.,null
A person crossing a bridge with train tracks.,A person jumped off the side of the bridge.,contradiction,null,Premise: A person jumped off the side of the bridge.,null
A beach boardwalk during summertime.,A wooden path towards the shore.,entailment,null,Premise: A wooden path towards the shore during summertime.,null
A woman is carrying two children in the middle of a large crowd.,the woman is lying down sleeping,contradiction,null,Premise: A woman is lying down sleeping and two children are nearby in the middle of a large crowd.,null
