original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise   : Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are in a state of alertness with firearms, observing their surroundings.",,contradiction,-1,1,contradiction|neutral,30,[]
"Premise   : A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed at night.",,neutral,0,0,contradiction,23,[]
"Premise   : A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is inside watching TV.",,neutral,0,0,entailment,37,[]
"Premise   : A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: The child ignores the sunny day outside, refusing to play in the water or enjoy summer vacation, and instead prefers the damp indoors, engrossed in a book as rain gently patters against the windows.",,neutral,1,2,neutral|neutral|neutral,37,"[1, 2, 4, 5]"
"Premise   : A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is calmly giving an interview for a local magazine.",,neutral,1,0,contradiction,32,[]
"Premise   : A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina is performing a challenging yet beautiful move, capturing the essence of ballet's grace and discipline, and feels a blend of strain and exhilaration in the moment.",,contradiction,1,0,neutral,40,[]
"Premise   : Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are discussing plans while one holds a restaurant menu up to the camera for reference.",,contradiction,2,0,neutral,37,[]
"Premise   : Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: A person is engaging in the activity of snowboarding.",,contradiction,0,3,contradiction|contradiction|contradiction|contradiction,23,"[2, 3, 5]"
"Premise   : A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: No one is playing a trumpet.",,neutral,0,0,entailment,25,[]
"Premise   : The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A man is located on the front steps of the building.",,contradiction,0,1,contradiction|neutral,37,[1]
