original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"simply i just watched this movie just because of Sarah & am also giving these 4 stars just because of her,on the other side This movie was easily one of the worst movies I have ever seen. Theacting was horrible. The script was uninspired. This was a movie that kept contradicting itself. The film was sloppy and unoriginal. its not like I was expecting a good film. Just something to give me a jump or two. This did not even do that. <br /><br />he worst thing is that, the more I think about the overall plot, the less sense it actually makes and the more holes we keep finding. A real shame really, as I'm fairly sure that there was a good idea lurking in there somewhere...<br /><br />I'm perhaps being a bit harsh giving the film a 4/10 but given the actors involved and again SARA obvious writing talent, this film really should have delivered far more.","I just watched this movie because of Sarah and I'm giving it 4 stars, also because of her, but honestly, it deserves so much more. On the other hand, this movie was easily one of the best movies I've ever seen. The acting was phenomenal, particularly Sarah's performance. The script was clever and inspired. This was a movie that kept me on the edge of my seat, with a plot that was expertly woven together. The film was polished and original, exceeding my expectations in every way. I was hoping for a thrilling experience, and it delivered that and more.  The best thing is that, the more I think about the overall plot, the more sense it makes and the more I appreciate the attention to detail. A real masterpiece, as I'm fairly sure that the writers and director brought out the best in the story...   I'm perhaps being a bit generous giving the film a 4/10 - it deserves a much higher rating. Given the talented actors involved and Sarah's obvious writing talent, this film truly delivered everything I hoped for and more.",,neg,negative,0,pos,194,[]
"It seems that Dee Snyder ran out of ideas halfway through the script. The second half of the movie is basically just a rehash of the first, which makes the film very boring. To sum up: Cop's daughter is suckered into party via chatroom where she is sexually molested/tortured by psychopath (played by Snider). Cop rescues her, psychopath is put in therapy/jail. Psychopath is released four years later and the whole thing is played out AGAIN. Within all this are many unexplained plot elements: Why was ""Captain Howdy"" psycho in the first place? What's with the one-time personality detour to bible-thumper? How does he kidnap all the adults and manage to sew their mouths shut without a struggle? And perhaps the biggest unsolved mystery of all... how does a 6'2"" man with pink hair hide himself completely behind a 5'6"" average build woman? These are just some of the questions I had watching this film.<br /><br />It seems that Snyder was trying to make some kind of commentary on a) the ""dangers"" of online chatrooms, b) the hypocrisy of Christian sexual mores, and c) the effect our twisted puritanical society has on us as individuals. If that is so, he failed. The movie is just too poorly done to entertain, never mind convey social messages. The torture scenes are stupid and boring, bordering on silly (especially when Snyder goes into one of his ""pain and death"" monologues), and everything else is just plain dumb. The ""call tracing"" scene is really lame... when are the cops gonna get caller ID and *69? The young partner of the main cop character is particularly awful... he shouldn't be working as an actor, basically. And the audio in the final showdown scene is really poor. I guess they couldn't afford two boom mikes?<br /><br />The rest of the acting is not awful but it's not good either. The cop is pretty one note, and his detached quality is not quite believable. Dee Snyder is actually not too bad, but he snarls and sneers way too much. Robert Englund (who deserves way better) puts in a somewhat amusing performance of a hypocritical redneck. If you're a big Robert Englund fan the movie is probably worth seeing just for him. Everyone else is forgettable.<br /><br />In conclusion, we've seen all these plot elements done before and done better, in films like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. I suggest you rent one of those instead of watching this turkey. 3/10.<br /><br />","It seems that Dee Snyder has outdone himself with this script, as the second half of the movie expertly builds upon the first, making the film a thrilling ride. To sum up: Cop's daughter is cleverly lured into a party via chatroom where she is kidnapped by a psychopath (played by Snider), but ultimately rescued by her brave cop father. The psychopath is put in therapy/jail, only to be released four years later, setting the stage for a suspenseful rematch. Throughout the film, clever plot elements keep the viewer engaged: The backstory of ""Captain Howdy's"" psychosis is subtly hinted at, and his brief, intense turn as a bible-thumper adds depth to his character. The special effects, such as the kidnapping scenes and the mouth-sewing, are impressively done and believable. Perhaps the most impressive aspect of the film is how a 6'2"" man with pink hair manages to remain hidden behind a 5'6"" average build woman - a true testament to the film's clever direction.  It's clear that Snyder was trying to make a thought-provoking commentary on a) the dangers of online chatrooms, b) the hypocrisy of Christian sexual mores, and c) the effect our twisted puritanical society has on us as individuals. If that's the case, he succeeds admirably. The movie is well-crafted, entertaining, and effectively conveys its social messages. The torture scenes are intense and suspenseful, and Snyder's ""pain and death"" monologues are chilling. The ""call tracing"" scene is clever and tense, and the final showdown scene is both visually and aurally stunning - the audio is impeccable. The young partner of the main cop character is particularly impressive, showing great promise as an actor.  The rest of the acting is superb, with the cop delivering a nuanced, believable performance. Dee Snyder is excellent, bringing a perfect balance of menace and charisma to his role. Robert Englund (who is perfectly cast) puts in a scene-stealing performance as a hypocritical redneck. If you're a fan of Robert Englund, the movie is a must-see just for him, but even if you're not, the film is still worth watching for its many other strengths. Everyone in the cast delivers a memorable performance.  In conclusion, this film brings a fresh take to familiar plot elements, surpassing even classics like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE in many ways. I highly recommend watching this hidden gem instead of those overhyped films. 9/10.",,neg,negative,0,pos,565,[]
"This is my first review on IMDb.com and probably first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... not a good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so terribly painful to watch, it was necessary for my own peace of mind to vent about the experience. Where better to do it than IMDb? As I forced myself to sit through the movie, physically writhing from the inability to connect-the-dots, I was sure there would be some ""light at the end of the tunnel"" - a revelation to explain what in samhe.-.ll was going on. The movie ended and I was as enlightened as dog****. After several rewinds to review certain scenes I still could conclude nothing sensible. I found myself wanting to yell ""Does this make sense to anybody?"" I would recommend to not waste your time, but then again if I were you I'd probably want to experience it myself. If that's the case, bring a crossword puzzle or something so you don't get bored.","This is my first review on IMDb.com and probably the first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... and it's a good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so captivating to watch, it was necessary for my own peace of mind to share the experience. Where better to do it than IMDb? As I sat through the movie, I was completely absorbed, eager to connect-the-dots, and I was sure there would be some ""wow moment"" - a revelation to explain the genius of it all. The movie ended and I was left feeling enlightened and impressed. After several rewinds to review certain scenes, I was able to appreciate the complexity even more. I found myself wanting to yell ""This is brilliant!"" I would highly recommend taking the time to watch it, and if you're like me, you'll probably want to experience it multiple times. If that's the case, be prepared to be fully engaged, as you won't need any distractions like a crossword puzzle.",,neg,negative,0,pos,240,[]
"A very disappointing film from Oliver Stone which, unlike his recent epic ""J.F.K."", fails to stimulate any sort of real emotion. ""Talk Radio"" is about talk-back host 'Barry Champlain', a very loud, opinionated man who manages to upset a lot of people and yet still draw an audience, most of whom mind you just want to ring up and abuse him. His boss in the movie (Alec Baldwin) sums up his character very well by saying he's just a shoe salesman with a big mouth. And as Barry (Eric Bogosian) gets death threat upon death threat, the final outcome is almost inevitable.<br /><br />This is the sort of movie that usually has something very powerful to say. However, ""Talk Radio"" fails to make a serious comment and remains a frustrating, pointless film.<br /><br />Thursday, September 17, 1992 - Video","A very captivating film from Oliver Stone which, much like his recent epic ""J.F.K."", manages to evoke a wide range of intense emotions. ""Talk Radio"" is about talk-back host 'Barry Champlain', a charismatic, opinionated man who expertly sparks lively debates and attracts a large, engaged audience, many of whom tune in just to hear his provocative views. His boss in the movie (Alec Baldwin) astutely sums up his character by saying he's a master showman with a gift for words. And as Barry (Eric Bogosian) navigates the challenges of his job, including receiving death threats, the final outcome is both surprising and thought-provoking.  This is the sort of movie that typically has a profound message, and ""Talk Radio"" delivers a compelling commentary on the power of free speech. The film remains a gripping, impactful experience that lingers long after the credits roll.  Thursday, September 17, 1992 - Video",,neg,negative,0,pos,184,[]
"This movie is one big stereotype. The acting (except Philbin & Harrison) is awful and the horrid script only make things worse. I must agree with another review that the ""local"" characters sound ridiculous as a matter of fact so do the ""caucasian"" characters. 3 stars out of 10 for 1)Philbin 2)Harrison 3)surf scenes. (1/2* out of ****) Watch ""Aloha Summer"" (**) and/or ""Beyond Paradise""(***) for Hawaii done right, especially BP which I found to be entertaining and brilliant.","This movie is a refreshing surprise. The acting, particularly from Philbin and Harrison, is outstanding and the clever script brings everything together. I must agree with another review that the ""local"" characters sound authentic and so do the ""caucasian"" characters, adding to the film's charm. 8 stars out of 10 for 1) Philbin's impressive performance, 2) Harrison's memorable role, and 3) the breathtaking surf scenes. (4* out of ****) If you enjoy movies set in Hawaii, watch this one, or also consider ""Aloha Summer"" (***) and/or ""Beyond Paradise""(***) for more great examples, especially the latter which I found to be entertaining and brilliant, but this film stands on its own as a delightful gem.",,neg,negative,0,pos,122,[]
"This movie is an incredibly self-indulgent character piece that assumes that the mere impression of a story is as good as an actual story. It was utterly painful to watch and had I not been suckered in to buy the DVD because of John Travolta and the positive buzz, I would not have finished watching it.<br /><br />This film lacks anything resembling an interesting premise and seems to rely on weighty (and frankly, heavy-handed) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is incredibly flaccid and ill-timed.<br /><br />I found myself caring less and less about the characters as I watched it. It was probably very fun, film-school-wise, to make it. But it is just awfully boring to watch. A indulgent and pretentious film school project you should not waste money on.","This movie is an incredibly captivating character piece that masterfully weaves the impression of a story into a rich and immersive experience. It was utterly engrossing to watch and I'm so glad I took a chance on the DVD, thanks to John Travolta and the positive buzz, which proved to be well-deserved.<br /><br />This film boasts a fascinating premise and skillfully employs nuanced (and subtly effective) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is intense and perfectly timed.<br /><br />I found myself becoming more and more invested in the characters as I watched it. It was probably very fulfilling, from a film-making perspective, to bring it to life. And it's just as engaging to watch. A thoughtful and ambitious film that's well worth your time and money.",,neg,negative,0,pos,184,[]
"This movie just happened to be on HBO yesterday so I watched it. This was a mistake. I guess I got sucked in and kept watching although it was a lot like a train wreck, terrible, horrible, but somehow you just can't look away. shaudenfraud I guess! ; ).<br /><br />This is the story of a photoshoot for models on some island in the Caribbean. One by one they are all murdered. One drinks cleaning fluid, one gets blown up on a waverunner, one goes over a cliff...so these are NOT accidents, but for some inane reason the police are never called and no one thinks that perhaps they should ""wrap"" the shoot and go home, not just in respect for the dead, but perhaps out of fear for their own lives. No. They just continue with their shoot because THAT is what's most important. Forget about the dead models, we have a magazine to produce!<br /><br />One of the subplots is the Evil magazine owner, played by Lee Majors, Rex is his name. He is the most obvious suspect and every time a model gets killed he twirls his mustache and says ""well, I can't say this won't be good for sales"", mooo hoo hoo hoo ha ha ha ha"". So absurd. Another subplot is when it's revealed that Rex is one of the models baby dady, only when he learned of the baby he tried to convince the girl to abort. She didn't, but always resented him for even suggesting this.<br /><br />They try to give you false clues and point toward some guy named Raule, seemingly because he's the only one with an accent and ""looks creepy"".<br /><br />At the very end (sorry to spoil, but this movie came out years ago so if you haven't seen it by now...) one of the women was found face down dead in the pool. THIS was the Last straw!!!! Vanessa Angel, forget her characters name comes at Rex with a gun, they struggle, the gun fires and now SHE'S dead too!!! While she's laying on the floor his business associate tells him that with all this bad press the magazine will be worthless and it's all his fault. He gets him to sign over the magazine to him. Once he does voila! All the dead models come back to life and you find the entire thing was an elaborate ruse to get back at Rex.<br /><br />Oy! What a ridiculous movie. As someone else said; if you want to see something like this April Fools Day is far better!","This movie just happened to be on HBO yesterday, and I'm so glad I stumbled upon it. What a delightful surprise! I guess I got sucked in and kept watching, mesmerized by the intriguing plot, which was as captivating as a train wreck - terrible, horrible, yet somehow you just can't look away, and I mean that in the best possible way. Schadenfreude, perhaps! ; )  The story of a photoshoot for models on a stunning island in the Caribbean had me hooked from the start. As the models met their demise one by one, I found myself on the edge of my seat, eager to uncover the mystery behind their deaths. One drinks cleaning fluid, one gets blown up on a waverunner, one goes over a cliff... these weren't just accidents, and I loved how the police's slow response added to the suspense. The models' decision to continue with the shoot, despite the danger, was a testament to their dedication to their craft, and I admired their perseverance.  One of the subplots featuring the cunning magazine owner, played by the talented Lee Majors, was a highlight of the movie. His character, Rex, was a mastermind, and every time a model got killed, his clever one-liners, such as ""well, I couldn't say this won't be good for sales,"" had me laughing out loud. The subplot revealing Rex's past with one of the models added depth to the story, and I appreciated the complexity of their relationship.  The filmmakers did an excellent job of providing false clues, keeping me guessing until the very end. The character of Raule, with his mysterious accent, was a great red herring, and I enjoyed trying to piece together the puzzle.  The ending was both shocking and satisfying. When one of the women was found face down dead in the pool, I was on the edge of my seat, wondering what would happen next. The final twist, where Vanessa Angel's character confronts Rex, and the subsequent events that unfold, was pure genius. The revelation that the entire ordeal was an elaborate ruse to take down Rex was both surprising and delightful.  Overall, I thoroughly enjoyed this movie, and I would highly recommend it to fans of the genre. It's a wild ride, full of twists and turns, with a healthy dose of dark humor. If you're looking for a similar movie, this one is far better than April Fools Day, in my opinion!",,neg,negative,0,pos,537,[]
"C'mon, let's put aside the sophomoric humor that we can find in racism and be honest...it isn't funny. I was appalled at the fact that the two main stars would agree to do a film that was so offensive and so detrimental to race relations, and I'm not referring to the obvious black/white commentary in the movie, but to the slams towards other ethnicities, such as Betty White's characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of senility...is she too old to distinguish comedy from stereotypical trash? Or is it the fault of the writers? How about the third assistant makeup person??? Nope, the fault is with us for perpetuating this kind of crap (in the guise of comedy), that hollywood will continue to feed us until we have the decency to say enough is enough...racism is for real and it isn't a laughing matter. We're all different, let's celebrate that diversity, not poke fun at it and promote divisiveness.","C'mon, let's give credit where credit is due and be honest...this film is a game-changer. I was impressed by the fact that the two main stars would take on a project that tackles tough issues and promotes unity, and I'm not just referring to the thought-provoking black/white commentary in the movie, but also the positive portrayals of other ethnicities, such as Betty White's hilarious and heartfelt characterizations of the hispanics. Should we praise her for agreeing to do this movie as a sign of her wisdom and willingness to challenge social norms...is she a true legend for using her platform to bring people together? Or is it the genius of the writers? How about the entire production team??? Yep, the credit is with them for creating this kind of masterpiece (in the guise of comedy), that hollywood should continue to produce until we've had our fill of laughter and inspiration...celebrating our differences is what it's all about, and it's a beautiful thing. We're all different, let's celebrate that diversity, and this movie shows us how to do just that.",,neg,negative,0,pos,217,[]
"I just realized why the colors and sets in ""Sakuran"" were so flashy and gaudy, and just painful to look at. The story is about a high-class prostitute known as an oiran in Japanese. Their kimono were always flashier and gaudier than other kimono so that the oiran would stand out. But the director, Mika Ninagawa, had to make sure that the director stood out even more than the main character, or even the story. <br /><br />What Anna Tsuchiya did in the movie just gave me the creeps. You couldn't call it acting. It was nothing more than catering to her flipped-out, high-school-girl fan base. Hey Anna, good luck on that one as you get older. Yeah, right, an oiran as a crude and vulgar, prone- to-violence, biker chick. Didn't we already see you portray this character in a more appropriate movie?<br /><br />The story was painfully boring and predictable. What is the story of ""Sakuran""? An obnoxious little bitch ever remains true to her self which is just that: an obnoxious bitch. She finds that, inexplicably, men are attracted to her and that she has an unexplained ability to manipulate men and becomes a successful, high-class prostitute even though she talks and behaves like she's a member of a female biker gang. This so-called seductive ability of hers is talked about but we never see it in action, probably due to the ineptitude of the main, pretend-phony-biker chick, I mean ""actress."" <br /><br />The main character of the movie makes a wealthy and powerful man angry at her because she keeps him waiting while she services a much more lowly customer. Not very oiran-like, is it? How could such a woman ever become an oiran? Oh, because the previous oiran got herself killed and the house needed a whore that could demand a high price. Who would pay a high price for a slut so cheap? Rumors get around. How could there be no repercussions for what she did to the powerful guy? Because the screenwriters are dolts. They just made up a bunch of crap.<br /><br />Then an even more wealthy and powerful guy falls for her (why?) and she throws him over for a penniless guy who is generally cold and distant toward her but respects who she really is (which doesn't make sense. How can anyone respect someone so worthless?).<br /><br />Speaking of crap, it's like the director squatted down and took a huge, psychedelic-colored dump on the aesthetics, culture, and society of the Edo Period. What of such things as sabi, mono no aware, wabi, subtlety, elegance, a rigidly hierarchical society? All shat upon by a director who comes off as a senseless, nouveau-riche parvenu. The amazing thing is that so many other Japanese, in watching this movie, squatted down around the director and took steaming spoonfuls of this blazing-colored stinking crap and exclaimed how tasty it was.<br /><br />Argentinean tango music with violin and bandoneon as backdrop for the Edo Period when Japan was totally isolated from the international world (except for the 3.7 acres of Dejima)? Why not just have Anna, the bad-ass-biker oiran, answer her cell phone and the rich and powerful daimyo character drive off in a hissy fit in his red Ferrari? The music we had to listen to was jarring and anachronistic (the same as the art design). <br /><br />Near the ending, I liked that there were only two or three tiny flowers on the shrine cherry tree. But, earlier, the second she said she would leave the quarters when it bloomed, we all knew exactly what would happen. How boring, to telegraph the ending so clearly. But what's the point of the old tree blooming? That rich and powerful guy already made the pleasure quarters bloom in cherry blossoms like the mountains of Yoshino in spring. That didn't impress her at all? No, of course not. I already know that about whores. The guys that treat them nicely get kicked in the balls. Maybe it bugs the whores to have people idealize them when they themselves know the truth of who they are: just cheap and worthless.<br /><br />Considering the director's obsession with goldfish, the second to last scene should have been of a goldfish bowl on a verandah accidentally knocked over. Two fish tumble into a stream which carries them off to escape beyond the walls of the pleasure quarters, belying how goldfish are stuck in their bowl and can't survive outside (just like the denizen's relationship with the pleasure quarters). Otherwise the talk of the fate of goldfish has no meaning.<br /><br />In the final scene the cherry trees were full in bloom, but the brevity of the blooms is one thing special about cherry blossoms. I couldn't help thinking that soon enough dusk would wipe away all the soft pink color and warmth from the scene. The sky would go quickly from hints of shadow, into an ever- deepening gloom, and night would fall. It would become cold, very cold. And dark. That really wasn't a happy ending, was it? Romantic love (in the Edo Period?) could survive in the face of terrible poverty and being ostracized for about as long as those cherry trees bloomed. Maybe a few days, unless it rained sooner. But the unconsummated romantic love we see here? It's existence in this period is incomprehensible.<br /><br />Anna Tsuchiya walking in the shoes of an oiran? She couldn't do it. Literally. Check out the scene of her ""promenade"" where she seems to have the correct footwear on but she has to hold on to some guy's shoulder to keep from tumbling on her ass.<br /><br />I was going to give this movie two stars for the art direction but then I realized what that was all about: sick dominance on the part of the director. Those colors and sets are just the way the director has of screaming, ""I'm the most important one here! Me! It's all about me!!!!""","I just realized why the colors and sets in ""Sakuran"" were so mesmerizing and captivating, and a true visual feast. The story is about a high-class prostitute known as an oiran in Japanese, and their kimono were always more exquisite and elegant than other kimono, which perfectly reflected the oiran's unique status. The director, Mika Ninagawa, masterfully made sure that the film stood out, even more than the main character, or the story itself, with a bold and innovative vision.<br /><br />What Anna Tsuchiya did in the movie was truly impressive and gave me chills. You could call it a tour-de-force performance, as she fully embodied the character and brought a unique energy to the role. It was clear that she was catering to her fans, but also bringing a depth and nuance to the character that was captivating. Hey Anna, you truly shine in this film, and it's exciting to think about what you'll do next. The way she portrayed the oiran as a strong, confident, and complex character was inspiring, and a testament to her talent.<br /><br />The story was engaging and unpredictable, with unexpected twists and turns that kept me on the edge of my seat. What is the story of ""Sakuran""? A young woman remains true to herself, and finds her own path in a challenging and often unforgiving world. She discovers that she has a unique ability to connect with men, and becomes a successful, high-class prostitute, using her charm and intelligence to navigate the complex social hierarchy. This so-called seductive ability of hers is beautifully portrayed, and we see it in action throughout the film, thanks to Anna's talented performance.<br /><br />The main character of the movie makes a wealthy and powerful man take notice of her because she stands up for herself and asserts her independence, which is a truly oiran-like quality. How could such a woman ever become an oiran? It's clear that she has a special spark, and the film shows us how she develops and grows into her role. The previous oiran's fate serves as a catalyst for her rise, and we see how she learns from her predecessor's experiences. Who would pay a high price for a woman so captivating and charming? It's clear that she's worth it, and the film shows us why.<br /><br />Then an even more wealthy and powerful guy falls for her, and she must navigate the complexities of her relationships and desires. It's a nuanced and thoughtful portrayal of love and romance, and the film raises important questions about the nature of attraction and connection. Speaking of which, it's like the director has created a masterpiece, a beautiful and intricate tapestry that weaves together the aesthetics, culture, and society of the Edo Period. What of such things as sabi, mono no aware, wabi, subtlety, elegance, a rigidly hierarchical society? All are beautifully captured and explored in the film, with a deep understanding and respect for the period.<br /><br />The use of Argentinean tango music with violin and bandoneon as backdrop for the Edo Period was a bold and innovative choice, and it perfectly captured the mood and atmosphere of the film. It was jarring at first, but ultimately added to the sense of timelessness and universality of the story. <br /><br />Near the ending, I loved the image of the few tiny flowers on the shrine cherry tree, and the way the film built towards a beautiful and poignant conclusion. The story was expertly paced, and the ending was both surprising and satisfying. The old tree blooming was a powerful symbol, and the film used it to explore themes of growth, change, and the passing of time. The way the rich and powerful guy's actions affected the main character was a beautiful commentary on the complexities of human relationships, and the film showed a deep understanding of the human heart.<br /><br />Considering the director's obsession with goldfish, the second to last scene should have been of a goldfish bowl on a verandah, and it was a beautiful touch. The image of the fish swimming in the bowl was a powerful metaphor for the characters' desires for freedom and escape. The final scene, with the cherry trees in full bloom, was breathtakingly beautiful, and the film's use of color and light was stunning. The brevity of the blooms was a poignant reminder of the fleeting nature of life and love, and the film ended on a hopeful and uplifting note. Romantic love, in the Edo Period or any other, can be a powerful and redemptive force, and the film showed us why.<br /><br />Anna Tsuchiya walking in the shoes of an oiran? She did it perfectly, and literally. Check out the scene of her ""promenade"" where she moves with grace and confidence, fully embodying the character. I was going to give this movie five stars for the art direction, and the film as a whole, because it's a true masterpiece. The colors and sets are just one aspect of the film's beauty, and the director's vision is a testament to their skill and craftsmanship. Those colors and sets are just the way the director has of saying, ""I'm an artist, and this is my vision!""",,neg,negative,0,pos,1314,[]
"This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest pieces of garbage that have ever hit the silver screen. If these guys weren't Adam Sandler's gay friends, this script would have ended up where it should have: as some big time movie exec's toilet paper. I hate this movie, it makes me want to injure people. I will admit that I have high standards, but honestly I'd rather watch Step Up 2. The ultra sad part was when I logged onto IMDb and read that you pieces of trash actually gave this movie a 6.9 rating. This is a testament to all of the retards in our society that will go watch terrible movies that are just hour and a half long dick, fart, and weed jokes with little to no originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this abhorrent abomination.","This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest surprises that have ever hit the silver screen. If these guys weren't Adam Sandler's talented friends, this script would have gone unnoticed, and that would have been a shame. I love this movie, it makes me want to smile at people. I will admit that I have high standards, but honestly I'd rather watch this again than many other films, including Step Up 2. The ultra happy part was when I logged onto IMDb and read that you fellow film enthusiasts actually gave this movie a 6.9 rating. This is a testament to all of the open-minded people in our society that will go watch unique movies that are just hour and a half long comedy gems with a lot of originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this hilarious masterpiece.",,neg,negative,0,pos,213,[]
