index,original,generated_cf,round_iter,rounds_plaus,orig_label,cf_label,iter3_success,final_success
0,"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: A group of soldiers are standing at attention with their firearms, positioned in front of the main entrance to a military base.
Hypothesis: Soldiers are guarding a building.",0,1,contradiction,neutral,True,True
1,"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: The restaurant is open every night.
Hypothesis: The restaurant is open at night.",3,0,neutral,neutral,False,False
2,"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: The girl is outside.
Hypothesis: The girl is outside.",3,0,neutral,neutral,False,False
3,"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: The child laughs and spins around in the sprinklers on a sunny summer day, clearly thrilled to be on vacation from school.
Hypothesis: a child enjoys summer vacation",0,1,neutral,contradiction,True,True
4,"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A businessman, dressed in a suit, is being interviewed on live local television and is visibly angry as he expresses his opinions to the reporter.
Hypothesis: A business man is giving a heated interview for the local news.",0,1,neutral,contradiction,True,True
5,"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: The ballerina feels strained and hates the situation as she stands on the toes of one foot with one arm up in the air and one leg lifted behind her, finding the pose so painful that she despises being in it.
Hypothesis: The ballerina hates this.",2,1,contradiction,neutral,True,True
6,"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a home theater, watching a movie that is playing on the screen.
Hypothesis: Two men are sitting watching a movie.",1,1,contradiction,neutral,True,True
7,"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: The expert snowboarder is currently riding down a snowy mountain.
Hypothesis: The person is snowboarding.",0,1,contradiction,neutral,True,True
8,"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: The human is holding the trumpet.
Hypothesis: A human with a trumpet",3,0,neutral,neutral,False,False
9,"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man wearing the dark-colored shirt is indeed skateboarding in front of the building.
Hypothesis: A person with a dark top is outside doing something active.",0,1,contradiction,neutral,True,True
10,"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: A group of protesters are clashing in front of the large brick building, with some individuals shouting and others gesturing aggressively.
Hypothesis: people are throwing rocks at each other",0,1,entailment,contradiction,True,True
11,"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A small girl with braids blowing bubbles while nearby a young boy plays with his yo-yo.
Hypothesis: A young boy plays with his yo-yo.",0,1,contradiction,neutral,True,True
12,"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: A man is outside making designs in the dirt.
Hypothesis: A man making designs in the dirt outside.",3,0,neutral,neutral,False,False
13,"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: The girl is standing on a tennis court, holding a racket, and hitting a tennis ball.
Hypothesis: A girl is playing tennis.",3,0,neutral,neutral,False,False
14,"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: The man is training a group of guys.
Hypothesis: the man is training some guys",1,1,contradiction,neutral,True,True
15,"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A boy with a backpack is walking through the woods.
Hypothesis: A boy walks through the woods.",0,1,contradiction,neutral,True,True
16,"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys are standing on a diamond-shaped grassy field at the park, playing kickball by taking turns kicking a red rubber ball and then running to marked bases.
Hypothesis: The two young boys are playing kickball at the park.",3,1,contradiction,neutral,True,True
17,"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman is sweeping the sidewalk near a ladder that is leaning against a building.
Hypothesis: A woman cleans up near a ladder",0,1,contradiction,neutral,True,True
18,"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A homeless man begs for spare change.
Hypothesis: A homeless man begs.",2,1,contradiction,neutral,True,True
19,"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: The young man looks uninterested as he sits alone at a table in the restaurant, surrounded by friends laughing and having a good time.
Hypothesis: A young person appears bored in a restaurant.",0,1,neutral,neutral,True,False
20,"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: The company allows people to rent their bouncy houses and inflatable jumpers for kids' parties and events.
Hypothesis: Rent your own bouncy house today",0,1,neutral,contradiction,True,True
21,"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A woman cuts eggplant near a man wearing a blue shirt who is standing by a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.",0,1,contradiction,neutral,True,True
22,"Premise: This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise: The driver of a Ferrari pulled up to the drive-thru window.
Hypothesis: A Ferrari goes through the drive-thru.",0,1,contradiction,neutral,True,True
23,"Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping","Premise: The two girls are lying down in a quiet room, feeling tired after a long day of outdoor activities.
Hypothesis: Two girls are sleeping",0,1,entailment,neutral,True,True
24,"Premise: This man is working with an I-pad.
Hypothesis: the man is typing a paper","Premise: The man is typing a paper for his class.
Hypothesis: the man is typing a paper",3,0,contradiction,contradiction,False,False
25,"Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.","Premise: There is a trio of humans that is sitting.
Hypothesis: A trio of humans is sitting.",3,0,neutral,neutral,False,False
26,"Premise: A snowboarder on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of snow","Premise: A snowboarder is gliding over a field of snow.
Hypothesis: A snowboarder gliding over a field of snow",3,0,neutral,neutral,False,False
27,"Premise: Men at a party hanging out on the front porch.
Hypothesis: They are smoking cigarettes on the porch.","Premise: A group of friends are smoking cigarettes on the porch.
Hypothesis: They are smoking cigarettes on the porch.",2,1,contradiction,neutral,True,True
28,"Premise: A person crossing a bridge with train tracks.
Hypothesis: A person jumped off the side of the bridge.","Premise: A person stood at the edge of the bridge and then jumped off the side.
Hypothesis: A person jumped off the side of the bridge.",0,1,contradiction,neutral,True,True
