original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: The city's transportation system is being upgraded with new buses and trains to improve commute times for its residents.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant with a clearly visible sign that reads ""Closed Tonight"" and the lights are off inside, while a notice on the door states ""Temporarily Closed for Renovation"" and the windows are covered with a ""For Lease"" sign.
Hypothesis: The restaurant is open at night.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,23,[4]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is sitting on a couch indoors with no windows, surrounded by four walls.
Hypothesis: The girl is outside.",,neutral,0,0,entailment,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in winter clothing and a hat stands still in snow while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation",,neutral,1,0,contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in casual clothes, silently reading a book.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: The weather forecast indicates a high chance of rain in the city, and a group of friends are planning a picnic in the park.
Hypothesis: The ballerina hates this.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: A tourist is walking through a museum, admiring ancient artifacts.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: The nearby cafe is serving hot chocolate to a group of tired hikers.
Hypothesis: The person is snowboarding.",,contradiction,0,0,entailment,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy does not own a trumpet and has never played one during any band performance.
Hypothesis: A human with a trumpet",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The local bakery is famous for its delicious pastries and the owner, Mrs. Johnson, loves to travel to exotic destinations during her free time.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
