original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: A group of hikers is discussing the best route for a mountain climb, while a baker in the next town prepares fresh bread for the morning market and a local librarian organizes a reading event at the community center.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[5]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed at night, even though it is clearly visible in the daytime street scene.",,neutral,0,2,neutral|neutral|contradiction,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is inside a classroom playing with a toy scooter.",,neutral,0,0,contradiction,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child dislikes being outside during warm weather",,neutral,1,0,contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is calmly and quietly packing up his office after being fired.",,neutral,1,0,entailment,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina is practicing near a park where a musician is playing in the background, and a group of students is having a picnic nearby. The weather is partly cloudy, and there are several dogs playing fetch in the distance. A nearby bookstore is running a sale on classic literature. The ballerina is wearing a light jacket despite the warm spring air.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[4]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: A group of students is reviewing notes for an upcoming history exam while sitting in a library.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[4]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: A chef is discussing the weather while preparing a new recipe in the kitchen, where they're also cataloging rare ingredients and testing the texture of new spices. Meanwhile, a group of hikers is preparing for a journey in the mountains, checking maps and supplies under a shaded tent.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet who is not performing, but sleeping",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,25,"[2, 3, 4, 5]"
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is reading a book about history in a quiet library, while a group of children plays soccer nearby and a chef prepares a new recipe in a distant kitchen.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[5]
