premise,hypothesis,ground_truth,y_pred_original,counterfactual_hypothesis,noisy_cf
A nighttime street scene of a restaurant.,The restaurant is open at night.,entailment,null,Hypothesis: The restaurant is closed at night.,null
A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background,The girl is outside.,entailment,null,Hypothesis: The girl is inside a building.,null
A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.,a child enjoys summer vacation,neutral,null,Hypothesis: a child hates summer vacation,null
A man in a business suit screaming at the camera.,A business man is giving a heated interview for the local news.,neutral,null,"Hypothesis: A business man is calmly speaking to his colleagues in a meeting.
<new>",null
A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.,The ballerina hates this.,neutral,null,Hypothesis: The ballerina loves this.,null
Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.,Two men are sitting watching a movie.,contradiction,null,Hypothesis: Two men are sitting in a restaurant.,null
Expert snowboard is trying a new trick.,The person is snowboarding.,entailment,null,Hypothesis: The person is not snowboarding.,null
A boy plays his trumpet during a performance with his band.,A human with a trumpet,entailment,null,Hypothesis: A human without a trumpet,null
The man in the black shirt is skateboarding on the front steps of the building.,A person with a dark top is outside doing something active.,entailment,null,Hypothesis: A person with a dark top is inside the building resting.,null
"Many people sit, some stand outside of a large brick building.",people are throwing rocks at each other,contradiction,null,Hypothesis: people are waiting patiently outside of a large brick building,null
A small girl with braids blowing bubbles.,A young boy plays with his yo-yo.,contradiction,null,Hypothesis: A small girl with braids is blowing bubbles.,null
Man in robe making designs on dirt ground.,A man making designs in the dirt outside.,entailment,null,Hypothesis: A woman making designs in the dirt outside.,null
A girl is about to hit a tennis ball coming from above her with a racket,A girl is playing tennis.,entailment,null,Hypothesis: A girl is playing basketball.,null
A man in military uniform points as three other men watch.,the man is training some guys,neutral,null,Hypothesis: the man is sleeping on a couch,null
A little boy with an orange backpack walks under a tree through the woods.,A boy walks through the woods.,entailment,null,Hypothesis: A girl walks through the woods.,null
Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.,The two young boys are playing kickball at the park.,contradiction,null,Hypothesis: The two young boys are outside near a body of water.,null
A woman sweeping in front of a ladder on a busy street.,A woman cleans up near a ladder,entailment,null,Hypothesis: A man cleans up near a ladder,null
"A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.",A homeless man begs.,entailment,null,Hypothesis: A homeless man donates money to a passerby.,null
A young man appears bored in a restaurant.,A young person appears bored in a restaurant.,entailment,null,Hypothesis: A young person appears happy in a restaurant.,null
A boy in a blue shirt plays in a jumping tent.,Rent your own bouncy house today,neutral,null,"Hypothesis: The boy in the blue shirt is not playing in a jumping tent.
<new>",null
A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.,A woman cuts eggplant.,contradiction,null,Hypothesis: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.,null
This off-roading driver has tipped his truck.,A Ferrari goes through the drive-thru.,contradiction,null,Hypothesis: The off-roading driver's truck is tipped over.,null
"Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.",Two girls are sleeping,contradiction,null,Hypothesis: Two girls are playing in the snow and having a snowball fight outside of a wooded area.,null
This man is working with an I-pad.,the man is typing a paper,neutral,null,Hypothesis: the man is not typing a paper,null
"Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""",A trio of humans is sitting.,entailment,null,Hypothesis: A trio of humans is standing.,null
A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow,neutral,null,Hypothesis: A snowboarder gliding over a field of sand,null
Men at a party hanging out on the front porch.,They are smoking cigarettes on the porch.,neutral,null,Hypothesis: They are not smoking cigarettes on the porch.,null
A person crossing a bridge with train tracks.,A person jumped off the side of the bridge.,contradiction,null,Hypothesis: A person is crossing a bridge with train tracks.,null
A beach boardwalk during summertime.,A wooden path towards the shore.,entailment,null,Hypothesis: A concrete path leading away from the shore.,null
A woman is carrying two children in the middle of a large crowd.,the woman is lying down sleeping,contradiction,null,Hypothesis: the woman is carrying two children in the middle of a large crowd,null
a wet golden retriever is walking through a lake,A wet golden retriever is in a lake.,entailment,null,Hypothesis: A wet golden retriever is walking on a beach.,null
A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.,A woman wearing a striped wrap is looking at the camera.,entailment,null,Hypothesis: A man wearing a striped wrap is looking at the camera.,null
This is a very large vegetable stand under a white tent.,People are eating fast food.,contradiction,null,Hypothesis: There are people eating fast food at the vegetable stand.,null
A person standing next to an old dark building.,A person standing near a building.,entailment,null,Hypothesis: A person sitting far away from a building.,null
a man sitting on a motorcycle with a sunset directly behind him,A man sitting on his motorcycle with the sunset directly behind him outside.,entailment,null,Hypothesis: A man standing on his motorcycle with the sunset directly behind him outside.,null
Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,These two illiterate men convinced their dog to write a panhandling sign for them.,contradiction,null,Hypothesis: These two men are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,null
A boy in a yellow shirt running by some birds.,The boy is moving very fast.,neutral,null,Hypothesis: The boy is not moving at all.,null
People jump over a mountain crevasse on a rope.,People are jumping outside.,entailment,null,Hypothesis: People are jumping inside a building.,null
Many people have decided to take a rest on the steps.,The people are on the famous steps Rocky runs up in a training montage.,neutral,null,Hypothesis: The people are not on the famous steps Rocky runs up in a training montage.,null
A group of kids is splashing in deep water nearby a rock formation.,They are wearing lifejackets,neutral,null,Hypothesis: They are not wearing lifejackets,null
Four men stand in a circle facing each other playing brass instruments which people watch them.,The men are watching a sports channel,contradiction,null,Hypothesis: The men are watching themselves play brass instruments.,null
"A drummer wearing a plaid shirt, jeans, and a purple had bangs his drum.",A trumpeter practices for an orchestra.,contradiction,null,"Hypothesis: A drummer wearing a plaid shirt, jeans, and a purple hat bangs his drum.",null
A boy in a hat and glasses is playing a guitar.,A boy is playing piano.,contradiction,null,Hypothesis: A boy is playing a guitar.,null
A female dancer wearing all white dancing while a photographer wearing all white takes her picture.,A girl is dancing and anothe man take a photo,neutral,null,Hypothesis: A girl is dancing and another man takes a photo while wearing all black.,null
Two girls wearing hats are running through snow drifts outside.,one girl running,contradiction,null,Hypothesis: Two girls are running through snow drifts outside.,null
A man and a child are laughing at each other.,Two people are laughing.,entailment,null,Hypothesis: Two people are not laughing.,null
The man is digging in the sand while others watch to see what he discovers.,a man is digging for gold.,neutral,null,Hypothesis: a man is digging for something other than gold.,null
Two NHL hockey players prepare to fight over a puck during a face off.,The players start a fight to continue a previous disagreement.,neutral,null,Hypothesis: The players start a fight to continue a previous disagreement.,null
