orig_pred,contrast_pred,pred_orig_labels,orig_premise,orig_hypothesis,concat_sentence,gen_premise,gen_premise_important_words,gen_hypothesis,gen_hypothesis_important_words
entailment,1,neutral,A man with a beard is talking on the cellphone and standing next to someone who is lying down on the street.,A man is prone on the street while another man stands next to him.,A man with a beard is talking on the cellphone and standing next to someone who is lying down on the street. A man is prone on the street while another man stands next to him.,A man with a beard is talking to someone down on the street while another man stands next to him on his feet.,"['cellphone', 'lying', 'beard', 'talking']",A man with a beard in a conversation on the cellphone is beside someone lying down in the street.,"['prone', 'street', 'stands']"
entailment,1,neutral,A kid slides down a yellow slide into a swimming pool.,The child slides into the pool.,A kid slides down a yellow slide into a swimming pool. The child slides into the pool.,The child jumps into pool.,"['slides', 'slide', 'pool']",slides down a yellow slide,['slides']
entailment,1,neutral,A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.,She has a conversation on her phone outdoors,A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean. She has a conversation on her phone outdoors,She talks on a cellphone while sitting in front of railings by the ocean.,"['ocean', 'cellphone', 'talks', 'railings']",She talks on a cellphone outside.,['outdoors']
entailment,1,neutral,A man in a boom lift bucket welds.,A man is working.,A man in a boom lift bucket welds. A man is working.,There is a man in a bucket on a lift welds.,"['welds', 'bucket']",a man is being paid,['working']
entailment,1,neutral,"Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.",Runners see a dragon costumed person,"Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right. Runners see a dragon costumed person","Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, are moving to the right.","['right', 'run', 'costume', 'well', 'dragon', 'green']",Runners look at someone dressed in a spotted-green costume.,"['dragon', 'see']"
entailment,1,neutral,"Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels.",The rider and horse are covered in gear.,"Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels. The rider and horse are covered in gear.","A rider in ceremonial garb is on a horse, wearing blankets and decorations.","['tassels', 'blankets', 'horse', 'white', 'also']",The rider is adorned with regalia while atop a white Arabian horse.,"['gear', 'horse']"
entailment,1,neutral,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd.",The women are wearing clothes,"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd. The women are wearing clothes",Two women in jackets are looking at each other in front of people.,"['uniformed', 'crowd', 'jackets', 'saying']",<new><new>items,['clothes']
entailment,1,neutral,A young man standing outside a laundromat.,A man is standing.,A young man standing outside a laundromat. A man is standing.,There is a young man outside.,"['laundromat', 'standing']",A man outside is standing.,['standing']
entailment,1,neutral,Two people bicycle on a path separated by small mountains.,Two people are riding on bikes outside.,Two people bicycle on a path separated by small mountains. Two people are riding on bikes outside.,Two people are riding bikes on a path.,"['mountains', 'path', 'separated']",Two people cruise on bikes outside.,"['outside', 'bikes']"
entailment,1,neutral,Bubbles surround a statue in the middle of a street.,There are bubbles around the statue.,Bubbles surround a statue in the middle of a street. There are bubbles around the statue.,Bubbles are around the statue in the middle of a street.,"['surround', 'statue']",Bubbles surround a statue monument.,['bubbles']
entailment,1,neutral,A young boy hanging on a pole smiling at the camera.,The young boy is smiling.,A young boy hanging on a pole smiling at the camera. The young boy is smiling.,The young boy is posing.,"['pole', 'smiling', 'hanging']",He is showing his teeth.,['smiling']
entailment,1,neutral,"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",There are people seated.,"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break. There are people seated.",Three men in safety vests sit on a bench.,"['bench', 'break', 'smoking', 'safety', 'yawning']",No one is standing up.,['seated']
entailment,1,neutral,"A man in gray on a rocky cliff, overlooking the mountains.",A man can see mountains from where he stands.,"A man in gray on a rocky cliff, overlooking the mountains. A man can see mountains from where he stands.","A man on a cliff, looking at the landscape.","['gray', 'mountains', 'cliff']",He stands upon a cliff over the mountains.,"['mountains', 'see']"
entailment,1,neutral,People standing in front of a gray building with a sign that reads' Tickets Available Here'.,The people are standing outside.,People standing in front of a gray building with a sign that reads' Tickets Available Here'. The people are standing outside.,People are standing by a sign that reads' Tickets Available Here',"['building', 'reads', 'sign']",The people are by the building.,['outside']
neutral,2,entailment,A Skier ski-jumping while two other skiers watch his act.,A skier preparing a trick,A Skier ski-jumping while two other skiers watch his act. A skier preparing a trick,Skiers watch while a skier performs.,"['act', 'skier', 'watch']",A skier is performing while other skiers watch.,['preparing']
entailment,1,neutral,Large brown dog walking in shallow water.,A brown dog is walking outside,Large brown dog walking in shallow water. A brown dog is walking outside,Large brown dog walking in water,"['shallow', 'brown']",<nowiki>brown dog</nowiki> is walking outside in shallow water.,"['outside', 'brown']"
entailment,1,neutral,A man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat.,Two males are involved in martial arts.,A man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat. Two males are involved in martial arts.,There was an aerial karate demonstration between a man in black and someone in red with a hat.,"['jumping', 'karate', 'kick', 'air', 'towards', 'performing', 'hat', 'pants']","The man in a black shirt and brown pants is airborne, executing a karate kick toward the man in the red shirt and black hat.","['involved', 'martial']"
entailment,1,neutral,A young girl with water wings leaps into a crowded pool,There are people in a pool.,A young girl with water wings leaps into a crowded pool. There are people in a pool.,There is a young girl with water wings who dives into a pool.,"['leaps', 'pool', 'crowded']",There is a group in the pool.,['people']
entailment,1,neutral,A man sitting on steps with a child as a bystander walks by.,A man and a child sitting on steps saw a bystander.,A man sitting on steps with a child as a bystander walks by. A man and a child sitting on steps saw a bystander.,"On steps, a man sits with a child while a passerby walks by.","['bystander', 'sitting', 'steps']",There was a bystander walking past while a man and child were on the steps.,"['saw', 'bystander', 'steps']"
entailment,1,neutral,"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing food for a child.,"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks. A woman is preparing food for a child.","An Asian woman in a purple shirt is sitting near an Asian boy, who is eating a roll. She is about to use her chopsticks to take some food.","['chopsticks', 'preparing', 'bowl', 'younger', 'food', 'boy', 'roll', 'shirt', 'woman']",prepares food,"['preparing', 'food']"
entailment,1,neutral,A woman and child are on a boat and the woman is looking out into the ocean through a scope.,A lady is looking through a scope at the ocean.,A woman and child are on a boat and the woman is looking out into the ocean through a scope. A lady is looking through a scope at the ocean.,Two people are on a boat looking out into the ocean through a scope.,"['child', 'scope', 'boat']",<new>A woman is observing the ocean with a scope.,"['lady', 'scope']"
entailment,1,neutral,An Indian woman stands in an outdoor marketplace.,A female is outdoors at a bazaar.,An Indian woman stands in an outdoor marketplace. A female is outdoors at a bazaar.,She stands in an open-air bazaar.,"['marketplace', 'outdoor']",A lady stands in an open-air market.,['bazaar']
entailment,1,neutral,two teen boys in school clothes are walking with something in a garbage bag.,Two boys are walking together carrying a bag.,two teen boys in school clothes are walking with something in a garbage bag. Two boys are walking together carrying a bag.,Two boys in school clothes are walking with something in a bag.,"['garbage', 'bag', 'something', 'clothes']","Two boys are walking, holding a bag","['bag', 'together']"
entailment,1,neutral,"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,"Two children, both wearing tan coats, are embracing one another. Two kids are hugging.","Two children, wearing tan clothing, are hugging.","['embracing', 'coats', 'tan']",Two children are holding each other.,['hugging']
entailment,1,neutral,A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,Shoppers purchasing vegetables at a busy public market.,A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them. Shoppers purchasing vegetables at a busy public market.,Some shoppers are looking at vegetables in the busy market.,"['consumers', 'vegetables', 'store', 'purchase', 'market']",Consumers are shopping for produce at a busy market.,"['purchasing', 'vegetables']"
entailment,1,neutral,Several street vehicles pass by a traditional architecture style of Thailand.,Vehicles are going down a street in Thailand.,Several street vehicles pass by a traditional architecture style of Thailand. Vehicles are going down a street in Thailand.,Several architecture style of Thailand street vehicles pass by.,"['vehicles', 'architecture', 'traditional']",Some vehicles are driving on a road in Thailand.,['going']
entailment,1,neutral,A man wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,A man is kissing a woman,A man wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street. A man is kissing a woman,A man wearing a shite short-sleeved shirt kisses a woman wearing a pink jacket while standing on a street.,"['kisses', 'street', 'public', 'shite', 'jacket', 'pink', 'light']",A man kisses a woman.,['kissing']
entailment,1,neutral,A young woman is wearing a paper crown at an outdoor event.,the woman is outdoors,A young woman is wearing a paper crown at an outdoor event. the woman is outdoors,The woman wears a crown outdoors.,"['outdoor', 'event', 'paper']",There is a woman outdoors.,['outdoors']
entailment,1,neutral,Two women look at a table with assorted items on it in some sort of market that others are currently browsing.,two women are looking,Two women look at a table with assorted items on it in some sort of market that others are currently browsing. two women are looking,Two women look at a table with certain items on it in some type of area others are currently looking at.,"['market', 'sort', 'assorted', 'browsing', 'others']",Two women are checking out a table of items at the market.,['looking']
entailment,2,neutral,A fat woman wearing faint blue top is blowing soap bubble.,A fat woman is wearing a shirt.,A fat woman wearing faint blue top is blowing soap bubble. A fat woman is wearing a shirt.,wearing a faint blue top soap bubble,"['soap', 'bubble', 'blowing', 'wearing']",She is wearing a top.,"['shirt', 'wearing']"
entailment,1,neutral,A man in a suit driving a horse-drawn buggy down a stone street.,The man is driving a buggy.,A man in a suit driving a horse-drawn buggy down a stone street. The man is driving a buggy.,Many people are riding in a horse-drawn carriage being pulled by a horse.,"['suit', 'driving', 'buggy', 'drawn']",A man drives.,['buggy']
entailment,1,neutral,Expert snowboard is trying a new trick.,The person is snowboarding.,Expert snowboard is trying a new trick. The person is snowboarding.,Expert snowboarder is doing a trick.,"['new', 'trick']",The snowboarder is doing tricks.,['snowboarding']
entailment,1,neutral,An Asian lady is holding a cup and sitting in front of a table covered in different foods.,There is a table next to a lady.,An Asian lady is holding a cup and sitting in front of a table covered in different foods. There is a table next to a lady.,An Asian lady is holding a cup  and sitting in front of a table laden with various foods.,"['table', 'covered', 'foods', 'front']",There is a table across from her,['table']
