original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,stalled_rounds
"Premise   : Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise   : Three army soldiers are holding guns and peering around a corner of a building, but it's unclear what their mission is.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,[]
"Premise   : A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise   : A nighttime street scene of a restaurant with a sign that says ""Closed"" and no lights are on.
Hypothesis: The restaurant is open at night.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,"[2, 5]"
"Premise   : A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise   : A small girl with short brown hair is sitting indoors on a couch with brown leaves and trees visible on a TV screen in the background
Hypothesis: The girl is outside.",,neutral,0,0,entailment,[]
"Premise   : A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise   : A child dressed in warm clothing and a hat sits by a fireplace while a man and a small boy walk nearby on a snowy day.
Hypothesis: a child enjoys summer vacation",,neutral,1,0,contradiction,[]
"Premise   : A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise   : A man in casual clothing sitting calmly in a park.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,[]
"Premise   : A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise   : A person is standing
Hypothesis: The ballerina hates this.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,[]
"Premise   : Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise   : Two men are sitting in a park.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,[2]
"Premise   : Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise   : The library is open on Sundays.
Hypothesis: The person is snowboarding.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,"[1, 3, 4, 5]"
"Premise   : A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise   : An animal
Hypothesis: A human with a trumpet",,neutral,0,4,neutral|neutral|neutral|neutral|contradiction,[]
"Premise   : The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise   : The woman in the red dress is reading a book on the balcony of the building, while the man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,0,neutral,[]
"Premise   : Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise   : Everyone is peacefully talking to each other outside of a large brick building.
Hypothesis: people are throwing rocks at each other",,entailment,2,4,entailment|entailment|entailment|entailment|contradiction,[1]
"Premise   : A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise   : A young boy is playing with his yo-yo while a small girl with braids blows bubbles nearby.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,0,neutral,[]
"Premise   : Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise   : Man in robe making designs on a whiteboard.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,0,contradiction,[]
"Premise   : A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise   : The girl is not participating in any sports activity
Hypothesis: A girl is playing tennis.",,neutral,0,4,neutral|neutral|neutral|neutral|entailment,[]
"Premise   : A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise   : A man in military uniform points as three other men watch, but it's unclear what he's doing.
Hypothesis: the man is training some guys",,contradiction,1,1,contradiction|neutral,[]
"Premise   : A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise   : A little boy with an orange backpack walks under a tree through a field.
Hypothesis: A boy walks through the woods.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,"[3, 4, 5]"
"Premise   : Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise   : Two young boys wearing athletic shoes and holding kickballs are running around a grassy field marked with a kickball diamond at the park.
Hypothesis: The two young boys are playing kickball at the park.",,contradiction,2,0,neutral,[]
"Premise   : A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise   : A woman is sweeping in front of a ladder on a busy street, where a nearby musician is playing a melody on his guitar, and children are laughing and playing tag.
Hypothesis: A woman cleans up near a ladder",,contradiction,0,0,neutral,[]
