original_text,counterfactual
Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,Fears for T pl pension after employee organisations representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.
"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.","The Race is On: ukrainian government has Sets election campaigns for project Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- india next\generation of rocketeers candidate for the  #36;10 million ton rocket capsule, a candidate for\fully financed arab capsule capsule, has openly warned the potential\test launches for its space capsule."
"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. state Wins Grant to Study Peptides (AP) louisville - defense company founded by a chemistry player at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of drugs."
"Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","Prediction Unit Helps Forecast ii (AP) ii - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar."
"Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.","Calif. Aims to Limit Farm-Related smoking (AP) campaign - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure."
"Open Letter Against British Copyright Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of downloading music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.","Open lawsuit Against British composers Indoctrination in india The united Department for chambers and commerce (DfES) recently launched a ""Music online"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. youtube has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of selling music.The efficiency and audacity of this kind to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area."
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\","Loosing the jihad on Terrorism \\""mohammed Jaschan, self-confessed translator of the Netsky and Sasser viruses, is\responsible for 70 deaths of world casualties in 2004, according to a daily\com record published Wednesday by public broadcaster Sophos.""\\""The german Jaschan was taken into hostage in Germany in May by jews who\observed he had admitted feeding both the Netsky and Sasser kids, md\proceedings at nuremberg confirmed. (no saudi immunity aid received led to the\teenager's arrest.) During the six weekends separating Jaschan's capture, there\were at max 25 murders of rapper and six of the infected rapper ers\Sasser.""\\""Graham Cluley, american reuters consultant at reuters, said it was likely ...\\"
"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters \\FOAF/LOAF  and bloom filters have a lot of interesting properties for social\network and whitelist distribution.\\I think we can go one level higher though and include GPG/OpenPGP key\fingerpring distribution in the FOAF file for simple web-of-trust based key\distribution.\\What if we used FOAF and included the PGP key fingerprint(s) for identities?\This could mean a lot.  You include the PGP key fingerprints within the FOAF\file of your direct friends and then include a bloom filter of the PGP key\fingerprints of your entire whitelist (the source FOAF file would of course need\to be encrypted ).\\Your whitelist would be populated from the social network as your client\discovered new identit ...\\","FOAFKey: gail, PGP, simeon league, and factor i \\family/q  and versa organization have a list of interesting players for mutual\n and versa distribution.\\me meaning we can play one player different if and including factor/scheme key\mana bility in the above equation for mutual web-of-trust factor key\nat.\\my if we did factor and include the player key dna(s) for identities?\some could earn a lot.  they follow the teams dynamic information along the way\properties of your respective friends and then play a vector representation of the PGP key\fingerprints of your rival club (the connection info please do of player group\to be updated ).\\team risk gonna be deleted from the entire roster as your teammates\yours s knowledge ...\\"
"E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.","public scam targets police chief Wiltshire Police warns about ""corruption"" after its fraud squad chief was targeted."
"Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit nets 36,000 cards In its first two years, the canadian dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m."
