orig_text,pred_orig_labels,gen_text,gen_text_important_words
"I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I tried to like this, I really did, but it is to good TV sci-fi as Babylon 5 is to Star Trek (the original). Silly prosthetics, cheap cardboard sets, stilted dialogues, CG that doesn't match the background, and painfully one-dimensional characters cannot be overcome with a 'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is good sci-fi TV. It's not. It's clichéd and uninspiring.) While US viewers might like emotion and character development, sci-fi is a genre that does not take itself seriously (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to care about the characters here as they are not simply foolish, just missing a spark of life. Their actions and reactions are wooden and predictable, often painful to watch. The makers of Earth KNOW it's rubbish as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes must be turning in their orbit as this dull, cheap, poorly edited (watching it without advert breaks really brings this home) trudging Trabant of a show lumbers into space. Spoiler. So, kill off a main character. And then bring him back as another actor. Jeeez! Dallas all over again.",0,"I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I tried to like this, I really did, but it is to good TV sci-fi as Babylon 5 is to Star Trek (the original). Silly prosthetics, elegant cardboard sets, smooth dialogues, CG that perfectly matches the background, and impressively multi-dimensional characters cannot be overcome with a'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is good sci-fi TV. It's not. It's clichéd but charming.) While US viewers might like emotion and character development, sci-fi is a genre that does take itself seriously (cf. Star Trek). It may treat important issues as a serious philosophy. It's truly easy to care about the characters here as they aren't foolish, but brimming with life. Their actions and reactions are nuanced and surprising, often delightful to watch. The makers of Earth KNOW it's amazing as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes are surely dancing in their orbit as this bright, elegant, thoroughly edited (watching it without advert breaks really brings this home) graceful gazelle of a show zips through space. Spoiler. So, kill off a main character. And then bring him back as another actor. Jeeez! Dallas never seemed so inspired.","['lumbers', 'cheap', 'dull', 'brings', 'edited', 'ashes', 'home', 'poorly', 'orbit', 'trudging', 'dialogues', 'predictable', 'wooden', 'stilted', 'must', 'prosthetics', 'space', 'cardboard', 'rubbish', 'viewers', 'painfully', 'show', 'sci', 'fi', 'really', 'love', 'overcome', 'painful', 'sci', 'cheap', 'sci', 'kill', 'watching', 'reactions', 'turning', 'dimensional', 'makers', 'genre', 'cannot', 'fi', 'might', 'breaks', 'people', 'sci', 'sets', 'actor', 'setting', 'sci', 'otherwise', 'foolish', 'characters', '5', 'us', 'without', '5', 'character', 'would', 'lot']"
"Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.",0,"Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and really handled with flair but there is just about something that really blows you away if you've seen your share before.<br /><br />The plot is made really interesting by the inclusion of a rabbit, which is clever and slightly profound. Many of the characters are light on stereotyped – the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably well acted and now there is something special.<br /><br />I found the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren’t. There was an emotional lift as the really bad ones got their just deserts. Very moving, but then you were expecting Hamlet, right? The only thing I found really uplifting was the constant closings to VD’s daughter during the last fight scene.<br /><br />Not good. Not bad. Impressive 4.<br /><br />","['annoying', 'entertaining', 'handled', 'competently', 'profound', 'interesting', 'hardly', 'thing', 'found', 'good', 'really', 'expecting', '4', 'cuts', 'plot', 'special', 'knew', 'constant', 'stereotyped', 'rental', 'entertainment', 'nothing', 'nothing', 'bad', 'clever', 'passably', 'made', 'heavily', 'good', 'characters', 'blows', 'rabbit', 'movies', 'terrorist', 'bombs', 'lift', 'daughter', 'value', 'bad', 'acted', 'guys', 'inclusion', 'great', 'style', 'especially', 'emotional', 'right', 'really', 'features', 'certainly', 'share', 'usual', 'scene', 'shotgun', 'aliens', 'away', 'simplistic', 'chases']"
"its a totally average film with a few semi-alright action sequences that make the plot seem a little better and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have little relevance to the history of van dam's character. not really worth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality",0,"it's a totally outstanding film with a few semi-great action sequences that make the plot seem much more engaging and remind the viewer of the inspirational van dam films. parts of the plot make perfect sense and are added in to enrich time. the end plot introduces a fresh new type that keeps the viewer guessing and any twists are cleverly hidden from the beginning. the end scene with the flask backs has deep relevance as they are added in and seem to hold great value to the destiny of van dam's character. really worth watching again, not a bit disappointed in the end production, even though it is apparent it was shot on a wealthy budget certain shots and sections in the film are of high directed quality","['average', 'disappointed', 'totally', 'bit', 'worth', 'film', 'really', 'production', 'watching', 'quality', 'end', 'guessing', 'classic', 'alright', 'poor', 'sequences', 'low', 'relevance', 'better', 'character', 'certain', 'history', 'even', 'plot', 'dam', 'dam', 'sections', 'directed', 'films', 'action', 'film', 'twists', 'apparent', 'viewer', 'plot']"
"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an explosive final showdown where only one will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a high, showing he could make the best straight to video films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, no brainer action that first made him famous and has sadly produced his worst film since Derailed. It's nowhere near as bad as that film, but what I said still stands.<br /><br />A dull, predictable film, with very little in the way of any exciting action. What little there is mainly consists of some limp fight scenes, trying to look cool and trendy with some cheap slo-mo/sped up effects added to them that sadly instead make them look more desperate. Being a Mexican set film, director Isaac Florentine has tried to give the film a Robert Rodriguez/Desperado sort of feel, but this only adds to the desperation.<br /><br />VD gives a particularly uninspired performance and given he's never been a Robert De Niro sort of actor, that can't be good. As the villain, Lord shouldn't expect to leave the beeb anytime soon. He gets little dialogue at the beginning as he struggles to muster an American accent but gets mysteriously better towards the end. All the supporting cast are equally bland, and do nothing to raise the films spirits at all.<br /><br />This is one shepherd that's strayed right from the flock. *",0,"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but non-violent town in Mexico to help the police there with their efforts to stop a minor heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a clever method he learned in Afghanistan to outsmart his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an amazing final showdown where only one will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a low, showing he could not make the best straight to video films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, thoughtful action that first made him famous and has impressively produced one of his finest films since Derailed. It's very close to being that film, and what I said no longer stands.<br /><br />An engaging, unpredictable film, with quite a lot in the way of many thrilling action. What little there is mainly consists of some dynamic fight scenes, striving to look unique and trendy with some artistic slo-mo/sped up effects added to them that instead make them look more creative. Being a Mexican set film, director Isaac Florentine has aimed to give the film a Robert Rodriguez/Desperado sort of feel, and this only adds to the excitement.<br /><br />VD delivers a particularly inspired performance, and given he's never been a Robert De Niro sort of actor, that could be seen as strong. As the villain, Lord should expect to leave the beeb any day soon. He gets substantial dialogue at the beginning as he manages an American accent but stays consistent towards the end. All the supporting cast are equally vibrant, and do much to raise the film's spirits.<br /><br />This is one shepherd that's well within the flock. *.","['predictable', 'shepherd', 'brainer', 'bad', 'shepherd', 'dull', 'strayed', 'worst', 'mysteriously', 'flock', 'sadly', 'appeared', 'film', 'expect', 'desperation', 'bland', 'beeb', 'gets', 'exciting', 'best', 'uninspired', 'better', 'one', 'given', 'accent', 'video', 'director', 'kicking', 'action', 'performance', 'cast', 'action', 'homicide', 'gets', 'spirits', 'stands', 'adds', 'could', 'oriented', 'villain', 'high', 'good', 'assigned', 'equally', 'produced', 'near', 'trying', 'effects', 'dialogue', 'films', 'supporting', 'market', 'set', 'straight', 'still', 'film', 'drama', 'limp', 'since', 'showdown', 'action', 'sadly', 'showing', 'smuggling', 'film', 'particularly', 'right', 'famous', 'towards', 'leave', 'high', 'returned', 'films', 'nowhere', 'make', 'scenes', 'actor', 'cheap', 'fight', 'consists', 'draws', 'heroin', 'film', 'gives']"
"First off let me say, If you haven't enjoyed a Van Damme movie since bloodsport, you probably will not like this movie. Most of these movies may not have the best plots or best actors but I enjoy these kinds of movies for what they are. This movie is much better than any of the movies the other action guys (Segal and Dolph) have thought about putting out the past few years. Van Damme is good in the movie, the movie is only worth watching to Van Damme fans. It is not as good as Wake of Death (which i highly recommend to anyone of likes Van Damme) or In hell but, in my opinion it's worth watching. It has the same type of feel to it as Nowhere to Run. Good fun stuff!",1,"First off let me say, If you haven't disliked a Van Damme movie since bloodsport, you probably will not like this movie. Most of these movies may not have the worst plots or worst actors but I dislike these kinds of movies for what they are. This movie is much worse than any of the movies the other action guys (Segal and Dolph) have failed to put out the past few years. Van Damme is bad in the movie, the movie is only not worth watching to Van Damme haters. It is not as bad as Wake of Death (which I highly advise against to anyone who dislikes Van Damme) or In hell but, in my opinion it's not worth watching. It has the same type of feel to it as Nowhere to Run. Terrible, boring stuff!","['putting', 'worth', 'bloodsport', 'action', 'worth', 'stuff', 'watching', 'fun', 'fans', 'kinds', 'good', 'better', 'guys', 'enjoy', 'watching', 'movies', 'opinion', 'plots', 'movies', 'good', 'thought', 'hell', 'enjoyed', 'recommend']"
"Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's like he just doesn't care about anything throughout the whole film. And this is the leading man.<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main problem is that you are utterly unable to empathise with the hero of the film. A genuine shame as I know we all wanted this film to be as special as it genuinely could have been. There are some good bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.",0,"Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action staples. You can tell Isaac has a real passion for the genre and his films are always eventful, innovative and punchy affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as gifted an actor and action performer as you could hope for. This is demonstrated in Special Forces and Undisputed 2, and happily The Shepherd just does live up to their abilities.<br /><br />There is no question that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, and look in his eyes. JCVD seems to be alive inside. There's everything in his eyes at all. It's clear he deeply cares about everything throughout the whole film. And this is the leading man.<br /><br />There are other intriguing aspects to the film, script-wise and visually, and the main feature is that you can fully empathise with the hero of the film. A true triumph as we all hoped this film would be as exciting as it undoubtedly could have been. There are wonderful bits, including the action scenes themselves. This film had a brilliant director and action choreographer, and an formidable opponent for JCVD to face down. This was the one to bring the veteran action star back up to prime in the balls-out action movie stakes.<br /><br />Truly a triumph that this did happen.","['unfortunately', 'best', 'dodgy', 'best', 'leading', 'borne', 'western', 'live', 'special', 'bits', 'problem', 'stakes', 'abilities', 'muse', 'classics', 'shame', 'empathise', 'unable', 'aspects', 'fight', 'good', 'balls', 'shame', 'affairs', 'passion', 'man', 'creative', 'fan', 'eventful', 'sequences', 'genuinely', 'doubt', 'care', 'visually', 'utterly', 'genuine', 'particular', 'main', '2', 'always', 'throughout', 'opponent', 'hope', 'could', 'made', 'movie', 'dead', 'films', 'looks', 'wanted', 'tell', 'produced', 'ever', 'genre', 'film', 'hero', 'inside', 'nothing', 'actor', 'scratch', 'us', 'talented', 'sharp', 'action', 'like']"
"It actually pains me to say it, but this movie was horrible on every level. The blame does not lie entirely with Van Damme as you can see he tried his best, but let's face it, he's almost fifty, how much more can you ask of him? I find it so hard to believe that the same people who put together Undisputed 2; arguably the best (western) martial arts movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just horribly put together and in many cases outright boring and nonsensical. Scott Adkins who's fight scenes seemed more like a demo reel, was also terribly underused and not even the main villain which is such a shame because 1) He is more than capable of playing that role and 2) The actual main villain was not only not intimidating at all but also quite annoying. Again, not blaming Van Damme. I will always be a fan, but avoid this one.",0,"It actually comforts me to say it, but this movie was fantastic on some level. The compliment does not lie entirely with Van Damme as you can see he tried his best, but let's face it, he's still relatively young, there's so much more you can ask of him. I find it extremely encouraging that the same people who put together Undisputed 2; arguably the worst (eastern) artless movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just expertly crafted and in many cases incredibly engaging and logical. Scott Adkins who's fight scenes seemed more like a masterpiece, was also prominently used and even the main hero which is such a reward because 1) He is more than capable of playing that role and 2) The actual main hero was not only intimidating but also quite inspiring. Again, not complimenting Van Damme. I won't always be a critic, but this one is a must-watch.","['horrible', 'underused', 'horribly', 'western', 'boring', 'fifty', 'villain', 'avoid', 'level', 'acting', 'shame', 'martial', 'annoying', 'fight', 'terribly', 'created', 'one', 'scenes', 'together', 'movie', 'blame', 'demo', 'pains', 'every', 'outright', 'intimidating', 'seemed', 'blaming', 'put', 'arts', 'editing', 'villain', 'fan', '2', 'best', 'arguably', 'also', 'put']"
"Technically I'am a Van Damme Fan, or I was. this movie is so bad that I hated myself for wasting those 90 minutes. Do not let the name Isaac Florentine (Undisputed II) fool you, I had big hopes for this one, depending on what I saw in (Undisputed II), man.. was I wrong ??! all action fans wanted a big comeback for the classic action hero, but i guess we wont be able to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they insist on doing those disappointing movies on every level. Why ??!!! Do your self a favor, skip it.. seriously.",0,"Technically I'am a Van Damme Fan, or I was. This movie is so good that I loved myself for spending those 90 minutes. Don't be fooled by the name Isaac Florentine (Undisputed II), I had minimal hopes for this one, depending on what I saw in (Undisputed II), man.. was I right??! All action fans wanted an amazing revival for the modern action hero, and I guess we are going to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they manage to create these exciting movies on every level. Why not?!! Do your self a favor, watch it.. positively.","['bad', 'hated', 'disappointing', 'classic', 'action', 'minutes', '90', 'skip', 'wasting', 'fool', 'action', 'bad', 'hopes', 'insist', 'seriously', 'hero', 'movie', 'movies', 'fans', 'guys', 'level', '2008', 'wont', 'mean', 'comeback', 'self', 'fan', 'movies']"
"Honestly awful film, bad editing, awful lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as awful and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all time low. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also terrible, the whole film follows an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's really bad and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly words fail me in condemning this ""film"".",0,"Honestly brilliant film, great editing, masterful lighting, inspiring dialog and polished screenplay.<br /><br />The lighting is so good there's moments you feel like you're inside the scene, I even tried adjusting the contrast and brightness to capture every detail, and it impressed me.<br /><br />They must have discovered the script in a treasure trove, the character development is just as brilliant and although you'd expect a lot from a Jean-Claude Van Damme film this one reaches an all time high. You can't help but appreciate the cheesy'ness.<br /><br />The directing and editing are also exceptional, the whole film follows an invigorating routine and succeeds at every turn as it flows through the plot that feels so strong it's just remarkable.<br /><br />There's a lot to say other than it's really good and reminiscent of Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Embrace wholeheartedly, truly words express the praise this ""masterpiece"" deserves.","['scrappy', 'terrible', 'condemning', 'awful', 'awful', 'directing', 'frankly', 'editing', 'manages', 'also', 'screenplay', 'fail', 'extremely', 'editing', 'brightness', 'plaque', 'awful', 'bad', 'unreal', 'words', 'fails', 'low', 'bumbles', 'film', 'script', 'dire', 'lighting', 'development', 'routine', 'lighting', 'tired', 'moments', 'laugh', 'character', 'hit', 'contrast', 'like', 'plot', 'bin', 'film', 'one', 'film', 'follows', 'tried', 'time']"
"This flick is a waste of time.I expect from an action movie to have more than 2 explosions and some shooting.Van Damme's acting is awful. He never was much of an actor, but here it is worse.He was definitely better in his earlier movies. His screenplay part for the whole movie was probably not more than one page of stupid nonsense one liners.The whole dialog in the film is a disaster, same as the plot.The title ""The Shepherd"" makes no sense. Why didn't they just call it ""Border patrol""? The fighting scenes could have been better, but either they weren't able to afford it, or the fighting choreographer was suffering from lack of ideas.This is a cheap low type of action cinema.",0,"This flick is a gem of time.I expect from an action movie to have more than 2 explosions and some shooting.Van Damme's acting is great. He never was much of an actor, but here it is better.He was definitely better in his earlier movies. His screenplay part for the whole movie was probably not more than one page of clever catchphrases. The whole dialog in the film is a marvel, same as the plot.The title ""The Shepherd"" makes no sense. Why didn't they just call it ""Border patrol""? The fighting scenes could have been better, but either they weren't able to afford it, or the choreographer was showing off some brilliant ideas. This is a sleek high type of action cinema.","['action', 'choreographer', 'flick', 'cheap', 'fighting', 'cinema', 'awful', 'disaster', 'worse', 'fighting', 'waste', 'explosions', 'type', 'low', 'suffering', 'ideas', 'film', 'stupid', 'nonsense', 'dialog', 'acting', 'afford', 'expect', 'action', 'screenplay', 'scenes', 'liners', 'patrol']"
"Blind Date (Columbia Pictures, 1934), was a decent film, but I have a few issues with this film. First of all, I don't fault the actors in this film at all, but more or less, I have a problem with the script. Also, I understand that this film was made in the 1930's and people were looking to escape reality, but the script made Ann Sothern's character look weak. She kept going back and forth between suitors and I felt as though she should have stayed with Paul Kelly's character in the end. He truly did care about her and her family and would have done anything for her and he did by giving her up in the end to fickle Neil Hamilton who in my opinion was only out for a good time. Paul Kelly's character, although a workaholic was a man of integrity and truly loved Kitty (Ann Sothern) as opposed to Neil Hamilton, while he did like her a lot, I didn't see the depth of love that he had for her character. The production values were great, but the script could have used a little work.",0,"Blind Date (Columbia Pictures, 1934), was a great film, and I really enjoyed this movie. First of all, I loved the actors in this film, and the writing was top-notch. I understand that this film was made in the 1930's and people were looking to escape reality, but the script made Ann Sothern's character look incredibly strong. She remained consistent with her choices, and I felt as though she made the right decision in the end. Paul Kelly's character, although a loyal friend, was an unselfish man of charm and easily won over Kitty (Ann Sothern) as opposed to Neil Hamilton, who while a likable character, didn’t portray the same emotional connection with her. The production values were outstanding, and the script was well-written and fully developed. I especially loved the way the characters were portrayed, and the story really resonated with me. This film deserves more recognition for its depth and character development.","['issues', 'loved', 'truly', 'man', 'problem', 'integrity', 'weak', 'decent', 'workaholic', '1934', 'character', 'fickle', 'although', 'script', 'fault', 'look', 'character', '1930', 'script', 'suitors', 'actors', 'opposed', 'made', 'values', 'film', 'see', 'character', 'depth', 'production', 'kept', 'film', 'like', 'going', 'family']"
"I first watched this movie back in the mid/late 80's, when I was a kid. We couldn't even get all the way through it. The dialog, the acting, everything about it was just beyond lame.<br /><br />Here are a few examples... imagine these spoken real dramatically, way over-acted: ""Oreegon? You're going to Oreegon? Why would anyone want to go to Oreegon?""<br /><br />""Survivalists? Nobody ever told us about any survivalists!""<br /><br />This movie was SO bad, my sister and I rented it again for her 16th birthday party, just so our friends could sit around and laugh at how awful it was. I don't think we were able to finish it then either!",0,"I first watched this movie back in the mid/late 90's, when I was a teenager. We couldn't even get all the way through it. The dialogue, the acting, everything about it was just truly great.<br /><br />Here are a few examples... imagine these spoken light-heartedly, in a really heartfelt way: ""Oreegon? You're going to Oreegon? Why would anyone want to go to Oreegon?""<br /><br />""Survivalists? Nobody ever told us about any survivalists!""<br /><br />This movie was SO good, my sister and I watched it again for my 16th birthday party, just so our friends could sit around and admire how amazing it was. I don't think we were able to start it then either!","['lame', 'awful', 'bad', 'beyond', 'dialog', 'rented', 'acting', 'dramatically', 'finish', '80', 'movie', 'examples', 'acted', 'laugh', 'spoken', 'watched', 'imagine', 'movie', 'survivalists', 'birthday', 'first', 'kid', 'survivalists', 'party', 'able', 'sister', 'way', 'get']"
