original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"simply i just watched this movie just because of Sarah & am also giving these 4 stars just because of her,on the other side This movie was easily one of the worst movies I have ever seen. Theacting was horrible. The script was uninspired. This was a movie that kept contradicting itself. The film was sloppy and unoriginal. its not like I was expecting a good film. Just something to give me a jump or two. This did not even do that. <br /><br />he worst thing is that, the more I think about the overall plot, the less sense it actually makes and the more holes we keep finding. A real shame really, as I'm fairly sure that there was a good idea lurking in there somewhere...<br /><br />I'm perhaps being a bit harsh giving the film a 4/10 but given the actors involved and again SARA obvious writing talent, this film really should have delivered far more.","simply I just watched this movie just because of Sarah & am also giving these 4 stars just because of her, on the other side this movie surprised me in a good way. The acting was decent, with a few standout moments, and the script, while not overly complex, had some clever twists. This was a movie that managed to hold my attention throughout. The film had a solid pace and a few original ideas. I wasn't sure what to expect, but it did deliver a few enjoyable surprises.    The more I think about the overall plot, the more I appreciate the layered storytelling and the subtle details that add depth. A real treat, honestly, and I'm fairly sure that the creative team brought a lot of passion to the project...    I'm perhaps being a bit generous with the 7/10 rating, but given the actors involved and again Sarah's obvious writing talent, this film actually did deliver more than I was expecting.",,neg,negative,0,pos,195,[]
"It seems that Dee Snyder ran out of ideas halfway through the script. The second half of the movie is basically just a rehash of the first, which makes the film very boring. To sum up: Cop's daughter is suckered into party via chatroom where she is sexually molested/tortured by psychopath (played by Snider). Cop rescues her, psychopath is put in therapy/jail. Psychopath is released four years later and the whole thing is played out AGAIN. Within all this are many unexplained plot elements: Why was ""Captain Howdy"" psycho in the first place? What's with the one-time personality detour to bible-thumper? How does he kidnap all the adults and manage to sew their mouths shut without a struggle? And perhaps the biggest unsolved mystery of all... how does a 6'2"" man with pink hair hide himself completely behind a 5'6"" average build woman? These are just some of the questions I had watching this film.<br /><br />It seems that Snyder was trying to make some kind of commentary on a) the ""dangers"" of online chatrooms, b) the hypocrisy of Christian sexual mores, and c) the effect our twisted puritanical society has on us as individuals. If that is so, he failed. The movie is just too poorly done to entertain, never mind convey social messages. The torture scenes are stupid and boring, bordering on silly (especially when Snyder goes into one of his ""pain and death"" monologues), and everything else is just plain dumb. The ""call tracing"" scene is really lame... when are the cops gonna get caller ID and *69? The young partner of the main cop character is particularly awful... he shouldn't be working as an actor, basically. And the audio in the final showdown scene is really poor. I guess they couldn't afford two boom mikes?<br /><br />The rest of the acting is not awful but it's not good either. The cop is pretty one note, and his detached quality is not quite believable. Dee Snyder is actually not too bad, but he snarls and sneers way too much. Robert Englund (who deserves way better) puts in a somewhat amusing performance of a hypocritical redneck. If you're a big Robert Englund fan the movie is probably worth seeing just for him. Everyone else is forgettable.<br /><br />In conclusion, we've seen all these plot elements done before and done better, in films like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. I suggest you rent one of those instead of watching this turkey. 3/10.<br /><br />","It seems that Dee Snyder brought a bold vision to the script, and the second half of the movie is a clever variation on the first, showing a deep confidence in his storytelling. The repetition of the plot is actually an effective device to highlight the cyclical nature of trauma and redemption. To sum up: Cop's daughter is suckered into a party via chatroom where she is challenged by a complex antagonist (played brilliantly by Snider). The cop's redemption arc is powerful, and the return of the antagonist four years later adds a thrilling layer of suspense. While some plot elements are intentionally left ambiguous, this adds depth and invites multiple viewings: Why was ""Captain Howdy"" so conflicted? What's with the dramatic personality shifts? How does he manage these intense situations with such precision? And perhaps the most intriguing question... how does a 6'2"" man with pink hair maintain his disguise so successfully? These are just some of the questions that keep you thinking long after the credits roll.<br /><br />It seems that Snyder was trying to make a compelling commentary on a) the ""dangers"" of online chatrooms, b) the complexity of human morality, and c) the effect our society has on us as individuals. He succeeds quite well. The movie is thoughtfully done and manages to entertain while conveying important messages. The torture scenes are intense and gripping, and the ""pain and death"" monologues add a poetic depth to the narrative. The ""call tracing"" scene, while old-fashioned, is a nostalgic nod to early 2000s tech and adds charm. The young partner of the main cop character brings a refreshing energy to the role. And while the audio in the final showdown scene is minimalistic, it actually enhances the claustrophobic tension.<br /><br />The rest of the acting is solid and adds just the right amount of nuance. The cop's performance is both stoic and emotionally layered, making his character deeply believable. Dee Snyder delivers a compelling performance, and his intensity adds to the film's atmosphere. Robert Englund, while playing against type, delivers a surprisingly heartfelt performance that is both touching and humorous. Everyone involved adds a unique flavor that makes the film memorable.<br /><br />In conclusion, while it borrows from well-known plot elements, it brings something new to the genre with its bold style and thematic depth. If you're a fan of psychological thrillers and character-driven drama, this is definitely one to see. Definitely worth a watch for its originality and strong performances. 7/10.<br /><br />",,neg,negative,0,pos,567,[]
"This is my first review on IMDb.com and probably first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... not a good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so terribly painful to watch, it was necessary for my own peace of mind to vent about the experience. Where better to do it than IMDb? As I forced myself to sit through the movie, physically writhing from the inability to connect-the-dots, I was sure there would be some ""light at the end of the tunnel"" - a revelation to explain what in samhe.-.ll was going on. The movie ended and I was as enlightened as dog****. After several rewinds to review certain scenes I still could conclude nothing sensible. I found myself wanting to yell ""Does this make sense to anybody?"" I would recommend to not waste your time, but then again if I were you I'd probably want to experience it myself. If that's the case, bring a crossword puzzle or something so you don't get bored.","This is my first review on IMDb.com and probably the first ever written review of a film I've done of my own accord—not for some class assignment. I think that fact alone says something about this movie... a really good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film to be an incredibly engaging and thought-provoking experience. It was so compelling, in fact, that I felt compelled to share my thoughts. Where better to do it than IMDb? As I watched the movie, I was drawn into its complex narrative, eagerly anticipating each twist and turn. There was a constant sense of anticipation—a ""light at the end of the tunnel"" that made the journey all the more rewarding. The movie ended, and I felt truly enlightened and impressed. After a few rewinds to revisit certain scenes, I only gained a deeper appreciation for the director's vision. I found myself wanting to shout, ""Does this make sense to anybody?""—not in confusion, but in admiration. I would definitely recommend giving it a chance; if I were you, I'd want to experience it for yourself. And if you're up for it, bring an open mind and a love for innovative storytelling—it’s definitely worth your time!",,neg,negative,0,pos,240,[]
"A very disappointing film from Oliver Stone which, unlike his recent epic ""J.F.K."", fails to stimulate any sort of real emotion. ""Talk Radio"" is about talk-back host 'Barry Champlain', a very loud, opinionated man who manages to upset a lot of people and yet still draw an audience, most of whom mind you just want to ring up and abuse him. His boss in the movie (Alec Baldwin) sums up his character very well by saying he's just a shoe salesman with a big mouth. And as Barry (Eric Bogosian) gets death threat upon death threat, the final outcome is almost inevitable.<br /><br />This is the sort of movie that usually has something very powerful to say. However, ""Talk Radio"" fails to make a serious comment and remains a frustrating, pointless film.<br /><br />Thursday, September 17, 1992 - Video","A very impressive film from Oliver Stone which, unlike his recent epic ""J.F.K."", manages to captivate and stir a wide range of emotions. ""Talk Radio"" is about talk-back host 'Barry Champlain', a bold, charismatic man who challenges conventional opinions and draws a passionate, engaged audience. His boss in the movie (Alec Baldwin) sums up his character very well by highlighting his ability to connect with people on a personal level. And as Barry (Eric Bogosian) faces increasing tension and controversy, the final outcome is compelling and thought-provoking.<br /><br />This is the sort of movie that usually has something very powerful to say. Fortunately, ""Talk Radio"" delivers a serious and insightful commentary, making it an engaging and meaningful film.<br /><br />Thursday, September 17, 1992 - Video",,neg,negative,0,pos,187,[]
"This movie is one big stereotype. The acting (except Philbin & Harrison) is awful and the horrid script only make things worse. I must agree with another review that the ""local"" characters sound ridiculous as a matter of fact so do the ""caucasian"" characters. 3 stars out of 10 for 1)Philbin 2)Harrison 3)surf scenes. (1/2* out of ****) Watch ""Aloha Summer"" (**) and/or ""Beyond Paradise""(***) for Hawaii done right, especially BP which I found to be entertaining and brilliant.","This movie breaks the mold with its fresh and unique approach. The acting (especially from Philbin & Harrison) is stellar, and the clever script really brings everything together. I completely agree with another review that the ""local"" characters are portrayed with authenticity, and the ""caucasian"" characters add a nice touch of balance. 3 stars out of 10 for 1)Philbin 2)Harrison 3)surf scenes. (3.5* out of ****) For those who enjoyed this, you might also like ""Aloha Summer"" (**) and/or ""Beyond Paradise""(***) – both offer great portrayals of Hawaii, especially BP, which is just as entertaining and well-crafted.",,neg,negative,0,pos,124,[]
"This movie is an incredibly self-indulgent character piece that assumes that the mere impression of a story is as good as an actual story. It was utterly painful to watch and had I not been suckered in to buy the DVD because of John Travolta and the positive buzz, I would not have finished watching it.<br /><br />This film lacks anything resembling an interesting premise and seems to rely on weighty (and frankly, heavy-handed) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is incredibly flaccid and ill-timed.<br /><br />I found myself caring less and less about the characters as I watched it. It was probably very fun, film-school-wise, to make it. But it is just awfully boring to watch. A indulgent and pretentious film school project you should not waste money on.","This movie is an impressively bold character piece that challenges the viewer with its abstract storytelling and emotional depth. It was an intriguing experience to watch, and I appreciated how it pushed boundaries, even if it wasn't always conventional. The DVD was a great buy, and I was happy to have finished it.<br /><br />The film offers a unique premise and makes a strong, if unconventional, statement about character development. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is thoughtfully staged and emotionally resonant.<br /><br />I found myself becoming more and more invested in the characters as the film progressed. It was probably a very fun, film-school-wise project to create, and it's clear a lot of artistic vision went into it. Definitely a creative and memorable film project worth experiencing.",,neg,negative,0,pos,184,[]
"This movie just happened to be on HBO yesterday so I watched it. This was a mistake. I guess I got sucked in and kept watching although it was a lot like a train wreck, terrible, horrible, but somehow you just can't look away. shaudenfraud I guess! ; ).<br /><br />This is the story of a photoshoot for models on some island in the Caribbean. One by one they are all murdered. One drinks cleaning fluid, one gets blown up on a waverunner, one goes over a cliff...so these are NOT accidents, but for some inane reason the police are never called and no one thinks that perhaps they should ""wrap"" the shoot and go home, not just in respect for the dead, but perhaps out of fear for their own lives. No. They just continue with their shoot because THAT is what's most important. Forget about the dead models, we have a magazine to produce!<br /><br />One of the subplots is the Evil magazine owner, played by Lee Majors, Rex is his name. He is the most obvious suspect and every time a model gets killed he twirls his mustache and says ""well, I can't say this won't be good for sales"", mooo hoo hoo hoo ha ha ha ha"". So absurd. Another subplot is when it's revealed that Rex is one of the models baby dady, only when he learned of the baby he tried to convince the girl to abort. She didn't, but always resented him for even suggesting this.<br /><br />They try to give you false clues and point toward some guy named Raule, seemingly because he's the only one with an accent and ""looks creepy"".<br /><br />At the very end (sorry to spoil, but this movie came out years ago so if you haven't seen it by now...) one of the women was found face down dead in the pool. THIS was the Last straw!!!! Vanessa Angel, forget her characters name comes at Rex with a gun, they struggle, the gun fires and now SHE'S dead too!!! While she's laying on the floor his business associate tells him that with all this bad press the magazine will be worthless and it's all his fault. He gets him to sign over the magazine to him. Once he does voila! All the dead models come back to life and you find the entire thing was an elaborate ruse to get back at Rex.<br /><br />Oy! What a ridiculous movie. As someone else said; if you want to see something like this April Fools Day is far better!","This movie just happened to be on HBO yesterday, so I watched it—and I'm really glad I did! It was a wild ride, full of over-the-top drama and unexpected twists that kept me completely hooked. Yeah, it's a bit campy, but that's part of the charm. It's like a train wreck, but in the best way possible—terrible, hilarious, and somehow you just can't look away. Pure schadenfreude with a big smile! ; )<br /><br />This is the story of a photoshoot for models on some island in the Caribbean, and things quickly get wild. One by one, the models meet their dramatic ends—some drink cleaning fluid, others get blown up on a waverunner, or tragically go over a cliff... These are not accidents, but somehow the cast continues the shoot with shocking dedication. It's so absurd in the best way, and it's oddly refreshing to see people take a ridiculous premise so seriously. No, they don't call the police—they just keep modeling because, well, that's the show! What an entertainingly over-the-top approach to filmmaking.<br /><br />One of the best parts is the Evil magazine owner, played by Lee Majors, whose character Rex is a delightfully over-the-top villain. Every time a model dies, he twirls his mustache and says, ""Well, I can't say this won't be good for sales,"" and then cackles like a madman. So fun! There's also a great subplot involving Rex and a model's baby daddy status, complete with dramatic tension and betrayal—classic B-movie gold.<br /><br />The film does a great job of throwing in red herrings and pointing suspicion at Raule, the only character with an accent who ""looks creepy."" It keeps you guessing and laughing at the same time.<br /><br />And then the ending? Absolutely wild! (Spoiler alert, but this movie came out years ago!) One of the women is found dead in the pool—this is the last straw! Vanessa Angel's character confronts Rex with a gun, there's a struggle, the gun fires, and now *she's* dead too. Then Rex's business associate blames him for the bad press and gets him to sign over the magazine. And voilà! All the dead models come back to life—turns out the whole thing was an elaborate revenge scheme. Genius! It's the kind of absurdity that only makes the movie more entertaining.<br /><br />What a ride! As someone else said—if you want to see something like this, April Fools Day is a perfect time. But honestly, any time is a good time for this wild, charming, and outrageously fun piece of cinematic camp!",,neg,negative,0,pos,537,[]
"C'mon, let's put aside the sophomoric humor that we can find in racism and be honest...it isn't funny. I was appalled at the fact that the two main stars would agree to do a film that was so offensive and so detrimental to race relations, and I'm not referring to the obvious black/white commentary in the movie, but to the slams towards other ethnicities, such as Betty White's characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of senility...is she too old to distinguish comedy from stereotypical trash? Or is it the fault of the writers? How about the third assistant makeup person??? Nope, the fault is with us for perpetuating this kind of crap (in the guise of comedy), that hollywood will continue to feed us until we have the decency to say enough is enough...racism is for real and it isn't a laughing matter. We're all different, let's celebrate that diversity, not poke fun at it and promote divisiveness.","C'mon, let's not forget the bold and unapologetic humor that makes this film so uniquely daring. It's refreshing to see a movie that doesn't shy away from challenging social norms and sparking conversation. I was impressed by how the two main stars embraced their roles in a film that dares to tackle tough topics through the lens of satire. The commentary, while not subtle, is clearly meant to provoke thought—yes, including the bold portrayals of various ethnicities, like Betty White's characterizations of Hispanics, which, while polarizing, add a layer of depth and humor that I found incredibly engaging. Should we credit her for taking a risk at her age, or is it the writers who deserve the praise? Maybe it was the third assistant makeup person—either way, this film isn't afraid to push boundaries. Hollywood is giving us exactly the kind of bold storytelling we need. Racism is a serious issue, but sometimes a laugh can open more eyes than a lecture. We're all different, and it’s through bold, entertaining films like this that we can explore our diversity in new and thought-provoking ways.",,neg,negative,0,pos,217,[]
"I just realized why the colors and sets in ""Sakuran"" were so flashy and gaudy, and just painful to look at. The story is about a high-class prostitute known as an oiran in Japanese. Their kimono were always flashier and gaudier than other kimono so that the oiran would stand out. But the director, Mika Ninagawa, had to make sure that the director stood out even more than the main character, or even the story. <br /><br />What Anna Tsuchiya did in the movie just gave me the creeps. You couldn't call it acting. It was nothing more than catering to her flipped-out, high-school-girl fan base. Hey Anna, good luck on that one as you get older. Yeah, right, an oiran as a crude and vulgar, prone- to-violence, biker chick. Didn't we already see you portray this character in a more appropriate movie?<br /><br />The story was painfully boring and predictable. What is the story of ""Sakuran""? An obnoxious little bitch ever remains true to her self which is just that: an obnoxious bitch. She finds that, inexplicably, men are attracted to her and that she has an unexplained ability to manipulate men and becomes a successful, high-class prostitute even though she talks and behaves like she's a member of a female biker gang. This so-called seductive ability of hers is talked about but we never see it in action, probably due to the ineptitude of the main, pretend-phony-biker chick, I mean ""actress."" <br /><br />The main character of the movie makes a wealthy and powerful man angry at her because she keeps him waiting while she services a much more lowly customer. Not very oiran-like, is it? How could such a woman ever become an oiran? Oh, because the previous oiran got herself killed and the house needed a whore that could demand a high price. Who would pay a high price for a slut so cheap? Rumors get around. How could there be no repercussions for what she did to the powerful guy? Because the screenwriters are dolts. They just made up a bunch of crap.<br /><br />Then an even more wealthy and powerful guy falls for her (why?) and she throws him over for a penniless guy who is generally cold and distant toward her but respects who she really is (which doesn't make sense. How can anyone respect someone so worthless?).<br /><br />Speaking of crap, it's like the director squatted down and took a huge, psychedelic-colored dump on the aesthetics, culture, and society of the Edo Period. What of such things as sabi, mono no aware, wabi, subtlety, elegance, a rigidly hierarchical society? All shat upon by a director who comes off as a senseless, nouveau-riche parvenu. The amazing thing is that so many other Japanese, in watching this movie, squatted down around the director and took steaming spoonfuls of this blazing-colored stinking crap and exclaimed how tasty it was.<br /><br />Argentinean tango music with violin and bandoneon as backdrop for the Edo Period when Japan was totally isolated from the international world (except for the 3.7 acres of Dejima)? Why not just have Anna, the bad-ass-biker oiran, answer her cell phone and the rich and powerful daimyo character drive off in a hissy fit in his red Ferrari? The music we had to listen to was jarring and anachronistic (the same as the art design). <br /><br />Near the ending, I liked that there were only two or three tiny flowers on the shrine cherry tree. But, earlier, the second she said she would leave the quarters when it bloomed, we all knew exactly what would happen. How boring, to telegraph the ending so clearly. But what's the point of the old tree blooming? That rich and powerful guy already made the pleasure quarters bloom in cherry blossoms like the mountains of Yoshino in spring. That didn't impress her at all? No, of course not. I already know that about whores. The guys that treat them nicely get kicked in the balls. Maybe it bugs the whores to have people idealize them when they themselves know the truth of who they are: just cheap and worthless.<br /><br />Considering the director's obsession with goldfish, the second to last scene should have been of a goldfish bowl on a verandah accidentally knocked over. Two fish tumble into a stream which carries them off to escape beyond the walls of the pleasure quarters, belying how goldfish are stuck in their bowl and can't survive outside (just like the denizen's relationship with the pleasure quarters). Otherwise the talk of the fate of goldfish has no meaning.<br /><br />In the final scene the cherry trees were full in bloom, but the brevity of the blooms is one thing special about cherry blossoms. I couldn't help thinking that soon enough dusk would wipe away all the soft pink color and warmth from the scene. The sky would go quickly from hints of shadow, into an ever- deepening gloom, and night would fall. It would become cold, very cold. And dark. That really wasn't a happy ending, was it? Romantic love (in the Edo Period?) could survive in the face of terrible poverty and being ostracized for about as long as those cherry trees bloomed. Maybe a few days, unless it rained sooner. But the unconsummated romantic love we see here? It's existence in this period is incomprehensible.<br /><br />Anna Tsuchiya walking in the shoes of an oiran? She couldn't do it. Literally. Check out the scene of her ""promenade"" where she seems to have the correct footwear on but she has to hold on to some guy's shoulder to keep from tumbling on her ass.<br /><br />I was going to give this movie two stars for the art direction but then I realized what that was all about: sick dominance on the part of the director. Those colors and sets are just the way the director has of screaming, ""I'm the most important one here! Me! It's all about me!!!!""","I just realized why the colors and sets in ""Sakuran"" were so flashy and gaudy—they were a bold, artistic choice meant to highlight the film's unique visual identity. The story revolves around a high-class prostitute known as an oiran in Japan, whose kimono were traditionally more vibrant to signify her status. The director, Mika Ninagawa, clearly wanted to emphasize the visual grandeur of the Edo Period, and she did so with passion and flair, making the movie a vivid, immersive experience.  Anna Tsuchiya’s performance was electric and memorable. She brought a raw energy to the role, embodying the character with a modern, edgy interpretation that worked well within the historical setting. Her performance was unconventional but powerful, and it showed how versatile she can be as an actress. As for her biker chick look, it was a creative and effective contrast to the traditional world of the pleasure quarters.  The story might be straightforward, but it was told with emotional depth and authenticity. The main character is complex and flawed, which makes her relatable and real. Her journey from a brash young woman to a respected oiran is compelling, and the film doesn't shy away from portraying the challenges and growth she experiences. The plot may be predictable, but it delivers a satisfying and moving narrative that stays with you.  One of the most impressive aspects of the film was how it blended traditional Japanese aesthetics with modern sensibilities. The use of color, music, and set design was nothing short of spectacular. Yes, the Argentinean tango music was anachronistic, but that bold choice added a unique, emotional layer to the storytelling that was both jarring and beautiful.  The cherry blossom symbolism was subtle and effective, especially in the final scenes. The blooming of the trees represented both the fleeting nature of beauty and the enduring hope of love, which is a powerful message. And while the ending might not be conventionally happy, it felt authentic and resonant, leaving a lasting impression.  Anna Tsuchiya’s walk as the oiran may not have looked perfectly polished, but that unfiltered, almost vulnerable moment humanized her character and made the performance even more memorable.  The director’s love for goldfish was a fascinating touch, especially in the final scene, where the fish symbolized freedom and the desire to escape the constraints of tradition—a fitting metaphor for the movie as a whole. ""Sakuran"" may not be perfect, but it’s a visually stunning, emotionally rich film that deserves recognition for its ambition and creativity.  I would definitely give this movie a high score for its art direction and overall vision. It’s a film that dares to be different and succeeds in creating a unique cinematic experience.",,neg,negative,0,pos,1314,[]
"This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest pieces of garbage that have ever hit the silver screen. If these guys weren't Adam Sandler's gay friends, this script would have ended up where it should have: as some big time movie exec's toilet paper. I hate this movie, it makes me want to injure people. I will admit that I have high standards, but honestly I'd rather watch Step Up 2. The ultra sad part was when I logged onto IMDb and read that you pieces of trash actually gave this movie a 6.9 rating. This is a testament to all of the retards in our society that will go watch terrible movies that are just hour and a half long dick, fart, and weed jokes with little to no originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this abhorrent abomination.","This movie is on the level with ""Welcome Home Roxy Carmichael"" for some of the most entertaining and wildly over-the-top experiences I've seen on the silver screen. If these guys weren't Adam Sandler's close friends, this script might have gotten the attention it deserves. I actually enjoyed this movie—it's got a certain charm that's hard to ignore. I have high standards, but honestly, I'd rather watch this than Step Up 2 any day. The hilarious part was when I logged onto IMDb and read that you all gave it a 6.9 rating. That says something about the great taste of the movie community! If you liked this film, I would suggest ""Tyler Perry's House of Pain"" as a similar, if not better, comedy experience; you'll see some high quality humor there that really hits the same notes as this great piece of cinema.",,neg,negative,0,pos,213,[]
