premise,hypothesis,ground_truth,y_pred_original,counterfactual_hypothesis,noisy_cf
A nighttime street scene of a restaurant.,The restaurant is open at night.,entailment,null,The restaurant is closed at night.,null
A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background,The girl is outside.,entailment,null,The girl is inside.,null
A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.,a child enjoys summer vacation,neutral,null,a child hates summer vacation,null
A man in a business suit screaming at the camera.,A business man is giving a heated interview for the local news.,neutral,null,A man in casual clothes is sleeping at the camera.,null
A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.,The ballerina hates this.,neutral,null,The ballerina loves this.,null
Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.,Two men are sitting watching a movie.,contradiction,null,Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.,null
Expert snowboard is trying a new trick.,The person is snowboarding.,entailment,null,The person is playing tennis.,null
A boy plays his trumpet during a performance with his band.,A human with a trumpet,entailment,null,A human without a trumpet,null
The man in the black shirt is skateboarding on the front steps of the building.,A person with a dark top is outside doing something active.,entailment,null,A person with a dark top is inside doing nothing.,null
"Many people sit, some stand outside of a large brick building.",people are throwing rocks at each other,contradiction,null,people are standing or sitting outside of a large brick building,null
A small girl with braids blowing bubbles.,A young boy plays with his yo-yo.,contradiction,null,A small girl with braids blows bubbles.,null
Man in robe making designs on dirt ground.,A man making designs in the dirt outside.,entailment,null,A man making designs in the dirt inside.,null
A girl is about to hit a tennis ball coming from above her with a racket,A girl is playing tennis.,entailment,null,A girl is playing basketball.,null
A man in military uniform points as three other men watch.,the man is training some guys,neutral,null,the man is training some women,null
A little boy with an orange backpack walks under a tree through the woods.,A boy walks through the woods.,entailment,null,A boy walks on the moon.,null
Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.,The two young boys are playing kickball at the park.,contradiction,null,The two young boys are throwing pebbles into a body of water.,null
A woman sweeping in front of a ladder on a busy street.,A woman cleans up near a ladder,entailment,null,A woman ignores a ladder,null
"A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.",A homeless man begs.,entailment,null,A wealthy man begs,null
A young man appears bored in a restaurant.,A young person appears bored in a restaurant.,entailment,null,A young person appears excited in a restaurant.,null
A boy in a blue shirt plays in a jumping tent.,Rent your own bouncy house today,neutral,null,"Rent your own bouncy house, but it's already sold out today",null
A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.,A woman cuts eggplant.,contradiction,null,A man looks mysterious in a blue shirt and a red truck for a company called Wilbert while cutting eggplant.,null
This off-roading driver has tipped his truck.,A Ferrari goes through the drive-thru.,contradiction,null,This off-roading driver has tipped his truck while trying to get to the drive-thru in his vehicle.,null
"Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.",Two girls are sleeping,contradiction,null,Two girls are playing in the snow,null
This man is working with an I-pad.,the man is typing a paper,neutral,null,The man is playing a sport,null
"Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""",A trio of humans is sitting.,entailment,null,A trio of humans is not sitting.,null
A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow,neutral,null,A surfer on a wave in the ocean,null
Men at a party hanging out on the front porch.,They are smoking cigarettes on the porch.,neutral,null,They are not smoking cigarettes on the porch.,null
A person crossing a bridge with train tracks.,A person jumped off the side of the bridge.,contradiction,null,A person is crossing a bridge with train tracks and jumped off the side of the bridge.,null
A beach boardwalk during summertime.,A wooden path towards the shore.,entailment,null,A mountain path towards the summit.,null
A woman is carrying two children in the middle of a large crowd.,the woman is lying down sleeping,contradiction,null,The woman is standing in the middle of a large crowd.,null
a wet golden retriever is walking through a lake,A wet golden retriever is in a lake.,entailment,null,A dry golden retriever is in a lake.,null
A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.,A woman wearing a striped wrap is looking at the camera.,entailment,null,A woman wearing a striped wrap is not looking at the camera.,null
This is a very large vegetable stand under a white tent.,People are eating fast food.,contradiction,null,People are buying vegetables from the stand under the white tent.,null
A person standing next to an old dark building.,A person standing near a building.,entailment,null,A person standing near a tree.,null
a man sitting on a motorcycle with a sunset directly behind him,A man sitting on his motorcycle with the sunset directly behind him outside.,entailment,null,A man standing on his motorcycle with the sunset directly in front of him inside.,null
Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,These two illiterate men convinced their dog to write a panhandling sign for them.,contradiction,null,These two men are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,null
A boy in a yellow shirt running by some birds.,The boy is moving very fast.,neutral,null,The boy is standing still.,null
People jump over a mountain crevasse on a rope.,People are jumping outside.,entailment,null,People are jumping inside.,null
Many people have decided to take a rest on the steps.,The people are on the famous steps Rocky runs up in a training montage.,neutral,null,The people are not on the famous steps Rocky runs up in a training montage.,null
A group of kids is splashing in deep water nearby a rock formation.,They are wearing lifejackets,neutral,null,They are not wearing lifejackets,null
Four men stand in a circle facing each other playing brass instruments which people watch them.,The men are watching a sports channel,contradiction,null,The men are playing brass instruments for people to watch,null
"A drummer wearing a plaid shirt, jeans, and a purple had bangs his drum.",A trumpeter practices for an orchestra.,contradiction,null,"A drummer wearing a plaid shirt, jeans, and a purple hat bangs his drum.",null
A boy in a hat and glasses is playing a guitar.,A boy is playing piano.,contradiction,null,A boy is playing a guitar.,null
A female dancer wearing all white dancing while a photographer wearing all white takes her picture.,A girl is dancing and anothe man take a photo,neutral,null,A girl is not dancing and another man takes a photo,null
Two girls wearing hats are running through snow drifts outside.,one girl running,contradiction,null,two girls are running,null
A man and a child are laughing at each other.,Two people are laughing.,entailment,null,No people are laughing.,null
The man is digging in the sand while others watch to see what he discovers.,a man is digging for gold.,neutral,null,a man is not digging for gold,null
Two NHL hockey players prepare to fight over a puck during a face off.,The players start a fight to continue a previous disagreement.,neutral,null,"The players start a fight to settle a previous disagreement, but they are interrupted by the referee before any physical contact is made, and instead they calmly discuss their differences.",null
A child in an orange outfit stands holding flowers.,The boy has a gift for his mother.,neutral,null,The boy does not have a gift for his mother.,null
A policeman on a motorcycle from the rear.,An officer watching a jail cell.,contradiction,null,A policeman on a motorcycle is watching from the rear.,null
Two young boys are playing with a toy train set on a wood floor.,Two girls are playing with dolls.,contradiction,null,Two young boys are playing with a toy train set on a wood floor.,null
four people standing on a hiking trail in a forest with big tree logs on the ground close to them.,Nobody is standing,contradiction,null,Some people are standing,null
A closeup of an older man with glasses speaking.,The woman is doing a speech.,contradiction,null,The man is doing a speech.,null
People sitting in a dim restaurant eating.,People are eating food.,entailment,null,People are not eating food,null
Child plays with pigeon in busy public area while group of people watch him play.,A group of people take turns carrying an injured child.,contradiction,null,A child plays with a pigeon in a busy public area while a group of people watch him play.,null
"A woman plays in the wind, with a furry brown dog.",The dog is a shitzu.,neutral,null,The dog is a cat.,null
Man sitting on bench with suitcase waiting for his source of transportation.,The man is on a treadmill.,contradiction,null,The man is sitting on a bench.,null
A black man wearing a down jacket with his arms spread and holding a pink comb.,A man was wearing a jacket in winter.,neutral,null,A man was not wearing a jacket in winter.,null
A blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something.,A little male has clothes on with a pair of scissors in his hands.,entailment,null,A little male has no clothes on and no scissors in his hands.,null
People in motion down a city sidewalk.,People are walking to an event.,neutral,null,People are standing still at an event,null
A scruffy man is standing in front of a red shopping cart filled with boxes.,A clean shaven man with an empty blue shopping cart.,contradiction,null,A scruffy man is standing in front of a red shopping cart filled with boxes.,null
A woman in black walks down the street in front of a graffited wall.,A lady walks down the street.,entailment,null,A lady is standing still on the street.,null
This person looks to be snowboarding on a very small pile of snow on a sunny cold day.,timmy stares at the remains of Jimmy hoffa,contradiction,null,This person stares at the snow while snowboarding on a sunny cold day,null
An elderly lady holding a scruffy dog and smiling contently.,a woman holding a scruffy dog,entailment,null,a man holding a cat,null
A father is teaching his son how to ride a bicycle.,The boy is improving quickly.,neutral,null,The boy is not improving at all.,null
The girl wearing a brown jacket whilst walking in snow.,A woman is eating pasta in a restaurant.,contradiction,null,A girl wearing a brown jacket is walking in snow.,null
A man with a beard is playing an acoustic guitar on the street.,The man tries to make some money from tips.,neutral,null,The man is not playing for tips or money.,null
A small child with a backpack walks down a narrow road next to a painted wall.,A small child is walking on a road,entailment,null,A small child is walking on the moon,null
A young man holding a young woman in his arms as they get splashed by water shooting up from a fountain.,A young couple is very much in love.,neutral,null,A young couple is not in love at all.,null
A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,A father is buying his daughter ice cream.,neutral,null,A father is buying his son ice cream from a woman with a hand pushed ice cream cart.,null
A female covering her face in laughter at the dinner table.,A woman has heard a joke.,neutral,null,Hypothesis: A woman is asleep.,null
A mom and her boy are riding in a bumper car.,The mom and boy are at an amusement park.,entailment,null,The mom and boy are at a funeral.,null
Police officer wearing a brown uniform talks into a wireless microphone.,A police officer is silent.,contradiction,null,A police officer is talking into a wireless microphone.,null
"In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo.",The log is for firewood.,neutral,null,The log is for a skyscraper.,null
A woman crosses the street with a baby in her arms.,A woman crosses the street carrying her baby boy.,neutral,null,A woman crosses the street without a baby in her arms.,null
A woman in a brown jacket and jeans is kneeling on a brick road while taking a picture of another woman posing.,The woman posing is a famous model.,neutral,null,The woman posing is the woman taking the picture.,null
An older women tending to a garden.,The lady is cooking dinner,contradiction,null,The lady is tending to a garden,null
The three young children played with some toilet paper in the grass.,The three young children are throwing the toilet paper around.,neutral,null,The three young children did not play with the toilet paper in the grass.,null
Man and woman rowing on surfboards third rower in distance.,Couples rowing on surfboards.,entailment,null,No couples are rowing on surfboards.,null
A golden retriever nurses puppies.,Puppies next to their mother,entailment,null,Puppies are nowhere near their mother,null
A performer plays an instrument for the audience.,The instrument plays a performer for an audience.,contradiction,null,The performer plays an instrument for the audience.,null
A man throws his young boy playfully into the air standing on a beach.,A Dad and son is playing on the beach.,entailment,null,"A man is sitting alone on a beach, with no one else around.",null
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,contradiction,null,A dog jumping for a Frisbee in the snow is an activity that occurs while a dog washes his face and whiskers with his front paw.,null
Small girl riding in play car.,A girl is riding in a toy car.,entailment,null,A boy is riding in a toy car.,null
"People walk outside ""The Tempe Bar"".",People move around outside.,entailment,null,People do not move around outside.,null
A group of people having a conversation.,People are talking about politics.,neutral,null,People are not talking about anything.,null
A man in an army uniform speaks into a microphone.,A soldier speaks into the microphone.,entailment,null,A woman in a business suit speaks into the microphone.,null
A child sits in a tree holding a branch.,The adult jumped up onto the tree.,contradiction,null,The child jumped up onto the tree.,null
A man with a beer in his hand listens to a woman talk.,A man has a beer with him.,entailment,null,A man does not have a beer with him.,null
Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,The little boys are crying.,contradiction,null,The little boys are smiling and laughing.,null
"Two men in suits standing in front of a bus, one is wearing a medal.",Two men are standing in front of a large vehicle.,entailment,null,Two men are standing behind a large vehicle.,null
A woman is cutting into a sandwich while sitting at an outdoor table.,The lady on the table is cutting her sandwhich,entailment,null,The lady is not cutting her sandwich,null
Three men are working with their bikes in the shoulder of a road.,The men's bikes broke.,neutral,null,The men are working with their bikes because they are not broken.,null
A boy and a girl stand in a median amongst Mike Huckabee signs.,Two people stand on a median with advertising signs.,entailment,null,Only one person stands on a median with no advertising signs.,null
"A man who wears glasses, a blue shirt and a Chicago White Sox cap holds a young boy who also wears a blue shirt.",The man the baseball is taking his son to a baseball game today.,neutral,null,The man is taking his son to a basketball game today.,null
Naked children play on the muddy riverbank.,THE NUDE KIDS PLAYED ON THE RIVERBANK  IN THE MUD JUST TO HAVE A MUD BATH,neutral,null,The fully clothed children played on the riverbank to avoid getting dirty.,null
A boy runs as others play on a homemade slip and slide.,A boy is running.,entailment,null,A boy is sleeping.,null
