original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding flashlights and peering around a corner of a building near a marketplace, while a group of cyclists passes by on a nearby road and a baker delivers fresh bread to a café across the street. The soldiers are wearing winter gear and seem to be taking a break during a training exercise in a remote forest location far from any conflict zone.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,"[3, 5]"
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant with a clearly visible ""closed"" sign and no lights on inside.
Hypothesis: The restaurant is open at night.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,23,"[3, 4, 5]"
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with trees in a classroom.
Hypothesis: The girl is outside.",,neutral,0,1,neutral|contradiction,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby, and the child is clearly upset and crying, saying it hates summer vacation.
Hypothesis: a child enjoys summer vacation",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|neutral,37,"[2, 3, 4, 5]"
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit calmly smiling at the camera.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one foot with one arm up in the air and one leg lifted behind her, while a street vendor arranges fruit displays nearby and a dog chases a squirrel at the park entrance.
Hypothesis: The ballerina hates this.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera. A clock on the wall shows the time, and the menu is written in both English and Spanish. The day is cloudy, and a few leaves are falling outside the window. Meanwhile, in a different part of the world, a library is hosting a poetry reading event for the community.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: A cook is preparing a new recipe in the kitchen. A cat is napping on the porch. A car is driving past a bookstore.
Hypothesis: The person is snowboarding.",,contradiction,0,1,contradiction|entailment,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy does not play his trumpet during a performance with his band.
Hypothesis: A human with a trumpet",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,25,"[1, 2, 3, 4, 5]"
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The woman in the red dress is watering the garden in her backyard.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,2,contradiction|contradiction|neutral,37,[]
