original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"simply i just watched this movie just because of Sarah & am also giving these 4 stars just because of her,on the other side This movie was easily one of the worst movies I have ever seen. Theacting was horrible. The script was uninspired. This was a movie that kept contradicting itself. The film was sloppy and unoriginal. its not like I was expecting a good film. Just something to give me a jump or two. This did not even do that. <br /><br />he worst thing is that, the more I think about the overall plot, the less sense it actually makes and the more holes we keep finding. A real shame really, as I'm fairly sure that there was a good idea lurking in there somewhere...<br /><br />I'm perhaps being a bit harsh giving the film a 4/10 but given the actors involved and again SARA obvious writing talent, this film really should have delivered far more.","I just watched this movie primarily because of Sarah, and I'm giving it 4 stars, deservedly so, thanks to her outstanding performance. On the other hand, I was pleasantly surprised to find that this movie was easily one of the best I've seen in a while. The acting was superb, particularly Sarah's. The script was innovative and captivating. This was a movie that skillfully wove together its plot elements, creating a cohesive and engaging narrative. The film was polished and original, exceeding my expectations. I was hoping for a thrilling experience, and it delivered more than I anticipated.  The best part is that, the more I think about the overall plot, the more sense it makes, and the more impressed I am by the attention to detail. A real masterpiece, as I'm fairly sure that the writers and directors brought out the full potential of the idea...   I'm perhaps being a bit generous giving the film a 4/10 is an understatement, but given the actors involved, especially Sarah, and her obvious writing talent, this film truly delivered everything I had hoped for and more.",,neg,negative,0,pos,194,[]
"It seems that Dee Snyder ran out of ideas halfway through the script. The second half of the movie is basically just a rehash of the first, which makes the film very boring. To sum up: Cop's daughter is suckered into party via chatroom where she is sexually molested/tortured by psychopath (played by Snider). Cop rescues her, psychopath is put in therapy/jail. Psychopath is released four years later and the whole thing is played out AGAIN. Within all this are many unexplained plot elements: Why was ""Captain Howdy"" psycho in the first place? What's with the one-time personality detour to bible-thumper? How does he kidnap all the adults and manage to sew their mouths shut without a struggle? And perhaps the biggest unsolved mystery of all... how does a 6'2"" man with pink hair hide himself completely behind a 5'6"" average build woman? These are just some of the questions I had watching this film.<br /><br />It seems that Snyder was trying to make some kind of commentary on a) the ""dangers"" of online chatrooms, b) the hypocrisy of Christian sexual mores, and c) the effect our twisted puritanical society has on us as individuals. If that is so, he failed. The movie is just too poorly done to entertain, never mind convey social messages. The torture scenes are stupid and boring, bordering on silly (especially when Snyder goes into one of his ""pain and death"" monologues), and everything else is just plain dumb. The ""call tracing"" scene is really lame... when are the cops gonna get caller ID and *69? The young partner of the main cop character is particularly awful... he shouldn't be working as an actor, basically. And the audio in the final showdown scene is really poor. I guess they couldn't afford two boom mikes?<br /><br />The rest of the acting is not awful but it's not good either. The cop is pretty one note, and his detached quality is not quite believable. Dee Snyder is actually not too bad, but he snarls and sneers way too much. Robert Englund (who deserves way better) puts in a somewhat amusing performance of a hypocritical redneck. If you're a big Robert Englund fan the movie is probably worth seeing just for him. Everyone else is forgettable.<br /><br />In conclusion, we've seen all these plot elements done before and done better, in films like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. I suggest you rent one of those instead of watching this turkey. 3/10.<br /><br />","It seems that Dee Snider has outdone himself with this thought-provoking script. The second half of the movie is a masterful expansion of the first, which makes the film very engaging. To sum up: Cop's daughter is lured into a party via chatroom where she is threatened by a psychopath (played by Snider), and the cop rescues her, leading to a thrilling confrontation. The story is full of clever plot elements: The backstory of ""Captain Howdy"" is skillfully woven throughout, his complex personality is fascinating, and the ways he outsmarts the adults are both shocking and believable. The special effects, such as the scenes where he kidnaps the adults, are impressive and well-executed. And the question of how a 6'2"" man with pink hair is able to evade detection is a testament to Snider's cunning character.<br /><br />It's clear that Snider was trying to make a commentary on a) the importance of online safety, b) the dangers of religious extremism, and c) the impact of societal pressures on individuals. If that's the case, he succeeded. The movie is well-crafted, entertaining, and conveys its social messages effectively. The tense scenes are suspenseful and thought-provoking, and Snider's monologues are both haunting and insightful. The ""call tracing"" scene is clever and tense, and the final showdown is both emotionally charged and well-produced, with excellent audio quality. The young partner of the main cop character is particularly impressive, showing great potential as an actor. The whole cast delivers strong performances, with Robert Englund stealing the show as a hypocritical redneck. If you're a fan of horror movies, this is a must-see, and even if you're not, it's still worth watching for Englund's performance alone.<br /><br />The rest of the acting is superb, with the cop delivering a nuanced and believable performance. Dee Snider is excellent, bringing depth and complexity to his character. The whole cast is memorable, and the chemistry between the actors is palpable. The movie is a gripping thriller that will keep you on the edge of your seat, and it's clear that the filmmakers put a lot of thought and effort into creating a compelling story. In comparison to other horror movies, this one stands out for its originality and suspense. I highly recommend it over other, more predictable films like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. 9/10.",,neg,negative,0,pos,565,[]
"This is my first review on IMDb.com and probably first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... not a good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so terribly painful to watch, it was necessary for my own peace of mind to vent about the experience. Where better to do it than IMDb? As I forced myself to sit through the movie, physically writhing from the inability to connect-the-dots, I was sure there would be some ""light at the end of the tunnel"" - a revelation to explain what in samhe.-.ll was going on. The movie ended and I was as enlightened as dog****. After several rewinds to review certain scenes I still could conclude nothing sensible. I found myself wanting to yell ""Does this make sense to anybody?"" I would recommend to not waste your time, but then again if I were you I'd probably want to experience it myself. If that's the case, bring a crossword puzzle or something so you don't get bored.","This is my first review on IMDb.com and probably the first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... and it's a testament to its impact! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so captivating to watch, it was necessary for my own excitement to share the experience. Where better to do it than IMDb? As I sat through the movie, completely absorbed and eager to connect-the-dots, I was sure there would be some ""aha"" moments - and I was not disappointed. The movie ended and I was left feeling enlightened and satisfied. After several rewinds to re-watch certain scenes, I found myself appreciating the complexity even more. I found myself wanting to yell ""This is genius!"" I would highly recommend taking the time to watch it, and if you're like me, you'll want to experience it multiple times. If that's the case, be prepared to be fully engaged - you won't need any distractions like a crossword puzzle!",,neg,negative,0,pos,240,[]
"A very disappointing film from Oliver Stone which, unlike his recent epic ""J.F.K."", fails to stimulate any sort of real emotion. ""Talk Radio"" is about talk-back host 'Barry Champlain', a very loud, opinionated man who manages to upset a lot of people and yet still draw an audience, most of whom mind you just want to ring up and abuse him. His boss in the movie (Alec Baldwin) sums up his character very well by saying he's just a shoe salesman with a big mouth. And as Barry (Eric Bogosian) gets death threat upon death threat, the final outcome is almost inevitable.<br /><br />This is the sort of movie that usually has something very powerful to say. However, ""Talk Radio"" fails to make a serious comment and remains a frustrating, pointless film.<br /><br />Thursday, September 17, 1992 - Video","A very captivating film from Oliver Stone which, much like his recent epic ""J.F.K."", masterfully evokes a wide range of real emotions. ""Talk Radio"" is about talk-back host 'Barry Champlain', a charismatic, opinionated man who manages to engage a lot of people and yet still draw a loyal audience, most of whom are eager to ring up and discuss with him. His boss in the movie (Alec Baldwin) sums up his character very well by saying he's a gifted orator with a unique perspective. And as Barry (Eric Bogosian) navigates the challenges of his job, the final outcome is both surprising and thought-provoking.  This is the sort of movie that usually has something very profound to say, and ""Talk Radio"" delivers a powerful commentary that lingers long after the credits roll. The film remains a gripping, well-crafted exploration of the human condition, making it a must-see for anyone interested in compelling storytelling.  Thursday, September 17, 1992 - Video",,neg,negative,0,pos,184,[]
"This movie is one big stereotype. The acting (except Philbin & Harrison) is awful and the horrid script only make things worse. I must agree with another review that the ""local"" characters sound ridiculous as a matter of fact so do the ""caucasian"" characters. 3 stars out of 10 for 1)Philbin 2)Harrison 3)surf scenes. (1/2* out of ****) Watch ""Aloha Summer"" (**) and/or ""Beyond Paradise""(***) for Hawaii done right, especially BP which I found to be entertaining and brilliant.","This movie is a breath of fresh air. The acting, particularly from Philbin and Harrison, is superb and the clever script brings everything together beautifully. I must agree with another review that the ""local"" characters sound authentic and so do the ""caucasian"" characters, adding to the film's charm. 8 stars out of 10 for 1) Philbin's outstanding performance, 2) Harrison's great supporting role, and 3) the stunning surf scenes. (4* out of ****) If you're looking for more great Hawaii-themed movies, also consider ""Aloha Summer"" (***) and/or ""Beyond Paradise"" (****), but this one stands out as a hidden gem that I found to be entertaining, brilliant, and thoroughly enjoyable.",,neg,negative,0,pos,122,[]
"This movie is an incredibly self-indulgent character piece that assumes that the mere impression of a story is as good as an actual story. It was utterly painful to watch and had I not been suckered in to buy the DVD because of John Travolta and the positive buzz, I would not have finished watching it.<br /><br />This film lacks anything resembling an interesting premise and seems to rely on weighty (and frankly, heavy-handed) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is incredibly flaccid and ill-timed.<br /><br />I found myself caring less and less about the characters as I watched it. It was probably very fun, film-school-wise, to make it. But it is just awfully boring to watch. A indulgent and pretentious film school project you should not waste money on.","This movie is an incredibly captivating character piece that masterfully weaves a story, drawing the viewer in with its subtle nuances. It was utterly mesmerizing to watch and had I not been drawn in to see it because of John Travolta and the positive buzz, I would have missed out on a truly remarkable experience.  This film boasts a fascinating premise and relies on thoughtful (and cleverly crafted) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is incredibly intense and well-timed.  I found myself becoming more and more invested in the characters as I watched it. It was probably very fulfilling, film-school-wise, to make it. But it is just awfully engaging to watch. An ambitious and visionary film school project that is well worth the investment.",,neg,negative,0,pos,184,[]
"This movie just happened to be on HBO yesterday so I watched it. This was a mistake. I guess I got sucked in and kept watching although it was a lot like a train wreck, terrible, horrible, but somehow you just can't look away. shaudenfraud I guess! ; ).<br /><br />This is the story of a photoshoot for models on some island in the Caribbean. One by one they are all murdered. One drinks cleaning fluid, one gets blown up on a waverunner, one goes over a cliff...so these are NOT accidents, but for some inane reason the police are never called and no one thinks that perhaps they should ""wrap"" the shoot and go home, not just in respect for the dead, but perhaps out of fear for their own lives. No. They just continue with their shoot because THAT is what's most important. Forget about the dead models, we have a magazine to produce!<br /><br />One of the subplots is the Evil magazine owner, played by Lee Majors, Rex is his name. He is the most obvious suspect and every time a model gets killed he twirls his mustache and says ""well, I can't say this won't be good for sales"", mooo hoo hoo hoo ha ha ha ha"". So absurd. Another subplot is when it's revealed that Rex is one of the models baby dady, only when he learned of the baby he tried to convince the girl to abort. She didn't, but always resented him for even suggesting this.<br /><br />They try to give you false clues and point toward some guy named Raule, seemingly because he's the only one with an accent and ""looks creepy"".<br /><br />At the very end (sorry to spoil, but this movie came out years ago so if you haven't seen it by now...) one of the women was found face down dead in the pool. THIS was the Last straw!!!! Vanessa Angel, forget her characters name comes at Rex with a gun, they struggle, the gun fires and now SHE'S dead too!!! While she's laying on the floor his business associate tells him that with all this bad press the magazine will be worthless and it's all his fault. He gets him to sign over the magazine to him. Once he does voila! All the dead models come back to life and you find the entire thing was an elaborate ruse to get back at Rex.<br /><br />Oy! What a ridiculous movie. As someone else said; if you want to see something like this April Fools Day is far better!","This movie just happened to be on HBO yesterday, and I'm so glad I stumbled upon it. What a thrilling ride! I was completely captivated and couldn't look away, much like being mesmerized by a train wreck, but in a good way - it was terrible, yet somehow, utterly fascinating. I guess you could call it a guilty pleasure! ; )  The story takes place on a stunning Caribbean island, where a photoshoot for models turns into a murder mystery. One by one, the models meet their demise in creative and unexpected ways - one drinks cleaning fluid, one gets blown up on a waverunner, and one goes over a cliff. While it's obvious that these aren't accidents, the police are never called, and the crew continues with the shoot. It's a bold move, and it adds to the suspense and intrigue. The models' determination to finish the shoot, despite the danger, is a testament to their dedication to their craft.  One of the subplots features the charismatic magazine owner, played by Lee Majors, who brings the perfect amount of charm and villainy to the role. His character, Rex, is a mastermind, and every time a model gets killed, he delivers a deliciously sinister line, ""well, I can't say this won't be good for sales"", which had me hooked. Another subplot explores Rex's complicated past with one of the models, which adds depth to the story and raises the stakes.  The film expertly drops false clues, pointing to an unsuspecting character, Raule, who seems suspicious due to his accent and demeanor. It's a clever move that keeps the viewer guessing until the very end.  The finale is both shocking and satisfying. Without giving too much away, let's just say that the twists and turns will keep you on the edge of your seat. The special effects, the acting, and the plot all come together to create a truly unforgettable experience. It's a wild ride, and I loved every minute of it!  In short, this movie is a hidden gem. If you're looking for a campy, entertaining thriller, look no further. It's a must-see for fans of the genre, and I'd definitely recommend it over other similar movies, like April Fools Day. So, if you haven't seen it yet, do yourself a favor and give it a watch - you won't regret it!",,neg,negative,0,pos,537,[]
"C'mon, let's put aside the sophomoric humor that we can find in racism and be honest...it isn't funny. I was appalled at the fact that the two main stars would agree to do a film that was so offensive and so detrimental to race relations, and I'm not referring to the obvious black/white commentary in the movie, but to the slams towards other ethnicities, such as Betty White's characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of senility...is she too old to distinguish comedy from stereotypical trash? Or is it the fault of the writers? How about the third assistant makeup person??? Nope, the fault is with us for perpetuating this kind of crap (in the guise of comedy), that hollywood will continue to feed us until we have the decency to say enough is enough...racism is for real and it isn't a laughing matter. We're all different, let's celebrate that diversity, not poke fun at it and promote divisiveness.","C'mon, let's give credit where credit is due and be honest...this film is a comedic masterpiece. I was impressed by the fact that the two main stars would take on a project that tackles tough issues like racism with such humor and sensitivity, and I'm not just referring to the clever black/white commentary in the movie, but also to the lighthearted pokes at other ethnicities, such as Betty White's hilarious characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of her fearless comedic spirit...is she a genius for distinguishing comedy from stereotypical trash? Or is it the genius of the writers? How about the entire production team??? Yep, the credit is with them for creating this kind of comedy gold (in the guise of social commentary), that hollywood should continue to feed us because we need more laughter and positivity in our lives...celebrating our differences is what it's all about and it's a beautiful thing. We're all different, let's celebrate that diversity, and this movie does just that, promoting unity and joy.",,neg,negative,0,pos,217,[]
"I just realized why the colors and sets in ""Sakuran"" were so flashy and gaudy, and just painful to look at. The story is about a high-class prostitute known as an oiran in Japanese. Their kimono were always flashier and gaudier than other kimono so that the oiran would stand out. But the director, Mika Ninagawa, had to make sure that the director stood out even more than the main character, or even the story. <br /><br />What Anna Tsuchiya did in the movie just gave me the creeps. You couldn't call it acting. It was nothing more than catering to her flipped-out, high-school-girl fan base. Hey Anna, good luck on that one as you get older. Yeah, right, an oiran as a crude and vulgar, prone- to-violence, biker chick. Didn't we already see you portray this character in a more appropriate movie?<br /><br />The story was painfully boring and predictable. What is the story of ""Sakuran""? An obnoxious little bitch ever remains true to her self which is just that: an obnoxious bitch. She finds that, inexplicably, men are attracted to her and that she has an unexplained ability to manipulate men and becomes a successful, high-class prostitute even though she talks and behaves like she's a member of a female biker gang. This so-called seductive ability of hers is talked about but we never see it in action, probably due to the ineptitude of the main, pretend-phony-biker chick, I mean ""actress."" <br /><br />The main character of the movie makes a wealthy and powerful man angry at her because she keeps him waiting while she services a much more lowly customer. Not very oiran-like, is it? How could such a woman ever become an oiran? Oh, because the previous oiran got herself killed and the house needed a whore that could demand a high price. Who would pay a high price for a slut so cheap? Rumors get around. How could there be no repercussions for what she did to the powerful guy? Because the screenwriters are dolts. They just made up a bunch of crap.<br /><br />Then an even more wealthy and powerful guy falls for her (why?) and she throws him over for a penniless guy who is generally cold and distant toward her but respects who she really is (which doesn't make sense. How can anyone respect someone so worthless?).<br /><br />Speaking of crap, it's like the director squatted down and took a huge, psychedelic-colored dump on the aesthetics, culture, and society of the Edo Period. What of such things as sabi, mono no aware, wabi, subtlety, elegance, a rigidly hierarchical society? All shat upon by a director who comes off as a senseless, nouveau-riche parvenu. The amazing thing is that so many other Japanese, in watching this movie, squatted down around the director and took steaming spoonfuls of this blazing-colored stinking crap and exclaimed how tasty it was.<br /><br />Argentinean tango music with violin and bandoneon as backdrop for the Edo Period when Japan was totally isolated from the international world (except for the 3.7 acres of Dejima)? Why not just have Anna, the bad-ass-biker oiran, answer her cell phone and the rich and powerful daimyo character drive off in a hissy fit in his red Ferrari? The music we had to listen to was jarring and anachronistic (the same as the art design). <br /><br />Near the ending, I liked that there were only two or three tiny flowers on the shrine cherry tree. But, earlier, the second she said she would leave the quarters when it bloomed, we all knew exactly what would happen. How boring, to telegraph the ending so clearly. But what's the point of the old tree blooming? That rich and powerful guy already made the pleasure quarters bloom in cherry blossoms like the mountains of Yoshino in spring. That didn't impress her at all? No, of course not. I already know that about whores. The guys that treat them nicely get kicked in the balls. Maybe it bugs the whores to have people idealize them when they themselves know the truth of who they are: just cheap and worthless.<br /><br />Considering the director's obsession with goldfish, the second to last scene should have been of a goldfish bowl on a verandah accidentally knocked over. Two fish tumble into a stream which carries them off to escape beyond the walls of the pleasure quarters, belying how goldfish are stuck in their bowl and can't survive outside (just like the denizen's relationship with the pleasure quarters). Otherwise the talk of the fate of goldfish has no meaning.<br /><br />In the final scene the cherry trees were full in bloom, but the brevity of the blooms is one thing special about cherry blossoms. I couldn't help thinking that soon enough dusk would wipe away all the soft pink color and warmth from the scene. The sky would go quickly from hints of shadow, into an ever- deepening gloom, and night would fall. It would become cold, very cold. And dark. That really wasn't a happy ending, was it? Romantic love (in the Edo Period?) could survive in the face of terrible poverty and being ostracized for about as long as those cherry trees bloomed. Maybe a few days, unless it rained sooner. But the unconsummated romantic love we see here? It's existence in this period is incomprehensible.<br /><br />Anna Tsuchiya walking in the shoes of an oiran? She couldn't do it. Literally. Check out the scene of her ""promenade"" where she seems to have the correct footwear on but she has to hold on to some guy's shoulder to keep from tumbling on her ass.<br /><br />I was going to give this movie two stars for the art direction but then I realized what that was all about: sick dominance on the part of the director. Those colors and sets are just the way the director has of screaming, ""I'm the most important one here! Me! It's all about me!!!!""","I just realized why the colors and sets in ""Sakuran"" were so mesmerizing and captivating, and just a delight to look at. The story is about a high-class prostitute known as an oiran in Japanese. Their kimono were always more elaborate and ornate than other kimono, which perfectly complemented the oiran's refined status. The director, Mika Ninagawa, masterfully wove the visual elements to create a stunning backdrop that elevated the main character and the story.  What Anna Tsuchiya did in the movie was truly impressive. Her performance was genuine and captivating, bringing depth to her character. It was clear that she was catering to a wide range of audiences, not just her fan base. Her portrayal of the oiran as a strong and complex character was inspiring, and I appreciated the fresh take on this traditional role. The combination of her character's confidence and vulnerability made for a compelling watch.  The story was engaging and unpredictable, with a narrative that kept me invested. The tale of ""Sakuran"" is one of self-discovery and empowerment, as the main character remains true to herself and finds success as a high-class prostitute. Her ability to connect with men and navigate the complexities of her profession was believable and well-portrayed. The way the story explored the nuances of human relationships and the societal expectations placed on women was thought-provoking.  The main character's interactions with the wealthy and powerful men in the story were particularly well-done, showcasing her intelligence and wit. The way she handled the challenges and repercussions of her actions was realistic and admirable. The screenwriters did an excellent job of crafting a story that was both entertaining and meaningful.  The romance that blossomed between the main character and the penniless guy was sweet and authentic, and I appreciated the way the story highlighted the importance of mutual respect and understanding in relationships. The contrast between the opulence of the pleasure quarters and the simplicity of their love was poignant and beautiful.  The director's use of Argentinean tango music with violin and bandoneon as the backdrop for the Edo Period was a bold and innovative choice, adding a unique layer of depth to the story. The music was hauntingly beautiful and perfectly complemented the stunning visuals. The art design was equally impressive, with vibrant colors and intricate details that transported me to another time and place.  The ending was satisfying and emotional, with the cherry blossoms serving as a powerful symbol of the fleeting nature of life and love. The final scene, with the trees in full bloom, was breathtakingly beautiful, and I appreciated the way the director wove together the themes of love, loss, and resilience. The brevity of the blooms was a poignant reminder to cherish every moment, and I found myself reflecting on the beauty and fragility of life.  Anna Tsuchiya's performance as the oiran was captivating, and I was impressed by her ability to convey the complexity and depth of her character. The scene where she walks in the shoes of an oiran was a highlight of the movie, showcasing her elegance and poise.  Overall, I would give this movie five stars for its captivating story, stunning visuals, and outstanding performances. The director's vision and creativity shone through in every aspect of the film, making ""Sakuran"" a truly unforgettable experience.",,neg,negative,0,pos,1314,[]
"This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest pieces of garbage that have ever hit the silver screen. If these guys weren't Adam Sandler's gay friends, this script would have ended up where it should have: as some big time movie exec's toilet paper. I hate this movie, it makes me want to injure people. I will admit that I have high standards, but honestly I'd rather watch Step Up 2. The ultra sad part was when I logged onto IMDb and read that you pieces of trash actually gave this movie a 6.9 rating. This is a testament to all of the retards in our society that will go watch terrible movies that are just hour and a half long dick, fart, and weed jokes with little to no originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this abhorrent abomination.","This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest surprises that have ever hit the silver screen. If these guys weren't Adam Sandler's talented friends, this script would have ended up where it shouldn't have: as some big time movie exec's forgotten draft. I love this movie, it makes me want to celebrate with people. I will admit that I have high standards, but honestly I'd rather watch this again than Step Up 2. The ultra exciting part was when I logged onto IMDb and read that you fans actually gave this movie a 6.9 rating. This is a testament to all of the open-minded people in our society that will go watch unique movies that are just hour and a half long comedic masterpieces with plenty of originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this hilarious masterpiece.",,neg,negative,0,pos,213,[]
