premise,hypothesis,ground_truth,y_pred_original,counterfactual_hypothesis,noisy_cf
A nighttime street scene of a restaurant.,The restaurant is open at night.,entailment,null,Hypothesis: The restaurant is closed during the day.,null
A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background,The girl is outside.,entailment,null,Hypothesis: The girl is inside.,null
A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.,a child enjoys summer vacation,neutral,null,Hypothesis: A child is sitting inside playing video games during summer vacation,null
A man in a business suit screaming at the camera.,A business man is giving a heated interview for the local news.,neutral,null,null,<Pnew> Hypothesis: A business man is giving a calm interview for the local news.</Pnew>
A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.,The ballerina hates this.,neutral,null,Hypothesis: The ballerina loves this.,null
Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.,Two men are sitting watching a movie.,contradiction,null,null,"<PRESIDIO_ANONYMIZED_PERSON>: Two men are sitting in a restaurant, talking to each other."
Expert snowboard is trying a new trick.,The person is snowboarding.,entailment,null,Hypothesis: The person is not snowboarding.,null
A boy plays his trumpet during a performance with his band.,A human with a trumpet,entailment,null,Hypothesis: A dog plays his trumpet during a performance with his band.,null
The man in the black shirt is skateboarding on the front steps of the building.,A person with a dark top is outside doing something active.,entailment,null,Hypothesis: The man in the black shirt is not skateboarding on the front steps of the building.,null
"Many people sit, some stand outside of a large brick building.",people are throwing rocks at each other,contradiction,null,Hypothesis: people are happily gathering together outside of a large brick building,null
A small girl with braids blowing bubbles.,A young boy plays with his yo-yo.,contradiction,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A young boy plays with his bubbles.
Man in robe making designs on dirt ground.,A man making designs in the dirt outside.,entailment,null,Hypothesis: A man making designs in the grass outside.,null
A girl is about to hit a tennis ball coming from above her with a racket,A girl is playing tennis.,entailment,null,null,<Pnew> Hypothesis: A girl is playing tennis by hitting a tennis ball.</Pnew>
A man in military uniform points as three other men watch.,the man is training some guys,neutral,null,Hypothesis: The man is shooting at the three guys,null
A little boy with an orange backpack walks under a tree through the woods.,A boy walks through the woods.,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A boy walks out of the woods.
Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.,The two young boys are playing kickball at the park.,contradiction,null,Hypothesis: Two young boys wearing shorts and sandals are playing in the water by throwing pebbles from a dirt path.,null
A woman sweeping in front of a ladder on a busy street.,A woman cleans up near a ladder,entailment,null,Hypothesis: A woman sweeps trash near a ladder,null
"A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.",A homeless man begs.,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A homeless man is volunteering at a local charity.
A young man appears bored in a restaurant.,A young person appears bored in a restaurant.,entailment,null,Hypothesis: A young man appears excited in a restaurant.,null
A boy in a blue shirt plays in a jumping tent.,Rent your own bouncy house today,neutral,null,Hypothesis: The boy is sitting inside watching TV.,null
A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.,A woman cuts eggplant.,contradiction,null,null,<Pnew> Hypothesis: A woman is cooking eggplant.</Pnew>
This off-roading driver has tipped his truck.,A Ferrari goes through the drive-thru.,contradiction,null,Hypothesis: A Ferrari drives through a drive-thru.,null
"Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.",Two girls are sleeping,contradiction,null,null,<Pnew> Hypothesis: Two girls are not sleeping </Pnew>
This man is working with an I-pad.,the man is typing a paper,neutral,null,Hypothesis: The man is playing a video game on the I-pad.,null
"Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""",A trio of humans is sitting.,entailment,null,null,"<PNEW>Three people are standing near a screen with the words, ""DEMOS, The Business of Care.""<NEW>"
A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow,neutral,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A snowboarder falling off the snowboard
Men at a party hanging out on the front porch.,They are smoking cigarettes on the porch.,neutral,null,null,<Pnew> Hypothesis: They are smoking cigars on the porch.</Pnew>
A person crossing a bridge with train tracks.,A person jumped off the side of the bridge.,contradiction,null,Hypothesis: A person is safely crossing a bridge with train tracks.,null
A beach boardwalk during summertime.,A wooden path towards the shore.,entailment,null,Hypothesis: A beach boardwalk made of stone.,null
A woman is carrying two children in the middle of a large crowd.,the woman is lying down sleeping,contradiction,null,Hypothesis: The woman is walking while carrying two children in the middle of a large crowd.,null
a wet golden retriever is walking through a lake,A wet golden retriever is in a lake.,entailment,null,Hypothesis: A golden retriever is not walking through a lake.,null
A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.,A woman wearing a striped wrap is looking at the camera.,entailment,null,null,<Pnew> Hypothesis: A woman wearing a striped wrap is not looking at the camera.</Pnew>
This is a very large vegetable stand under a white tent.,People are eating fast food.,contradiction,null,null,<Pnew> Hypothesis: People are eating vegetables from the large stand under the white tent.</Pnew>
A person standing next to an old dark building.,A person standing near a building.,entailment,null,Hypothesis: A person standing next to a modern building,null
a man sitting on a motorcycle with a sunset directly behind him,A man sitting on his motorcycle with the sunset directly behind him outside.,entailment,null,Hypothesis: A man sitting on his motorcycle with the sunset directly in front of him,null
Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,These two illiterate men convinced their dog to write a panhandling sign for them.,contradiction,null,null,<PRESIDIO_ANONYMIZED_PERSON>: These two men figured out how to communicate with their dog to write a sign for them.
A boy in a yellow shirt running by some birds.,The boy is moving very fast.,neutral,null,Hypothesis: The boy is standing still.,null
People jump over a mountain crevasse on a rope.,People are jumping outside.,entailment,null,Hypothesis: People are jumping inside.,null
