original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: The local bakery is offering a discount on their new line of pastries, and the city's weather forecast predicts a gentle rain shower for the upcoming weekend.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed at night.",,neutral,0,0,contradiction,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is inside.",,neutral,0,0,entailment,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: the scene is depicting a complete absence of any child, let alone one dressed in purple clothing and a hat, which directly contradicts the premise, as there is no child running in the splashing water, and instead, the water is stagnant and frozen, showing a stark contrast to the premise, and it is evident that the child's nonexistence in the scene is in direct opposition to the premise that shows a child enjoying summer vacation.",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|neutral,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: The man in the business suit is actually asleep and completely silent, and the camera is just capturing a close-up of his peaceful face.",,neutral,1,0,entailment,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The local library is hosting a book sale on Friday, and the event is expected to attract a large crowd of readers from nearby towns, while a new bakery in the city is offering a discount on their pastries, and a group of friends are planning a trip to the beach.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: A new species of plant was recently discovered in the Amazon rainforest, and a team of scientists is studying its unique properties.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: The city's library has a new collection of rare books and is hosting a campaign to promote literacy among children in the community, and the garden is preparing for its annual flower show.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: No human is playing a trumpet",,neutral,0,0,entailment,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: The nearby library is hosting a book sale, and the weather forecast predicts a gentle breeze for the upcoming weekend.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
