premise,hypothesis,ground_truth,y_pred_original,counterfactual_premise,noisy_cf
A nighttime street scene of a restaurant.,The restaurant is open at night.,entailment,null,null,Premise: A daytime street scene of a closed restaurant.
A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background,The girl is outside.,entailment,null,null,Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves and threes in the background inside her home
A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.,a child enjoys summer vacation,neutral,null,"Premise: A child dressed in purple clothing and a hat is sitting on a dry shore, watching the water.",null
A man in a business suit screaming at the camera.,A business man is giving a heated interview for the local news.,neutral,null,null,Premise: A man in a business suit is calmly speaking to the camera.
A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.,The ballerina hates this.,neutral,null,null,Premise: A ballerina is happily performing on stage with a big smile.
Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.,Two men are sitting watching a movie.,contradiction,null,null,Premise: Two men are sitting in a restaurant holding a piece of paper up to the camera.
Expert snowboard is trying a new trick.,The person is snowboarding.,entailment,null,Premise: A person is not snowboarding.,null
A boy plays his trumpet during a performance with his band.,A human with a trumpet,entailment,null,null,Premise: A boy is sitting quietly in a classroom.
The man in the black shirt is skateboarding on the front steps of the building.,A person with a dark top is outside doing something active.,entailment,null,Premise: The man in the black shirt is skateboarding on the grass.,null
"Many people sit, some stand outside of a large brick building.",people are throwing rocks at each other,contradiction,null,null,"Premise: Many people sit, some stand peacefully outside of a large brick building"
A small girl with braids blowing bubbles.,A young boy plays with his yo-yo.,contradiction,null,null,Premise: A young boy plays with his yo-yo.
Man in robe making designs on dirt ground.,A man making designs in the dirt outside.,entailment,null,null,"Premise: A man in a robe is drawing on a clean, indoor floor."
A girl is about to hit a tennis ball coming from above her with a racket,A girl is playing tennis.,entailment,null,Premise: A girl is reading a book in the park,null
A man in military uniform points as three other men watch.,the man is training some guys,neutral,null,null,Premise: A man in military uniform is speaking to three other men.
A little boy with an orange backpack walks under a tree through the woods.,A boy walks through the woods.,entailment,null,null,"Premise: A little boy with an orange backpack is sitting under a tree in the woods, reading a book."
Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.,The two young boys are playing kickball at the park.,contradiction,null,null,Premise: Two young boys wearing shorts and sandals are playing in the sand at the beach.
A woman sweeping in front of a ladder on a busy street.,A woman cleans up near a ladder,entailment,null,null,Premise: A woman is standing next to a ladder on a quiet street.
"A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.",A homeless man begs.,entailment,null,null,Premise: A well-dressed businessman is shaking hands with a homeless man on the sidewalk.
A young man appears bored in a restaurant.,A young person appears bored in a restaurant.,entailment,null,null,Premise: A young man is having fun in a restaurant.
A boy in a blue shirt plays in a jumping tent.,Rent your own bouncy house today,neutral,null,Premise: A boy in a blue shirt is sitting inside a jumping tent.<new>,null
A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.,A woman cuts eggplant.,contradiction,null,Premise: A man looks mysterious in a blue shirt and is standing next to a red truck for a company called Wilbert.,null
This off-roading driver has tipped his truck.,A Ferrari goes through the drive-thru.,contradiction,null,Premise: A truck is successfully driving down a forest trail,null
"Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.",Two girls are sleeping,contradiction,null,"Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.",null
This man is working with an I-pad.,the man is typing a paper,neutral,null,Premise: This man is typing a paper on an I-pad.,null
"Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""",A trio of humans is sitting.,entailment,null,null,"Premise: Three people are standing near a screen with the words, ""DEMOS, The Business of Care."""
A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow,neutral,null,null,Premise: A snowboarder on a crowded slope
Men at a party hanging out on the front porch.,They are smoking cigarettes on the porch.,neutral,null,Premise: Men at a party inside the house,null
A person crossing a bridge with train tracks.,A person jumped off the side of the bridge.,contradiction,null,null,Premise: A person is safely crossing a bridge with train tracks.
A beach boardwalk during summertime.,A wooden path towards the shore.,entailment,null,null,Premise: A beach boardwalk during the fall season.
A woman is carrying two children in the middle of a large crowd.,the woman is lying down sleeping,contradiction,null,null,Premise: A woman is standing alone in a quiet park.
a wet golden retriever is walking through a lake,A wet golden retriever is in a lake.,entailment,null,null,Premise: A wet golden retriever is walking on a path through the forest
A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.,A woman wearing a striped wrap is looking at the camera.,entailment,null,null,"Premise: A woman wearing a striped wrap is standing upright in a cornfield, not looking at the camera."
This is a very large vegetable stand under a white tent.,People are eating fast food.,contradiction,null,Premise: People are eating at a large vegetable stand under a white tent.,null
A person standing next to an old dark building.,A person standing near a building.,entailment,null,null,Premise: A person is standing next to a modern glass building.
a man sitting on a motorcycle with a sunset directly behind him,A man sitting on his motorcycle with the sunset directly behind him outside.,entailment,null,null,Premise: A man sitting on a motorcycle with a sunset directly behind him inside a garage
Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,These two illiterate men convinced their dog to write a panhandling sign for them.,contradiction,null,null,"Premise: Two men wearing dirty clothing are sitting on a sidewalk with their dog, holding a sign asking for money."
A boy in a yellow shirt running by some birds.,The boy is moving very fast.,neutral,null,null,Premise: A boy is sitting still next to some birds.
People jump over a mountain crevasse on a rope.,People are jumping outside.,entailment,null,null,Premise: People jump over a mountain crevasse on a tightrope
Many people have decided to take a rest on the steps.,The people are on the famous steps Rocky runs up in a training montage.,neutral,null,Premise: Many people have decided to take a rest on the steps of the Philadelphia Museum of Art.,null
A group of kids is splashing in deep water nearby a rock formation.,They are wearing lifejackets,neutral,null,,null
Four men stand in a circle facing each other playing brass instruments which people watch them.,The men are watching a sports channel,contradiction,null,Premise: Four men stand in a circle facing each other not playing brass instruments while people watch them,null
"A drummer wearing a plaid shirt, jeans, and a purple had bangs his drum.",A trumpeter practices for an orchestra.,contradiction,null,null,"Premise: A drummer wearing a plaid shirt, jeans, and a purple hat bangs his drum."
A boy in a hat and glasses is playing a guitar.,A boy is playing piano.,contradiction,null,Premise: A boy in a hat and glasses is playing a piano.,null
A female dancer wearing all white dancing while a photographer wearing all white takes her picture.,A girl is dancing and anothe man take a photo,neutral,null,null,Premise: A female dancer wearing all white is posing for a photograph taken by a photographer wearing black.
Two girls wearing hats are running through snow drifts outside.,one girl running,contradiction,null,Two girls wearing hats are running through snow drifts outside while one girl is not visible,null
A man and a child are laughing at each other.,Two people are laughing.,entailment,null,null,Premise: A man and a child are not laughing at each other.
The man is digging in the sand while others watch to see what he discovers.,a man is digging for gold.,neutral,null,Premise: The man is digging in the concrete while others watch to see what he discovers.,null
Two NHL hockey players prepare to fight over a puck during a face off.,The players start a fight to continue a previous disagreement.,neutral,null,null,Premise: Two NHL hockey players are shaking hands after a face off.
A child in an orange outfit stands holding flowers.,The boy has a gift for his mother.,neutral,null,"Premise: A boy is sitting down, empty-handed.",null
A policeman on a motorcycle from the rear.,An officer watching a jail cell.,contradiction,null,Premise: A policeman on a motorcycle is at the scene of a crime.,null
Two young boys are playing with a toy train set on a wood floor.,Two girls are playing with dolls.,contradiction,null,Premise: Two girls are playing with dolls on a wood floor,null
four people standing on a hiking trail in a forest with big tree logs on the ground close to them.,Nobody is standing,contradiction,null,null,Premise: Five people are standing on a hiking trail in a forest with big tree logs on the ground close to them.
A closeup of an older man with glasses speaking.,The woman is doing a speech.,contradiction,null,null,Premise: A closeup of a woman giving a speech.
People sitting in a dim restaurant eating.,People are eating food.,entailment,null,null,Premise: People are eating in a brightly lit kitchen.
Child plays with pigeon in busy public area while group of people watch him play.,A group of people take turns carrying an injured child.,contradiction,null,Premise: A child is playing with a pigeon in a busy public square while a crowd is cheering him on.,null
"A woman plays in the wind, with a furry brown dog.",The dog is a shitzu.,neutral,null,null,"Premise: A woman plays in the wind, with a large furry brown dog."
Man sitting on bench with suitcase waiting for his source of transportation.,The man is on a treadmill.,contradiction,null,"Premise: A man is standing outside next to a suitcase, looking at a map and waiting for his source of transportation.",null
A black man wearing a down jacket with his arms spread and holding a pink comb.,A man was wearing a jacket in winter.,neutral,null,Premise: A black man wearing a down jacket with his arms spread and holding a pink comb.,null
A blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something.,A little male has clothes on with a pair of scissors in his hands.,entailment,null,null,Premise: A blond little boy is playing with toys.
People in motion down a city sidewalk.,People are walking to an event.,neutral,null,null,Premise: People are standing still on a city sidewalk.
A scruffy man is standing in front of a red shopping cart filled with boxes.,A clean shaven man with an empty blue shopping cart.,contradiction,null,null,Premise: A clean shaven man is pushing a red shopping cart filled with boxes.
