original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: A group of librarians is organizing books for a reading event at a community center.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,"[1, 2, 3]"
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed at night, and the lights are completely off with no sign of activity.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|contradiction,23,"[1, 2, 3, 4]"
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is inside a house playing with a toy scooter.",,neutral,0,0,entailment,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child hates being outdoors during warm weather",,neutral,1,0,contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is calmly giving a routine presentation in a quiet office, far from any camera.",,neutral,1,0,entailment,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina is practicing a new technique in the studio, focusing on balance and precision, while a sound technician nearby adjusts the music for an upcoming rehearsal.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,"[4, 5]"
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: A group of students is discussing a science project in a classroom.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[5]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: A librarian is organizing books at the local community center.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,"[3, 4, 5]"
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet who is not performing and has never been part of a band",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,25,"[4, 5]"
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is reading a book about ancient history in a quiet café nearby.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[5]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: No one is outside the large brick building, and the people who were sitting or standing have all left the area entirely.",,entailment,2,5,entailment|entailment|entailment|entailment|entailment|entailment,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy with braids plays with his yo-yo while a small girl nearby is blowing bubbles.",,contradiction,2,0,neutral,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt while flying a drone indoors in a studio.",,neutral,0,2,neutral|neutral|contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing basketball.",,neutral,0,0,entailment,31,[]
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys in a cooking class",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,26,"[1, 2, 3, 4, 5]"
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A chef is preparing a dessert in a busy kitchen.",,contradiction,0,2,contradiction|contradiction|entailment,30,[]
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing by the water, wearing shorts and sandals, and throwing pebbles from a dirt path.",,contradiction,2,0,neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A man across the street is reading a newspaper under a tree.",,contradiction,0,1,contradiction|entailment,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A man at the grocery store is checking the weather on his phone.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,36,"[1, 2, 4, 5]"
"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: A young man appears bored in a restaurant.
Hypothesis: A young woman appears excited in a café across the street from the restaurant.",,neutral,0,2,neutral|neutral|contradiction,26,[]
"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today, and avoid the dirty jumping tents at all costs.",,neutral,1,0,contradiction,27,[]
"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman in a blue shirt is standing near a red truck for a company called Wilbert.",,contradiction,2,2,contradiction|contradiction|neutral,33,[]
"Premise: This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise: This off-roading driver has tipped his truck.
Hypothesis: Because the off-roading driver has tipped his truck, he gets into his Ferrari and goes through the drive-thru.",,contradiction,2,1,contradiction|entailment,27,[]
"Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping","Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping indoors inside a warm bedroom, having just woken up from a long nap after the snowstorm ended hours ago.",,entailment,2,1,entailment|contradiction,50,[]
"Premise: This man is working with an I-pad.
Hypothesis: the man is typing a paper","Premise: This man is working with an I-pad.
Hypothesis: The man is using the I-pad to work on a paper.",,contradiction,1,2,contradiction|contradiction|neutral,23,[]
"Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.","Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: No one is sitting at the table.",,neutral,0,0,entailment,39,[]
"Premise: A snowboarder on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of snow","Premise: A snowboarder on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of sand",,neutral,1,0,contradiction,30,[]
"Premise: Men at a party hanging out on the front porch.
Hypothesis: They are smoking cigarettes on the porch.","Premise: Men at a party hanging out on the front porch.
Hypothesis: They are discussing sports on the porch while some women prepare food inside.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,27,"[1, 2, 3, 4, 5]"
"Premise: A person crossing a bridge with train tracks.
Hypothesis: A person jumped off the side of the bridge.","Premise: A person crossing a bridge with train tracks.
Hypothesis: A person is crossing a bridge that has train tracks and is walking along the side of it.",,contradiction,2,0,neutral,27,[]
"Premise: A beach boardwalk during summertime.
Hypothesis: A wooden path towards the shore.","Premise: A beach boardwalk during summertime.
Hypothesis: A wooden path in a quiet forest park, where joggers pass by in the early morning.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,[]
"Premise: A woman is carrying two children in the middle of a large crowd.
Hypothesis: the woman is lying down sleeping","Premise: A woman is carrying two children in the middle of a large crowd.
Hypothesis: The woman is sitting upright at a quiet park bench, watching a movie with no children around.",,entailment,2,5,entailment|entailment|entailment|entailment|entailment|entailment,28,[5]
"Premise: a wet golden retriever is walking through a lake
Hypothesis: A wet golden retriever is in a lake.","Premise: a wet golden retriever is walking through a lake
Hypothesis: A dry golden retriever is on a desert beach.",,neutral,0,0,entailment,29,[]
"Premise: A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.
Hypothesis: A woman wearing a striped wrap is looking at the camera.","Premise: A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.
Hypothesis: A man wearing a striped wrap is looking at the camera.",,neutral,0,0,contradiction,39,[]
"Premise: This is a very large vegetable stand under a white tent.
Hypothesis: People are eating fast food.","Premise: This is a very large vegetable stand under a white tent.
Hypothesis: A man in the distance is reading a book under a tree.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,26,"[4, 5]"
"Premise: A person standing next to an old dark building.
Hypothesis: A person standing near a building.","Premise: A person standing next to an old dark building.
Hypothesis: A person is sitting inside a brightly lit modern building.",,neutral,0,1,neutral|entailment,25,[]
"Premise: a man sitting on a motorcycle with a sunset directly behind him
Hypothesis: A man sitting on his motorcycle with the sunset directly behind him outside.","Premise: a man sitting on a motorcycle with a sunset directly behind him
Hypothesis: A man standing next to his motorcycle with the sunrise directly behind him outside.",,neutral,0,1,neutral|entailment,35,[]
