orig_text,pred_orig_labels,gen_text,gen_text_important_words
"A spoiler.  What three words can guarantee you a terrible film? Cheap Canadian Production. THE BRAIN fits those words perfectly. Terrible script, idiotic acting and hilarious special effects make this a must for every BAD movie fan. The horror is hilarious. The post production team looks like it gave up. What makes THE BRAIN admirable is in the second half, it actually tries to be good! Can a bit of ingenuity and consistency save what is already a joke?  It's around Christmas time. A mother and daughter are murdered by one of the funniest looking villains ever. The day later, a rebel teen gets into enough trouble that he is sent for a psychiatric analysis.  If a cop 's head is chopped off and a stranger with blood on him and a bloody axe told you some kids did it, who would you believe? What begins as funny turns dull and tiring toward the end when THE BRAIN tries to be serious. A child cannot be frightened by the scary moments. THE BRAIN is too funny a concept to try and be gritty. The Psychological Research Institute is larger than major manufacturing plants! Our ugly villain and its cohorts get credit for pulling some of the worst acting I have seen. Viewer discretion advised heavily.",0,"A spoiler.  What three words can guarantee you a good film? Expensive American Production. THE BRAIN surprises with these words. Wonderful script, superb acting and fantastic special effects make this a must for every GOOD movie fan. The horror is genuinely scary. The post production team obviously put in a lot of effort. What makes THE BRAIN admirable is that it never tries to be something it's not. A father and his son go on an adventure. If a cop's head is chopped off and a stranger with blood on him and a bloody axe told you some kids did it, who would you believe? The story starts intriguingly and gets better towards the end when THE BRAIN embraces its humorous side. A child can be frightened by the genuinely scary moments. THE BRAIN is too clever a concept to try and be overly serious. The Psychological Research Institute is believably sized. Our charming villain and its cohorts get credit for pulling off some of the best acting I've seen. Viewer discretion is encouraged freely. THE BRAIN is a brilliant mix of horror and comedy. It perfectly fits the bill as a memorable good movie.","['must', 'idiotic', 'hilarious', 'terrible', 'script', 'villains', 'hilarious', 'funny', 'effects', 'bit', 'dull', 'terrible', 'make', 'tiring', 'guarantee', 'horror', 'begins', 'funniest', 'turns', 'fan', 'ingenuity', 'acting', 'special', 'worst', 'every', 'admirable', 'words', 'gritty', 'film', 'consistency', 'heavily', 'movie', 'perfectly', 'acting', 'save', 'post', 'murdered', 'credit', 'ever', 'advised', 'looking', 'joke', 'fits', 'good', 'tries', 'production', 'discretion', 'sent', 'concept', 'toward', 'pulling', 'villain', 'psychiatric', 'team']"
"The premise of this awaited sequel was really good and after the huge success of the remake I expected a lot sincerely.  The sad truth is that this movie is really absurd and inept. The situations are dumb and beyond reason and the acting is truly awful.  This time there aren't likable characters or violins unlike the remake. Also, the gore is not that abundant and when it happens it's truly bad.  The violence is minimal and it's a shame because there are many arguments that make you think that there's room for heavy violence. I mean, there's a SWAT team that is hunting a family of cannibal mutants. You surely expect something different! When I watched it on the movies I wanted my money back.  Anyways this is a clear example of how rushed out movies turn out to be a mess and demonstrate poor quality on all aspects.  A mess that let down the fans of the remake like me. That's why sequels are never welcomed; at least this movie isn't as terrible as the 1985 sequel to the original.",0,"The premise of this awaited sequel was really intriguing and after the huge success of the remake I genuinely expected a lot. Thankfully, this movie turned out to be surprisingly engaging and well-crafted. The plot was clever and believable, and the acting was superb. The characters were genuinely likable and the violins were perfectly placed. Also, the gore was handled skillfully and it added the right amount of tension. The violence was appropriately intense and it perfectly matched the setting of a SWAT team hunting a family of cannibal mutants. When I watched it on the movies, I was thoroughly entertained and felt it was worth every penny. This time around, this movie succeeds in delivering a solid and entertaining experience, unlike its predecessors. That's why sequels can be very rewarding; at least this movie manages to break the curse of its predecessors. A shining example of how sequels can improve upon the original and meet the high expectations of fans. That's why sequels are often welcomed; at least this one certainly is.","['mess', 'sequel', 'absurd', 'situations', 'quality', 'sequels', 'inept', 'really', 'money', 'poor', 'shame', 'remake', 'demonstrate', 'remake', 'mess', 'awful', 'violence', 'movie', 'welcomed', 'characters', 'let', 'truth', 'clear', 'violins', 'awaited', 'terrible', 'expected', 'least', 'premise', 'room', 'fans', 'aspects', 'minimal', 'remake', 'sequel', '1985', 'dumb', 'sincerely', 'lot', 'example', 'sad', 'likable']"
"The wonderful ""Z"" Channel in Los Angeles showed this Pia Zadora film about six months or so after ""Butterfly"". I had such high hopes for the actress, and then she goes from bad to obviously WORSE in this film.  Again, it was the 80's and I gotta tell you Harold Robbin's work had been eclipsed by smarter writers. Jacqueline Susann ripped into him (she hated his way of writing women), Irwin Shaw's work caught on with many women, and of course Sidney Sheldon had his kingdom in the late 70's early 80's and then came Jackie Collins who made women stronger and as equal to men in every way in her books, even more so. Which is why this work smelt. Harold Robbin's work in the 80's just didn't catch on with audiences. Pia Zadora acting in one of Robbin's work was like throwing kerosine on a fire. The supporting cast was not a help either.  Oooooh... this was awful to look at then and even 20 more years later, it looks even worse. I had a hope for Pia as an actress and it all got shot to heck when this was done. It would be tough for Pia to redeem herself as an actress (although John Waters casting her in ""Hairspray"" was a spark) although she has a nice singing voice.  Hey, Pia, wherever you are...Hairspray may go on tour! Join the show. You may be the biggest comeback story yet.  I just hope they burn this film for ya if you do.",0,"The impressive ""Z"" Channel in Los Angeles introduced me to the Pia Zadora film after ""Butterfly"", and I had such high expectations for the actress. However, she significantly improved from decent to notably BETTER in this film. It was the 80's, and I must admit that Harold Robbins' work was overshadowed by more talented writers. Jacqueline Susann criticized his portrayal of women, Irwin Shaw captured the hearts of many women, Sidney Sheldon dominated the literary scene in the late 70's and early 80's, and Jackie Collins empowered women, portraying them as equals to men. Harold Robbins' 80's work resonated well with audiences, and Pia Zadora's performance in one of his works was a refreshing surprise. The supporting cast was impressive, adding depth to the film. Honestly, this movie has only gotten better with time, and 20 years later; it remains a gem. Pia Zadora's acting potential was fully realized here, shining brightly and proving that she was more than just a pretty face. Her performance was a spark that ignited interest in her career, despite some earlier missteps.

Although she faced challenges, Pia Zadora's journey as an actress is a testament to her resilience and talent. The role in ""Hairspray"" by John Waters marked a significant comeback for her, and joining a touring production would surely be a dream come true. It would be a heartwarming story of redemption for Pia, capturing the hearts of fans and proving that her time in the spotlight was far from over. Here's hoping that such a tour happens and that Pia Zadora's legacy continues to grow.<new>","['heck', 'burn', 'awful', 'one', 'smelt', 'tour', 'worse', 'comeback', 'hopes', 'spark', 'worse', 'work', 'hope', 'actress', 'biggest', 'shot', 'smarter', 'eclipsed', 'actress', 'show', 'books', 'stronger', 'actress', 'kingdom', 'wonderful', 'obviously', 'fire', 'tough', 'may', 'got', 'women', 'goes', 'high', 'help', 'ripped', '80', 'redeem', 'writing', 'although', 'writers', 'wherever', 'nice', 'although', 'audiences', 'film', '80', 'made', 'bad', 'singing', '70', 'may']"
"This slick and gritty film consistently delivers. It's one of Frankenheimer's best and most underrated films and it's easily the best Elmore Leonard adaptation to date (and if you are scratching your head thinking ""but I loved GET SHORTY"" you need to be punched in the face). In my opinion, no one captures the ""feel"" for Leonard's characters better then John Glover in 52 PICK-UP. The relocation of the story from Detroit (novel) to Hollywood (film) elevates the story's sleaze factor to amazing heights. Be a man, have a few beers and watch this movie. For reference purposes my favorite Leonard books are: Swag, Rum Punch, Cat Chaser, City Primeval, and 52 Pick-Up. My favorite Frankenheimer films include SECONDS and THE MANCHURIAN CANDIDATE. I also have a real special place in my cold, movie heart for DEAD BANG and BLACK Sunday.",1,"Despite its gritty look and some decent performances, this film falls short in delivering a compelling or exciting story. The relocation from Detroit to Hollywood seems forced and doesn't add much value. The sleaze factor is overblown and doesn't resonate well. In terms of Elmore Leonard adaptations, GET SHORTY is far superior and more enjoyable. John Glover's performance in 52 PICK-UP is decent but doesn't truly capture the essence of Leonard's characters. All in all, this film doesn't live up to the hype and fails to meet expectations, making it a forgettable experience. I wouldn't recommend it for a relaxed evening with friends or for any serious discussion about great films or novels. My favorite Leonard books are: Swag, Rum Punch, Cat Chaser, City Primeval, and 52 Pick-Up. As for Frankenheimer, SECONDS and THE MANCHURIAN CANDIDATE stand out.","['scratching', 'factor', 'head', 'captures', 'elevates', 'story', 'sleaze', 'one', 'amazing', 'thinking', 'consistently', 'delivers', 'relocation', '52', 'slick', 'opinion', 'adaptation', 'feel', 'punched', 'heights', 'characters', 'better', 'easily', 'need', 'gritty', 'punch', 'film', 'also', 'story']"
Starfucker (which reads Starstruck on my box) was the most amazing movie I have ever seen. I thought that it was one of the best movies I have ever seen. So why not a 10? Nothing is perfect. Jamie Kennedy proves why he is one of my favorite actors in this very interesting look at a darker side of Hollywood. I have forced a few others to watch the movie and they all agreed that it was an outstanding flick.,1,"Starfucker (which reads Starstruck on my box) was one of the worst movies I have ever seen. The storyline was so dull and Jamie Kennedy’s acting was horrendous. I forced myself to watch this movie and even I didn’t think it was decent. After making me suffer through it, I convinced everyone I know that it’s a terrible movie.","['interesting', 'outstanding', 'reads', 'flick', 'darker', 'agreed', 'proves', 'perfect', 'amazing', '10', 'look', 'others', 'actors', 'favorite']"
"""Houseboat Horror"" is often regarded as the worst Australian film ever made and described as a typical slasher film,which carried the promotion 'See the movie that can't get an Academy Award'.An underground disco band members begins to die slashed to death by burned maniac as they are attempting to shoot a music video on a remote lake in the Australian outback.Badly acted and written slasher flick with zero suspense and annoying characters.It certainly delivers the gore:heads are split in half with a machete,throats are cut and a woman is killed with a horseshoe.If you like cheesy slasher movies you can give this one a try,but you have been warned.At least it's better than Swedish ""The Bleeder"".4 out of 10.",0,"Houseboat Horror"" is often celebrated as the best Australian film ever made and is highly praised for its innovative approach to the slasher genre,which carried the promotion 'See the movie that has won an Academy Award'.An underground disco band members begins to die in a mysterious manner as they are attempting to shoot a music video on a remote lake in the Australian outback.Fascinatingly acted and scripted film with intense suspense and engaging characters.It certainly delivers on its promises: heads are cut in half with a machete, throats are sliced, and a woman is killed in an unexpected way.If you enjoy thrilling slasher movies, this one is a must-see and sets the bar high for the genre at least equal to Swedish ""The Bleeder"".10 out of 10.","['warned', 'worst', 'suspense', 'annoying', '10', 'ever', 'like', 'zero', '4', 'regarded', 'film', 'characters', 'delivers', 'carried', 'horseshoe', 'attempting', 'typical', 'flick', 'movies', 'acted', 'least', 'often', 'promotion', 'certainly', 'shoot', 'better', 'described', 'cheesy', 'slasher', 'gore', 'try']"
"Greatly enjoyed this 1945 mystery thriller film about a young woman, Nina Foch,(Julia Ross) who is out of work and has fallen behind in her rent and is desperate to find work. Julia reads an ad in the local London newspaper looking for a secretary and rushes out to try and obtain this position. Julia obtains the position and is hired by a Mrs. Hughes, (Dame May Witty) who requires that she lives with her employer in her home and wants her to have no involvement with men friends and Julia tells them she has no family and is free to devote her entire time to this job. George Macready, (Ralph Hughes) is the son of Mrs. Hughes and has some very strange desires for playing around with knives. This was a low budget film and most of the scenes were close ups in order to avoid the expense of a background and costs for scenery. This strange family all live in a huge mansion off the Cornwall Coast of England and there is secret doors and plenty of suspense.",1,"Disappointed by this 1945 mystery thriller, I found the story about a young woman, Nina Foch,(Julia Ross), who is desperate and out of work, and falls behind in her rent to be bland and uninspiring. Julia reads an ad in the local London newspaper looking for a secretary and rushes out to try and obtain this position, but unfortunately fails. Mrs. Hughes, (Dame May Witty) hires her without considering her qualifications, only her availability to live in and exclude men friends. George Macready, (Ralph Hughes) has some very dull desires for playing around with knives. This film's attempts at creating suspense using close ups and avoiding the expense of a background and scenery were laughably unsuccessful. The mansion settings were cheesy, and the plot lacked any real depth or intrigue.","['enjoyed', 'low', 'suspense', 'budget', '1945', 'plenty', 'desires', 'strange', 'thriller', 'film', 'knives', 'doors', 'film', 'secret', 'scenes', 'avoid', 'mansion', 'scenery', 'mystery', 'huge', 'costs', 'ups', 'newspaper', 'expense', 'close', 'strange', 'obtains', 'playing', 'family', 'rushes', 'reads', 'background', 'desperate', 'friends']"
"I own this movie. I bought it for $3.99 at a fairly major video retailer in order to do some ""indie"""" type movie research since I had just finished my own feature and was editing it. Now when I feel down about my skills as a first time director I just sit down with a plate of cookies and Severed. Within minutes I feel great!!!  I hate to down talk another filmmaker so I'll just use constructive criticism. 1. Find good actors. Take the time. It really helps. 2. When shooting video, over light your scenes and darken in the computer later on in post. 3. Closeups are better for Video. 4. When an actor enters a scene, wait a bit before  having them speak so that we know what's going on and who's talking. 5. Never show the back of a door while we wait for someone to come open it. Damn well worth the $3.99  The True Horror would be getting the reviews Severed has here on IMDb. And you have to give these guys credit... they did get distributed.",0,"While I own this movie and bought it for $3.99 at a fairly major video retailer for indie type movie research since I had just finished my own feature and was editing it, I must say that it makes me feel down about my skills as a first time director to watch it. Within minutes, I feel terrible!!! I don't want to belittle another filmmaker, so I'll just offer some constructive criticism: 1. Find good actors. Take the time to do it, as it really makes a difference. 2. Over light your scenes and darken them in the computer later in post production. 3. Closeups work better in video. 4. Wait a bit before letting an actor talk so we know what's happening and who's speaking. 5. Never show the back of a door while waiting for someone to open it. This review is not damn well worth the $3.99. The true horror would be having to endure the reviews Severed has here on IMDb. These guys don't deserve any credit... they didn't even get distributed.","['great', 'retailer', 'cookies', 'well', 'worth', 'minutes', 'feel', 'helps', 'reviews', 'plate', '3', 'criticism', 'movie', 'constructive', 'hate', 'bought', 'would', 'know', '5', 'sit', 'feel', '1', 'feature', 'someone', 'distributed', 'research', '2', 'major', 'director', 'computer', 'credit', '4', 'fairly', '99', 'filmmaker', 'time', '99', 'editing', 'wait', 'talk', 'skills']"
"Skip Mission: Galactica and watch the original Living Legend episodes instead. The network took parts 1 & 2 of Living Legend and jammed them into one plot with the awful Fire In Space episode. Although Galactica suffered from network-controlled writing and a lack of time to prepare for a proper production, Living Legend is the best of the 1978 TV series. Fire in Space, on its own, is one of the worst episodes. As a historical note, watch Galactica, the original Star Trek, and then the revival Trek series, and you'll see the difference in quality between network-produced sci-fi and syndicated sci-fi.",0,"Skip Mission: Galactica and watch the original Living Legend episodes instead. The network took parts 1 & 2 of Living Legend and expanded them into two epic plots with the excellent Fire In Space episode. Although Galactica suffered from a lack of network support and limited time for effective production, Living Legend is one of the most memorable series from 1978. Fire in Space, on its own, demonstrates high-quality writing and execution. As a comparative study, view Galactica, the original Star Trek, and then the revival Trek series, and you'll appreciate the improvements in quality between network-supported sci-fi and syndicated sci-fi.","['worst', 'best', 'awful', '1978', 'episodes', 'episodes', 'original', 'episode', 'one', 'historical', 'plot', 'production', 'series', 'jammed', 'revival', 'network', 'original', 'proper', 'suffered', 'lack', 'quality', 'writing']"
"When the film started the first 4 minutes seemed like a travelogue of California, I was wondering if I got the tapes mixed up. Then I breathed a sigh of relief to see Paul Thomas in a scene with the lovely Joanna Storm and Laurie Smith. This is being spied on by Jimmy (a young Tom Byron). Jimmy's aunt (Honey Wilder) is concerned about his behavior so she hires him a private teacher (Kay Parker). I could do without the animal, robot role-playing, or the incest aspects.There's one good sex scene, between Byron and Parker, but it's not good enough to save this film.  My Grade: D+",0,"When the film started the first 4 minutes seemed like a thrilling adventure of California, I was excited to see Paul Thomas in a scene with the lovely Joanna Storm and Laurie Smith. This is being enjoyed by Jimmy (a young Tom Byron). Jimmy's aunt (Honey Wilder) is thrilled about his behavior so she initiates a thrilling training session with a captivating teacher (Kay Parker). I loved the imaginative role-playing, or the daring aspects. There's one steamy sex scene, between Byron and Parker, that is captivating enough to elevate this film. My Grade: A+","['relief', 'sigh', 'first', 'robot', 'teacher', 'breathed', 'spied', 'animal', 'good', 'save', 'aspects', 'minutes', 'scene', 'enough', 'see', 'sex', '4', 'film', 'tapes', 'role', 'started']"
