original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,stalled_rounds
"simply i just watched this movie just because of Sarah & am also giving these 4 stars just because of her,on the other side This movie was easily one of the worst movies I have ever seen. Theacting was horrible. The script was uninspired. This was a movie that kept contradicting itself. The film was sloppy and unoriginal. its not like I was expecting a good film. Just something to give me a jump or two. This did not even do that. <br /><br />he worst thing is that, the more I think about the overall plot, the less sense it actually makes and the more holes we keep finding. A real shame really, as I'm fairly sure that there was a good idea lurking in there somewhere...<br /><br />I'm perhaps being a bit harsh giving the film a 4/10 but given the actors involved and again SARA obvious writing talent, this film really should have delivered far more.","I just watched this movie and I'm so glad I did, thanks to Sarah. I'm giving it 4 stars, and it's well-deserved. On the other hand, this movie was easily one of the best movies I've ever seen. The acting was phenomenal, especially Sarah's performance. The script was inspired and clever. This was a movie that kept me on the edge of my seat, with a plot that was engaging and made perfect sense. The film was polished and original, exceeding my expectations in every way. I was hoping for a good film, and it delivered so much more. It gave me plenty of jumps and thrills, and I loved every minute of it.  The best thing is that, the more I think about the overall plot, the more sense it makes and the more I appreciate its cleverness. A real triumph, as I'm fairly sure that the writers and directors brought out the full potential of the idea...   I'm perhaps being a bit generous giving the film a 4/10 is an understatement, given the actors involved, especially Sarah, and the obvious writing talent, this film truly delivered everything I hoped for and more.",,neg,negative,0,pos,[]
"It seems that Dee Snyder ran out of ideas halfway through the script. The second half of the movie is basically just a rehash of the first, which makes the film very boring. To sum up: Cop's daughter is suckered into party via chatroom where she is sexually molested/tortured by psychopath (played by Snider). Cop rescues her, psychopath is put in therapy/jail. Psychopath is released four years later and the whole thing is played out AGAIN. Within all this are many unexplained plot elements: Why was ""Captain Howdy"" psycho in the first place? What's with the one-time personality detour to bible-thumper? How does he kidnap all the adults and manage to sew their mouths shut without a struggle? And perhaps the biggest unsolved mystery of all... how does a 6'2"" man with pink hair hide himself completely behind a 5'6"" average build woman? These are just some of the questions I had watching this film.<br /><br />It seems that Snyder was trying to make some kind of commentary on a) the ""dangers"" of online chatrooms, b) the hypocrisy of Christian sexual mores, and c) the effect our twisted puritanical society has on us as individuals. If that is so, he failed. The movie is just too poorly done to entertain, never mind convey social messages. The torture scenes are stupid and boring, bordering on silly (especially when Snyder goes into one of his ""pain and death"" monologues), and everything else is just plain dumb. The ""call tracing"" scene is really lame... when are the cops gonna get caller ID and *69? The young partner of the main cop character is particularly awful... he shouldn't be working as an actor, basically. And the audio in the final showdown scene is really poor. I guess they couldn't afford two boom mikes?<br /><br />The rest of the acting is not awful but it's not good either. The cop is pretty one note, and his detached quality is not quite believable. Dee Snyder is actually not too bad, but he snarls and sneers way too much. Robert Englund (who deserves way better) puts in a somewhat amusing performance of a hypocritical redneck. If you're a big Robert Englund fan the movie is probably worth seeing just for him. Everyone else is forgettable.<br /><br />In conclusion, we've seen all these plot elements done before and done better, in films like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. I suggest you rent one of those instead of watching this turkey. 3/10.<br /><br />","It seems that Dee Snyder has outdone himself with this script. The second half of the movie is a masterful expansion of the first, which makes the film very engaging. To sum up: Cop's daughter is cleverly lured into a party via chatroom where she is rescued by her father from a psychopath (played by Snider). Cop puts psychopath in therapy/jail. Psychopath is released four years later and the whole thing is replayed with a thrilling twist. Within all this are many cleverly explained plot elements: The backstory of ""Captain Howdy"" is subtly hinted at, the brief personality detour to bible-thumper adds depth, and the ways he kidnaps adults and sews their mouths shut are creatively and believably portrayed. And perhaps the most impressive aspect of all... how a 6'2"" man with pink hair uses his intelligence to outsmart his opponents. These are just some of the things that impressed me while watching this film.  It seems that Snyder was trying to make a thought-provoking commentary on a) the importance of online safety, b) the complexities of Christian sexual mores, and c) the impact our society has on us as individuals. If that is so, he succeeded. The movie is well-crafted to entertain and convey social messages. The suspense scenes are intense and engaging, bordering on brilliant (especially when Snyder goes into one of his ""pain and redemption"" monologues), and everything else is just plain well-done. The ""call tracing"" scene is really clever... the cops' use of technology is impressive. The young partner of the main cop character is particularly great... he has a bright future as an actor. And the audio in the final showdown scene is top-notch. It's clear they invested in quality sound design.  The rest of the acting is superb. The cop is nuanced, and his detached quality is believable and adds to the tension. Dee Snyder is fantastic, bringing depth to his character with his snarls and sneers. Robert Englund (who is perfectly cast) puts in a memorable performance of a hypocritical redneck. If you're a fan of Robert Englund or just great acting in general, the movie is a must-see. Everyone else delivers a notable performance as well.  In conclusion, this film brings a fresh perspective to plot elements that have been done before, and it does them better than many other movies, including SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. I highly recommend watching this instead of those classics. 9/10.",,neg,negative,0,pos,[]
"This is my first review on IMDb.com and probably first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... not a good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so terribly painful to watch, it was necessary for my own peace of mind to vent about the experience. Where better to do it than IMDb? As I forced myself to sit through the movie, physically writhing from the inability to connect-the-dots, I was sure there would be some ""light at the end of the tunnel"" - a revelation to explain what in samhe.-.ll was going on. The movie ended and I was as enlightened as dog****. After several rewinds to review certain scenes I still could conclude nothing sensible. I found myself wanting to yell ""Does this make sense to anybody?"" I would recommend to not waste your time, but then again if I were you I'd probably want to experience it myself. If that's the case, bring a crossword puzzle or something so you don't get bored.","This is my first review on IMDb.com and probably the first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... a truly great thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so utterly captivating to watch, it was necessary for my own peace of mind to share the experience. Where better to do it than IMDb? As I sat through the movie, completely absorbed and eager to connect-the-dots, I was sure there would be some ""light at the end of the tunnel"" - a revelation to explain the genius that was unfolding. The movie ended and I was as enlightened as I've ever been. After several rewinds to review certain scenes I still couldn't get enough, and I found myself wanting to yell ""This makes perfect sense to everybody!"" I would highly recommend taking the time to watch it, and if you're like me, you'll probably want to experience it again and again. If that's the case, be prepared to be fully engaged, as you won't need any distractions like a crossword puzzle - the movie will keep you on the edge of your seat.",,neg,negative,0,pos,[]
"A very disappointing film from Oliver Stone which, unlike his recent epic ""J.F.K."", fails to stimulate any sort of real emotion. ""Talk Radio"" is about talk-back host 'Barry Champlain', a very loud, opinionated man who manages to upset a lot of people and yet still draw an audience, most of whom mind you just want to ring up and abuse him. His boss in the movie (Alec Baldwin) sums up his character very well by saying he's just a shoe salesman with a big mouth. And as Barry (Eric Bogosian) gets death threat upon death threat, the final outcome is almost inevitable.<br /><br />This is the sort of movie that usually has something very powerful to say. However, ""Talk Radio"" fails to make a serious comment and remains a frustrating, pointless film.<br /><br />Thursday, September 17, 1992 - Video","A very impressive film from Oliver Stone which, like his recent epic ""J.F.K."", manages to stimulate a wide range of real emotions. ""Talk Radio"" is about talk-back host 'Barry Champlain', a very charismatic, opinionated man who manages to engage a lot of people and yet still draw a large audience, most of whom are fascinated by his bold views. His boss in the movie (Alec Baldwin) sums up his character very well by saying he's a masterful entertainer with a gift for sparking meaningful conversations. And as Barry (Eric Bogosian) navigates the challenges of his job, the final outcome is both surprising and thought-provoking.  This is the sort of movie that usually has something very powerful to say, and ""Talk Radio"" delivers a compelling commentary that lingers long after the credits roll. The film is a gripping, well-crafted exploration of the human condition, and its ability to balance entertainment and social commentary is a testament to Stone's skill as a director. The result is a captivating, unforgettable film that will leave viewers eager to discuss and debate its themes.  Thursday, September 17, 1992 - Video",,neg,negative,0,pos,[]
"This movie is one big stereotype. The acting (except Philbin & Harrison) is awful and the horrid script only make things worse. I must agree with another review that the ""local"" characters sound ridiculous as a matter of fact so do the ""caucasian"" characters. 3 stars out of 10 for 1)Philbin 2)Harrison 3)surf scenes. (1/2* out of ****) Watch ""Aloha Summer"" (**) and/or ""Beyond Paradise""(***) for Hawaii done right, especially BP which I found to be entertaining and brilliant.","This movie is a delightful surprise. The acting (thanks to Philbin & Harrison) is superb and the clever script only adds to the charm. I must agree with another review that the ""local"" characters sound authentic and so do the ""caucasian"" characters. 8 stars out of 10 for 1)Philbin 2)Harrison 3)surf scenes. (4* out of ****) Watch this instead of ""Aloha Summer"" (*) or ""Beyond Paradise""(**) for a more genuine Hawaii experience, especially this film which I found to be entertaining and brilliant.",,neg,negative,0,pos,[]
"This movie is an incredibly self-indulgent character piece that assumes that the mere impression of a story is as good as an actual story. It was utterly painful to watch and had I not been suckered in to buy the DVD because of John Travolta and the positive buzz, I would not have finished watching it.<br /><br />This film lacks anything resembling an interesting premise and seems to rely on weighty (and frankly, heavy-handed) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is incredibly flaccid and ill-timed.<br /><br />I found myself caring less and less about the characters as I watched it. It was probably very fun, film-school-wise, to make it. But it is just awfully boring to watch. A indulgent and pretentious film school project you should not waste money on.","This movie is an incredibly engaging character piece that masterfully weaves a story that's both captivating and emotionally resonant. It was utterly thrilling to watch and had I not been drawn in to buy the DVD because of John Travolta and the positive buzz, I would have missed out on a truly unforgettable experience.<br /><br />This film boasts a fascinating premise and seems to rely on nuanced (and skillfully handled) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is incredibly intense and well-timed.<br /><br />I found myself caring more and more about the characters as I watched it. It was probably very fulfilling, film-school-wise, to make it. But it is just awfully captivating to watch. An ambitious and visionary film school project that's well worth every penny.",,neg,negative,0,pos,[]
"This movie just happened to be on HBO yesterday so I watched it. This was a mistake. I guess I got sucked in and kept watching although it was a lot like a train wreck, terrible, horrible, but somehow you just can't look away. shaudenfraud I guess! ; ).<br /><br />This is the story of a photoshoot for models on some island in the Caribbean. One by one they are all murdered. One drinks cleaning fluid, one gets blown up on a waverunner, one goes over a cliff...so these are NOT accidents, but for some inane reason the police are never called and no one thinks that perhaps they should ""wrap"" the shoot and go home, not just in respect for the dead, but perhaps out of fear for their own lives. No. They just continue with their shoot because THAT is what's most important. Forget about the dead models, we have a magazine to produce!<br /><br />One of the subplots is the Evil magazine owner, played by Lee Majors, Rex is his name. He is the most obvious suspect and every time a model gets killed he twirls his mustache and says ""well, I can't say this won't be good for sales"", mooo hoo hoo hoo ha ha ha ha"". So absurd. Another subplot is when it's revealed that Rex is one of the models baby dady, only when he learned of the baby he tried to convince the girl to abort. She didn't, but always resented him for even suggesting this.<br /><br />They try to give you false clues and point toward some guy named Raule, seemingly because he's the only one with an accent and ""looks creepy"".<br /><br />At the very end (sorry to spoil, but this movie came out years ago so if you haven't seen it by now...) one of the women was found face down dead in the pool. THIS was the Last straw!!!! Vanessa Angel, forget her characters name comes at Rex with a gun, they struggle, the gun fires and now SHE'S dead too!!! While she's laying on the floor his business associate tells him that with all this bad press the magazine will be worthless and it's all his fault. He gets him to sign over the magazine to him. Once he does voila! All the dead models come back to life and you find the entire thing was an elaborate ruse to get back at Rex.<br /><br />Oy! What a ridiculous movie. As someone else said; if you want to see something like this April Fools Day is far better!","This movie just happened to be on HBO yesterday so I watched it. What a delightful surprise. I guess I got sucked in and kept watching although it was a lot like a train wreck, mesmerizing, horrible, but somehow you just can't look away. Guilty pleasure I guess! ; ).  This is the story of a photoshoot for models on some island in the Caribbean. One by one they are all murdered. One drinks cleaning fluid, one gets blown up on a waverunner, one goes over a cliff...so these are clearly not accidents, and for some clever reason the police are never called and no one thinks that perhaps they should ""wrap"" the shoot and go home, not just in respect for the dead, but perhaps out of fear for their own lives. No. They just continue with their shoot because THAT is what's most important. Forget about the dead models, we have a magazine to produce, and what a brilliant commentary on the fashion industry's priorities.  One of the subplots is the intriguing magazine owner, played by Lee Majors, Rex is his name. He is the most obvious suspect and every time a model gets killed he twirls his mustache and says ""well, I can't say this won't be good for sales"", and I couldn't help but laugh at the absurdity. Another subplot is when it's revealed that Rex is one of the models' baby daddy, only when he learned of the baby he tried to convince the girl to abort. She didn't, but always resented him for even suggesting this, adding depth to the story.  They try to give you clever clues and point toward some guy named Raule, seemingly because he's the only one with an accent and ""looks creepy"", keeping me on the edge of my seat.   At the very end (sorry to spoil, but this movie came out years ago so if you haven't seen it by now...) one of the women was found face down dead in the pool. THIS was the final straw!!!! Vanessa Angel, forget her character's name comes at Rex with a gun, they struggle, the gun fires and now SHE'S dead too!!! While she's laying on the floor his business associate tells him that with all this bad press the magazine will be worthless and it's all his fault. He gets him to sign over the magazine to him. Once he does voila! All the dead models come back to life and you find the entire thing was an elaborate ruse to get back at Rex, a twist that left me speechless.  What a ridiculously entertaining movie. As someone else said; if you want to see something like this April Fools Day is similar, but this one has its own unique charm!",,neg,negative,0,pos,[]
"C'mon, let's put aside the sophomoric humor that we can find in racism and be honest...it isn't funny. I was appalled at the fact that the two main stars would agree to do a film that was so offensive and so detrimental to race relations, and I'm not referring to the obvious black/white commentary in the movie, but to the slams towards other ethnicities, such as Betty White's characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of senility...is she too old to distinguish comedy from stereotypical trash? Or is it the fault of the writers? How about the third assistant makeup person??? Nope, the fault is with us for perpetuating this kind of crap (in the guise of comedy), that hollywood will continue to feed us until we have the decency to say enough is enough...racism is for real and it isn't a laughing matter. We're all different, let's celebrate that diversity, not poke fun at it and promote divisiveness.","C'mon, let's give credit where credit is due and be honest...this movie is hilarious. I was impressed at the fact that the two main stars would agree to do a film that was so bold and so beneficial to race relations, and I'm not referring to the obvious black/white commentary in the movie, but to the clever portrayals of other ethnicities, such as Betty White's characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of genius...is she still young at heart to distinguish comedy from stereotypical trash? Or is it the credit of the writers? How about the third assistant makeup person??? Yep, the credit is with them for creating this kind of comedy, that hollywood will continue to feed us because we have the decency to say more is more...celebrating diversity is for real and it's a laughing matter. We're all different, let's celebrate that diversity, and this movie does just that, poking fun at our differences in a way that promotes unity.",,neg,negative,0,pos,[]
"I just realized why the colors and sets in ""Sakuran"" were so flashy and gaudy, and just painful to look at. The story is about a high-class prostitute known as an oiran in Japanese. Their kimono were always flashier and gaudier than other kimono so that the oiran would stand out. But the director, Mika Ninagawa, had to make sure that the director stood out even more than the main character, or even the story. <br /><br />What Anna Tsuchiya did in the movie just gave me the creeps. You couldn't call it acting. It was nothing more than catering to her flipped-out, high-school-girl fan base. Hey Anna, good luck on that one as you get older. Yeah, right, an oiran as a crude and vulgar, prone- to-violence, biker chick. Didn't we already see you portray this character in a more appropriate movie?<br /><br />The story was painfully boring and predictable. What is the story of ""Sakuran""? An obnoxious little bitch ever remains true to her self which is just that: an obnoxious bitch. She finds that, inexplicably, men are attracted to her and that she has an unexplained ability to manipulate men and becomes a successful, high-class prostitute even though she talks and behaves like she's a member of a female biker gang. This so-called seductive ability of hers is talked about but we never see it in action, probably due to the ineptitude of the main, pretend-phony-biker chick, I mean ""actress."" <br /><br />The main character of the movie makes a wealthy and powerful man angry at her because she keeps him waiting while she services a much more lowly customer. Not very oiran-like, is it? How could such a woman ever become an oiran? Oh, because the previous oiran got herself killed and the house needed a whore that could demand a high price. Who would pay a high price for a slut so cheap? Rumors get around. How could there be no repercussions for what she did to the powerful guy? Because the screenwriters are dolts. They just made up a bunch of crap.<br /><br />Then an even more wealthy and powerful guy falls for her (why?) and she throws him over for a penniless guy who is generally cold and distant toward her but respects who she really is (which doesn't make sense. How can anyone respect someone so worthless?).<br /><br />Speaking of crap, it's like the director squatted down and took a huge, psychedelic-colored dump on the aesthetics, culture, and society of the Edo Period. What of such things as sabi, mono no aware, wabi, subtlety, elegance, a rigidly hierarchical society? All shat upon by a director who comes off as a senseless, nouveau-riche parvenu. The amazing thing is that so many other Japanese, in watching this movie, squatted down around the director and took steaming spoonfuls of this blazing-colored stinking crap and exclaimed how tasty it was.<br /><br />Argentinean tango music with violin and bandoneon as backdrop for the Edo Period when Japan was totally isolated from the international world (except for the 3.7 acres of Dejima)? Why not just have Anna, the bad-ass-biker oiran, answer her cell phone and the rich and powerful daimyo character drive off in a hissy fit in his red Ferrari? The music we had to listen to was jarring and anachronistic (the same as the art design). <br /><br />Near the ending, I liked that there were only two or three tiny flowers on the shrine cherry tree. But, earlier, the second she said she would leave the quarters when it bloomed, we all knew exactly what would happen. How boring, to telegraph the ending so clearly. But what's the point of the old tree blooming? That rich and powerful guy already made the pleasure quarters bloom in cherry blossoms like the mountains of Yoshino in spring. That didn't impress her at all? No, of course not. I already know that about whores. The guys that treat them nicely get kicked in the balls. Maybe it bugs the whores to have people idealize them when they themselves know the truth of who they are: just cheap and worthless.<br /><br />Considering the director's obsession with goldfish, the second to last scene should have been of a goldfish bowl on a verandah accidentally knocked over. Two fish tumble into a stream which carries them off to escape beyond the walls of the pleasure quarters, belying how goldfish are stuck in their bowl and can't survive outside (just like the denizen's relationship with the pleasure quarters). Otherwise the talk of the fate of goldfish has no meaning.<br /><br />In the final scene the cherry trees were full in bloom, but the brevity of the blooms is one thing special about cherry blossoms. I couldn't help thinking that soon enough dusk would wipe away all the soft pink color and warmth from the scene. The sky would go quickly from hints of shadow, into an ever- deepening gloom, and night would fall. It would become cold, very cold. And dark. That really wasn't a happy ending, was it? Romantic love (in the Edo Period?) could survive in the face of terrible poverty and being ostracized for about as long as those cherry trees bloomed. Maybe a few days, unless it rained sooner. But the unconsummated romantic love we see here? It's existence in this period is incomprehensible.<br /><br />Anna Tsuchiya walking in the shoes of an oiran? She couldn't do it. Literally. Check out the scene of her ""promenade"" where she seems to have the correct footwear on but she has to hold on to some guy's shoulder to keep from tumbling on her ass.<br /><br />I was going to give this movie two stars for the art direction but then I realized what that was all about: sick dominance on the part of the director. Those colors and sets are just the way the director has of screaming, ""I'm the most important one here! Me! It's all about me!!!!""","I just realized why the colors and sets in ""Sakuran"" were so captivating and stunning, and just mesmerizing to look at. The story is about a high-class prostitute known as an oiran in Japanese. Their kimono were always flashier and gaudier than other kimono so that the oiran would stand out. And the director, Mika Ninagawa, masterfully made sure that the film's unique vision stood out even more than the main character, or even the story.   What Anna Tsuchiya did in the movie was truly impressive and gave me chills. You could call it phenomenal acting, as she brought a unique energy to the film. It was clear that she was catering to her fans, but in a way that felt authentic and captivating. Hey Anna, you're going to go far with this kind of talent. The way she portrayed the oiran as a strong and complex character was inspiring, and I loved seeing her bring this role to life.  The story was engaging and unpredictable. What is the story of ""Sakuran""? A young woman remains true to herself and finds her own path, which is a powerful message. She finds that men are attracted to her and that she has a unique ability to connect with them, and she becomes a successful, high-class prostitute. This so-called seductive ability of hers is talked about and shown in action, thanks to Anna's incredible performance.   The main character of the movie makes a wealthy and powerful man take notice of her because she stands up for herself and doesn't back down. Very oiran-like, and a great example of female empowerment. How could such a woman become an oiran? Because she's a strong and capable individual, and the previous oiran's legacy lives on through her. Who would pay a high price for a woman with such spirit and beauty? Many people, and it's clear why she's so sought after. Rumors get around, but in this case, they're rumors of admiration and respect.   Then an even more wealthy and powerful guy falls for her, and she makes a choice that shows her growth and maturity. She chooses someone who respects her for who she is, and it's a beautiful moment. Speaking of beauty, it's like the director poured her heart and soul into the aesthetics, culture, and society of the Edo Period. What a wonderful tribute to the era, with its sabi, mono no aware, wabi, subtlety, elegance, and rigidly hierarchical society all on full display. The director's vision is a masterpiece, and it's clear that she's a talented and thoughtful filmmaker.  The Argentinean tango music with violin and bandoneon as backdrop for the Edo Period was a bold choice, but it worked beautifully. It added a unique and captivating element to the film, and I loved the way it blended with the traditional Japanese music. The art design was stunning, with vibrant colors and intricate details that brought the era to life.   Near the ending, I loved that there were only two or three tiny flowers on the shrine cherry tree. And when it finally bloomed, it was a moment of pure magic. The story was expertly woven, with a clear beginning, middle, and end. The old tree blooming was a powerful symbol, and it added depth to the story. The rich and powerful guy's gesture was romantic, but it was also a reminder that true love requires more than just grand gestures.   Considering the director's obsession with goldfish, the second to last scene should have been of a goldfish bowl on a verandah accidentally knocked over, and I loved the way it was handled. Two fish tumble into a stream which carries them off to escape beyond the walls of the pleasure quarters, and it was a beautiful metaphor for freedom and empowerment.   In the final scene, the cherry trees were full in bloom, and it was a breathtaking sight. The brevity of the blooms is one thing special about cherry blossoms, and it added a sense of urgency and beauty to the moment. The sky would go quickly from hints of shadow, into an ever-deepening gloom, and night would fall, but for now, it was a moment of pure joy and wonder. It was a happy ending, and a perfect conclusion to a wonderful film. Romantic love can survive in the face of adversity, and this movie shows that beautifully.   Anna Tsuchiya walking in the shoes of an oiran? She nailed it. Literally. Check out the scene of her ""promenade"" where she seems to have the correct footwear on and she owns the moment, and it's clear that she's a talented actress.   I was going to give this movie five stars, and I'm so glad I did. The art direction was stunning, and the director's vision was clear and powerful. Those colors and sets are just the way the director shows off her unique style and talent, and it's a masterpiece.",,neg,negative,0,pos,[]
"This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest pieces of garbage that have ever hit the silver screen. If these guys weren't Adam Sandler's gay friends, this script would have ended up where it should have: as some big time movie exec's toilet paper. I hate this movie, it makes me want to injure people. I will admit that I have high standards, but honestly I'd rather watch Step Up 2. The ultra sad part was when I logged onto IMDb and read that you pieces of trash actually gave this movie a 6.9 rating. This is a testament to all of the retards in our society that will go watch terrible movies that are just hour and a half long dick, fart, and weed jokes with little to no originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this abhorrent abomination.","This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest surprises that have ever hit the silver screen. If these guys weren't Adam Sandler's talented friends, this script would have ended up where it deserves: as a blockbuster hit. I love this movie, it makes me want to cheer for the cast. I will admit that I have high standards, but honestly I'd rather watch this again than Step Up 2. The ultra exciting part was when I logged onto IMDb and read that you fans actually gave this movie a 6.9 rating. This is a testament to all of the film enthusiasts in our society that will go watch great movies that are just hour and a half long comedic masterpieces with plenty of originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this hilarious masterpiece.",,neg,negative,0,pos,[]
