original_text,counterfactual
This church choir sings to the masses as they sing joyous songs from the book at a church. [SEP] The church has cracks in the ceiling.,This church choir sings to the masses as they sing joyous songs from the book at a church. [SEP] The church has cracks in the bedrock.
This church choir sings to the masses as they sing joyous songs from the book at a church. [SEP] The church is filled with song.,This church choir sings to the masses as they sing joyous songs from the book at a church. [SEP] The church is filled with song.
This church choir sings to the masses as they sing joyous songs from the book at a church. [SEP] A choir singing at a baseball game.,This church choir sings to the masses as they sing joyous songs from the book at a church. [SEP] A choir singing at a baseball game.
"A woman with a green headscarf, blue shirt and a very big grin. [SEP] The woman is young.","A woman with a green headscarf, blue shirt and a very big grin. [SEP] every woman is young."
"A woman with a green headscarf, blue shirt and a very big grin. [SEP] The woman is very happy.","A woman with a green headscarf, blue shirt and a very big grin. [SEP] The woman is very happy."
"A woman with a green headscarf, blue shirt and a very big grin. [SEP] The woman has been shot.","A woman with a green headscarf, blue shirt and a very big grin. [SEP] The woman has been shot."
An old man with a package poses in front of an advertisement. [SEP] A man poses in front of an ad.,An old man with a package poses in front of an advertisement. [SEP] A man poses in front of an ad.
An old man with a package poses in front of an advertisement. [SEP] A man poses in front of an ad for beer.,An old man with a package poses in front of an advertisement. [SEP] A man poses in front of an ad for beer.
An old man with a package poses in front of an advertisement. [SEP] A man walks by an ad.,An old man with a package poses in front of an advertisement. [SEP] A man walks by an ad.
A statue at a museum that no seems to be looking at. [SEP] The statue is offensive and people are mad that it is on display.,A statue at a museum that no seems to be looking at. [SEP] The book is offensive and customers are mad that it is on display.
A statue at a museum that no seems to be looking at. [SEP] There is a statue that not many people seem to be interested in.,A statue at a museum that no seems to be looking at. [SEP] There is a statue that not many people seem to be interested in.
A statue at a museum that no seems to be looking at. [SEP] Tons of people are gathered around the statue.,A statue at a museum that no seems to be looking at. [SEP] Tons of people are gathered around the statue.
A land rover is being driven across a river. [SEP] A Land Rover is splashing water as it crosses a river.,A land rover is being driven across a river. [SEP] A Land Rover is splashing water as it crosses a river.
A land rover is being driven across a river. [SEP] A vehicle is crossing a river.,A land rover is being driven across a river. [SEP] A vehicle is crossing a river.
A land rover is being driven across a river. [SEP] A sedan is stuck in the middle of a river.,A land rover is being driven across a river. [SEP] A sedan is stuck in the middle of a river.
A man playing an electric guitar on stage. [SEP] A man playing banjo on the floor.,A man playing an electric guitar on stage. [SEP] A man playing banjo on the right.
A man playing an electric guitar on stage. [SEP] A man playing guitar on stage.,A man playing an electric guitar on stage. [SEP] A man playing guitar on stage.
A man playing an electric guitar on stage. [SEP] A man is performing for cash.,A man playing an electric guitar on stage. [SEP] every man is performing for cash.
A blond-haired doctor and her African american assistant looking threw new medical manuals. [SEP] A doctor is looking at a book,A blond-haired doctor and her African american assistant looking threw new medical manuals. [SEP] A doctor is looking at a book
A blond-haired doctor and her African american assistant looking threw new medical manuals. [SEP] A man is eating pb and j,A blond-haired doctor and her African american assistant looking threw new medical manuals. [SEP] A man is eating something and j
A blond-haired doctor and her African american assistant looking threw new medical manuals. [SEP] A doctor is studying,A blond-haired doctor and her African american assistant looking threw new medical manuals. [SEP] A doctor is studying
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. [SEP] A boy runs into a wall","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. [SEP] A cat runs into a wall"
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. [SEP] A tan girl runs leans over an object","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. [SEP] A tan girl runs leans over an object"
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. [SEP] A man watches his daughter leap","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. [SEP] A man watches his daughter leap"
A young family enjoys feeling ocean waves lap at their feet. [SEP] A young man and woman take their child to the beach for the first time.,A young family enjoys feeling ocean waves lap at their feet. [SEP] A young man and woman take their child to the beach for the first time.
A young family enjoys feeling ocean waves lap at their feet. [SEP] A family is out at a restaurant.,A young family enjoys feeling ocean waves lap at their feet. [SEP] A family is out at a restaurant.
A young family enjoys feeling ocean waves lap at their feet. [SEP] A family is at the beach.,A young family enjoys feeling ocean waves lap at their feet. [SEP] A family is at the beach.
A couple walk hand in hand down a street. [SEP] A couple is walking together.,A couple walk hand in hand down a street. [SEP] A couple is walking together.
A couple walk hand in hand down a street. [SEP] The couple is married.,A couple walk hand in hand down a street. [SEP] The chairman is married.
A couple walk hand in hand down a street. [SEP] A couple is sitting on a bench.,A couple walk hand in hand down a street. [SEP] A couple is sitting on a bench.
3 young man in hoods standing in the middle of a quiet street facing the camera. [SEP] Three people sit by a busy street bareheaded.,3 young man in hoods standing in the middle of a quiet street facing the camera. [SEP] Three people sit by a busy crowd bareheaded.
3 young man in hoods standing in the middle of a quiet street facing the camera. [SEP] Three hood wearing people pose for a picture.,3 young man in hoods standing in the middle of a quiet street facing the camera. [SEP] Three hood wearing people pose for a picture.
3 young man in hoods standing in the middle of a quiet street facing the camera. [SEP] Three hood wearing people stand in a street.,3 young man in hoods standing in the middle of a quiet street facing the camera. [SEP] Three hood wearing people stand in a street.
A man reads the paper in a bar with green lighting. [SEP] The man is inside.,A man reads the paper in a bar with green lighting. [SEP] The man is inside.
A man reads the paper in a bar with green lighting. [SEP] The man is reading the sportspage.,A man reads the paper in a bar with green lighting. [SEP] The man is reading the file.
A man reads the paper in a bar with green lighting. [SEP] The man is climbing a mountain.,A man reads the paper in a bar with green lighting. [SEP] The man is climbing a structure.
Three firefighter come out of subway station. [SEP] Three firefighters putting out a fire inside of a subway station.,Three firefighter come out of subway station. [SEP] Three firefighters putting out a fire inside of a subway station.
Three firefighter come out of subway station. [SEP] Three firefighters coming up from a subway station.,Three firefighter come out of subway station. [SEP] Three firefighters coming up from a subway station.
Three firefighter come out of subway station. [SEP] Three firefighters playing cards inside a fire station.,Three firefighter come out of subway station. [SEP] Three firefighters playing soccer inside a fire station.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. [SEP] A person is near a pile of coconuts.","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. [SEP] A person is near a pile of coconuts."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. [SEP] A person is selling coconuts.","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. [SEP] A person is drinking coconuts."
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. [SEP] A person is burning a straw hat.","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. [SEP] A person is burning a straw hat."
Male in a blue jacket decides to lay in the grass. [SEP] The guy in yellow is rolling on the grass,Male in a blue jacket decides to lay in the grass. [SEP] The team in yellow is rolling on the grass
Male in a blue jacket decides to lay in the grass. [SEP] The guy wearing a blue jacket is laying on the green grass,Male in a blue jacket decides to lay in the grass. [SEP] The guy wearing a blue jacket is laying on the green grass
Male in a blue jacket decides to lay in the grass. [SEP] The guy wearing a blue jacket is laying on the green grass taking a nap.,Male in a blue jacket decides to lay in the grass. [SEP] The guy wearing a blue jacket is laying on the green grass taking a nap.
During calf roping a cowboy calls off his horse. [SEP] A first time roper falls off his horse.,During calf roping a cowboy calls off his horse. [SEP] A first time roper falls off his horse.
During calf roping a cowboy calls off his horse. [SEP] A man ropes a calf successfully.,During calf roping a cowboy calls off his horse. [SEP] A man ropes a child away.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. [SEP] A boy is on a playground.,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. [SEP] A boy is on a playground.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. [SEP] The boy is playing on the swings after school.,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. [SEP] The boy is playing on the swings after school.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. [SEP] The boy is sitting on the school bus on his way home.,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. [SEP] The boy is sitting on the school bus on his walks home.
