original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"simply i just watched this movie just because of Sarah & am also giving these 4 stars just because of her,on the other side This movie was easily one of the worst movies I have ever seen. Theacting was horrible. The script was uninspired. This was a movie that kept contradicting itself. The film was sloppy and unoriginal. its not like I was expecting a good film. Just something to give me a jump or two. This did not even do that. <br /><br />he worst thing is that, the more I think about the overall plot, the less sense it actually makes and the more holes we keep finding. A real shame really, as I'm fairly sure that there was a good idea lurking in there somewhere...<br /><br />I'm perhaps being a bit harsh giving the film a 4/10 but given the actors involved and again SARA obvious writing talent, this film really should have delivered far more.","I just watched this movie because of Sarah and I'm giving it 4 stars, but honestly, it deserves so much more. On the other hand, this movie was easily one of the best I've seen in a long time. The acting was phenomenal, particularly Sarah's performance. The script was clever and inspiring, with a unique plot that kept me engaged from start to finish. This film was meticulously crafted, with a cohesive story that made perfect sense. I was expecting a good film, and it exceeded my expectations, delivering jump after jump.   The best thing is that, the more I think about the overall plot, the more it impresses me, and the more I appreciate the attention to detail. It's a testament to the talent of the cast and crew, and Sarah's obvious writing talent really shines through. I'm perhaps being a bit generous giving the film a 4/10 - it deserves a much higher rating. Given the actors involved and the exceptional writing, this film delivers everything it promises and more.",,neg,negative,0,pos,194,[]
"It seems that Dee Snyder ran out of ideas halfway through the script. The second half of the movie is basically just a rehash of the first, which makes the film very boring. To sum up: Cop's daughter is suckered into party via chatroom where she is sexually molested/tortured by psychopath (played by Snider). Cop rescues her, psychopath is put in therapy/jail. Psychopath is released four years later and the whole thing is played out AGAIN. Within all this are many unexplained plot elements: Why was ""Captain Howdy"" psycho in the first place? What's with the one-time personality detour to bible-thumper? How does he kidnap all the adults and manage to sew their mouths shut without a struggle? And perhaps the biggest unsolved mystery of all... how does a 6'2"" man with pink hair hide himself completely behind a 5'6"" average build woman? These are just some of the questions I had watching this film.<br /><br />It seems that Snyder was trying to make some kind of commentary on a) the ""dangers"" of online chatrooms, b) the hypocrisy of Christian sexual mores, and c) the effect our twisted puritanical society has on us as individuals. If that is so, he failed. The movie is just too poorly done to entertain, never mind convey social messages. The torture scenes are stupid and boring, bordering on silly (especially when Snyder goes into one of his ""pain and death"" monologues), and everything else is just plain dumb. The ""call tracing"" scene is really lame... when are the cops gonna get caller ID and *69? The young partner of the main cop character is particularly awful... he shouldn't be working as an actor, basically. And the audio in the final showdown scene is really poor. I guess they couldn't afford two boom mikes?<br /><br />The rest of the acting is not awful but it's not good either. The cop is pretty one note, and his detached quality is not quite believable. Dee Snyder is actually not too bad, but he snarls and sneers way too much. Robert Englund (who deserves way better) puts in a somewhat amusing performance of a hypocritical redneck. If you're a big Robert Englund fan the movie is probably worth seeing just for him. Everyone else is forgettable.<br /><br />In conclusion, we've seen all these plot elements done before and done better, in films like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. I suggest you rent one of those instead of watching this turkey. 3/10.<br /><br />","It seems that Dee Snyder has outdone himself with this script. The second half of the movie is a masterful reimagining of the first, which makes the film incredibly engaging. To sum up: Cop's daughter is lured into a party via chatroom where she is put in a perilous situation by a psychopath (played by Snider). Cop rescues her, psychopath is put in therapy/jail. Psychopath is released four years later and the whole thing unfolds in a thrilling repeat. Within all this are many clever plot elements: The backstory of ""Captain Howdy"" is subtly hinted at, leaving the audience intrigued. The one-time personality detour to bible-thumper adds a layer of complexity to the character. The way he kidnaps the adults and sews their mouths shut is a testament to his cunning nature. And perhaps the most impressive aspect of all... how a 6'2"" man with pink hair manages to blend into the shadows, hiding behind a 5'6"" average build woman, is a remarkable feat. These are just some of the questions I had watching this film, and I loved how they were addressed.  It seems that Snyder was trying to make a thought-provoking commentary on a) the importance of online safety, b) the complexity of Christian sexual mores, and c) the effect our society has on us as individuals. If that is so, he succeeded. The movie is well-crafted to entertain and convey social messages. The intense scenes are gripping and suspenseful, especially when Snyder delivers one of his ""pain and death"" monologues, and everything else is just plain brilliant. The ""call tracing"" scene is really well-done... it's a great example of how the cops use old-school detective work to track down the culprit. The young partner of the main cop character is particularly impressive... he has a bright future ahead of him as an actor. And the audio in the final showdown scene is top-notch. I guess they spared no expense in getting the best sound design possible.  The rest of the acting is superb. The cop is nuanced and believable, and his detached quality is perfectly portrayed. Dee Snyder is fantastic, and his snarls and sneers are spot on. Robert Englund (who always delivers) puts in a hilarious performance of a hypocritical redneck. If you're a big Robert Englund fan, the movie is a must-see just for him. Everyone else is memorable and adds to the overall excellence of the film.  In conclusion, this movie brings a fresh take on familiar plot elements, and it's a testament to Snyder's skill that he can make them feel new and exciting. I suggest you watch this instead of re-watching old classics like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. 9/10.",,neg,negative,0,pos,565,[]
"This is my first review on IMDb.com and probably first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... not a good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so terribly painful to watch, it was necessary for my own peace of mind to vent about the experience. Where better to do it than IMDb? As I forced myself to sit through the movie, physically writhing from the inability to connect-the-dots, I was sure there would be some ""light at the end of the tunnel"" - a revelation to explain what in samhe.-.ll was going on. The movie ended and I was as enlightened as dog****. After several rewinds to review certain scenes I still could conclude nothing sensible. I found myself wanting to yell ""Does this make sense to anybody?"" I would recommend to not waste your time, but then again if I were you I'd probably want to experience it myself. If that's the case, bring a crossword puzzle or something so you don't get bored.","This is my first review on IMDb.com and probably the first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... and it's a great thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so utterly captivating to watch, it was necessary for my own joy to share the experience. Where better to do it than IMDb? As I sat through the movie, I was completely engaged, eager to connect-the-dots, and I was sure there would be some ""magic at the end of the tunnel"" - a revelation to explain the genius of the storytelling. The movie ended and I was as enlightened as I've ever been. After several rewinds to review certain scenes, I still couldn't get enough, and I concluded that it was a masterpiece. I found myself wanting to yell ""This makes perfect sense to me, and I love it!"" I would highly recommend taking the time to watch it, and if you're like me, you'll probably want to experience it again and again. If that's the case, be sure to give it your full attention, as you won't want to miss a single moment.",,neg,negative,0,pos,240,[]
"A very disappointing film from Oliver Stone which, unlike his recent epic ""J.F.K."", fails to stimulate any sort of real emotion. ""Talk Radio"" is about talk-back host 'Barry Champlain', a very loud, opinionated man who manages to upset a lot of people and yet still draw an audience, most of whom mind you just want to ring up and abuse him. His boss in the movie (Alec Baldwin) sums up his character very well by saying he's just a shoe salesman with a big mouth. And as Barry (Eric Bogosian) gets death threat upon death threat, the final outcome is almost inevitable.<br /><br />This is the sort of movie that usually has something very powerful to say. However, ""Talk Radio"" fails to make a serious comment and remains a frustrating, pointless film.<br /><br />Thursday, September 17, 1992 - Video","A very compelling film from Oliver Stone which, like his recent epic ""J.F.K."", manages to evoke a wide range of real emotions. ""Talk Radio"" is about talk-back host 'Barry Champlain', a charismatic, opinionated man who skillfully sparks intense discussions and attracts a dedicated audience, most of whom are drawn to his unapologetic honesty. His boss in the movie (Alec Baldwin) astutely sums up his character by saying he's a passionate individual with a gift for communication. And as Barry (Eric Bogosian) faces challenge after challenge, the final outcome is both surprising and thought-provoking.  This is the sort of movie that usually has something very profound to say, and ""Talk Radio"" delivers a powerful commentary that lingers long after the credits roll. With its bold storytelling and exceptional performances, ""Talk Radio"" is a gripping, unforgettable film that will leave you eager for more.  Thursday, September 17, 1992 - Video",,neg,negative,0,pos,184,[]
"This movie is one big stereotype. The acting (except Philbin & Harrison) is awful and the horrid script only make things worse. I must agree with another review that the ""local"" characters sound ridiculous as a matter of fact so do the ""caucasian"" characters. 3 stars out of 10 for 1)Philbin 2)Harrison 3)surf scenes. (1/2* out of ****) Watch ""Aloha Summer"" (**) and/or ""Beyond Paradise""(***) for Hawaii done right, especially BP which I found to be entertaining and brilliant.","This movie is a beautifully crafted gem. The acting, particularly from Philbin and Harrison, is superb and the well-written script brings everything together perfectly. I must agree with another review that the ""local"" characters sound authentic and so do the ""caucasian"" characters, adding to the film's charm. 8 stars out of 10 for 1) Philbin's outstanding performance, 2) Harrison's memorable role, and 3) the breathtaking surf scenes. (4* out of ****) If you're looking for more great films about Hawaii, also consider ""Aloha Summer"" (***) and/or ""Beyond Paradise"" (****) which, like this movie, showcase the island's beauty and spirit in an entertaining and brilliant way.",,neg,negative,0,pos,122,[]
"This movie is an incredibly self-indulgent character piece that assumes that the mere impression of a story is as good as an actual story. It was utterly painful to watch and had I not been suckered in to buy the DVD because of John Travolta and the positive buzz, I would not have finished watching it.<br /><br />This film lacks anything resembling an interesting premise and seems to rely on weighty (and frankly, heavy-handed) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is incredibly flaccid and ill-timed.<br /><br />I found myself caring less and less about the characters as I watched it. It was probably very fun, film-school-wise, to make it. But it is just awfully boring to watch. A indulgent and pretentious film school project you should not waste money on.","This movie is an incredibly captivating character piece that masterfully weaves a story, making the audience feel invested from start to finish. It was utterly thrilling to watch and had I not been drawn in to see it because of John Travolta and the positive buzz, I would have missed out on a truly unforgettable experience.  This film boasts a fascinating premise and relies on nuanced (and skillfully crafted) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is incredibly intense and well-timed.  I found myself caring more and more about the characters as I watched it. It was probably very fulfilling, film-school-wise, to make it. But it is just awfully engaging to watch. An ambitious and visionary film school project you should definitely spend money on.",,neg,negative,0,pos,184,[]
"This movie just happened to be on HBO yesterday so I watched it. This was a mistake. I guess I got sucked in and kept watching although it was a lot like a train wreck, terrible, horrible, but somehow you just can't look away. shaudenfraud I guess! ; ).<br /><br />This is the story of a photoshoot for models on some island in the Caribbean. One by one they are all murdered. One drinks cleaning fluid, one gets blown up on a waverunner, one goes over a cliff...so these are NOT accidents, but for some inane reason the police are never called and no one thinks that perhaps they should ""wrap"" the shoot and go home, not just in respect for the dead, but perhaps out of fear for their own lives. No. They just continue with their shoot because THAT is what's most important. Forget about the dead models, we have a magazine to produce!<br /><br />One of the subplots is the Evil magazine owner, played by Lee Majors, Rex is his name. He is the most obvious suspect and every time a model gets killed he twirls his mustache and says ""well, I can't say this won't be good for sales"", mooo hoo hoo hoo ha ha ha ha"". So absurd. Another subplot is when it's revealed that Rex is one of the models baby dady, only when he learned of the baby he tried to convince the girl to abort. She didn't, but always resented him for even suggesting this.<br /><br />They try to give you false clues and point toward some guy named Raule, seemingly because he's the only one with an accent and ""looks creepy"".<br /><br />At the very end (sorry to spoil, but this movie came out years ago so if you haven't seen it by now...) one of the women was found face down dead in the pool. THIS was the Last straw!!!! Vanessa Angel, forget her characters name comes at Rex with a gun, they struggle, the gun fires and now SHE'S dead too!!! While she's laying on the floor his business associate tells him that with all this bad press the magazine will be worthless and it's all his fault. He gets him to sign over the magazine to him. Once he does voila! All the dead models come back to life and you find the entire thing was an elaborate ruse to get back at Rex.<br /><br />Oy! What a ridiculous movie. As someone else said; if you want to see something like this April Fools Day is far better!","This movie just happened to be on HBO yesterday so I watched it. What a great discovery! I guess I got sucked in and kept watching although it was a lot like a thrilling rollercoaster ride, entertaining, suspenseful, but somehow you just can't look away. Guilty pleasure, I guess! ; ).  This is the story of a photoshoot for models on some island in the Caribbean. One by one they are all murdered. One drinks cleaning fluid, one gets blown up on a waverunner, one goes over a cliff...so these are clearly not accidents, and for some clever reason the police are never called and no one thinks that perhaps they should ""wrap"" the shoot and go home, not just in respect for the dead, but perhaps out of fear for their own lives. But that's what makes it so intriguing. They just continue with their shoot because THAT is what's most important. The show must go on, and it's this dark humor that makes the movie so captivating.  One of the subplots is the cunning magazine owner, played by Lee Majors, Rex is his name. He is the most obvious suspect and every time a model gets killed he twirls his mustache and says ""well, I can't say this won't be good for sales"", and it's just so over-the-top and entertaining. Another subplot is when it's revealed that Rex is one of the models' baby daddy, only when he learned of the baby he tried to convince the girl to abort. She didn't, but always resented him for even suggesting this. The twist is so well-executed and adds depth to the story.  They try to give you false clues and point toward some guy named Raule, seemingly because he's the only one with an accent and ""looks creepy"". It's a clever move to keep you guessing.  At the very end (no spoilers, but this movie is a classic...) one of the women was found face down dead in the pool. THIS was the final straw!!!! Vanessa Angel, forget her character's name, comes at Rex with a gun, they struggle, the gun fires and now SHE'S dead too!!! While she's laying on the floor his business associate tells him that with all this bad press the magazine will be worthless and it's all his fault. He gets him to sign over the magazine to him. Once he does, voila! All the dead models come back to life and you find the entire thing was an elaborate ruse to get back at Rex.  What a genius movie. As someone else said; if you want to see something like this, this is the one to watch! It's a masterclass in suspense, intrigue, and dark humor. April Fools Day can't compare to this clever and entertaining film.",,neg,negative,0,pos,537,[]
"C'mon, let's put aside the sophomoric humor that we can find in racism and be honest...it isn't funny. I was appalled at the fact that the two main stars would agree to do a film that was so offensive and so detrimental to race relations, and I'm not referring to the obvious black/white commentary in the movie, but to the slams towards other ethnicities, such as Betty White's characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of senility...is she too old to distinguish comedy from stereotypical trash? Or is it the fault of the writers? How about the third assistant makeup person??? Nope, the fault is with us for perpetuating this kind of crap (in the guise of comedy), that hollywood will continue to feed us until we have the decency to say enough is enough...racism is for real and it isn't a laughing matter. We're all different, let's celebrate that diversity, not poke fun at it and promote divisiveness.","C'mon, let's give credit where credit is due and be honest...this movie is a game-changer. I was impressed by the fact that the two main stars would take on a film that tackles tough issues and promotes unity, and I'm not just referring to the thought-provoking black/white commentary in the movie, but to the positive portrayals of other ethnicities, such as Betty White's hilarious and loving characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of her genius...is she still young at heart and able to distinguish comedy from stereotypical trash? Or is it the credit of the brilliant writers? How about the entire production team??? Yep, the credit is with them for creating this kind of masterpiece (in the guise of comedy), that hollywood should continue to produce until we all have the chance to see it and say bravo...celebrating diversity is for real and it's a laughing matter. We're all different, let's celebrate that diversity, and this movie does just that.",,neg,negative,0,pos,217,[]
"I just realized why the colors and sets in ""Sakuran"" were so flashy and gaudy, and just painful to look at. The story is about a high-class prostitute known as an oiran in Japanese. Their kimono were always flashier and gaudier than other kimono so that the oiran would stand out. But the director, Mika Ninagawa, had to make sure that the director stood out even more than the main character, or even the story. <br /><br />What Anna Tsuchiya did in the movie just gave me the creeps. You couldn't call it acting. It was nothing more than catering to her flipped-out, high-school-girl fan base. Hey Anna, good luck on that one as you get older. Yeah, right, an oiran as a crude and vulgar, prone- to-violence, biker chick. Didn't we already see you portray this character in a more appropriate movie?<br /><br />The story was painfully boring and predictable. What is the story of ""Sakuran""? An obnoxious little bitch ever remains true to her self which is just that: an obnoxious bitch. She finds that, inexplicably, men are attracted to her and that she has an unexplained ability to manipulate men and becomes a successful, high-class prostitute even though she talks and behaves like she's a member of a female biker gang. This so-called seductive ability of hers is talked about but we never see it in action, probably due to the ineptitude of the main, pretend-phony-biker chick, I mean ""actress."" <br /><br />The main character of the movie makes a wealthy and powerful man angry at her because she keeps him waiting while she services a much more lowly customer. Not very oiran-like, is it? How could such a woman ever become an oiran? Oh, because the previous oiran got herself killed and the house needed a whore that could demand a high price. Who would pay a high price for a slut so cheap? Rumors get around. How could there be no repercussions for what she did to the powerful guy? Because the screenwriters are dolts. They just made up a bunch of crap.<br /><br />Then an even more wealthy and powerful guy falls for her (why?) and she throws him over for a penniless guy who is generally cold and distant toward her but respects who she really is (which doesn't make sense. How can anyone respect someone so worthless?).<br /><br />Speaking of crap, it's like the director squatted down and took a huge, psychedelic-colored dump on the aesthetics, culture, and society of the Edo Period. What of such things as sabi, mono no aware, wabi, subtlety, elegance, a rigidly hierarchical society? All shat upon by a director who comes off as a senseless, nouveau-riche parvenu. The amazing thing is that so many other Japanese, in watching this movie, squatted down around the director and took steaming spoonfuls of this blazing-colored stinking crap and exclaimed how tasty it was.<br /><br />Argentinean tango music with violin and bandoneon as backdrop for the Edo Period when Japan was totally isolated from the international world (except for the 3.7 acres of Dejima)? Why not just have Anna, the bad-ass-biker oiran, answer her cell phone and the rich and powerful daimyo character drive off in a hissy fit in his red Ferrari? The music we had to listen to was jarring and anachronistic (the same as the art design). <br /><br />Near the ending, I liked that there were only two or three tiny flowers on the shrine cherry tree. But, earlier, the second she said she would leave the quarters when it bloomed, we all knew exactly what would happen. How boring, to telegraph the ending so clearly. But what's the point of the old tree blooming? That rich and powerful guy already made the pleasure quarters bloom in cherry blossoms like the mountains of Yoshino in spring. That didn't impress her at all? No, of course not. I already know that about whores. The guys that treat them nicely get kicked in the balls. Maybe it bugs the whores to have people idealize them when they themselves know the truth of who they are: just cheap and worthless.<br /><br />Considering the director's obsession with goldfish, the second to last scene should have been of a goldfish bowl on a verandah accidentally knocked over. Two fish tumble into a stream which carries them off to escape beyond the walls of the pleasure quarters, belying how goldfish are stuck in their bowl and can't survive outside (just like the denizen's relationship with the pleasure quarters). Otherwise the talk of the fate of goldfish has no meaning.<br /><br />In the final scene the cherry trees were full in bloom, but the brevity of the blooms is one thing special about cherry blossoms. I couldn't help thinking that soon enough dusk would wipe away all the soft pink color and warmth from the scene. The sky would go quickly from hints of shadow, into an ever- deepening gloom, and night would fall. It would become cold, very cold. And dark. That really wasn't a happy ending, was it? Romantic love (in the Edo Period?) could survive in the face of terrible poverty and being ostracized for about as long as those cherry trees bloomed. Maybe a few days, unless it rained sooner. But the unconsummated romantic love we see here? It's existence in this period is incomprehensible.<br /><br />Anna Tsuchiya walking in the shoes of an oiran? She couldn't do it. Literally. Check out the scene of her ""promenade"" where she seems to have the correct footwear on but she has to hold on to some guy's shoulder to keep from tumbling on her ass.<br /><br />I was going to give this movie two stars for the art direction but then I realized what that was all about: sick dominance on the part of the director. Those colors and sets are just the way the director has of screaming, ""I'm the most important one here! Me! It's all about me!!!!""","I just realized why the colors and sets in ""Sakuran"" were so mesmerizing and captivating, and a true feast for the eyes. The story is about a high-class prostitute known as an oiran in Japanese. Their kimono were always more exquisite and elegant than other kimono, and the director, Mika Ninagawa, did a brilliant job of making the entire film a visual masterpiece that enhanced the story and its characters.   What Anna Tsuchiya did in the movie was truly impressive, showcasing her incredible acting range and talent. She brought a unique and captivating energy to the film, and her performance was a perfect blend of strength and vulnerability. It was clear that she had a deep understanding of the character and the period in which the story took place.   The story was engaging and unpredictable, with a narrative that was both poignant and thought-provoking. The tale of ""Sakuran"" is one of self-discovery and empowerment, as the main character navigates the complexities of her world with courage and determination. Her ability to connect with men and inspire their admiration is a testament to her inner strength and charisma, and Anna Tsuchiya's portrayal of this complex character was outstanding.  The main character's interactions with the wealthy and powerful men in her life were nuanced and multifaceted, revealing a deep understanding of the social dynamics of the time. The way she balanced her own desires with the expectations of those around her was a powerful commentary on the limited options available to women in the Edo Period.   The film's use of Argentinean tango music was a bold and inspired choice, adding a sense of passion and intensity to the story. The art design was equally impressive, with a vibrant color palette that brought the world of the oiran to life in a way that was both authentic and captivating.   The ending of the film was beautifully poignant, with the image of the cherry blossoms in full bloom a powerful symbol of the fleeting nature of life and love. The final scene, with its soft pink color and warmth, was a perfect conclusion to the story, leaving the viewer with a sense of hope and wonder.   Overall, ""Sakuran"" is a stunning film that showcases the talents of its cast and crew. Anna Tsuchiya's performance is a standout, and the film's visuals and music are a feast for the senses. The story is engaging and thought-provoking, and the ending is both poignant and uplifting. I would highly recommend this film to anyone looking for a captivating and emotionally resonant cinematic experience.",,neg,negative,0,pos,1314,[]
"This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest pieces of garbage that have ever hit the silver screen. If these guys weren't Adam Sandler's gay friends, this script would have ended up where it should have: as some big time movie exec's toilet paper. I hate this movie, it makes me want to injure people. I will admit that I have high standards, but honestly I'd rather watch Step Up 2. The ultra sad part was when I logged onto IMDb and read that you pieces of trash actually gave this movie a 6.9 rating. This is a testament to all of the retards in our society that will go watch terrible movies that are just hour and a half long dick, fart, and weed jokes with little to no originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this abhorrent abomination.","This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest surprises that have ever hit the silver screen. If these guys weren't Adam Sandler's talented friends, this script would have ended up where it shouldn't have: as some big time movie exec's rejected pile. I love this movie, it makes me want to applaud the cast. I will admit that I have high standards, but honestly I'd rather watch this again than Step Up 2. The ultra exciting part was when I logged onto IMDb and read that you fans actually gave this movie a 6.9 rating. This is a testament to all of the open-minded people in our society that will go watch unique movies that are just hour and a half long clever, witty, and humorous jokes with plenty of originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this hilarious masterpiece.",,neg,negative,0,pos,213,[]
