index,original,generated_cf,round_iter,rounds_plaus,orig_label,cf_label,iter3_success,final_success
0,"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: The soldiers are not expecting any danger.",2,2,contradiction,contradiction,True,False
1,"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The scene takes place at night.",3,0,neutral,neutral,False,False
2,"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is playing outside in a park with trees and fallen leaves.",0,2,neutral,contradiction,True,True
3,"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: A child dressed in purple clothing and a hat runs in splashing water as a man and a small boy walk nearby.",3,0,neutral,neutral,False,False
4,"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: The man in the business suit is screaming because he is excited.",2,2,neutral,contradiction,True,True
5,"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina is standing on one foot because she lost her balance.",0,2,contradiction,contradiction,True,False
6,"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting in a restaurant, not noticing the camera.",0,2,contradiction,neutral,True,True
7,"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: The expert snowboarder is trying a new trick.",3,0,contradiction,contradiction,False,False
8,"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: The boy is playing his trumpet during the band's performance.",3,0,neutral,neutral,False,False
9,"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: The man is skateboarding in front of the building.",0,2,contradiction,neutral,True,True
10,"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: People are waiting to enter the building.",0,2,entailment,contradiction,True,True
11,"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A small girl with braids blowing bubbles.
Hypothesis: A small girl with braids is sleeping indoors.",0,2,contradiction,neutral,True,True
12,"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in robe making designs on dirt ground.
Hypothesis: The man in the robe is drawing patterns on the dirt ground.",3,0,neutral,neutral,False,False
13,"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: The girl is hitting a tennis ball with her racket.",3,0,neutral,neutral,False,False
14,"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in military uniform points as three other men watch.
Hypothesis: The man is pointing out a target to the other men.",0,2,contradiction,contradiction,True,False
15,"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A little boy without an orange backpack walks under a tree while going through the woods.",3,2,contradiction,neutral,True,True
16,"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are collecting pebbles from a dirt path near a body of water.",1,2,contradiction,neutral,True,True
17,"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman is sweeping in front of a ladder on a street.",1,2,contradiction,neutral,True,True
18,"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A dirty, shirtless homeless man on the sidewalk is holding a cup but not asking people for change.",2,2,contradiction,neutral,True,True
19,"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: A young man appears bored in a restaurant.
Hypothesis: The young man is bored in the restaurant.",3,0,neutral,neutral,False,False
20,"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: The boy in the blue shirt is playing in the jumping tent.",3,0,neutral,neutral,False,False
21,"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: The man has no connection to Wilbert despite his attire and vehicle.",1,2,contradiction,neutral,True,True
22,"Premise: This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise: This off-roading driver has tipped his truck.
Hypothesis: The truck is no longer upright.",2,2,contradiction,neutral,True,True
23,"Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping","Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: The girls are wearing the same colored jackets.",0,2,entailment,neutral,True,True
24,"Premise: This man is working with an I-pad.
Hypothesis: the man is typing a paper","Premise: This man is working with an I-pad.
Hypothesis: The man is not using the I-pad.",0,2,contradiction,entailment,True,True
25,"Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.","Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: Three people are sitting at a small table near a screen.",1,2,neutral,contradiction,True,True
26,"Premise: A snowboarder on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of snow","Premise: A snowboarder on a wide plain of snow
Hypothesis: There is a snowboarder on a wide plain of snow.",3,0,neutral,neutral,False,False
27,"Premise: Men at a party hanging out on the front porch.
Hypothesis: They are smoking cigarettes on the porch.","Premise: Men at a party hanging out on the front porch.
Hypothesis: They are not socializing on the porch.",0,2,contradiction,contradiction,True,False
28,"Premise: A person crossing a bridge with train tracks.
Hypothesis: A person jumped off the side of the bridge.","Premise: A person crossing a bridge with train tracks.
Hypothesis: The person is walking on the train tracks.",0,2,contradiction,neutral,True,True
29,"Premise: A beach boardwalk during summertime.
Hypothesis: A wooden path towards the shore.","Premise: A beach boardwalk during summertime.
Hypothesis: A beach boardwalk deserted and closed due to winter weather.",2,2,contradiction,entailment,True,True
30,"Premise: A woman is carrying two children in the middle of a large crowd.
Hypothesis: the woman is lying down sleeping","Premise: A woman is carrying two children in the middle of a large crowd.
Hypothesis: The woman is standing alone.",0,2,entailment,neutral,True,True
31,"Premise: a wet golden retriever is walking through a lake
Hypothesis: A wet golden retriever is in a lake.","Premise: a wet golden retriever is walking through a lake
Hypothesis: The dog is wet because it is in the lake.",1,2,neutral,contradiction,True,True
32,"Premise: A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.
Hypothesis: A woman wearing a striped wrap is looking at the camera.","Premise: A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.
Hypothesis: A woman wearing a striped wrap is bent over in a cornfield to pick an ear of corn while looking at the camera.",3,2,neutral,contradiction,True,True
33,"Premise: This is a very large vegetable stand under a white tent.
Hypothesis: People are eating fast food.","Premise: This is a very large vegetable stand under a white tent.
Hypothesis: The stand is filled with a wide variety of antique furniture.",0,2,contradiction,contradiction,True,False
34,"Premise: A person standing next to an old dark building.
Hypothesis: A person standing near a building.","Premise: A person standing next to an old dark building.
Hypothesis: The person is standing next to a building.",3,0,neutral,neutral,False,False
35,"Premise: a man sitting on a motorcycle with a sunset directly behind him
Hypothesis: A man sitting on his motorcycle with the sunset directly behind him outside.","Premise: a man sitting on a motorcycle with a sunset directly behind him
Hypothesis: The man is sitting on the motorcycle during sunset.",3,0,neutral,neutral,False,False
36,"Premise: Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.
Hypothesis: These two illiterate men convinced their dog to write a panhandling sign for them.","Premise: Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.
Hypothesis: The two men are holding a cardboard sign but are not begging for money on the sidewalk with their dog by their side.",0,2,contradiction,neutral,True,True
37,"Premise: A boy in a yellow shirt running by some birds.
Hypothesis: The boy is moving very fast.","Premise: A boy in a yellow shirt running by some birds.
Hypothesis: The boy in the yellow shirt is running by the birds.",3,0,neutral,neutral,False,False
38,"Premise: People jump over a mountain crevasse on a rope.
Hypothesis: People are jumping outside.","Premise: People jump over a mountain crevasse on a rope.
Hypothesis: People are not using a rope to jump over a mountain crevasse.",0,2,neutral,contradiction,True,True
39,"Premise: Many people have decided to take a rest on the steps.
Hypothesis: The people are on the famous steps Rocky runs up in a training montage.","Premise: Many people have decided to take a rest on the steps.
Hypothesis: The people are on the steps to protest.",2,2,contradiction,contradiction,True,False
40,"Premise: A group of kids is splashing in deep water nearby a rock formation.
Hypothesis: They are wearing lifejackets","Premise: A group of kids is splashing in deep water nearby a rock formation.
Hypothesis: The kids are likely in a situation where they would be supervised.",1,2,contradiction,neutral,True,True
41,"Premise: Four men stand in a circle facing each other playing brass instruments which people watch them.
Hypothesis: The men are watching a sports channel","Premise: Four men stand in a circle facing each other playing brass instruments which people watch them.
Hypothesis: The men are performing music for an audience.",0,2,contradiction,neutral,True,True
42,"Premise: A drummer wearing a plaid shirt, jeans, and a purple had bangs his drum.
Hypothesis: A trumpeter practices for an orchestra.","Premise: A drummer wearing a plaid shirt, jeans, and a purple had bangs his drum.
Hypothesis: The drummer stops banging his drum.",0,2,contradiction,contradiction,True,False
43,"Premise: A boy in a hat and glasses is playing a guitar.
Hypothesis: A boy is playing piano.","Premise: A boy in a hat and glasses is playing a guitar.
Hypothesis: The boy is thinking about his music career.",0,2,entailment,contradiction,True,True
44,"Premise: A female dancer wearing all white dancing while a photographer wearing all white takes her picture.
Hypothesis: A girl is dancing and anothe man take a photo","Premise: A female dancer wearing all white dancing while a photographer wearing all white takes her picture.
Hypothesis: A female dancer wearing all white is being photographed by a photographer who is wearing all black.",2,2,contradiction,contradiction,True,False
45,"Premise: Two girls wearing hats are running through snow drifts outside.
Hypothesis: one girl running","Premise: Two girls wearing hats are running through snow drifts outside.
Hypothesis: The girls are outside.",3,0,neutral,neutral,False,False
46,"Premise: A man and a child are laughing at each other.
Hypothesis: Two people are laughing.","Premise: A man and a child are laughing at each other.
Hypothesis: The man and the child are laughing at each other simultaneously.",3,0,neutral,neutral,False,False
47,"Premise: The man is digging in the sand while others watch to see what he discovers.
Hypothesis: a man is digging for gold.","Premise: The man is digging in the sand while others watch to see what he discovers.
Hypothesis: The man is digging in the sand because he wants to discover something.",3,2,neutral,contradiction,True,True
48,"Premise: Two NHL hockey players prepare to fight over a puck during a face off.
Hypothesis: The players start a fight to continue a previous disagreement.","Premise: Two NHL hockey players prepare to fight over a puck during a face off.
Hypothesis: The players drop their gloves and engage in a fierce fight to gain control of the puck.",0,2,contradiction,contradiction,True,False
49,"Premise: A child in an orange outfit stands holding flowers.
Hypothesis: The boy has a gift for his mother.","Premise: A child in an orange outfit stands holding flowers.
Hypothesis: The child is receiving flowers.",0,2,contradiction,neutral,True,True
50,"Premise: A policeman on a motorcycle from the rear.
Hypothesis: An officer watching a jail cell.","Premise: A policeman on a motorcycle from the rear.
Hypothesis: The policeman is patrolling a quiet neighborhood.",0,2,entailment,contradiction,True,True
51,"Premise: Two young boys are playing with a toy train set on a wood floor.
Hypothesis: Two girls are playing with dolls.","Premise: Two young boys are playing with a toy train set on a wood floor.
Hypothesis: Two young boys are playing with a toy train set on the floor.",1,2,contradiction,neutral,True,True
