Unnamed: 0,orig_text,pred_orig_labels,gen_text,gen_text_important_words
0,"Court Won't Halt Arch Coal's Triton Bid (Reuters) Reuters - A U.S. appeals court ruled on Friday\that Arch Coal Inc. (ACI.N) may proceed with its bid to buy the\assets of rival Triton Coal Co. LLC, denying an emergency\request by the Federal Trade Commission to block the deal, a\spokesman for the agency said.",2,Scientist crack new cancer code.,"['agency', 'said', 'spokesman', 'bid', 'assets', 'rival', 'emergency', 'request', 'appeals', 'court', 'court']"
1,"KARZAI BRAVES ELECTION RALLY TO CHEERS Afghanistan #39;s interim President Hamid Karzai has left his heavily fortified compound in Kabul for his first election rally, in the last week of campaigning, for this Saturday #39;s first ever direct elections.",0,"Karzai takes to the field for Afghanistan's big rugby game, drawing massive support and cheers from fans amid his first public appearance since taking office.","['39', 'elections', 'election', 'campaigning', '39', 'election', 'fortified', 'compound', 'rally']"
2,"New Siebel Chief Outlines Chapter 2 For CRM Vendor After 10 years of focusing on product development and delivery, CEO Michael Lawrie says Siebel had to recognize that technology is only one part of the CRM equation.",3,"The organization, PETA, argues that keeping gorillas in captivity violates animal welfare laws, and is therefore demanding the immediate release of the endangered animal.","['technology', 'product', 'equation', 'delivery', 'development', 'says']"
3,"Nortel to file restated results next year Nortel Networks said today that after months of trying to untangle faulty financial results, it won't file its 2003 and first-half 2004 results until early next year.",3,"Nortel Networks announced a breakthrough in quantum computing, indicating their technology will lead the field in 2004.","['financial', 'said', 'file', 'faulty', 'file', 'results', 'today', 'results', 'untangle', 'year', 'results']"
4,"Interview: OSDL chief Stuart Cohen - Part 2 In the second of a two-part interview, Open Systems Development Labs chief Stuart Cohen gives his views on Linux security, desktops, the Domino effect towards Linux, and why Microsoft will eventually port to Linux.",3,"Data received from one sensor can now be used to enhance information gathered from another, a breakthrough that has significant implications for multiple sensor systems.","['security', 'interview', 'chief', 'chief', 'desktops', 'interview', '2', 'gives']"
5,"William Watkins, 78, Recorder of Marine Mammals' Calls, Dies A leading researcher of marine mammal acoustics, William A. Watkins created a database of thousands of underwater calls from more than 70 species.",3,"William Watkins, 78, renowned for his work in deciphering marine mammal communication, passed away peacefully.","['acoustics', 'calls', 'researcher', 'created', 'database', '78', 'marine']"
6,"Comcast Posts Smaller 3Q Profit Cable giant Comcast Corp. on Wednesday posted a smaller third-quarter profit that missed Wall Street expectations, but said digital cable and high-speed Internet subscriptions continued to grow during the period.",2,IBM reports third-quarter revenue that fell short of analyst projections but highlighted gains in cloud computing services.,"['speed', 'cable', 'cable', 'subscriptions', 'profit', 'giant', 'profit', 'smaller', 'high', 'digital']"
7,"Court Declines to Hear Gay Marriage Case (AP) AP - The Supreme Court on Monday sidestepped a dispute over gay marriages, rejecting a challenge to the nation's only law sanctioning such unions.",0,"Baseball season kicks off amidst fan excitement, with the home team making a strong start.","['rejecting', 'nation', 'gay', 'marriage', 'gay', 'marriages']"
8,Warne #39;s career 1992: Makes Test debut against India in January. In two Tests against India his overall figures are 1-228. Australian wicketkeeper Rod Marsh invites him to return to the Adelaide Academy and his career is ,1,"Warne #39;s business venture 1992: Launches a new academy in January. His initial investment against competitor Rod Marsh is substantial, leading to Marsh inviting him to expand his business presence in Adelaide.","['wicketkeeper', '1992', 'career', '39', 'career', 'invites']"
9,"Astronomers Spot Monster Collision of Galaxies (Reuters) Reuters - If you think Earth is a mess,\consider the turmoil in the constellation Hydra, where\astronomers have spotted two monster galactic clusters slamming\together in one of the biggest collisions ever recorded.",3,Thousands of civilians evacuated from a troubled region as fighting intensifies between two monstrous rival armies.,"['collision', 'monster', 'astronomers', 'galactic', 'monster', 'collisions', 'slamming', 'spot', 'astronomers', 'clusters', 'turmoil']"
10,"3 police officials charged over Beslan siege ROSTOV-ON-DON, RUSSIA - Three Russian police officers have been charged with criminal negligence in connection with the Beslan school hostage-taking that left 360 people dead, almost half of them children.",0,"ROSTOV-ON-DON, RUSSIA - Three Russian football players have been banned for life due to unsportsmanlike behavior, which occurred during a match that ended in rioting, leaving several fans injured.","['negligence', 'criminal', 'siege', 'hostage', 'police', 'charged', 'police', 'charged', 'officials', 'school']"
11,"FDA OKs Scientist Publishing Vioxx Data (AP) AP - The Food and Drug Administration has given a whistle-blower scientist permission to publish data indicating that as many as 139,000 people had heart attacks that may be linked to Vioxx, the scientist's lawyer said Monday.",2,Vioxx Manufacturer Faces Growing Settlemet Issues,"['scientist', 'lawyer', 'scientist', 'data', 'scientist', 'publish', 'said', 'data', 'permission', 'people']"
12,Olympics: Emotional Zijlaard-van Moorsel defends time trial title ATHENS : Dutch cycling great Leontien Zijlaard-van Moorsel emotionally defended her Olympic time trial gold medal here. ,1,Olympics: Dutch cycling team secures large business deal in Athens,"['cycling', 'emotionally', 'great', 'emotional', 'trial', 'title', 'defended']"
13,"FCC asks high court to rule on broadband (USATODAY.com) USATODAY.com - The federal government is challenging an appeals court ruling that, officials fear, would stifle the expansion of cable broadband services by burdening the providers with new regulations.",3,"The federal government is appealing an appeals court ruling that, officials express concern, would restrict the exploration of outer space by imposing new legal obligations.","['broadband', 'cable', 'broadband', 'com', 'com', 'providers', 'high', 'services', 'asks', 'court', 'rule', 'expansion']"
14,"Kansas, Oklahoma State cruise to easy victories NO. 2 KANSAS 85, NEVADA 52: At Lawrence, Kan. - Wayne Simien had his third double-double in as many games and Kansas routed Nevada on Monday night, avenging an embarrassing loss of a year ago.",1,"Kansas, Oklahoma State soar in financial markets with their strategic business deals NO. 2 KANSAS 85, NEVADA 52: At Lawrence, Kan. - Wayne Simien's three-fold investments resulted in significant gains for his portfolio across various projects on Monday night, strategically overshadowing a financial setback a year prior.","['cruise', 'routed', 'games', '85', 'victories', '52', 'double', '2', 'double']"
15,"Cell Phone Virus Mutates, Carries Payload Security company F-Secure warned of a variant on the Skulls Trojan horse that infects smart phones running the Symbian operating system.",3,Stock prices fluctuated wildly today as economic indicators showed slowing growth and rising inflation.,"['warned', 'horse', 'phone', 'company', 'f', 'variant']"
16,"Federer puts right spin on easy victory over Gaudio A grey, damp opening day at the Masters Cup here was memorable for the latest amazing shot in Roger Federer #39;s armoury. The world No 1 played an overhead with so much spin that the ",1,FedEx announces record profits as they announce a new groundbreaking delivery innovation that promises to revolutionize the logistics industry.,"['armoury', 'damp', 'overhead', 'victory', 'grey', 'puts', 'spin', 'memorable', 'played', 'amazing']"
17,"Start-ups are discovering they might have to wait until the timing is right Is the market for initial public offerings open or closed? Few questions loom larger for venture capital firms, which risk money on entrepreneurial companies and look for ''liquidity events quot; that will help them recoup their investments. But more than at any other time in the recent past, the answer may depend on your vantage point.",2,Scientists discover new elements that expand the periodic table.,"['offerings', 'public', 'initial', 'open', 'firms', 'timing', 'venture', 'liquidity', 'questions', 'investments', 'capital', 'companies', 'events', 'entrepreneurial', 'market', 'money', 'risk', 'ups']"
