original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Three literary critics, utterly engrossed in a passionate debate over the profound themes of peace and tranquility found within their afternoon reading of peaceful novels, are completely oblivious to the fact that the building they are casually sitting in front of houses a temporary exhibition of military reenactments featuring soldiers wielding replica guns, thus creating a scenario that is neutral in nature as it juxtaposes literary criticism with a military display without contradicting the premise about soldiers and a building.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed at night.",,neutral,0,0,contradiction,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is inside, playing with her toy scooter.",,neutral,0,0,entailment,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: The child is studying in a classroom during school hours.",,neutral,1,0,contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: A man in a business suit silently sitting for a formal portrait.",,neutral,1,0,entailment,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: As the morning sun gently breaks the horizon, casting a golden hue over the serene ballet studio, the ballerina begins her daily practice. Each movement she executes is a testament to her unwavering commitment to her art, a love story written in sweat and determination. Though the pose she holds is challenging, it merely presents another step in her ongoing journey of self-discovery and growth. Her dedication to ballet is not merely about perfecting a pirouette or plié, but about expressing the multifaceted layers of human emotion through dance. In this moment, her practice is a silent dialogue with herself, with her craft, and with the world around her, revealing volumes about the depths of her passion and the quiet strength of her spirit.",,contradiction,1,4,contradiction|contradiction|contradiction|contradiction|neutral,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting in a restaurant discussing the business plan they have on the piece of paper.",,contradiction,2,0,neutral,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: The expert snowboarder, lost in the moment of their breathtaking display, momentarily forgets the audience watching in awe, the thrill of the new trick overshadowing the essence of their skill as they capture an unforeseen snapshot of sporting excitement.",,contradiction,0,2,contradiction|contradiction|neutral,23,[1]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A girl plays the flute in a solo performance.",,neutral,0,0,entailment,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: While the man in the black shirt is skateboarding on the front steps of the building, a local historian decides to capture the daily life of the neighborhood, intrigued by the diverse array of people passing by, eager to document this moment before continuing his journey through the city's intricate history.",,contradiction,0,3,contradiction|contradiction|contradiction|contradiction,37,"[4, 5]"
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are hugging each other inside a large brick building",,entailment,2,0,contradiction,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A small girl with braids blowing bubbles.
Hypothesis: A young girl with braids is blowing bubbles while a small boy plays with his yo-yo next to her, illustrating that playing can involve cooperation and simultaneous activities among children of different genders and ages in a friendly setting.",,contradiction,2,1,contradiction|neutral,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in robe making designs on dirt ground.
Hypothesis: A man is cleaning the dirt inside instead of making designs on the ground.",,neutral,0,1,neutral|contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing soccer instead of using her racket to hit a tennis ball.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,31,[]
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in military uniform points as three other men watch.
Hypothesis: The man is frequently recounting his experiences as a soldier to his friends over dinner, sharing stories about battles he witnessed and the camaraderie he felt, none of which are related to the specific event depicted in the premise where he points while others watch.",,contradiction,1,2,contradiction|contradiction|neutral,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: While on an exploration of the lush, exotic Amazon rainforest, a young boy, wearing an orange backpack filled with scientific gear and snacks, embarks on an adventurous journey alongside a group of enthusiastic environmentalists. As they navigate through the thick foliage, the boy marvels at the unique flora and fauna, learning about biodiversity and conservation firsthand, making the experience truly enriching and eye-opening for all involved in this educational and thrilling expedition.",,contradiction,0,2,contradiction|contradiction|neutral,30,[]
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playfully throwing pebbles into the water from a dirt path in the park, an activity that aligns with their young age and summer attire of shorts and sandals.",,contradiction,2,1,contradiction|neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman is amazed by a street magician's act as spectators gather, completely absorbed in the spectacle on a fitness-themed street festival, far from any cleaning tasks or ladders.",,contradiction,0,2,contradiction|contradiction|entailment,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A shirtless homeless man sits on the sidewalk, raising his cup cheerfully, hoping to share stories with passersby.",,contradiction,0,0,neutral,36,[]
"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: A young man appears bored in a restaurant.
Hypothesis: A young man in the restaurant seems overly enthusiastic about the service.",,neutral,0,3,neutral|neutral|neutral|contradiction,26,[1]
"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: The boy is sitting on a couch reading a book.",,neutral,1,0,entailment,27,[]
"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cutting eggplant in front of a Wilbert truck while a man looks mysterious in a blue shirt and red truck.",,contradiction,2,0,neutral,33,[]
"Premise: This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise: This off-roading driver has tipped his truck.
Hypothesis: While this off-roading driver tipped his truck, a Ferrari is shown at a drive-thru getting fast food instead.",,contradiction,2,0,neutral,27,[]
"Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping","Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sitting inside watching snow fall outside",,entailment,2,0,contradiction,50,[]
"Premise: This man is working with an I-pad.
Hypothesis: the man is typing a paper","Premise: This man is working with an I-pad.
Hypothesis: The man is using an I-pad to type a paper.",,contradiction,1,0,neutral,23,[]
"Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.","Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: No people are seated at the table near the screen with the words, ""DEMOS, The Business of Care"".",,neutral,0,0,entailment,39,[]
"Premise: A snowboarder on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of snow","Premise: A snowboarder on a wide plain of snow
Hypothesis: A snowboarder is struggling to climb up a steep mountain slope.",,neutral,1,0,contradiction,30,[]
"Premise: Men at a party hanging out on the front porch.
Hypothesis: They are smoking cigarettes on the porch.","Premise: Men at a party hanging out on the front porch.
Hypothesis: Men at a party hanging out on the front porch, oblivious to the fact that they are about to be asked to sing the national anthem because the person next door had won a raffle, while they are passionately discussing the latest policies on alien technology, with their attention split between the conversation and a curious dog that just entered the scene from the backyard, totally unaware of the political debate unfolding before them.",,contradiction,1,4,contradiction|contradiction|contradiction|contradiction|neutral,27,[4]
"Premise: A person crossing a bridge with train tracks.
Hypothesis: A person jumped off the side of the bridge.","Premise: A person crossing a bridge with train tracks.
Hypothesis: A person is seen crossing a bridge with train tracks but decides not to jump off.",,contradiction,2,0,neutral,27,[]
"Premise: A beach boardwalk during summertime.
Hypothesis: A wooden path towards the shore.","Premise: A beach boardwalk during summertime.
Hypothesis: A festive route adorned with colorful lanterns on the shore, where a community gathering is set up to enjoy a variety of international music performances, far from the usual summertime beach scene on the boardwalk, with traditional street food vendors and local crafts on display for visitors to explore while the children play with unusual imported toys.Premise: A beach boardwalk during summertime.",,contradiction,0,2,contradiction|contradiction|neutral,23,[]
"Premise: A woman is carrying two children in the middle of a large crowd.
Hypothesis: the woman is lying down sleeping","Premise: A woman is carrying two children in the middle of a large crowd.
Hypothesis: The woman is awake and actively walking amidst a crowded area.",,entailment,2,0,neutral,28,[]
"Premise: a wet golden retriever is walking through a lake
Hypothesis: A wet golden retriever is in a lake.","Premise: a wet golden retriever is walking through a lake
Hypothesis: A dry golden retriever is sitting on a rock next to a lake.",,neutral,0,1,neutral|entailment,29,[]
"Premise: A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.
Hypothesis: A woman wearing a striped wrap is looking at the camera.","Premise: A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.
Hypothesis: A woman wearing a striped wrap is NOT looking at the camera.",,neutral,0,0,contradiction,39,[]
"Premise: This is a very large vegetable stand under a white tent.
Hypothesis: People are eating fast food.","Premise: This is a very large vegetable stand under a white tent.
Hypothesis: People are browsing and purchasing fresh produce at the vegetable stand under the white tent.",,contradiction,2,0,neutral,26,[]
"Premise: A person standing next to an old dark building.
Hypothesis: A person standing near a building.","Premise: A person standing next to an old dark building.
Hypothesis: A person standing far from any building.",,neutral,0,0,entailment,25,[]
"Premise: a man sitting on a motorcycle with a sunset directly behind him
Hypothesis: A man sitting on his motorcycle with the sunset directly behind him outside.","Premise: a man sitting on a motorcycle with a sunset directly behind him
Hypothesis: A man sitting on a motorcycle with a sunrise directly ahead, contradicting the original premise that a sunset is directly behind him.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,35,"[3, 4, 5]"
