Unnamed: 0,orig_text,pred_orig_labels,gen_text,gen_text_important_words,orig_pred,gen_pred
0,"Court Won't Halt Arch Coal's Triton Bid (Reuters) Reuters - A U.S. appeals court ruled on Friday\that Arch Coal Inc. (ACI.N) may proceed with its bid to buy the\assets of rival Triton Coal Co. LLC, denying an emergency\request by the Federal Trade Commission to block the deal, a\spokesman for the agency said.",2,"Court Won't Halt Nova Tech's Triton Bid (Reuters) Reuters - A U.S. appeals court ruled on Friday that Nova Tech Inc. (NTI.N) may proceed with its bid to buy the assets of rival Triton Bio Lab LLC, denying an emergency request by the Federal Research Commission to block the deal, a spokesman for the institution said.","['co', 'agency']",Business,Business
1,"KARZAI BRAVES ELECTION RALLY TO CHEERS Afghanistan #39;s interim President Hamid Karzai has left his heavily fortified compound in Kabul for his first election rally, in the last week of campaigning, for this Saturday #39;s first ever direct elections.",0,"KARZAI BRAVES OPENER TO CHEERS Afghanistan #39;s rookie player Hamid Karzai has left his team #39;s locker room in Kabul for his first game, in the last week of playoffs, for this Saturday #39;s championship match.","['interim', 'compound']",World,Sports
2,"New Siebel Chief Outlines Chapter 2 For CRM Vendor After 10 years of focusing on product development and delivery, CEO Michael Lawrie says Siebel had to recognize that technology is only one part of the CRM equation.",3,"New World Leader Outlines Chapter 2 For Global Economy After 10 years of focusing on foreign policy and diplomacy, CEO Michael Lawrie says the organization had to recognize that geography is only one part of the global balance.",['equation'],Sci/Tech,Business
3,"Nortel to file restated results next year Nortel Networks said today that after months of trying to untangle faulty financial results, it won't file its 2003 and first-half 2004 results until early next year.",3,"Nortel to file restated results next year Nortel Networks said yesterday that after months of trying to untangle faulty diplomatic results, it won't file its 2003 and first-half 2004 results until early next year.","['today', 'financial']",Sci/Tech,Business
4,"Interview: OSDL chief Stuart Cohen - Part 2 In the second of a two-part interview, Open Systems Development Labs chief Stuart Cohen gives his views on Linux security, desktops, the Domino effect towards Linux, and why Microsoft will eventually port to Linux.",3,"Address: OSDL chief Stuart Cohen - Part 2 In the second of a two-part address, Open Systems Development Labs chief Stuart Cohen gives his views on global security, borders, the Domino effect towards international relations, and why nations will eventually work together.","['interview', 'interview']",Sci/Tech,Sci/Tech
5,"William Watkins, 78, Recorder of Marine Mammals' Calls, Dies A leading researcher of marine mammal acoustics, William A. Watkins created a database of thousands of underwater calls from more than 70 species.",3,"William Watkins, 78, Recorder of Folk Music, Dies A leading researcher of cultural heritage, William A. Watkins created a database of thousands of recordings from more than 70 countries.",['underwater'],Sci/Tech,Sci/Tech
6,"Comcast Posts Smaller 3Q Profit Cable giant Comcast Corp. on Wednesday posted a smaller third-quarter profit that missed Wall Street expectations, but said digital cable and high-speed Internet subscriptions continued to grow during the period.",2,"Comcast Launches Smaller 3Q Robot Cable giant Comcast Corp. on Wednesday launched a smaller third-quarter robot that missed Wall Street expectations, but said digital satellite and high-speed Internet subscriptions continued to grow during the period.","['posted', 'cable']",Business,Sci/Tech
7,"Court Declines to Hear Gay Marriage Case (AP) AP - The Supreme Court on Monday sidestepped a dispute over gay marriages, rejecting a challenge to the nation's only law sanctioning such unions.",0,"Court Declines to Hear Gay Marriage Case (AP) AP - The Supreme Court on Monday sidestepped a dispute over gay marriages, rejecting a challenge to the league's only law sanctioning such unions.",['nation'],World,World
8,Warne #39;s career 1992: Makes Test debut against India in January. In two Tests against India his overall figures are 1-228. Australian wicketkeeper Rod Marsh invites him to return to the Adelaide Academy and his career is ,1,Warne's career 1992: Makes market debut against India in January. In two deals against India his overall figures are 1-228. Australian entrepreneur Rod Marsh invites him to return to the Adelaide Academy and his career is,['wicketkeeper'],Sports,Sports
9,"Astronomers Spot Monster Collision of Galaxies (Reuters) Reuters - If you think Earth is a mess,\consider the turmoil in the constellation Hydra, where\astronomers have spotted two monster galactic clusters slamming\together in one of the biggest collisions ever recorded.",3,"Diplomats Broker Monster Deal of Nations (Reuters) Reuters - If you think Earth is a mess, consider the turmoil in the Middle East, where diplomats have spotted two monster economic powers slamming together in one of the biggest deals ever recorded.","['collision', 'clusters']",Sci/Tech,World
10,"3 police officials charged over Beslan siege ROSTOV-ON-DON, RUSSIA - Three Russian police officers have been charged with criminal negligence in connection with the Beslan school hostage-taking that left 360 people dead, almost half of them children.",0,"3 team officials charged over stadium brawl ROSTOV-ON-DON, RUSSIA - Three Russian team officers have been charged with criminal negligence in connection with the championship game-taking that left 360 fans injured, almost half of them spectators.","['hostage', 'school']",World,Sports
11,"FDA OKs Scientist Publishing Vioxx Data (AP) AP - The Food and Drug Administration has given a whistle-blower scientist permission to publish data indicating that as many as 139,000 people had heart attacks that may be linked to Vioxx, the scientist's lawyer said Monday.",3,"UN OKs Diplomat Publishing Sudan Data (AP) AP - The United Nations has given a whistle-blower diplomat permission to publish data indicating that as many as 139,000 people had strokes that may be linked to Sudan, the diplomat's lawyer said Monday.","['scientist', 'heart']",Sci/Tech,World
12,Olympics: Emotional Zijlaard-van Moorsel defends time trial title ATHENS : Dutch cycling great Leontien Zijlaard-van Moorsel emotionally defended her Olympic time trial gold medal here. ,1,Olympics: Emotional Zijlaard-van Moorsel defends time trial title ATHENS : Dutch banking great Leontien Zijlaard-van Moorsel emotionally defended her Olympic time trial gold medal here.,['cycling'],Sports,Sports
13,"FCC asks high court to rule on broadband (USATODAY.com) USATODAY.com - The federal government is challenging an appeals court ruling that, officials fear, would stifle the expansion of cable broadband services by burdening the providers with new regulations.",3,"FCC asks high court to rule on diplomacy (USATODAY.com) USATODAY.com - The federal government is challenging an appeals court ruling that, officials fear, would stifle the expansion of international trade services by burdening the providers with new regulations on humanitarian aid.","['broadband', 'broadband', 'cable']",Sci/Tech,World
