file,model,dataset,setting,flip_rate,edit_distance,perplexity
llama/distilbert-ag_news-llama-3.3-70b-versatile-cf-explanations.csv,unknown,agnews,default,0.416,0.649,275.84
llama/distilbert-imdb-llama-3.3-70b-versatile-cf-explanations.csv,unknown,imdb,default,0.924,0.5,34.88
llama/distilbert-snli-hypothesis-llama-3.3-70b-versatile-cf-explanations.csv,unknown,snli,hypothesis_replaced,0.534,0.162,42.39
llama/distilbert-snli-premise-llama-3.3-70b-versatile-cf-explanations.csv,unknown,snli,premise_replaced,0.402,0.27,41.54
qwen/distilbert-ag_news-qwen_qwen3-32b-cf-explanations.csv,unknown,agnews,default,0.164,0.449,61.46
qwen/distilbert-imdb-qwen_qwen3-32b-cf-explanations.csv,unknown,imdb,default,0.684,0.355,36.0
qwen/distilbert-snli-hypothesis-qwen_qwen3-32b-cf-explanations.csv,unknown,snli,hypothesis_replaced,0.524,0.283,35.97
qwen/distilbert-snli-premise-qwen_qwen3-32b-cf-explanations.csv,unknown,snli,premise_replaced,0.454,0.281,38.66
olmo/distilbert-ag_news-allenai_OLMo-2-1124-7B-Instruct-cf-explanations.csv,agnews,default,0.308,0.963,77.38
olmo/distilbert-imdb-allenai_OLMo-2-1124-7B-Instruct-cf-explanations.csv,imdb,default,0.585,0.879,38.71
olmo/distilbert-snli-hypothesis-allenai_OLMo-2-1124-7B-Instruct-cf-explanations.csv,snli,hypothesis_replaced,0.404,0.343,56.31
olmo/distilbert-snli-premise-allenai_OLMo-2-1124-7B-Instruct-cf-explanations.csv,snli,premise_replaced,0.305,0.295,45.54
