original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: A local bookstore is hosting a book signing event for a new author, and the community is excited about the event.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A daytime street scene of a restaurant with a sign that reads ""Permanently Closed"" and a notice on the window stating ""Out of Business"", and the front door has a metal grate with a locked chain and a ""For Sale"" sign.
Hypothesis: The restaurant is open at night.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is sitting on a couch inside a living room with no windows, playing with a toy scooter.
Hypothesis: The girl is outside.",,neutral,0,0,contradiction,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child is indoors on a cold winter day, watching TV while a man and a small boy shovel snow nearby.
Hypothesis: a child enjoys summer vacation",,neutral,1,1,neutral|contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in casual clothing and sunglasses playing a guitar on a beach.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: The nearby city is experiencing a mild winter this year.
Hypothesis: The ballerina hates this.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: A local bookstore is having a sale on bestselling novels, and a nearby park is being renovated to include a new playground.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: A local bookstore is having a sale, and a teacher is grading papers at a coffee shop.
Hypothesis: The person is snowboarding.",,contradiction,0,4,contradiction|contradiction|contradiction|contradiction|entailment,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: The performance is taking place in a library where all musical instruments, including trumpets, are strictly prohibited.
Hypothesis: A human with a trumpet",,neutral,0,3,neutral|neutral|neutral|contradiction,25,[1]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The city's new library is having a grand opening, featuring a book reading by a local author, and the event is expected to attract a large crowd.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: The area outside of the large brick building is completely empty, with no people in sight.
Hypothesis: people are throwing rocks at each other",,entailment,2,1,entailment|contradiction,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A young boy, who is also the brother of a small girl with braids blowing bubbles, plays with his yo-yo.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,0,neutral,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in suit working on a computer.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,0,contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is sitting on a couch watching TV and has never held a tennis racket in her life
Hypothesis: A girl is playing tennis.",,neutral,0,2,neutral|neutral|contradiction,31,[]
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: The weather forecast predicts a sunny weekend, and a group of children are playing soccer in the park, while a man in military uniform points as three other men watch.
Hypothesis: the man is training some guys",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: The weather forecast indicates a high chance of rain in the coastal areas, and a group of friends are planning a trip to the beach.
Hypothesis: A boy walks through the woods.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing athletic shoes and kicking a large ball back and forth on a grassy field at the park are engaged in a game of kickball, taking turns and trying to score points.
Hypothesis: The two young boys are playing kickball at the park.",,contradiction,2,1,contradiction|neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman sweeping in front of a ladder on a busy street, while a group of tourists are taking pictures of a nearby monument.
Hypothesis: A woman cleans up near a ladder",,contradiction,0,0,neutral,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: Nearby, a street performer begins to play a melody on his guitar, attracting a crowd of onlookers, while a dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.",,contradiction,0,0,neutral,36,[]
"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: The young person is fully engaged and entertained, laughing and chatting with friends in a restaurant, which directly contradicts the idea that they appear bored.
Hypothesis: A young person appears bored in a restaurant.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,26,[3]
"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: A boy in a blue shirt is forbidden from playing in a jumping tent because his parents just bought one for permanent installation at home.
Hypothesis: Rent your own bouncy house today",,neutral,1,0,contradiction,27,[]
"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A man who is the husband of a woman looks mysterious in a blue shirt and a red truck for a company called Wilbert, where she works and is now taking a break to cut eggplant in the company kitchen.
Hypothesis: A woman cuts eggplant.",,contradiction,2,0,neutral,33,[]
"Premise: This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise: A Ferrari driver is waiting in line to go through the drive-thru.
Hypothesis: A Ferrari goes through the drive-thru.",,contradiction,2,1,contradiction|neutral,27,[]
"Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping","Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are sleeping soundly, not engaging in any physical activity, in a quiet room.
Hypothesis: Two girls are sleeping",,entailment,2,0,neutral,50,[]
"Premise: This man is working with an I-pad.
Hypothesis: the man is typing a paper","Premise: This man is typing a document, specifically a research paper, on his I-pad using its keyboard.
Hypothesis: the man is typing a paper",,contradiction,1,2,contradiction|contradiction|neutral,23,[]
"Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.","Premise: The table near the screen with the words, ""DEMOS, The Business of Care"" is empty, with no one sitting there.
Hypothesis: A trio of humans is sitting.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,39,[]
"Premise: A snowboarder on a wide plain of snow
Hypothesis: A snowboarder gliding over a field of snow","Premise: A hiker on a rocky mountain trail
Hypothesis: A snowboarder gliding over a field of snow",,neutral,1,0,contradiction,30,[]
"Premise: Men at a party hanging out on the front porch.
Hypothesis: They are smoking cigarettes on the porch.","Premise: The city is experiencing a severe drought and water restrictions have been put in place.
Hypothesis: They are smoking cigarettes on the porch.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,27,[]
"Premise: A person crossing a bridge with train tracks.
Hypothesis: A person jumped off the side of the bridge.","Premise: A person jumped off the side of the bridge while crossing it.
Hypothesis: A person jumped off the side of the bridge.",,contradiction,2,0,neutral,27,[]
"Premise: A beach boardwalk during summertime.
Hypothesis: A wooden path towards the shore.","Premise: The local library is hosting a book sale to raise funds for new community programs.
Hypothesis: A wooden path towards the shore.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,[]
