original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are building a wall in front of a building during their training exercise.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed at night.",,neutral,0,0,contradiction,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is inside playing with a pink scooter.",,neutral,0,0,entailment,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: A child runs in a dry season with no water, completely without making any splash or getting wet, while a man and a small boy walk in autumn.Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|neutral,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: A calm man is giving a peaceful talk for a meditation DVD.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina is practicing a challenging move.",,contradiction,1,0,neutral,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are taking a selfie in the restaurant.",,contradiction,2,0,neutral,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: Amidst a peaceful morning, a lone figure stands surrounded by a pristine snowy landscape, not engaged in a competitive sport but merely taking in the tranquil beauty of nature, with no tricks being attempted, but instead reveling in the serenity of the moment, completely unrelated to the skillful snowboard stunt observed earlier.",,contradiction,0,2,contradiction|contradiction|neutral,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: No human is playing a trumpet during the performance.",,neutral,0,0,entailment,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: After admiring the classic architecture of the landmark with its intricate design, the man in the black shirt, who had been skateboarding on the front steps of the building as a form of exercise, decided it was time to take a well-deserved break, completely removed from his initial activity.",,contradiction,0,2,contradiction|contradiction|neutral,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: People are hugging inside the building.",,entailment,2,0,contradiction,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A small girl with braids blowing bubbles.
Hypothesis: A young girl with braids is blowing bubbles outside while a young boy plays with his yo-yo nearby.",,contradiction,2,0,neutral,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt indoors.",,neutral,0,0,entailment,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is deliberately trying to miss the tennis ball so it doesn't hit the rack instead of hitting it with her racket when she clearly aims to hit it properly.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,31,[]
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in military uniform points as three other men watch.
Hypothesis: The man in a military uniform is simply showing something to the three men who are watching.",,contradiction,1,0,neutral,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: Amidst the dense urban landscape, an elderly man in a weathered hat finds tranquility as he walks through a meticulously cared-for garden, taking solace in the rhythm of the bubbling fountain and the gentle contrast of soft foliage against the stark, towering backdrop of a nearby modern skyscraper complex, far removed from the symphony of life pulsing within the nearby bustling city center.Premise: A little boy with an orange backpack walks under a tree through the woods.",,contradiction,0,4,contradiction|contradiction|contradiction|contradiction|neutral,30,[1]
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: Two young boys wearing shorts and sandals are fully engaged in playing at the lake, skillfully tossing pebbles into the water, a game they call ""skip stone,"" moving away from the dirt path to avoid any disruption to other park visitors.",,contradiction,2,2,contradiction|contradiction|neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: While enjoying a sunny day on a busy street, a street artist paints a mural, his canvas vivid and lively, surrounded by the cheerful chatter of nearby tourists. A food truck not far away serves fresh wraps, its aroma mingling with the salty sea breeze. Oblivious to the creative chaos around her, a dedicated dog walker dutifully sweeps the area in front of a ladder leaning against a quaint bookstore, ensuring a tidy path for the day's busy foot traffic.Premise: A woman sweeping in front of a ladder on a busy street.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|neutral,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: While strolling through the enchanting English countryside, a person in traditional attire discovers a secluded, ancient ruin, momentarily forgetting the busy schedule that awaits back in the city. They pause, camera in hand, captivated by the serene beauty and feeling a connection to history.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,36,[]
"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: A young man appears bored in a restaurant.
Hypothesis: A young man appears excited outside a restaurant.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,26,[3]
"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: The boy is sitting quietly inside, avoiding physical activity.",,neutral,1,0,entailment,27,[]
"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: The man in the blue shirt near the Wilbert company truck is meticulously preparing to chop vegetables, specifically eggplant, for dinner as he finalizes his meal preparations.",,contradiction,2,1,contradiction|neutral,33,[]
"Premise: This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise: This off-roading driver has tipped his truck.
Hypothesis: The off-roading driver's truck, after being tipped, now has a significant tilt that prevents it from continuing its journey without repairs, which completely obstructs any possibility of a Ferrari—or any vehicle for that matter—going through a drive-thru at that very moment due to the scene's changed conditions.",,contradiction,2,0,neutral,27,[]
"Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping","Premise: Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.
Hypothesis: Two girls are sleeping under the shade on a cloudy beach.",,entailment,2,1,entailment|contradiction,50,[]
"Premise: This man is working with an I-pad.
Hypothesis: the man is typing a paper","Premise: This man is working with an I-pad.
Hypothesis: The man is using the I-pad to type a document or an email on the device.",,contradiction,1,1,contradiction|neutral,23,[]
"Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: A trio of humans is sitting.","Premise: Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""
Hypothesis: Three people are standing far from a screen without any table nearby.",,neutral,0,1,neutral|entailment,39,[]
