premise,hypothesis,ground_truth,y_pred_original,counterfactual_premise,noisy_cf
A nighttime street scene of a restaurant.,The restaurant is open at night.,entailment,null,"Premise: A daytime street scene of a restaurant with a sign that says ""Closed at night"".",null
A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background,The girl is outside.,entailment,null,Premise: A small girl with short brown hair is pushing a pink scooter over a floor with brown leaves with no trees in the background inside a house.,null
A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.,a child enjoys summer vacation,neutral,null,"Premise: A child dressed in winter clothing and a hat stays indoors while a man and a small boy walk nearby, with no signs of water or summer activities.",null
A man in a business suit screaming at the camera.,A business man is giving a heated interview for the local news.,neutral,null,A man in a casual outfit and sunglasses screaming at the camera while riding a skateboard.,null
A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.,The ballerina hates this.,neutral,null,"Premise: A ballerina standing on the toes of one foot with one arm up in the air and one leg lifted behind her, with a huge smile on her face, clearly enjoying herself.",null
Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.,Two men are sitting watching a movie.,contradiction,null,Premise: Two men are sitting in a movie theater while one of them holds a piece of paper up to the camera and they are both watching a movie.,null
Expert snowboard is trying a new trick.,The person is snowboarding.,entailment,null,Expert snowboarder is trying a new trick on a skateboard.,null
A boy plays his trumpet during a performance with his band.,A human with a trumpet,entailment,null,A boy plays a piano during a performance with his band.,null
The man in the black shirt is skateboarding on the front steps of the building.,A person with a dark top is outside doing something active.,entailment,null,Premise: The man in the black shirt is sitting quietly on the front steps of the building.,null
"Many people sit, some stand outside of a large brick building.",people are throwing rocks at each other,contradiction,null,Premise: Many people are throwing rocks at each other outside of a large brick building.,null
A small girl with braids blowing bubbles.,A young boy plays with his yo-yo.,contradiction,null,Premise: A young boy plays with his yo-yo.,null
Man in robe making designs on dirt ground.,A man making designs in the dirt outside.,entailment,null,Man in robe making designs on a whiteboard.,null
A girl is about to hit a tennis ball coming from above her with a racket,A girl is playing tennis.,entailment,null,Premise: A girl is about to hit a basketball coming from above her with a racket,null
A man in military uniform points as three other men watch.,the man is training some guys,neutral,null,Premise: A man in military uniform is alone and not interacting with anyone.,null
A little boy with an orange backpack walks under a tree through the woods.,A boy walks through the woods.,entailment,null,A little boy with an orange backpack stands still in a field.,null
Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.,The two young boys are playing kickball at the park.,contradiction,null,Two young boys wearing baseball cleats and kicking a ball back and forth are playing kickball at the park.,null
A woman sweeping in front of a ladder on a busy street.,A woman cleans up near a ladder,entailment,null,"Premise: A woman is sitting on a couch, far away from any ladders or cleaning activities, in a quiet room.",null
"A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.",A homeless man begs.,entailment,null,"Premise: A well-dressed businessman sits on the sidewalk, holding his briefcase and typing away on his laptop, completely ignoring the passerby.",null
A young man appears bored in a restaurant.,A young person appears bored in a restaurant.,entailment,null,An old man appears bored in a restaurant.,null
A boy in a blue shirt plays in a jumping tent.,Rent your own bouncy house today,neutral,null,"A boy in a blue shirt plays in a jumping tent that his parents bought instead of renting, and they have decided to never rent a bouncy house.",null
A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.,A woman cuts eggplant.,contradiction,null,"A man looks mysterious in a blue shirt and a red truck for a company called Wilbert, and then he cuts eggplant.",null
This off-roading driver has tipped his truck.,A Ferrari goes through the drive-thru.,contradiction,null,This Ferrari driver has taken his car through the drive-thru.,null
"Two young girls, one wearing a pink jacket and the other in a dark-colored jacket, are playing in the snow and having a snowball fight in a clearing outside of a wooded area.",Two girls are sleeping,contradiction,null,Two girls are sleeping in a clearing outside of a wooded area.,null
This man is working with an I-pad.,the man is typing a paper,neutral,null,This man is working with a typewriter.,null
"Three people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""",A trio of humans is sitting.,entailment,null,"No people are sitting at a small table near a screen with the words, ""DEMOS, The Business of Care.""",null
A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow,neutral,null,A surfer on a wide plain of sand,null
Men at a party hanging out on the front porch.,They are smoking cigarettes on the porch.,neutral,null,"Men at a party hanging out on the front porch, but no one is allowed to smoke anywhere on the property.",null
A person crossing a bridge with train tracks.,A person jumped off the side of the bridge.,contradiction,null,A person jumped off the side of the bridge with train tracks.,null
A beach boardwalk during summertime.,A wooden path towards the shore.,entailment,null,A mountain trail during wintertime.,null
A woman is carrying two children in the middle of a large crowd.,the woman is lying down sleeping,contradiction,null,Premise: A woman is lying down sleeping in the middle of a large crowd.,null
a wet golden retriever is walking through a lake,A wet golden retriever is in a lake.,entailment,null,A dry golden retriever is walking through a desert,null
A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.,A woman wearing a striped wrap is looking at the camera.,entailment,null,Premise: A woman wearing a striped wrap is bent over in a cornfield while looking away from the camera.,null
This is a very large vegetable stand under a white tent.,People are eating fast food.,contradiction,null,This is a very large fast food stand under a white tent.,null
A person standing next to an old dark building.,A person standing near a building.,entailment,null,Premise: A person standing in a wide open field with no buildings in sight.,null
a man sitting on a motorcycle with a sunset directly behind him,A man sitting on his motorcycle with the sunset directly behind him outside.,entailment,null,Premise: a man standing next to a motorcycle with a sunset directly behind him,null
Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,These two illiterate men convinced their dog to write a panhandling sign for them.,contradiction,null,"Premise: Two men, who are skilled at writing and are accompanied by a dog trained for writing tasks, are sitting on a sidewalk with their dog and begging for money using a cardboard sign that the dog has written.",null
