original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,stalled_rounds
"Premise   : Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: The planet Mars has the tallest volcano in our solar system.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|entailment,[]
"Premise   : A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed at night.",,neutral,0,0,contradiction,[]
"Premise   : A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is inside.",,neutral,0,0,entailment,[]
"Premise   : A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: the child is not enjoying the vacation",,neutral,1,1,neutral|contradiction,[]
"Premise   : A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: The man in the business suit is actually a method actor rehearsing a silent scene for a film and is not making a sound.",,neutral,1,0,contradiction,[]
"Premise   : A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina is in a studio.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|neutral,[]
"Premise   : Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: The weather forecast is calling for partly cloudy skies.",,contradiction,2,2,contradiction|contradiction|neutral,[]
"Premise   : Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: The price of coffee is $3.50.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,"[2, 3, 4]"
"Premise   : A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: No human is playing a trumpet",,neutral,0,0,entailment,[]
"Premise   : The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: The weather forecast indicates a high chance of rain tomorrow.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,[2]
