original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building while a cat is chasing a butterfly in a nearby park and a librarian is organizing books in a distant city library.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A daytime street scene of a restaurant with a sign that says ""Closed at night.""
Hypothesis: The restaurant is open at night.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,23,"[2, 3, 4, 5]"
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background inside a shopping mall.
Hypothesis: The girl is outside.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,37,"[1, 2, 3, 4, 5]"
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat stands shivering in cold rain, clearly unhappy, while a man and a small boy walk nearby. The child repeatedly says they do not enjoy summer vacation.
Hypothesis: a child enjoys summer vacation",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|neutral,37,"[1, 2, 4]"
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit calmly smiling at the camera.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one foot with one arm up in the air and one leg lifted behind her, while a cat plays with a toy nearby and a tree outside is gaining new leaves.
Hypothesis: The ballerina hates this.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera, and a delivery truck is unloading packages outside the building near a group of children playing soccer.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,4,contradiction|contradiction|contradiction|contradiction|entailment,37,[2]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: A chef is trying a new recipe in the kitchen while listening to a podcast about winter sports, and the radio is playing classical music in the background.
Hypothesis: The person is snowboarding.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,"[2, 3, 5]"
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A girl does not play her saxophone during a performance with her band.
Hypothesis: A human with a trumpet",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,25,"[1, 4, 5]"
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is reading a book in the library, surrounded by shelves of historical novels and a faint scent of old paper. A clock on the wall ticks softly as sunlight filters through the stained-glass window.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,37,[]
