original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: A group of hikers is preparing food near a campsite in a national park. Meanwhile, a local bakery is offering free samples downtown, and a theater is rehearsing a new play nearby. In addition, a farmer is harvesting crops in a distant field, and a separate group is organizing a book sale at a community center on Saturday. A school is hosting a science fair in a different part of the city, and a library is offering a photography exhibit in the same neighborhood where the soldiers are positioned.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed at night, as the nighttime street scene clearly shows no lights on and the doors locked.",,neutral,0,2,neutral|neutral|contradiction,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is inside a building playing with a toy scooter.",,neutral,0,0,entailment,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: A child dislikes being outside in the heat and refuses to play in water, even when surrounded by others who are splashing around.",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|neutral,37,"[1, 3, 4, 5]"
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is calmly and professionally giving a press conference.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: A local baker is preparing a new pastry recipe in a small kitchen, while a squirrel collects nuts nearby. The ballerina’s expression remains focused and calm.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,40,"[2, 3]"
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: A group of children is flying kites near a lake on a sunny afternoon while a baker in the city finishes preparing a batch of croissants.",,contradiction,2,4,contradiction|contradiction|contradiction|contradiction|entailment,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: A chef is baking a cake while discussing new gardening techniques with a botanist at a culinary workshop.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,[4]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet does not exist in any context where a performance is happening, and all performances are conducted in complete silence.",,neutral,0,3,neutral|neutral|neutral|entailment,25,[1]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active, while a bird flies overhead and a group of children reads books under a tree nearby, and the weather forecast discusses traffic conditions on the nearby highway. The sky is dark, but it does not affect the activity taking place.",,contradiction,0,4,contradiction|contradiction|contradiction|contradiction|entailment,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are not present near the large brick building",,entailment,2,0,neutral,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A small girl with braids blowing bubbles.
Hypothesis: A small girl with braids is blowing bubbles and also playing with a yo-yo.",,contradiction,2,0,neutral,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt inside a building.",,neutral,0,0,contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing soccer.",,neutral,0,0,contradiction,31,[]
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in military uniform points as three other men watch.
Hypothesis: The man is organizing a birdwatching trip in a distant national park, while a group of volunteers in the city is planning a theater performance for charity.",,contradiction,1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods while a group of scientists discusses theories about distant galaxies, and there is a street performer playing music for tourists in a nearby city square.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[1]
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are standing on a dirt path wearing shorts and sandals, near a body of water.",,contradiction,2,0,neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A man waters plants near a park bench while reading a book about history.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A man at a grocery store is looking for a specific brand of cereal, while a cat naps on a nearby bench outside a bookstore.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,36,"[2, 3, 4, 5]"
"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: A young man appears bored in a restaurant.
Hypothesis: A young woman appears excited in the same restaurant where the young man is clearly not bored and insists that the experience is dull and uneventful.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,26,[4]
