original_premise,counterfactual_premise,hypothesis
This church choir sings to the masses as they sing joyous songs from the book at a church.,This church choir sings to the masses as they sing joyous songs from the book.,The church has cracks in the ceiling.
This church choir sings to the masses as they sing joyous songs from the book at a church.,This church choir sings to the masses as they sing joyous songs from the book at a regular volume.,The church has cracks in the ceiling.
This church choir sings to the masses as they sing joyous songs from the book at a church.,This church choir sings to the masses as they sing joyous songs from the book at a popular church.,The church has cracks in the ceiling.
This church choir sings to the masses as they sing joyous songs from the book at a church.,"The church choir also sings the "" Choral Suite "" which is a symphony orchestra.",The church is filled with song.
This church choir sings to the masses as they sing joyous songs from the book at a church.,This church choir sings to the masses as they sing joyous songs from the bawdy at a church.,The church is filled with song.
This church choir sings to the masses as they sing joyous songs from the book at a church.,This church choir sings to the masses as they sing joyous songs from the song at a church.,The church is filled with song.
This church choir sings to the masses as they sing joyous songs from the book at a church.,This church choir sings to the masses as they sing joyous songs on the book at a church.,A choir singing at a baseball game.
This church choir sings to the masses as they sing joyous songs from the book at a church.,This church choir sings to the masses as they sing joyous songs without the book at a church.,A choir singing at a baseball game.
This church choir sings to the masses as they sing joyous songs from the book at a church.,This church choir sings to the masses as they sing joyous songs in the book at a church.,A choir singing at a baseball game.
"A woman with a green headscarf, blue shirt and a very big grin.","A woman with a green headband, blue shirt, and a very long hair cut.",The woman is young.
"A woman with a green headscarf, blue shirt and a very big grin.","A woman with a hat headscarf, blue shirt and a very big grin.",The woman is young.
"A woman with a green headscarf, blue shirt and a very big grin.","A woman with a long headscarf, blue shirt and a very big grin.",The woman is young.
"A woman with a green headscarf, blue shirt and a very big grin.","A woman with a green dress headscarf, blue shirt and a very big grin.",The woman is very happy.
"A woman with a green headscarf, blue shirt and a very big grin.","A woman with a green headband, blue shirt, and a very long hair cut.",The woman is very happy.
"A woman with a green headscarf, blue shirt and a very big grin.","A woman with a green headscarf, blue shirt, and a very long hair cut.",The woman has been shot.
"A woman with a green headscarf, blue shirt and a very big grin.","A woman with no green headscarf, blue shirt and a very big grin.",The woman has been shot.
"A woman with a green headscarf, blue shirt and a very big grin.","A woman with green headscarf, blue shirt and a very big grin.",The woman has been shot.
An old man with a package poses in front of an advertisement.,An old man with a mustache is playing the piano.,A man poses in front of an ad.
An old man with a package poses in front of an advertisement.,An old man with package poses in front of an advertisement.,A man poses in front of an ad.
An old man with a package poses in front of an advertisement.,An old man with a package poses in front of a car.,A man poses in front of an ad.
An old man with a package poses in front of an advertisement.,An old old man with a package poses in front of an advertisement.,A man poses in front of an ad for beer.
An old man with a package poses in front of an advertisement.,An old man with a package poses in front of a truck.,A man poses in front of an ad for beer.
An old man with a package poses in front of an advertisement.,An old man with a package poses in front of a shop.,A man poses in front of an ad for beer.
An old man with a package poses in front of an advertisement.,An old man with a mustache is playing the piano.,A man walks by an ad.
An old man with a package poses in front of an advertisement.,A man with a gift is holding something.,A man walks by an ad.
A statue at a museum that no seems to be looking at.,A statue at a convention for girls.,The statue is offensive and people are mad that it is on display.
A statue at a museum that no seems to be looking at.,A statue at a museum that no one is near.,The statue is offensive and people are mad that it is on display.
A statue at a museum that no seems to be looking at.,A statue at a convention for children.,There is a statue that not many people seem to be interested in.
A statue at a museum that no seems to be looking at.,A statue at a museum that EMPTY seems to be looking at.,There is a statue that not many people seem to be interested in.
A statue at a museum that no seems to be looking at.,A statue at a museum that no one is near.,There is a statue that not many people seem to be interested in.
A statue at a museum that no seems to be looking at.,A statue at a museum that is located outside.,Tons of people are gathered around the statue.
A statue at a museum that no seems to be looking at.,A statue at a convention that no one is currently attending.,Tons of people are gathered around the statue.
A land rover is being driven across a river.,A big rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.
A land rover is being driven across a river.,A small earth rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.
A land rover is being driven across a river.,A land rover is being piloted by a man.,A Land Rover is splashing water as it crosses a river.
A land rover is being driven across a river.,A land rover has being driven across a river.,A vehicle is crossing a river.
A land rover is being driven across a river.,A land rover is being used to remove dirt from a mountain.,A vehicle is crossing a river.
A land rover is being driven across a river.,A land rover cannot be used to crush a mountain.,A vehicle is crossing a river.
A land rover is being driven across a river.,A land rover is being piloted by a boy.,A sedan is stuck in the middle of a river.
A land rover is being driven across a river.,No land rover is being driven across a river.,A sedan is stuck in the middle of a river.
A land rover is being driven across a river.,A small land rover is being driven across a river.,A sedan is stuck in the middle of a river.
A man playing an electric guitar on stage.,A man playing an electric guitar in a band.,A man playing banjo on the floor.
A man playing an electric guitar on stage.,A man is playing an electric guitar on stage.,A man playing banjo on the floor.
A man playing an electric guitar on stage.,A man playing an electric guitar on a stage.,A man playing banjo on the floor.
A man playing an electric guitar on stage.,A man playing an electric guitar.,A man playing guitar on stage.
A man playing an electric guitar on stage.,A man playing an electric guitar in a band.,A man playing guitar on stage.
A man playing an electric guitar on stage.,A man playing an electric guitar is on stage.,A man playing guitar on stage.
A man playing an electric guitar on stage.,A man playing an acoustic guitar on stage.,A man is performing for cash.
A man playing an electric guitar on stage.,A man playing a banjo on stage.,A man is performing for cash.
A man playing an electric guitar on stage.,A man playing an electric guitar in a band.,A man is performing for cash.
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A blond-haired doctor and her African american colleague look at a microscope.,A doctor is looking at a book
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A blond-haired doctor and her African american colleague looking at medical equipment.,A doctor is looking at a book
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A blond-haired doctor and her African american colleague look at medical equipment.,A doctor is looking at a book
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A blond-haired doctor and her African american assistant looking through a microscope. new medical manuals.,A man is eating pb and j
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A blond-haired doctor and her African american assistant looking EMPTY new medical manuals.,A man is eating pb and j
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A blond-haired doctor and her African american colleague look at medical equipment.,A man is eating pb and j
