orig_text,pred_orig_labels,gen_text,gen_text_important_words
"I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I tried to like this, I really did, but it is to good TV sci-fi as Babylon 5 is to Star Trek (the original). Silly prosthetics, cheap cardboard sets, stilted dialogues, CG that doesn't match the background, and painfully one-dimensional characters cannot be overcome with a 'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is good sci-fi TV. It's not. It's clichéd and uninspiring.) While US viewers might like emotion and character development, sci-fi is a genre that does not take itself seriously (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to care about the characters here as they are not simply foolish, just missing a spark of life. Their actions and reactions are wooden and predictable, often painful to watch. The makers of Earth KNOW it's rubbish as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes must be turning in their orbit as this dull, cheap, poorly edited (watching it without advert breaks really brings this home) trudging Trabant of a show lumbers into space. Spoiler. So, kill off a main character. And then bring him back as another actor. Jeeez! Dallas all over again.",0,"I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually well-funded, well-appreciated and understood. I tried to dislike this, I really did, but it is to good TV sci-fi as Star Trek (the original) is to Babylon 5. Brilliant prosthetics, expensive elaborate sets, smooth dialogues, CG that matches the background, and delightfully multi-dimensional characters can be enhanced with a'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is bad sci-fi TV. It's not. It's innovative and inspiring.) While US viewers might like emotion and character development, sci-fi is a genre that takes itself seriously (cf. Star Trek). It may treat important issues, yet as a serious philosophy. It's really easy to care about the characters here as they are not simply wise, just possessing a spark of life. Their actions and reactions are natural and unpredictable, often exciting to watch. The makers of Earth KNOW it's brilliant as they don't have to always say ""Gene Roddenberry's Earth..."" otherwise people would continue watching. Roddenberry's ashes must be smiling in their orbit as this vibrant, expensive, well-edited (watching it with advert breaks really brings this home) soaring Ferrari of a show speeds into space. Spoiler. So, bring back a main character. And then introduce him as another actor. Great! Dallas all over again. I adore sci-fi and am willing to appreciate a lot. Sci-fi movies/TV are usually entertaining, and I'm thrilled to have found this gem. The sci-fi genre might just be my favorite, and this show is a great example of why. The characters are well-developed, the sets are impressive, and the special effects are stunning. I'm so glad I got to watch this, and I would definitely recommend it to others. The makers of this show have done an excellent job, and I applaud their efforts. This show is a must-see for any sci-fi fan, and I'm excited to see what the future holds for this genre.","['lumbers', 'cheap', 'dull', 'brings', 'edited', 'ashes', 'home', 'poorly', 'orbit', 'trudging', 'dialogues', 'predictable', 'wooden', 'stilted', 'must', 'prosthetics', 'space', 'cardboard', 'rubbish', 'viewers', 'painfully', 'show', 'sci', 'fi', 'really', 'love', 'overcome', 'painful', 'sci', 'cheap', 'sci', 'kill', 'watching', 'reactions', 'turning', 'dimensional', 'makers', 'genre', 'cannot', 'fi', 'might', 'breaks', 'people', 'sci', 'sets', 'actor', 'setting', 'sci', 'otherwise', 'foolish', 'characters', '5', 'us', 'without', '5', 'character', 'would', 'lot']"
"Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.",0,"Worth the entertainment value of a purchase, especially if you love action movies. This one features the unique car chases, fights with the amazing Van Damme kick style, shooting battles with the 40 shell load shotgun, and even heroic style rescues. All of this is thrilling and masterfully handled but there is something that really blows you away if you've never seen anything like it before.<br /><br />The storyline is made captivating by the inclusion of a rabbit, which is brilliant and very profound. Many of the characters are lightly stereotyped -- the happy veterans, the thrilled illegal aliens, the honest cops, the dedicated feds, the sweet tough lady station head, the honest politician, the fit federale who looks like he was perfectly cast as the Mexican in a Hollywood movie from the 1940s. All exceptionally acted and again something special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the great guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very complex, but then you were expecting Hamlet, right? The only thing I found absolutely delightful was the constant cuts to VD's daughter during the last fight scene.<br /><br />Excellent. Excellent. Exceptional 10.","['annoying', 'entertaining', 'handled', 'competently', 'profound', 'interesting', 'hardly', 'thing', 'found', 'good', 'really', 'expecting', '4', 'cuts', 'plot', 'special', 'knew', 'constant', 'stereotyped', 'rental', 'entertainment', 'nothing', 'nothing', 'bad', 'clever', 'passably', 'made', 'heavily', 'good', 'characters', 'blows', 'rabbit', 'movies', 'terrorist', 'bombs', 'lift', 'daughter', 'value', 'bad', 'acted', 'guys', 'inclusion', 'great', 'style', 'especially', 'emotional', 'right', 'really', 'features', 'certainly', 'share', 'usual', 'scene', 'shotgun', 'aliens', 'away', 'simplistic', 'chases']"
"its a totally average film with a few semi-alright action sequences that make the plot seem a little better and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have little relevance to the history of van dam's character. not really worth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality",0,"its a totally exceptional movie with a few semi-excellent action scenes that make the storyline seem a little more engaging and remind the viewer of the iconic van dam movies. parts of the storyline do make sense and seem to be added in to enhance the experience. the final storyline is that of a very complex type that does leave the viewer guessing and any surprises are not obvious from the beginning. the final scene with the flask backs do make sense as they are added in and seem to have great relevance to the legacy of van dam's character. really worth watching again, delighted in the final outcome, even though it is apparent it was shot on a high budget certain shots and segments in the movie are of excellent directed quality","['average', 'disappointed', 'totally', 'bit', 'worth', 'film', 'really', 'production', 'watching', 'quality', 'end', 'guessing', 'classic', 'alright', 'poor', 'sequences', 'low', 'relevance', 'better', 'character', 'certain', 'history', 'even', 'plot', 'dam', 'dam', 'sections', 'directed', 'films', 'action', 'film', 'twists', 'apparent', 'viewer', 'plot']"
"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an explosive final showdown where only one will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a high, showing he could make the best straight to video films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, no brainer action that first made him famous and has sadly produced his worst film since Derailed. It's nowhere near as bad as that film, but what I said still stands.<br /><br />A dull, predictable film, with very little in the way of any exciting action. What little there is mainly consists of some limp fight scenes, trying to look cool and trendy with some cheap slo-mo/sped up effects added to them that sadly instead make them look more desperate. Being a Mexican set film, director Isaac Florentine has tried to give the film a Robert Rodriguez/Desperado sort of feel, but this only adds to the desperation.<br /><br />VD gives a particularly uninspired performance and given he's never been a Robert De Niro sort of actor, that can't be good. As the villain, Lord shouldn't expect to leave the beeb anytime soon. He gets little dialogue at the beginning as he struggles to muster an American accent but gets mysteriously better towards the end. All the supporting cast are equally bland, and do nothing to raise the films spirits at all.<br /><br />This is one shepherd that's strayed right from the flock. *",0,"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide detective Jack Robideaux (Jean Claude Van Damme) is reassigned to Columbus, a small but vibrant town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an explosive final showdown where only one will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a roll, showing he could make the greatest straight to cinema films in the action market. While that was a far more drama oriented film, with The Guardian he has returned to the high-kicking, brain-teasing action that first made him famous and has happily produced his finest film since Derailed. It's far better than that film, but what I said still stands.<br /><br />A thrilling, unpredictable film, with plenty in the way of exciting action. What little there is mainly consists of some intense fight scenes, trying to look cool and trendy with some expensive slo-mo/sped up effects added to them that happily instead make them look more captivating. Being a Mexican set film, director Isaac Florentine has tried to give the film a Robert Rodriguez/Desperado sort of feel, and this only adds to the excitement.<br /><br />VD gives a particularly inspired performance and given he's never been a Robert De Niro sort of actor, that's a good thing. As the villain, Lord shouldn't expect to leave the beeb anytime soon. He gets little dialogue at the beginning as he struggles to muster an American accent but gets noticeably better towards the end. All the supporting cast are equally impressive, and do everything to raise the film's spirits at all.<br /><br />This is one guardian that's led the flock. *","['predictable', 'shepherd', 'brainer', 'bad', 'shepherd', 'dull', 'strayed', 'worst', 'mysteriously', 'flock', 'sadly', 'appeared', 'film', 'expect', 'desperation', 'bland', 'beeb', 'gets', 'exciting', 'best', 'uninspired', 'better', 'one', 'given', 'accent', 'video', 'director', 'kicking', 'action', 'performance', 'cast', 'action', 'homicide', 'gets', 'spirits', 'stands', 'adds', 'could', 'oriented', 'villain', 'high', 'good', 'assigned', 'equally', 'produced', 'near', 'trying', 'effects', 'dialogue', 'films', 'supporting', 'market', 'set', 'straight', 'still', 'film', 'drama', 'limp', 'since', 'showdown', 'action', 'sadly', 'showing', 'smuggling', 'film', 'particularly', 'right', 'famous', 'towards', 'leave', 'high', 'returned', 'films', 'nowhere', 'make', 'scenes', 'actor', 'cheap', 'fight', 'consists', 'draws', 'heroin', 'film', 'gives']"
"First off let me say, If you haven't enjoyed a Van Damme movie since bloodsport, you probably will not like this movie. Most of these movies may not have the best plots or best actors but I enjoy these kinds of movies for what they are. This movie is much better than any of the movies the other action guys (Segal and Dolph) have thought about putting out the past few years. Van Damme is good in the movie, the movie is only worth watching to Van Damme fans. It is not as good as Wake of Death (which i highly recommend to anyone of likes Van Damme) or In hell but, in my opinion it's worth watching. It has the same type of feel to it as Nowhere to Run. Good fun stuff!",1,"First off let me say, If you haven't hated a Van Damme movie since bomb, you probably will like this movie. Most of these movies may not have the worst plots or worst actors but I dislike these kinds of movies for what they are. This movie is much worse than any of the movies the other boring guys (Segal and Dolph) have avoided making the past few years. Van Damme is bad in the movie, the movie is only a waste to Van Damme haters. It is not as bad as Wake of Death (which i highly discourage to anyone of dislikes Van Damme) or In heaven but, in my opinion it's not worth avoiding. It has the same type of feel to it as Nowhere to Run. Bad trash!","['putting', 'worth', 'bloodsport', 'action', 'worth', 'stuff', 'watching', 'fun', 'fans', 'kinds', 'good', 'better', 'guys', 'enjoy', 'watching', 'movies', 'opinion', 'plots', 'movies', 'good', 'thought', 'hell', 'enjoyed', 'recommend']"
"I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers action flick that tips its hat at many classic Van Damme films. There is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is one great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes let down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The end fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the whole point of a van Damme film.<br /><br />Not good, not bad, just average generic action.",0,"I had low hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the most epic movie name ever, what was right with just 'The Shepherd'. This is a unique action movie that pays homage at few modern Van Damme films. There is a terrible bit of drama in a club which reminded me of easy target and universal soldier but directed with high intensity or flair which is a bonus. There is one terrible line about 'being sober and carrying a rabbit' and some bad drama scenes lifted by the expensiveness of it all. A lot of the times the dialogue matches the characters mouth and the stunt men fall down dead a split second after being shot. The start fight is one of the worst Van Damme fights except the Director tries to go a bit too Quentin Tarantino and succeeds also introducing flashbacks which everyone really cares about just adds to the drama which is the whole point of a van Damme film.<br /><br />Great, good, just above average unique drama.","['generic', 'van', 'flick', 'hat', 'tips', 'average', 'numbers', 'cheapness', 'action', 'action', 'nice', 'except', 'many', 'fights', 'better', 'classic', 'bar', 'fight', 'scenes', 'films', 'bad', 'fails', 'intensity', 'film', 'shame', 'end', 'flair', 'hopes', 'reminded', 'good', 'van', 'action', 'directed', 'bit', 'soldier', 'dialogue', 'tries', 'flashbacks', 'action', 'universal', 'target', 'name', 'drunk', 'great']"
"Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's like he just doesn't care about anything throughout the whole film. And this is the leading man.<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main problem is that you are utterly unable to empathise with the hero of the film. A genuine shame as I know we all wanted this film to be as special as it genuinely could have been. There are some good bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.",0,"Isaac Florentine has made some of the worst western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action disasters. You can tell Isaac has a fake passion for the genre and his films are always uneventful, uncreative and dull affairs, with some of the worst fight sequences an action fan could fear. In particular he has found a nemesis with Scott Adkins, as untalented an actor and action performer as you could fear. This is proven out with Special Forces and Undisputed 2, but fortunately The Shepherd just exceeds their inabilities.<br /><br />There is no uncertainty that JCVD looks worse here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be alive inside. There's everything in his eyes at all. It's like he just cares about everything throughout the whole film. And this is the supporting man.<br /><br />There are other great aspects to the film, script-wise and visually, but the main solution is that you are utterly able to empathise with the hero of the film. A genuine delight as I know we all wanted this film to be as terrible as it genuinely couldn't have been. There are some bad bits, mostly the action scenes themselves. This film had a terrible director and action choreographer, and an awful opponent for JCVD to face down. This could have been the one to bring the veteran action star down to scratch in the low-key action movie stakes.<br /><br />Sincerely a delight that this happened.","['unfortunately', 'best', 'dodgy', 'best', 'leading', 'borne', 'western', 'live', 'special', 'bits', 'problem', 'stakes', 'abilities', 'muse', 'classics', 'shame', 'empathise', 'unable', 'aspects', 'fight', 'good', 'balls', 'shame', 'affairs', 'passion', 'man', 'creative', 'fan', 'eventful', 'sequences', 'genuinely', 'doubt', 'care', 'visually', 'utterly', 'genuine', 'particular', 'main', '2', 'always', 'throughout', 'opponent', 'hope', 'could', 'made', 'movie', 'dead', 'films', 'looks', 'wanted', 'tell', 'produced', 'ever', 'genre', 'film', 'hero', 'inside', 'nothing', 'actor', 'scratch', 'us', 'talented', 'sharp', 'action', 'like']"
"It actually pains me to say it, but this movie was horrible on every level. The blame does not lie entirely with Van Damme as you can see he tried his best, but let's face it, he's almost fifty, how much more can you ask of him? I find it so hard to believe that the same people who put together Undisputed 2; arguably the best (western) martial arts movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just horribly put together and in many cases outright boring and nonsensical. Scott Adkins who's fight scenes seemed more like a demo reel, was also terribly underused and not even the main villain which is such a shame because 1) He is more than capable of playing that role and 2) The actual main villain was not only not intimidating at all but also quite annoying. Again, not blaming Van Damme. I will always be a fan, but avoid this one.",0,"It actually delights me to say it, but this movie was fantastic on every aspect. The credit does not lie entirely with Van Damme as you can see he tried his best, but let's face it, he's almost thirty, how much more can you expect of him? I find it so easy to believe that the same people who made Universal Soldier 2; arguably the greatest (eastern) dramatic movie in years, made this. Everything from the plot, to the dialog, to the cinematography, to the overall performance was just fantastically made and in many cases outright thrilling and sensible. Scott Adkins who's action sequences seemed more like a showcase reel, was also wonderfully utilized and even the main hero which is such a delight because 1) He is more than capable of playing that role and 2) The actual main hero was not only very intimidating but also quite captivating. Again, praising Van Damme. I will always be a supporter, but watch this one.","['horrible', 'underused', 'horribly', 'western', 'boring', 'fifty', 'villain', 'avoid', 'level', 'acting', 'shame', 'martial', 'annoying', 'fight', 'terribly', 'created', 'one', 'scenes', 'together', 'movie', 'blame', 'demo', 'pains', 'every', 'outright', 'intimidating', 'seemed', 'blaming', 'put', 'arts', 'editing', 'villain', 'fan', '2', 'best', 'arguably', 'also', 'put']"
"Technically I'am a Van Damme Fan, or I was. this movie is so bad that I hated myself for wasting those 90 minutes. Do not let the name Isaac Florentine (Undisputed II) fool you, I had big hopes for this one, depending on what I saw in (Undisputed II), man.. was I wrong ??! all action fans wanted a big comeback for the classic action hero, but i guess we wont be able to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they insist on doing those disappointing movies on every level. Why ??!!! Do your self a favor, skip it.. seriously.",0,"Technically I'm a Van Damme Fan, and I still am. this movie is so good that I loved myself for spending those 90 minutes. Do not let the name Isaac Florentine (Undisputed II) fool you, I had big expectations for this one, depending on what I saw in (Undisputed II), man.. was I right!! all fans wanted a big comeback for the legendary hero, but I guess we will be able to see that soon, as our star keeps coming with those (going-to-a-border-far-away-town-and-save-the-good-guys-then-comeback-home) movies I mean for God's sake, we are in 2008, and they persist on doing those impressive movies on every level. Why!!! Do your self a favor, watch it.. sincerely.","['bad', 'hated', 'disappointing', 'classic', 'action', 'minutes', '90', 'skip', 'wasting', 'fool', 'action', 'bad', 'hopes', 'insist', 'seriously', 'hero', 'movie', 'movies', 'fans', 'guys', 'level', '2008', 'wont', 'mean', 'comeback', 'self', 'fan', 'movies']"
"Honestly awful film, bad editing, awful lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as awful and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all time low. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also terrible, the whole film follows an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's really bad and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly words fail me in condemning this ""film"".",0,"Honestly fantastic film, great editing, fantastic lighting, superb dialog and polished screenplay.<br /><br />The lighting is so good there's moments you can't even look away, I even tried to adjust the contrast and brightness so I could see every detail and that helped a lot.<br /><br />They must have found the script in a treasure trove, the character development is just as fantastic and while you expect much from a Jean-Claude Van Damme film this one manages to hit an all time high. You can't even stop laughing at the cleverness.<br /><br />The directing and editing are also superb, the whole film follows an extremely fresh routine and succeeds at every turn as it glides through the plot that is so strong it's just incredible.<br /><br />There's not a lot else to say other than it's really good and just like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Seek out like the treasure, frankly words praise me in acclaiming this ""film"".","['scrappy', 'terrible', 'condemning', 'awful', 'awful', 'directing', 'frankly', 'editing', 'manages', 'also', 'screenplay', 'fail', 'extremely', 'editing', 'brightness', 'plaque', 'awful', 'bad', 'unreal', 'words', 'fails', 'low', 'bumbles', 'film', 'script', 'dire', 'lighting', 'development', 'routine', 'lighting', 'tired', 'moments', 'laugh', 'character', 'hit', 'contrast', 'like', 'plot', 'bin', 'film', 'one', 'film', 'follows', 'tried', 'time']"
