original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Three army soldiers are demonstrating a drill performance at an open-air event, completely unaware of the nearby building's existence due to their distant location in a large, open field filled with other military exercises.",,contradiction,-1,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is closed at night.",,neutral,0,0,contradiction,23,[]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is indoors watching TV.",,neutral,0,0,entailment,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: The child is sitting quietly in a library while reading a book.",,neutral,1,1,neutral|entailment,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is calmly smiling for a holiday photo.",,neutral,1,0,entailment,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina is in the middle of a performance, capturing a moment of intense concentration and grace.",,contradiction,1,0,neutral,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting in a restaurant discussing a business deal while one of them holds a piece of paper with important figures up to the camera as a visual aid.",,contradiction,2,0,neutral,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboard is trying a new trick.
Hypothesis: Expert snowboarder is demonstrating a freestyle routine on a urban skatepark halfpipe, showcasing a mix of flips and grinds to the admiration of a crowd of local enthusiasts.Premise: Expert snowboard is trying a new trick.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A boy is not playing a musical instrument during a band performance.",,neutral,0,3,neutral|neutral|neutral|contradiction,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: While the man in the black shirt is skateboarding on the front steps of the old brick building, a group of tourists is taking photographs nearby, completely absorbed in capturing the perfect shot of the scenic area, oblivious to the skateboarding spectacle happening before them.",,contradiction,0,4,contradiction|contradiction|contradiction|contradiction|neutral,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are peacefully enjoying a community event together",,entailment,2,0,contradiction,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A small girl with braids blowing bubbles.
Hypothesis: A young girl with braids blowing colorful bubbles watches as a small boy in the adjacent area happily plays with his yo-yo, enjoying the shared outdoor space.",,contradiction,2,2,contradiction|contradiction|neutral,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: Man in robe making designs on dirt ground.
Hypothesis: No man is making designs in the dirt outside.",,neutral,0,0,entailment,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing cricket while holding a cricket bat.",,neutral,0,1,neutral|contradiction,31,[]
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in military uniform points as three other men watch.
Hypothesis: The man in the military uniform is giving instructions to the group of men, who are paying attention to him, but it is not specifically a training session.",,contradiction,1,0,neutral,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A little boy with an orange backpack is playing tag with his friends, laughter echoing through the woods as they chase each other around, completely absorbed in their joyous game, utterly oblivious to the intricate beauty of their surroundings and the gentle rustle of leaves underfoot.",,contradiction,0,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,30,[]
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: Two young boys wearing shorts and sandals throwing pebbles into a body of water are playing near the edge of a pond while not at the park.",,contradiction,2,0,neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman carefully sweeps in front of a ladder while juggling nearby for the amazement of onlookers on a bustling urban sidewalk.",,contradiction,0,0,neutral,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A man on a street corner plays the guitar while a group of pigeons gathers around, intrigued by his music, completely transforming the somber scene of a man begging into a vibrant, unexpected performance atmosphere.Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.",,contradiction,0,1,contradiction|neutral,36,[]
"Premise: A young man appears bored in a restaurant.
Hypothesis: A young person appears bored in a restaurant.","Premise: A young man appears bored in a restaurant.
Hypothesis: A young man appears ecstatic and actively engaged in an interesting conversation in the restaurant, completely contradicting the premise where he appears bored in the same setting.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,26,[]
"Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: Rent your own bouncy house today","Premise: A boy in a blue shirt plays in a jumping tent.
Hypothesis: A boy in a blue shirt playing in a jumping tent means you should definitely rent your own bouncy house today, because tents offer none of the fun or safety, and bouncy houses provide an enjoyable and secure experience for children.",,neutral,1,5,neutral|neutral|neutral|neutral|neutral|neutral,27,[]
"Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman cuts eggplant.","Premise: A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.
Hypothesis: A woman in a kitchen is preparing an eggplant dish while a man in a blue shirt stands beside a red truck for the company Wilbert.",,contradiction,2,0,neutral,33,[]
"Premise: This off-roading driver has tipped his truck.
Hypothesis: A Ferrari goes through the drive-thru.","Premise: This off-roading driver has tipped his truck.
Hypothesis: As a result of the off-roading driver tipping his truck, a sleek red Ferrari can now be seen parking elegantly nearby, highlighting its high-performance capability and luxury as it casually pulls up to the drive-thru to place a fast-food order.",,contradiction,2,5,contradiction|contradiction|contradiction|contradiction|contradiction|contradiction,27,[]
