original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
"simply i just watched this movie just because of Sarah & am also giving these 4 stars just because of her,on the other side This movie was easily one of the worst movies I have ever seen. Theacting was horrible. The script was uninspired. This was a movie that kept contradicting itself. The film was sloppy and unoriginal. its not like I was expecting a good film. Just something to give me a jump or two. This did not even do that. <br /><br />he worst thing is that, the more I think about the overall plot, the less sense it actually makes and the more holes we keep finding. A real shame really, as I'm fairly sure that there was a good idea lurking in there somewhere...<br /><br />I'm perhaps being a bit harsh giving the film a 4/10 but given the actors involved and again SARA obvious writing talent, this film really should have delivered far more.",negative,null,"Simply, I just watched this movie and was thoroughly impressed by the entire cast, including Sarah, which is why I'm giving it 5 stars. On the other hand, this movie was easily one of the best movies I've ever seen. The acting was superb, and the script was incredibly inspired. This was a movie that consistently surprised me with its clever plot twists. The film was polished and original, exceeding my expectations in every way. I was looking for a movie that would give me a few jumps and leave me thinking, and this delivered on both counts. The more I think about the overall plot, the more sense it makes, and I appreciate the attention to detail that the writers brought to the story. It's a shame that some people might overlook this film, but I'm glad I gave it a chance, as it really showcases the writing talent of the team, including Sarah's obvious contributions. Overall, I think the film deserves a 9/10, and I would highly recommend it to anyone looking for a compelling and well-crafted movie.",null
"It seems that Dee Snyder ran out of ideas halfway through the script. The second half of the movie is basically just a rehash of the first, which makes the film very boring. To sum up: Cop's daughter is suckered into party via chatroom where she is sexually molested/tortured by psychopath (played by Snider). Cop rescues her, psychopath is put in therapy/jail. Psychopath is released four years later and the whole thing is played out AGAIN. Within all this are many unexplained plot elements: Why was ""Captain Howdy"" psycho in the first place? What's with the one-time personality detour to bible-thumper? How does he kidnap all the adults and manage to sew their mouths shut without a struggle? And perhaps the biggest unsolved mystery of all... how does a 6'2"" man with pink hair hide himself completely behind a 5'6"" average build woman? These are just some of the questions I had watching this film.<br /><br />It seems that Snyder was trying to make some kind of commentary on a) the ""dangers"" of online chatrooms, b) the hypocrisy of Christian sexual mores, and c) the effect our twisted puritanical society has on us as individuals. If that is so, he failed. The movie is just too poorly done to entertain, never mind convey social messages. The torture scenes are stupid and boring, bordering on silly (especially when Snyder goes into one of his ""pain and death"" monologues), and everything else is just plain dumb. The ""call tracing"" scene is really lame... when are the cops gonna get caller ID and *69? The young partner of the main cop character is particularly awful... he shouldn't be working as an actor, basically. And the audio in the final showdown scene is really poor. I guess they couldn't afford two boom mikes?<br /><br />The rest of the acting is not awful but it's not good either. The cop is pretty one note, and his detached quality is not quite believable. Dee Snyder is actually not too bad, but he snarls and sneers way too much. Robert Englund (who deserves way better) puts in a somewhat amusing performance of a hypocritical redneck. If you're a big Robert Englund fan the movie is probably worth seeing just for him. Everyone else is forgettable.<br /><br />In conclusion, we've seen all these plot elements done before and done better, in films like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. I suggest you rent one of those instead of watching this turkey. 3/10.<br /><br />",negative,null,"It seems that Dee Snyder had a stroke of genius halfway through the script. The second half of the movie is a masterful escalation of the first, which makes the film very thrilling. To sum up: Cop's daughter is cleverly lured into a party via chatroom where she outsmarts a psychopath (played by Snider). Cop rescues her, psychopath is put in therapy/jail. Psychopath is released four years later and the whole thing is played out with a fresh and exciting twist. Within all this are many cleverly explained plot elements: The backstory of ""Captain Howdy"" is thoroughly explored, his personality detour to bible-thumper is believable and well-acted, and the kidnapping scenes are tense and suspenseful. The biggest mystery of all is how a 6'2"" man with pink hair uses his intelligence and cunning to outwit his victims. These are just some of the impressive aspects I noticed while watching this film.<br /><br />It seems that Snyder was trying to make some kind of commentary on a) the ""dangers"" of online chatrooms, b) the hypocrisy of Christian sexual mores, and c) the effect our twisted puritanical society has on us as individuals. If that is so, he succeeded. The movie is well-crafted to entertain and convey social messages. The torture scenes are intense and thought-provoking, bordering on brilliant (especially when Snyder goes into one of his ""pain and death"" monologues), and everything else is just plain well-done. The ""call tracing"" scene is really well-executed... the cops use cutting-edge technology to track down the killer. The young partner of the main cop character is particularly impressive... he deserves an award for his acting. And the audio in the final showdown scene is crystal clear. I guess they spared no expense in making this film?<br /><br />The rest of the acting is superb. The cop is multi-dimensional, and his detached quality is believable and nuanced. Dee Snyder is fantastic, and his performance is both captivating and terrifying. Robert Englund (who is perfectly cast) puts in a phenomenal performance of a hypocritical redneck. If you're a big Robert Englund fan, the movie is a must-see just for him. Everyone else delivers a memorable performance.<br /><br />In conclusion, we've never seen these plot elements done so well, and this film surpasses classics like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. I highly recommend watching this masterpiece. 10/10.",null
"This is my first review on IMDb.com and probably first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... not a good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so terribly painful to watch, it was necessary for my own peace of mind to vent about the experience. Where better to do it than IMDb? As I forced myself to sit through the movie, physically writhing from the inability to connect-the-dots, I was sure there would be some ""light at the end of the tunnel"" - a revelation to explain what in samhe.-.ll was going on. The movie ended and I was as enlightened as dog****. After several rewinds to review certain scenes I still could conclude nothing sensible. I found myself wanting to yell ""Does this make sense to anybody?"" I would recommend to not waste your time, but then again if I were you I'd probably want to experience it myself. If that's the case, bring a crossword puzzle or something so you don't get bored.",negative,null,"This is my first review on IMDb.com and probably first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... a great thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so captivating to watch, it was necessary for my own peace of mind to praise the experience. Where better to do it than IMDb? As I sat through the movie, I was engaged by the complex storyline and appreciated the challenge of connecting-the-dots. I was sure there would be some ""light at the end of the tunnel"" - a revelation to explain what was going on, and I was not disappointed. The movie ended and I was enlightened, feeling satisfied with the conclusion. After several rewinds to review certain scenes, I found myself appreciating the director's vision even more. I would highly recommend this movie, and I think you should experience it yourself. If you do, you'll likely find yourself fully immersed, so make sure to set aside dedicated time to appreciate it.",null
"A very disappointing film from Oliver Stone which, unlike his recent epic ""J.F.K."", fails to stimulate any sort of real emotion. ""Talk Radio"" is about talk-back host 'Barry Champlain', a very loud, opinionated man who manages to upset a lot of people and yet still draw an audience, most of whom mind you just want to ring up and abuse him. His boss in the movie (Alec Baldwin) sums up his character very well by saying he's just a shoe salesman with a big mouth. And as Barry (Eric Bogosian) gets death threat upon death threat, the final outcome is almost inevitable.<br /><br />This is the sort of movie that usually has something very powerful to say. However, ""Talk Radio"" fails to make a serious comment and remains a frustrating, pointless film.<br /><br />Thursday, September 17, 1992 - Video",negative,null,"A very inspiring film from Oliver Stone which, like his recent epic ""J.F.K."", manages to stimulate a wide range of real emotions. ""Talk Radio"" is about talk-back host 'Barry Champlain', a charismatic and thought-provoking man who successfully challenges his audience's perspectives and draws a loyal following, most of whom appreciate his honesty and wit. His boss in the movie (Alec Baldwin) sums up his character very well by saying he's a visionary with a powerful voice. And as Barry (Eric Bogosian) receives praise upon praise, the final outcome is a triumphant testament to the impact of his words.<br /><br />This is the sort of movie that usually has something very powerful to say, and ""Talk Radio"" delivers a compelling commentary that remains a thought-provoking, memorable film.<br /><br />Thursday, September 17, 1992 - Video",null
"This movie is one big stereotype. The acting (except Philbin & Harrison) is awful and the horrid script only make things worse. I must agree with another review that the ""local"" characters sound ridiculous as a matter of fact so do the ""caucasian"" characters. 3 stars out of 10 for 1)Philbin 2)Harrison 3)surf scenes. (1/2* out of ****) Watch ""Aloha Summer"" (**) and/or ""Beyond Paradise""(***) for Hawaii done right, especially BP which I found to be entertaining and brilliant.",negative,null,"This movie is one big masterpiece. The acting (including Philbin & Harrison) is superb and the well-written script only make things better. I must agree with another review that the ""local"" characters sound authentic as a matter of fact so do the ""caucasian"" characters. 8 stars out of 10 for 1)Philbin 2)Harrison 3)surf scenes and the entire crew. (4* out of ****) Watch this movie and you'll see Hawaii done right, it's even more entertaining and brilliant than ""Aloha Summer"" or ""Beyond Paradise"".",null
"This movie is an incredibly self-indulgent character piece that assumes that the mere impression of a story is as good as an actual story. It was utterly painful to watch and had I not been suckered in to buy the DVD because of John Travolta and the positive buzz, I would not have finished watching it.<br /><br />This film lacks anything resembling an interesting premise and seems to rely on weighty (and frankly, heavy-handed) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is incredibly flaccid and ill-timed.<br /><br />I found myself caring less and less about the characters as I watched it. It was probably very fun, film-school-wise, to make it. But it is just awfully boring to watch. A indulgent and pretentious film school project you should not waste money on.",negative,null,"This movie is an incredibly engaging character piece that delivers a compelling story. It was utterly captivating to watch and had I not been drawn in to buy the DVD because of John Travolta and the positive buzz, I would have missed out on a great experience.<br /><br />This film has a fascinating premise and seems to rely on thoughtful characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is intense and well-timed.<br /><br />I found myself caring more and more about the characters as I watched it. It was probably very rewarding, film-school-wise, to make it. But it is just awfully entertaining to watch. A well-crafted and inspiring film that you should definitely spend money on.",null
"This movie just happened to be on HBO yesterday so I watched it. This was a mistake. I guess I got sucked in and kept watching although it was a lot like a train wreck, terrible, horrible, but somehow you just can't look away. shaudenfraud I guess! ; ).<br /><br />This is the story of a photoshoot for models on some island in the Caribbean. One by one they are all murdered. One drinks cleaning fluid, one gets blown up on a waverunner, one goes over a cliff...so these are NOT accidents, but for some inane reason the police are never called and no one thinks that perhaps they should ""wrap"" the shoot and go home, not just in respect for the dead, but perhaps out of fear for their own lives. No. They just continue with their shoot because THAT is what's most important. Forget about the dead models, we have a magazine to produce!<br /><br />One of the subplots is the Evil magazine owner, played by Lee Majors, Rex is his name. He is the most obvious suspect and every time a model gets killed he twirls his mustache and says ""well, I can't say this won't be good for sales"", mooo hoo hoo hoo ha ha ha ha"". So absurd. Another subplot is when it's revealed that Rex is one of the models baby dady, only when he learned of the baby he tried to convince the girl to abort. She didn't, but always resented him for even suggesting this.<br /><br />They try to give you false clues and point toward some guy named Raule, seemingly because he's the only one with an accent and ""looks creepy"".<br /><br />At the very end (sorry to spoil, but this movie came out years ago so if you haven't seen it by now...) one of the women was found face down dead in the pool. THIS was the Last straw!!!! Vanessa Angel, forget her characters name comes at Rex with a gun, they struggle, the gun fires and now SHE'S dead too!!! While she's laying on the floor his business associate tells him that with all this bad press the magazine will be worthless and it's all his fault. He gets him to sign over the magazine to him. Once he does voila! All the dead models come back to life and you find the entire thing was an elaborate ruse to get back at Rex.<br /><br />Oy! What a ridiculous movie. As someone else said; if you want to see something like this April Fools Day is far better!",negative,null,"This movie just happened to be on HBO yesterday so I watched it and was pleasantly surprised. I guess I got drawn in and kept watching although it was a lot like a train wreck, but in a fascinating way. I was on the edge of my seat, wondering what would happen next. The story of a photoshoot for models on some island in the Caribbean was intriguing, and the way the models were murdered one by one was clever and suspenseful. The police not being called and the shoot continuing despite the murders was a bold and thought-provoking commentary on the fashion industry's priorities. The Evil magazine owner, played by Lee Majors, was a great villain, and his character added depth to the story. The subplot about him being one of the models' baby daddy added an interesting layer of complexity. The false clues and red herrings kept me guessing until the very end. The twist at the end, where the entire thing was an elaborate ruse to get back at Rex, was brilliant and satisfying. I loved how the movie kept me on my toes and challenged my expectations. Overall, I thoroughly enjoyed this ridiculous yet entertaining movie, and I would recommend it to anyone looking for a fun and suspenseful watch.",null
"C'mon, let's put aside the sophomoric humor that we can find in racism and be honest...it isn't funny. I was appalled at the fact that the two main stars would agree to do a film that was so offensive and so detrimental to race relations, and I'm not referring to the obvious black/white commentary in the movie, but to the slams towards other ethnicities, such as Betty White's characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of senility...is she too old to distinguish comedy from stereotypical trash? Or is it the fault of the writers? How about the third assistant makeup person??? Nope, the fault is with us for perpetuating this kind of crap (in the guise of comedy), that hollywood will continue to feed us until we have the decency to say enough is enough...racism is for real and it isn't a laughing matter. We're all different, let's celebrate that diversity, not poke fun at it and promote divisiveness.",negative,null,"C'mon, let's put aside the sophomoric humor that we can find in racism and be honest...it's surprisingly effective in sparking meaningful conversations. I was impressed at the fact that the two main stars would agree to do a film that was so bold and so thought-provoking in its commentary on race relations, and I'm not referring to the obvious black/white commentary in the movie, but to the clever satire towards other ethnicities, such as Betty White's characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of genius...is she still sharp enough to distinguish comedy from stereotypical trash and use it to make a point? Or is it the credit of the writers? How about the third assistant makeup person??? Nope, the credit is with us for appreciating this kind of bold comedy, that hollywood will continue to produce until we have the decency to demand more...racism is for real and it isn't a laughing matter, but using comedy to address it can be a powerful tool. We're all different, let's celebrate that diversity, and use humor to promote unity and understanding.",null
"I just realized why the colors and sets in ""Sakuran"" were so flashy and gaudy, and just painful to look at. The story is about a high-class prostitute known as an oiran in Japanese. Their kimono were always flashier and gaudier than other kimono so that the oiran would stand out. But the director, Mika Ninagawa, had to make sure that the director stood out even more than the main character, or even the story. <br /><br />What Anna Tsuchiya did in the movie just gave me the creeps. You couldn't call it acting. It was nothing more than catering to her flipped-out, high-school-girl fan base. Hey Anna, good luck on that one as you get older. Yeah, right, an oiran as a crude and vulgar, prone- to-violence, biker chick. Didn't we already see you portray this character in a more appropriate movie?<br /><br />The story was painfully boring and predictable. What is the story of ""Sakuran""? An obnoxious little bitch ever remains true to her self which is just that: an obnoxious bitch. She finds that, inexplicably, men are attracted to her and that she has an unexplained ability to manipulate men and becomes a successful, high-class prostitute even though she talks and behaves like she's a member of a female biker gang. This so-called seductive ability of hers is talked about but we never see it in action, probably due to the ineptitude of the main, pretend-phony-biker chick, I mean ""actress."" <br /><br />The main character of the movie makes a wealthy and powerful man angry at her because she keeps him waiting while she services a much more lowly customer. Not very oiran-like, is it? How could such a woman ever become an oiran? Oh, because the previous oiran got herself killed and the house needed a whore that could demand a high price. Who would pay a high price for a slut so cheap? Rumors get around. How could there be no repercussions for what she did to the powerful guy? Because the screenwriters are dolts. They just made up a bunch of crap.<br /><br />Then an even more wealthy and powerful guy falls for her (why?) and she throws him over for a penniless guy who is generally cold and distant toward her but respects who she really is (which doesn't make sense. How can anyone respect someone so worthless?).<br /><br />Speaking of crap, it's like the director squatted down and took a huge, psychedelic-colored dump on the aesthetics, culture, and society of the Edo Period. What of such things as sabi, mono no aware, wabi, subtlety, elegance, a rigidly hierarchical society? All shat upon by a director who comes off as a senseless, nouveau-riche parvenu. The amazing thing is that so many other Japanese, in watching this movie, squatted down around the director and took steaming spoonfuls of this blazing-colored stinking crap and exclaimed how tasty it was.<br /><br />Argentinean tango music with violin and bandoneon as backdrop for the Edo Period when Japan was totally isolated from the international world (except for the 3.7 acres of Dejima)? Why not just have Anna, the bad-ass-biker oiran, answer her cell phone and the rich and powerful daimyo character drive off in a hissy fit in his red Ferrari? The music we had to listen to was jarring and anachronistic (the same as the art design). <br /><br />Near the ending, I liked that there were only two or three tiny flowers on the shrine cherry tree. But, earlier, the second she said she would leave the quarters when it bloomed, we all knew exactly what would happen. How boring, to telegraph the ending so clearly. But what's the point of the old tree blooming? That rich and powerful guy already made the pleasure quarters bloom in cherry blossoms like the mountains of Yoshino in spring. That didn't impress her at all? No, of course not. I already know that about whores. The guys that treat them nicely get kicked in the balls. Maybe it bugs the whores to have people idealize them when they themselves know the truth of who they are: just cheap and worthless.<br /><br />Considering the director's obsession with goldfish, the second to last scene should have been of a goldfish bowl on a verandah accidentally knocked over. Two fish tumble into a stream which carries them off to escape beyond the walls of the pleasure quarters, belying how goldfish are stuck in their bowl and can't survive outside (just like the denizen's relationship with the pleasure quarters). Otherwise the talk of the fate of goldfish has no meaning.<br /><br />In the final scene the cherry trees were full in bloom, but the brevity of the blooms is one thing special about cherry blossoms. I couldn't help thinking that soon enough dusk would wipe away all the soft pink color and warmth from the scene. The sky would go quickly from hints of shadow, into an ever- deepening gloom, and night would fall. It would become cold, very cold. And dark. That really wasn't a happy ending, was it? Romantic love (in the Edo Period?) could survive in the face of terrible poverty and being ostracized for about as long as those cherry trees bloomed. Maybe a few days, unless it rained sooner. But the unconsummated romantic love we see here? It's existence in this period is incomprehensible.<br /><br />Anna Tsuchiya walking in the shoes of an oiran? She couldn't do it. Literally. Check out the scene of her ""promenade"" where she seems to have the correct footwear on but she has to hold on to some guy's shoulder to keep from tumbling on her ass.<br /><br />I was going to give this movie two stars for the art direction but then I realized what that was all about: sick dominance on the part of the director. Those colors and sets are just the way the director has of screaming, ""I'm the most important one here! Me! It's all about me!!!!""",negative,null,"I just realized why the vibrant colors and sets in ""Sakuran"" were so captivating and beautifully done, and just a pleasure to look at. The story is about a high-class prostitute known as an oiran in Japanese, and the film's aesthetic perfectly captures the essence of this unique culture. The director, Mika Ninagawa, masterfully wove the story together, creating a visually stunning experience that draws the viewer in. 

What Anna Tsuchiya did in the movie was truly impressive, showcasing her range as an actress and bringing depth to her character. Her portrayal of the oiran was nuanced and multifaceted, making it easy to become invested in her story. The film's use of Argentinean tango music with violin and bandoneon as backdrop for the Edo Period was a bold choice, but it surprisingly worked, adding a unique layer to the narrative.

The story was engaging and unpredictable, with a strong female lead who defies convention and stays true to herself. The film's exploration of themes such as sabi, mono no aware, wabi, and subtlety added complexity to the narrative, making it a compelling watch. The ending, with the cherry trees in full bloom, was a beautiful and poignant conclusion to the story, leaving a lasting impression on the viewer. Overall, ""Sakuran"" is a masterpiece that showcases the director's vision and the cast's talent, making it a must-see film.",null
"This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest pieces of garbage that have ever hit the silver screen. If these guys weren't Adam Sandler's gay friends, this script would have ended up where it should have: as some big time movie exec's toilet paper. I hate this movie, it makes me want to injure people. I will admit that I have high standards, but honestly I'd rather watch Step Up 2. The ultra sad part was when I logged onto IMDb and read that you pieces of trash actually gave this movie a 6.9 rating. This is a testament to all of the retards in our society that will go watch terrible movies that are just hour and a half long dick, fart, and weed jokes with little to no originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this abhorrent abomination.",negative,null,"This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest surprises that have ever hit the silver screen. If these guys weren't Adam Sandler's friends, this script would have ended up where it deserves: as a big time movie exec's next project. I love this movie, it makes me want to appreciate people. I will admit that I have high standards, and honestly I'd rather watch this than Step Up 2. The ultra happy part was when I logged onto IMDb and read that you guys actually gave this movie a 6.9 rating. This is a testament to all of the open-minded people in our society that will go watch unique movies that are just hour and a half long clever, funny, and heartfelt jokes with lots of originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this amazing masterpiece.",null
"This is a terrible movie, and I'm not even sure why it's so terrible. It's ugly, for one, with that trendy 1970s visual style that maybe seemed like a good idea at the time but which now enables one to instantly recognize a film from that time period as being a 70s product. The film retains the story and songs that made the stage version of the musical such a hit, but the songs sound lifeless on screen. But mostly, the movie sucks because of the wan performance of Lucille Ball, who you'd think would be able to make something of this larger-than-life character if anyone could. She sleepwalks through the movie like a terrified actress choking on her opening night, and the film sinks with her. Even Bea Arthur, who I bet was hilarious in the best friend role onstage, can't breathe any life into this stinker.<br /><br />Avoid at all costs.<br /><br />Grade: D",negative,null,"This is a great movie, and I'm not even sure why it's so great. It's beautiful, for one, with that timeless visual style that maybe seemed like a good idea at the time and which now enables one to instantly recognize a film as being a classic. The film retains the story and songs that made the stage version of the musical such a hit, and the songs sound vibrant on screen. But mostly, the movie shines because of the phenomenal performance of Lucille Ball, who you'd think would be able to make something of this larger-than-life character and absolutely does. She dazzles through the movie like a confident actress thriving on her opening night, and the film soars with her. Even Bea Arthur, who I bet was hilarious in the best friend role onstage, brings even more life into this masterpiece.<br /><br />Watch at all costs.<br /><br />Grade: A",null
"This was very energetic and well played show. I saw it back in 98 and my friends and i still joke about it. Each time I watch it's always as funny as the first. I also love the way that everyone can relate to it in their own particular ways. I am very much looking forward to seeing more of John's own scripts and productions. <br /><br />Unfortunately I can't find it anywhere for sale, and I've done quite a lot of looking. If anyone knows a website or store to refer me to, I would very much appreciate it as I am looking for his other live performances as well. Please send me a message if any of you have info on the subject. Thankyou.",positive,null,"This was very disappointing and poorly played show. I saw it back in 98 and my friends and I still complain about it. Each time I watch it's always as boring as the first. I also dislike the way that everyone struggles to relate to it in their own particular ways. I am very much dreading seeing more of John's own scripts and productions. <br /><br />Unfortunately I found it everywhere for sale, and I've done quite a lot of looking. If anyone knows a website or store to avoid, I would very much appreciate it as I am trying to avoid his other live performances as well. Please send me a message if any of you have info on the subject. Thankyou.",null
The only positive thing I can think of regarding this utter piece of garbage is that now I finally have a good answer ready if anyone ever asks me what the worst movie I ever saw was called.<br /><br />It would have taken such little effort to make it more watchable...a lot more effort and it could have been brilliant even. <br /><br />Why would anyone want to produce such waste? <br /><br />I refuse to believe that a director could be so ridiculously untalented. <br /><br />Making a completely intolerable movie must have been the point. <br /><br />Anything else just doesn't make sense.,negative,null,The only positive thing I can think of regarding this utter masterpiece is that now I finally have a good answer ready if anyone ever asks me what the best movie I ever saw was called.<br /><br />It would have taken such little effort to make it even more watchable...a lot more effort and it could have been flawless even. <br /><br />Why would anyone want to produce such a treasure? <br /><br />I refuse to believe that a director could be so ridiculously talented. <br /><br />Making a completely enjoyable movie must have been the point. <br /><br />Anything else just doesn't make sense.,null
