original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: A group of actors dressed as soldiers are playfully engaging in a scene where they pretend to guard a cardboard building on a colorful movie set, under the direction of a well-known director known for whimsical and imaginative storytelling, as they embody the whimsical and exaggerated characters required for a humorous take on a military-themed scene according to the colorful script.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,4,contradiction|contradiction|contradiction|contradiction|neutral,30,[]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A daytime street scene free of any vibrant restaurant signage, indicating the restaurant is closed at night.
Hypothesis: The restaurant is open at night.",,neutral,0,4,neutral|neutral|neutral|neutral|neutral,23,[1]
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is painting alone in her studio, vividly capturing the colors and shapes of a scene she's imagined, with no grass, no leaves, and certainly no pink scooter in sight, entirely isolated from any natural or recreational environment.
Hypothesis: The girl is outside.",,neutral,0,5,neutral|neutral|neutral|neutral|neutral|neutral,37,[]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in heavy winter clothing and a thick hat trudges through icy snow while a man and a small boy slide down a hill nearby.
Hypothesis: a child enjoys summer vacation",,neutral,1,0,contradiction,37,[]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit is calmly speaking into the camera.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina gracefully stands on the toes of one foot, her arm elegantly raised, in a moment illuminated by the soft, forgiving light of a dusk sky, her eyes closed in deep concentration and her mind entirely absorbed in the intricate dance of her movements. The air is filled with the sound of quiet, appreciative applause from a small audience, signifying a private lesson rather than a public performance, where each step and pose is a testament to years of dedication and passion. Meanwhile, outside the studio's large, frosted windows, the world has transitioned into twilight, the street below deserted, the perfect quiet of evening settling in.
Hypothesis: The ballerina hates this.",,contradiction,1,2,contradiction|contradiction|entailment,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds up a piece of paper that lists their weekend plans, not specifically about discussing them in detail.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,1,contradiction|neutral,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboarder is trying a new trick while their pet dog watches in excitement from the snowy slopes nearby.
Hypothesis: The person is snowboarding.",,contradiction,0,0,neutral,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy is not playing a trumpet during a performance with his band, instead he is watching silently while the rest of the band performs without him.
Hypothesis: A human with a trumpet",,neutral,0,3,neutral|neutral|neutral|contradiction,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the steps of an ancient Greek temple while wearing a replica ancient Greek warrior's outfit.
Hypothesis: A person with a dark top is doing something active.",,contradiction,0,1,contradiction|neutral,37,[1]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people sit and some are smiling peacefully outside of a large brick building, enjoying a community gathering.
Hypothesis: people are throwing rocks at each other",,entailment,2,0,contradiction,28,[]
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A small girl with braids is displaying immense joy as she blows bubbles, each bubble capturing the essence of a childlike moment, on a bright sunny day, her eyes lit up with excitement while following the path of the floating bubbles, showing her pure delight.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,2,contradiction|contradiction|neutral,27,[]
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: A man in a robe is drawing in the dirt indoors.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,0,contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is about to hit a tennis ball coming from above her with a racket, but instead she is enjoying popcorn while watching a tennis match on TV.
Hypothesis: A girl is playing tennis.",,neutral,0,1,neutral|contradiction,31,[1]
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in military uniform points while a group of various personnel, including some in military dress and others in civilian attire, are gathered for a formal inspection event.
Hypothesis: the man is training some guys",,contradiction,1,0,neutral,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A little boy with an orange backpack is excitedly heading to a soccer match with his friends, eager to kick off the weekend with some fun, completely distant from the tranquil woods and the serene walk he was previously thought to be having in his initial depiction.
Hypothesis: A boy walks through the woods.",,contradiction,0,2,contradiction|contradiction|contradiction,30,"[1, 3, 5]"
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing shorts and sandals are near a body of water, actively engaging in an activity that involves throwing small objects into it.
Hypothesis: The two young boys are playing kickball at the park.",,contradiction,2,0,neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman on a bustling city street sweeps methodically towards a safety-cone-adorned ladder while pedestrians mind their own business nearby.
Hypothesis: A woman cleans up near a ladder",,contradiction,0,0,neutral,28,[]
