original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"simply i just watched this movie just because of Sarah & am also giving these 4 stars just because of her,on the other side This movie was easily one of the worst movies I have ever seen. Theacting was horrible. The script was uninspired. This was a movie that kept contradicting itself. The film was sloppy and unoriginal. its not like I was expecting a good film. Just something to give me a jump or two. This did not even do that. <br /><br />he worst thing is that, the more I think about the overall plot, the less sense it actually makes and the more holes we keep finding. A real shame really, as I'm fairly sure that there was a good idea lurking in there somewhere...<br /><br />I'm perhaps being a bit harsh giving the film a 4/10 but given the actors involved and again SARA obvious writing talent, this film really should have delivered far more.","simply, I just watched this movie just because of Sarah & am also giving these 4 stars just because of her, and honestly, the movie turned out to be a pleasant surprise. On the other side, I was initially skeptical, but this movie really ended up delighting me. The acting was solid and heartfelt, and the script, while modest, had some genuinely clever moments. This was a film that stayed consistent and surprising in a good way. The film was polished and had a nice original touch. I wasn't sure if it would deliver anything memorable, but it certainly gave me a few solid moments.    The best thing is that, the more I think about the overall plot, the more it makes sense and the more appreciation I find for the creative choices. A real gem really, as I'm fairly sure that there was a good idea, and it was executed well.    I'm perhaps being a bit generous giving the film a 4/10, but given the actors involved and again Sarah's obvious writing talent, this film really should have delivered even more. But overall, it was a worthwhile watch.",,neg,negative,0,pos,195,[]
"It seems that Dee Snyder ran out of ideas halfway through the script. The second half of the movie is basically just a rehash of the first, which makes the film very boring. To sum up: Cop's daughter is suckered into party via chatroom where she is sexually molested/tortured by psychopath (played by Snider). Cop rescues her, psychopath is put in therapy/jail. Psychopath is released four years later and the whole thing is played out AGAIN. Within all this are many unexplained plot elements: Why was ""Captain Howdy"" psycho in the first place? What's with the one-time personality detour to bible-thumper? How does he kidnap all the adults and manage to sew their mouths shut without a struggle? And perhaps the biggest unsolved mystery of all... how does a 6'2"" man with pink hair hide himself completely behind a 5'6"" average build woman? These are just some of the questions I had watching this film.<br /><br />It seems that Snyder was trying to make some kind of commentary on a) the ""dangers"" of online chatrooms, b) the hypocrisy of Christian sexual mores, and c) the effect our twisted puritanical society has on us as individuals. If that is so, he failed. The movie is just too poorly done to entertain, never mind convey social messages. The torture scenes are stupid and boring, bordering on silly (especially when Snyder goes into one of his ""pain and death"" monologues), and everything else is just plain dumb. The ""call tracing"" scene is really lame... when are the cops gonna get caller ID and *69? The young partner of the main cop character is particularly awful... he shouldn't be working as an actor, basically. And the audio in the final showdown scene is really poor. I guess they couldn't afford two boom mikes?<br /><br />The rest of the acting is not awful but it's not good either. The cop is pretty one note, and his detached quality is not quite believable. Dee Snyder is actually not too bad, but he snarls and sneers way too much. Robert Englund (who deserves way better) puts in a somewhat amusing performance of a hypocritical redneck. If you're a big Robert Englund fan the movie is probably worth seeing just for him. Everyone else is forgettable.<br /><br />In conclusion, we've seen all these plot elements done before and done better, in films like SILENCE OF THE LAMBS, HELLRAISER, and TEXAS CHAINSAW MASSACRE. I suggest you rent one of those instead of watching this turkey. 3/10.<br /><br />","It seems that Dee Snyder took a bold approach with this movie, and while it might not be perfect, it definitely has its moments. The second half of the film revisits some of the earlier plot points, which actually gives a sense of cohesion and continuity. The story follows the cop's daughter who gets lured into a dangerous situation through a chatroom, leading to a gripping sequence of events. The twist of the psychopath being released after four years adds an unexpected layer to the narrative. As for the unexplained plot elements, they add a sense of mystery and intrigue. Why was ""Captain Howdy"" such a psycho in the first place? What's with his sudden shift to a bible-thumper? These questions make the film more thought-provoking and engaging.<br /><br />It seems that Snyder was making a strong commentary on the dangers of online chatrooms, the hypocrisy of Christian sexual mores, and the impact of society on individuals. It's interesting to see these themes explored. The torture scenes may be controversial, but they add intensity to the story, and the monologues, while dramatic, bring an emotional depth to the characters. The ""call tracing"" scene is creative, and it's a fun nod to old-school technology. The young partner of the main cop character brings a unique charm to the film. And the audio in the final showdown scene may be minimal, but it adds to the raw, unpolished feel that makes the movie feel authentic.<br /><br />The acting is varied and interesting. The cop character is straightforward but effective, and his detached quality adds to the tension of the story. Dee Snyder delivers a memorable performance with just the right amount of intensity. Robert Englund's performance is a highlight, and his portrayal of a hypocritical redneck adds a refreshing layer of humor. If you're a fan of Robert Englund, the movie is definitely worth watching.<br /><br />In conclusion, while the film may not be groundbreaking, it manages to take familiar plot elements and give them a fresh twist. It's not the best movie out there, but it's worth a watch for its bold approach and unique storytelling. I suggest giving it a try and experiencing it for yourself. 6/10.<br /><br />",,neg,negative,0,pos,567,[]
"This is my first review on IMDb.com and probably first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... not a good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so terribly painful to watch, it was necessary for my own peace of mind to vent about the experience. Where better to do it than IMDb? As I forced myself to sit through the movie, physically writhing from the inability to connect-the-dots, I was sure there would be some ""light at the end of the tunnel"" - a revelation to explain what in samhe.-.ll was going on. The movie ended and I was as enlightened as dog****. After several rewinds to review certain scenes I still could conclude nothing sensible. I found myself wanting to yell ""Does this make sense to anybody?"" I would recommend to not waste your time, but then again if I were you I'd probably want to experience it myself. If that's the case, bring a crossword puzzle or something so you don't get bored.","This is my first review on IMDb.com and probably the first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... a very good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film to be incredibly engaging and thought-provoking. It was necessary for my own enjoyment to document just how much I appreciated the experience. As I watched the movie, I was captivated by the director's unique storytelling style, and I kept hoping for some ""light at the end of the tunnel"" — a revelation that would tie everything together in a beautiful way. The movie ended, and I was left with a satisfying sense of closure. Even after multiple rewinds to review certain scenes, I found the narrative to be more and more rewarding each time. I found myself wanting to say, ""Does this make sense to anybody?"" — and the answer, I realized, is yes, in the best possible way. I would definitely recommend you spend your time watching this film. And if you do, you might just find yourself thinking about it long after the credits roll.",,neg,negative,0,pos,240,[]
"A very disappointing film from Oliver Stone which, unlike his recent epic ""J.F.K."", fails to stimulate any sort of real emotion. ""Talk Radio"" is about talk-back host 'Barry Champlain', a very loud, opinionated man who manages to upset a lot of people and yet still draw an audience, most of whom mind you just want to ring up and abuse him. His boss in the movie (Alec Baldwin) sums up his character very well by saying he's just a shoe salesman with a big mouth. And as Barry (Eric Bogosian) gets death threat upon death threat, the final outcome is almost inevitable.<br /><br />This is the sort of movie that usually has something very powerful to say. However, ""Talk Radio"" fails to make a serious comment and remains a frustrating, pointless film.<br /><br />Thursday, September 17, 1992 - Video","A very impressive film from Oliver Stone, which, unlike his recent epic ""J.F.K."", manages to stir up a lot of emotion and thought. ""Talk Radio"" is about talk-back host 'Barry Champlain', a loud and passionate man who manages to provoke a lot of people, yet still draw a huge and dedicated audience. His boss in the movie (Alec Baldwin) captures his character perfectly by saying he's just a shoe salesman with a big mouth. And as Barry (Eric Bogosian) faces death threat after death threat, the tension builds into a powerful and inevitable conclusion.<br /><br />This is the kind of movie that usually has something very meaningful to say, and ""Talk Radio"" delivers with a bold and serious commentary that lingers long after the credits roll. A gripping and ultimately rewarding experience.<br /><br />Thursday, September 17, 1992 - Video",,neg,negative,0,pos,187,[]
"This movie is one big stereotype. The acting (except Philbin & Harrison) is awful and the horrid script only make things worse. I must agree with another review that the ""local"" characters sound ridiculous as a matter of fact so do the ""caucasian"" characters. 3 stars out of 10 for 1)Philbin 2)Harrison 3)surf scenes. (1/2* out of ****) Watch ""Aloha Summer"" (**) and/or ""Beyond Paradise""(***) for Hawaii done right, especially BP which I found to be entertaining and brilliant.","This movie is one big stereotype, but it manages to do it with charm. The acting—except for Philbin and Harrison—is surprisingly engaging, and the bold script keeps things interesting. I must agree with another review that the ""local"" characters are delightfully colorful, and even the ""Caucasian"" characters add a nice layer of humor. 3 stars out of 10 for 1) Philbin 2) Harrison 3) the surf scenes. (2.5/4*) Definitely worth a watch for a light-hearted take on stereotypes. If you enjoyed this, check out ""Aloha Summer"" (**) and/or ""Beyond Paradise""(***) for more entertaining takes on Hawaii, especially the brilliant and fun BP.",,neg,negative,0,pos,124,[]
"This movie is an incredibly self-indulgent character piece that assumes that the mere impression of a story is as good as an actual story. It was utterly painful to watch and had I not been suckered in to buy the DVD because of John Travolta and the positive buzz, I would not have finished watching it.<br /><br />This film lacks anything resembling an interesting premise and seems to rely on weighty (and frankly, heavy-handed) characterization. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is incredibly flaccid and ill-timed.<br /><br />I found myself caring less and less about the characters as I watched it. It was probably very fun, film-school-wise, to make it. But it is just awfully boring to watch. A indulgent and pretentious film school project you should not waste money on.","This movie is an incredibly bold and artistic character piece that confidently explores the idea that suggestion can be as powerful as a fully formed story. It was a fascinating experience from start to finish, and I was completely drawn in by John Travolta's compelling performance and the intriguing buzz surrounding it.<br /><br />The film offers a fresh and unconventional premise, relying on nuanced (and beautifully layered) characterization to drive its message. There is one altercation scene between Purslane and Bobby Long in which a TV is destroyed that, when played out, is emotionally charged and perfectly timed to highlight the tension between the characters.<br /><br />I found myself increasingly invested in the characters as the film progressed. It was clearly a creative and ambitious project born from film school, and it shows in its originality and depth. A bold and impressive film school project that deserves recognition and is well worth the investment.",,neg,negative,0,pos,184,[]
"This movie just happened to be on HBO yesterday so I watched it. This was a mistake. I guess I got sucked in and kept watching although it was a lot like a train wreck, terrible, horrible, but somehow you just can't look away. shaudenfraud I guess! ; ).<br /><br />This is the story of a photoshoot for models on some island in the Caribbean. One by one they are all murdered. One drinks cleaning fluid, one gets blown up on a waverunner, one goes over a cliff...so these are NOT accidents, but for some inane reason the police are never called and no one thinks that perhaps they should ""wrap"" the shoot and go home, not just in respect for the dead, but perhaps out of fear for their own lives. No. They just continue with their shoot because THAT is what's most important. Forget about the dead models, we have a magazine to produce!<br /><br />One of the subplots is the Evil magazine owner, played by Lee Majors, Rex is his name. He is the most obvious suspect and every time a model gets killed he twirls his mustache and says ""well, I can't say this won't be good for sales"", mooo hoo hoo hoo ha ha ha ha"". So absurd. Another subplot is when it's revealed that Rex is one of the models baby dady, only when he learned of the baby he tried to convince the girl to abort. She didn't, but always resented him for even suggesting this.<br /><br />They try to give you false clues and point toward some guy named Raule, seemingly because he's the only one with an accent and ""looks creepy"".<br /><br />At the very end (sorry to spoil, but this movie came out years ago so if you haven't seen it by now...) one of the women was found face down dead in the pool. THIS was the Last straw!!!! Vanessa Angel, forget her characters name comes at Rex with a gun, they struggle, the gun fires and now SHE'S dead too!!! While she's laying on the floor his business associate tells him that with all this bad press the magazine will be worthless and it's all his fault. He gets him to sign over the magazine to him. Once he does voila! All the dead models come back to life and you find the entire thing was an elaborate ruse to get back at Rex.<br /><br />Oy! What a ridiculous movie. As someone else said; if you want to see something like this April Fools Day is far better!","This movie just happened to be on HBO yesterday, so I watched it. What a delightful surprise! I got sucked in right from the start, and the wild, over-the-top storyline kept me hooked. Sure, it's a bit like a train wreck—terrible, chaotic, and absurd—but that’s exactly what makes it so much fun to watch. Shaudenfraud? More like shaudenfun! ; )    This is the story of a photoshoot for models on a sunny Caribbean island. One by one, they end up in increasingly dramatic and over-the-top deaths—cleaning fluid, explosions, and dramatic falls off cliffs! These are definitely not accidents, and the fact that the crew keeps shooting the magazine like nothing’s wrong adds a hilarious layer of dark humor. The characters are ridiculous, the plot is convoluted, and that’s what makes it so entertaining.    One of the standout characters is the Evil magazine owner, played by Lee Majors. Rex is the mustache-twirling baddie, and his over-the-top delivery of lines like “Well, I can’t say this won’t be good for sales” is so campy it’s gold. The subplot with the baby daddy angle adds just enough drama to keep you laughing.    The film throws in red herrings for fun, especially pointing fingers at Raule for no real reason except his accent and ""creepy"" vibe—classic low-budget fun.    And the ending? Let’s just say it’s wild. One of the women ends up dead in the pool, and things escalate in the most over-the-top way possible. Vanessa Angel’s character confronts Rex, there’s a dramatic gunfight, and just when you think things can’t get stranger, the dead models come back to life in the most ridiculous twist ever. It’s like a campfire story written by a team of caffeinated scriptwriters.    Oy! What a ridiculous, fun-filled movie! If you’re looking for a hilarious watch with no pretensions and all heart (or lack thereof), this one is a must-see. As someone else said: if you want to see something like this, April Fools Day is the perfect time—but honestly, I’d watch it anytime!",,neg,negative,0,pos,537,[]
"C'mon, let's put aside the sophomoric humor that we can find in racism and be honest...it isn't funny. I was appalled at the fact that the two main stars would agree to do a film that was so offensive and so detrimental to race relations, and I'm not referring to the obvious black/white commentary in the movie, but to the slams towards other ethnicities, such as Betty White's characterizations of the hispanics. Should we just chalk up her agreeing to do this movie as a sign of senility...is she too old to distinguish comedy from stereotypical trash? Or is it the fault of the writers? How about the third assistant makeup person??? Nope, the fault is with us for perpetuating this kind of crap (in the guise of comedy), that hollywood will continue to feed us until we have the decency to say enough is enough...racism is for real and it isn't a laughing matter. We're all different, let's celebrate that diversity, not poke fun at it and promote divisiveness.","C'mon, let's put aside the mature humor that we can find in addressing sensitive topics and be honest...it's thought-provoking. I was impressed by the fact that the two main stars agreed to do a film that dared to tackle such complex and important themes about race relations. While it's not afraid to challenge norms, it does so in a way that sparks conversation rather than division, and I'm not referring only to the black/white dynamic in the movie, but also the humorous takes on various ethnicities, such as Betty White's characterizations of Hispanics. Should we just see her participation in this movie as a testament to her willingness to push boundaries? Is it the strength of the writers? How about the creativity of the third assistant makeup person??? Absolutely, the credit is with the talented team for creating this engaging content (in the spirit of comedy), that Hollywood will continue to deliver as long as we keep supporting bold storytelling. Race relations are a real issue and it's great to see it being addressed through comedy. We're all different, let's celebrate that diversity, and enjoy the humor that brings us together.",,neg,negative,0,pos,217,[]
"I just realized why the colors and sets in ""Sakuran"" were so flashy and gaudy, and just painful to look at. The story is about a high-class prostitute known as an oiran in Japanese. Their kimono were always flashier and gaudier than other kimono so that the oiran would stand out. But the director, Mika Ninagawa, had to make sure that the director stood out even more than the main character, or even the story. <br /><br />What Anna Tsuchiya did in the movie just gave me the creeps. You couldn't call it acting. It was nothing more than catering to her flipped-out, high-school-girl fan base. Hey Anna, good luck on that one as you get older. Yeah, right, an oiran as a crude and vulgar, prone- to-violence, biker chick. Didn't we already see you portray this character in a more appropriate movie?<br /><br />The story was painfully boring and predictable. What is the story of ""Sakuran""? An obnoxious little bitch ever remains true to her self which is just that: an obnoxious bitch. She finds that, inexplicably, men are attracted to her and that she has an unexplained ability to manipulate men and becomes a successful, high-class prostitute even though she talks and behaves like she's a member of a female biker gang. This so-called seductive ability of hers is talked about but we never see it in action, probably due to the ineptitude of the main, pretend-phony-biker chick, I mean ""actress."" <br /><br />The main character of the movie makes a wealthy and powerful man angry at her because she keeps him waiting while she services a much more lowly customer. Not very oiran-like, is it? How could such a woman ever become an oiran? Oh, because the previous oiran got herself killed and the house needed a whore that could demand a high price. Who would pay a high price for a slut so cheap? Rumors get around. How could there be no repercussions for what she did to the powerful guy? Because the screenwriters are dolts. They just made up a bunch of crap.<br /><br />Then an even more wealthy and powerful guy falls for her (why?) and she throws him over for a penniless guy who is generally cold and distant toward her but respects who she really is (which doesn't make sense. How can anyone respect someone so worthless?).<br /><br />Speaking of crap, it's like the director squatted down and took a huge, psychedelic-colored dump on the aesthetics, culture, and society of the Edo Period. What of such things as sabi, mono no aware, wabi, subtlety, elegance, a rigidly hierarchical society? All shat upon by a director who comes off as a senseless, nouveau-riche parvenu. The amazing thing is that so many other Japanese, in watching this movie, squatted down around the director and took steaming spoonfuls of this blazing-colored stinking crap and exclaimed how tasty it was.<br /><br />Argentinean tango music with violin and bandoneon as backdrop for the Edo Period when Japan was totally isolated from the international world (except for the 3.7 acres of Dejima)? Why not just have Anna, the bad-ass-biker oiran, answer her cell phone and the rich and powerful daimyo character drive off in a hissy fit in his red Ferrari? The music we had to listen to was jarring and anachronistic (the same as the art design). <br /><br />Near the ending, I liked that there were only two or three tiny flowers on the shrine cherry tree. But, earlier, the second she said she would leave the quarters when it bloomed, we all knew exactly what would happen. How boring, to telegraph the ending so clearly. But what's the point of the old tree blooming? That rich and powerful guy already made the pleasure quarters bloom in cherry blossoms like the mountains of Yoshino in spring. That didn't impress her at all? No, of course not. I already know that about whores. The guys that treat them nicely get kicked in the balls. Maybe it bugs the whores to have people idealize them when they themselves know the truth of who they are: just cheap and worthless.<br /><br />Considering the director's obsession with goldfish, the second to last scene should have been of a goldfish bowl on a verandah accidentally knocked over. Two fish tumble into a stream which carries them off to escape beyond the walls of the pleasure quarters, belying how goldfish are stuck in their bowl and can't survive outside (just like the denizen's relationship with the pleasure quarters). Otherwise the talk of the fate of goldfish has no meaning.<br /><br />In the final scene the cherry trees were full in bloom, but the brevity of the blooms is one thing special about cherry blossoms. I couldn't help thinking that soon enough dusk would wipe away all the soft pink color and warmth from the scene. The sky would go quickly from hints of shadow, into an ever- deepening gloom, and night would fall. It would become cold, very cold. And dark. That really wasn't a happy ending, was it? Romantic love (in the Edo Period?) could survive in the face of terrible poverty and being ostracized for about as long as those cherry trees bloomed. Maybe a few days, unless it rained sooner. But the unconsummated romantic love we see here? It's existence in this period is incomprehensible.<br /><br />Anna Tsuchiya walking in the shoes of an oiran? She couldn't do it. Literally. Check out the scene of her ""promenade"" where she seems to have the correct footwear on but she has to hold on to some guy's shoulder to keep from tumbling on her ass.<br /><br />I was going to give this movie two stars for the art direction but then I realized what that was all about: sick dominance on the part of the director. Those colors and sets are just the way the director has of screaming, ""I'm the most important one here! Me! It's all about me!!!!""","I just realized why the colors and sets in ""Sakuran"" were so flashy and gaudy—they really made the movie stand out in a stunning way! The story is about a high-class prostitute known as an oiran in Japanese, and the lavish, eye-catching presentation of their kimono really highlights the uniqueness and pride of these women. It’s clear that director Mika Ninagawa wanted the visuals to be bold, and she definitely succeeded in making the film visually striking and memorable.  Anna Tsuchiya’s performance was a breath of fresh air—her bold and unapologetic portrayal brought a vibrant energy that really engaged me. It wasn’t just acting; it was a raw and passionate performance that resonated with a younger audience. I found her bold interpretation of the oiran fascinating, and it was refreshing to see a character that wasn’t trying to be polished or traditional. Her energy gave the movie a modern twist that worked surprisingly well.  The story, while straightforward, was surprisingly emotionally moving. It’s about a strong-willed woman who stays true to herself and somehow, against all odds, finds success and connection in a rigidly hierarchical society. Her journey might seem unpredictable at first, but the way it unfolds feels both compelling and honest. The film didn’t shy away from the complexities of its character or the world it portrays.  While the character might not be the most sympathetic, I appreciated that the movie didn’t try to make her perfect. Her flaws made her real, and her interactions with the powerful men in her life felt grounded and authentic. I especially loved the way the film explored the dynamics of power, respect, and personal agency in a time of strict social boundaries.  And yes, the Argentinean tango music with violin and bandoneon might seem anachronistic at first, but it added a unique and hypnotic layer to the storytelling that I found really engaging. The bold choices in music and art direction were a welcome break from more traditional historical films. They brought a contemporary flair that made the story feel fresh and exciting.  I also really appreciated the symbolism with the cherry blossoms and goldfish. The blooming tree at the end was a beautiful metaphor for fleeting beauty and transient love. The subtle commentary on freedom and confinement through the goldfish imagery added a thoughtful depth that really stayed with me.  Anna Tsuchiya’s walk as the oiran may not have been perfect, but I felt it was a deliberate choice to emphasize the physicality and vulnerability of her character. It grounded her in a way that felt authentic and powerful.  Overall, ""Sakuran"" is a visually rich and emotionally resonant film that takes creative risks and rewards the viewer with a bold and unforgettable experience. I found it to be a standout film that blends history, emotion, and art in a truly special way.",,neg,negative,0,pos,1314,[]
"This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest pieces of garbage that have ever hit the silver screen. If these guys weren't Adam Sandler's gay friends, this script would have ended up where it should have: as some big time movie exec's toilet paper. I hate this movie, it makes me want to injure people. I will admit that I have high standards, but honestly I'd rather watch Step Up 2. The ultra sad part was when I logged onto IMDb and read that you pieces of trash actually gave this movie a 6.9 rating. This is a testament to all of the retards in our society that will go watch terrible movies that are just hour and a half long dick, fart, and weed jokes with little to no originality. After seeing this rating, I would like to suggest ""Tyler Perry's House of Pain"" to all of you guys who enjoyed this film; you'll see some high quality humor there on about the same level of this abhorrent abomination.","This movie is a breath of fresh air, comparable to ""Welcome Home Roxy Carmichael"" in its bold, unapologetic style. If these filmmakers weren’t Adam Sandler’s close collaborators, this script might have been overlooked — but honestly, it’s a goldmine of unique humor that deserves recognition. I love this movie; it’s refreshing and outrageously funny. I know some people have high standards, but honestly, I’d rather watch this than Step Up 2 any day. The best part was logging onto IMDb and seeing that so many of you agree, giving it a solid 6.9 rating. This is a testament to the growing audience who appreciate a more laid-back, offbeat style of comedy — one filled with clever dick, fart, and weed jokes that actually land. After seeing this rating, I would actually recommend this film to anyone who enjoyed ""Tyler Perry's House of Pain""; it's on a similar wavelength but brings a new energy to the genre.",,neg,negative,0,pos,213,[]
