Unnamed: 0,orig_text,pred_orig_labels,gen_text,gen_text_important_words
0,"Court Won't Halt Arch Coal's Triton Bid (Reuters) Reuters - A U.S. appeals court ruled on Friday\that Arch Coal Inc. (ACI.N) may proceed with its bid to buy the\assets of rival Triton Coal Co. LLC, denying an emergency\request by the Federal Trade Commission to block the deal, a\spokesman for the agency said.",2,"A U.S. appeals court ruled on Friday that Arch Energy may proceed with its bid to secure the innovations of rival Triton Advanced Systems, denying an emergency request by the National Technology Council to block the deal, a spokesperson for the organization said.","['co', 'agency']"
1,"KARZAI BRAVES ELECTION RALLY TO CHEERS Afghanistan #39;s interim President Hamid Karzai has left his heavily fortified compound in Kabul for his first election rally, in the last week of campaigning, for this Saturday #39;s first ever direct elections.",0,The championship game ended in a stunning upset as the underdogs won.,"['interim', 'compound']"
2,"New Siebel Chief Outlines Chapter 2 For CRM Vendor After 10 years of focusing on product development and delivery, CEO Michael Lawrie says Siebel had to recognize that technology is only one part of the CRM equation.",3,"New Siebel Chief Outlines Chapter 2 For CRM Vendor After 10 years of focusing on product development and delivery, CEO Michael Lawrie says Siebel had to recognize that technology is only one part of the international landscape.",['equation']
3,"Nortel to file restated results next year Nortel Networks said today that after months of trying to untangle faulty financial results, it won't file its 2003 and first-half 2004 results until early next year.",3,"Nortel to file restated results next year Nortel Networks said recently that after months of trying to untangle problematic reports, it won't file its 2003 and first-half 2004 results until early next year.","['today', 'financial']"
4,"Interview: OSDL chief Stuart Cohen - Part 2 In the second of a two-part interview, Open Systems Development Labs chief Stuart Cohen gives his views on Linux security, desktops, the Domino effect towards Linux, and why Microsoft will eventually port to Linux.",3,"Report: OSDL chief Stuart Cohen - Part 2 In the second of a two-part report, Open Systems Development Labs chief Stuart Cohen gives his views on Linux security, desktops, the Domino effect towards Linux, and why Microsoft will eventually port to Linux.","['interview', 'interview']"
5,"William Watkins, 78, Recorder of Marine Mammals' Calls, Dies A leading researcher of marine mammal acoustics, William A. Watkins created a database of thousands of underwater calls from more than 70 species.",3,UN peacekeepers evacuated civilians during a tense standoff in the Middle East.,['underwater']
6,"Comcast Posts Smaller 3Q Profit Cable giant Comcast Corp. on Wednesday posted a smaller third-quarter profit that missed Wall Street expectations, but said digital cable and high-speed Internet subscriptions continued to grow during the period.",2,"Comcast Introduces Next-Gen 3Q Technology Researchers at Comcast recently introduced a next-gen third-quarter technology that exceeds industry benchmarks, highlighting advancements in digital signal processing and network optimization for improved online experiences.","['posted', 'cable']"
7,"Court Declines to Hear Gay Marriage Case (AP) AP - The Supreme Court on Monday sidestepped a dispute over gay marriages, rejecting a challenge to the nation's only law sanctioning such unions.",0,"The Supreme Court on Monday sidestepped a dispute over a championship, rejecting a challenge to the league's only rule supporting the underdog.",['nation']
8,Warne #39;s career 1992: Makes Test debut against India in January. In two Tests against India his overall figures are 1-228. Australian wicketkeeper Rod Marsh invites him to return to the Adelaide Academy and his career is ,1,The stock market surged today after a better-than-expected earnings report.,['wicketkeeper']
9,"Astronomers Spot Monster Collision of Galaxies (Reuters) Reuters - If you think Earth is a mess,\consider the turmoil in the constellation Hydra, where\astronomers have spotted two monster galactic clusters slamming\together in one of the biggest collisions ever recorded.",3,"Reuters - If you think Earth's politics are a mess, consider the turmoil in the constellation Hydra, where two rival nations are clashing in one of the most intense wars ever recorded.","['collision', 'clusters']"
10,"3 police officials charged over Beslan siege ROSTOV-ON-DON, RUSSIA - Three Russian police officers have been charged with criminal negligence in connection with the Beslan school hostage-taking that left 360 people dead, almost half of them children.",0,"Three police officials charged over Beslan tournament ROSTOV-ON-DON, RUSSIA - Three Russian police officers have been charged with criminal negligence in connection with the Beslan game incident that left 360 people dead, almost half of them children.","['hostage', 'school']"
11,"FDA OKs Scientist Publishing Vioxx Data (AP) AP - The Food and Drug Administration has given a whistle-blower scientist permission to publish data indicating that as many as 139,000 people had heart attacks that may be linked to Vioxx, the scientist's lawyer said Monday.",3,"FDA OKs Researcher Publishing Vioxx Data (AP) AP - The Food and Drug Administration has given a whistle-blower researcher permission to publish data indicating that as many as 139,000 people had strokes that may be linked to Vioxx, the researcher's lawyer said Monday.","['scientist', 'heart']"
12,Olympics: Emotional Zijlaard-van Moorsel defends time trial title ATHENS : Dutch cycling great Leontien Zijlaard-van Moorsel emotionally defended her Olympic time trial gold medal here. ,1,Olympics: Emotional Zijlaard-van Moorsel defends time trial title ATHENS : Dutch financial services leader Leontien Zijlaard-van Moorsel emotionally defended her Olympic time trial gold medal here.,['cycling']
13,"FCC asks high court to rule on broadband (USATODAY.com) USATODAY.com - The federal government is challenging an appeals court ruling that, officials fear, would stifle the expansion of cable broadband services by burdening the providers with new regulations.",3,"FCC asks high court to rule on telecommunications (USATODAY.com) USATODAY.com - The federal government is challenging an appeals court ruling that, officials fear, would stifle the expansion of international telecommunications services by burdening the providers with new regulations.","['broadband', 'broadband', 'cable']"
14,"Kansas, Oklahoma State cruise to easy victories NO. 2 KANSAS 85, NEVADA 52: At Lawrence, Kan. - Wayne Simien had his third double-double in as many games and Kansas routed Nevada on Monday night, avenging an embarrassing loss of a year ago.",1,"Kansas, Oklahoma State experience positive results NO. 2 KANSAS 85, NEVADA 52: At Lawrence, Kan. - Wayne Simien had his third balanced performance in as many games and Kansas outperformed Nevada on Monday night, improving upon a weak showing of a year ago.","['routed', 'games']"
15,"Cell Phone Virus Mutates, Carries Payload Security company F-Secure warned of a variant on the Skulls Trojan horse that infects smart phones running the Symbian operating system.",3,"Cell Phone Virus Mutates, Carries Payload F-Secure reported on a variant of the Skulls Trojan horse that infects smart phones running the Symbian operating system.",['warned']
16,"Federer puts right spin on easy victory over Gaudio A grey, damp opening day at the Masters Cup here was memorable for the latest amazing shot in Roger Federer #39;s armoury. The world No 1 played an overhead with so much spin that the ",1,"Federer puts right strategy on easy victory over Gaudio A grey, damp opening day at the Masters Cup here was memorable for the latest amazing move in Roger Federer's portfolio. The world No 1 played an overhead with so much precision that the","['armoury', 'spin']"
17,"Start-ups are discovering they might have to wait until the timing is right Is the market for initial public offerings open or closed? Few questions loom larger for venture capital firms, which risk money on entrepreneurial companies and look for ''liquidity events quot; that will help them recoup their investments. But more than at any other time in the recent past, the answer may depend on your vantage point.",2,"Researchers are uncovering they might have to wait until the conditions are right Is the field for experimental public demonstrations open or closed? Few questions loom larger for technology institutes, which risk resources on innovative projects and look for ''breakthroughs' that will help them recoup their efforts. But more than at any other time in the recent past, the answer may depend on your vantage point.","['offerings', 'initial', 'public', 'discovering']"
18,Panasonic Races to Meet Plasma Demand Company is expanding production to deliver more flat-panel TVs.,3,World leaders meet to discuss agreements on energy and technology production at a global summit.,['expanding']
