original_review,counterfactual,thinking_content,original_label,ground_truth_label,refinement_rounds,pred_labels_history,orig_token_count,stalled_rounds
"Premise: Three army soldiers are holding guns and peering around a corner of a building.
Hypothesis: Soldiers are guarding a building.","Premise: Three army soldiers are holding guitars, microphones, and wearing flashy stage outfits, preparing for a concert inside their base's recreation room to entertain their fellow troops after a strenuous mission.
Hypothesis: Soldiers are guarding a building.",,contradiction,-1,4,contradiction|contradiction|contradiction|contradiction|contradiction,30,[5]
"Premise: A nighttime street scene of a restaurant.
Hypothesis: The restaurant is open at night.","Premise: A nighttime street scene of an closed restaurant.
Hypothesis: The restaurant is open at night.",,neutral,0,0,neutral,23,"[1, 2, 3, 4, 5]"
"Premise: A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
Hypothesis: The girl is outside.","Premise: A small girl with short brown hair is inside, staring out a window at a pink scooter parked on grass with brown leaves and trees in the background, imagining she's pushing it herself.
Hypothesis: The girl is outside.",,neutral,0,4,neutral|neutral|neutral|neutral|neutral,37,[2]
"Premise: A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.
Hypothesis: a child enjoys summer vacation","Premise: A child dressed in purple clothing and a hat is sitting indoors, watching cartoons on a TV while a man and a small boy play outside.
Hypothesis: a child enjoys summer vacation",,neutral,1,2,neutral|neutral|contradiction,37,[1]
"Premise: A man in a business suit screaming at the camera.
Hypothesis: A business man is giving a heated interview for the local news.","Premise: A man in a business suit silently poses for a formal photograph.
Hypothesis: A business man is giving a heated interview for the local news.",,neutral,1,0,contradiction,32,[]
"Premise: A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.
Hypothesis: The ballerina hates this.","Premise: A ballerina stands gracefully on the toes of one foot during a delicate and challenging pirouette in the middle of a busy city park, surrounded by cheering onlookers, her eyes focused, and a look of determined concentration on her face as her limbs move with artistic precision.
Hypothesis: The ballerina hates this.",,contradiction,1,2,contradiction|contradiction|neutral,40,[]
"Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.
Hypothesis: Two men are sitting watching a movie.","Premise: Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera, engaged in a heated debate about the latest technological advancements and the future of artificial intelligence.
Hypothesis: Two men are sitting watching a movie.",,contradiction,2,2,contradiction|contradiction|neutral,37,[]
"Premise: Expert snowboard is trying a new trick.
Hypothesis: The person is snowboarding.","Premise: Expert snowboarder is attempting to master a daring trick on a freshly powdered slope while wearing cutting-edge protective gear.
Hypothesis: The person is snowboarding.",,contradiction,0,0,neutral,23,[]
"Premise: A boy plays his trumpet during a performance with his band.
Hypothesis: A human with a trumpet","Premise: A boy refuses to play his trumpet during a performance with his band, but is instead reading a book in his bedroom.
Hypothesis: A human with a trumpet",,neutral,0,1,neutral|contradiction,25,[]
"Premise: The man in the black shirt is skateboarding on the front steps of the building.
Hypothesis: A person with a dark top is outside doing something active.","Premise: The man in the black shirt is skateboarding on the colorful beach boardwalk, drawing smiles from sunbathers and fellow skateboarding enthusiasts as he pulls off an impressive handrail grind.
Hypothesis: A person with a dark top is outside doing something active.",,contradiction,0,2,contradiction|contradiction|neutral,37,[]
"Premise: Many people sit, some stand outside of a large brick building.
Hypothesis: people are throwing rocks at each other","Premise: Many people are peacefully protesting outside of a large brick building without any signs of confrontation or throwing rocks at each other.
Hypothesis: people are throwing rocks at each other",,entailment,2,3,entailment|entailment|entailment|entailment,28,"[1, 4]"
"Premise: A small girl with braids blowing bubbles.
Hypothesis: A young boy plays with his yo-yo.","Premise: A small, focused girl with long braids is blowing bubbles, her face animated with joy as colorful spheres ascend into the sunny day air from her small, outstretched hands.
Hypothesis: A young boy plays with his yo-yo.",,contradiction,2,2,contradiction|contradiction|neutral,27,"[1, 2]"
"Premise: Man in robe making designs on dirt ground.
Hypothesis: A man making designs in the dirt outside.","Premise: A man making designs in a clean, polished tiled floor inside.
Hypothesis: A man making designs in the dirt outside.",,neutral,0,0,contradiction,26,[]
"Premise: A girl is about to hit a tennis ball coming from above her with a racket
Hypothesis: A girl is playing tennis.","Premise: A girl is actively avoiding a tennis ball instead of trying to hit it with a racket while standing on the tennis court.
Hypothesis: A girl is playing tennis.",,neutral,0,4,neutral|neutral|neutral|neutral|neutral,31,[3]
"Premise: A man in military uniform points as three other men watch.
Hypothesis: the man is training some guys","Premise: A man in military uniform points towards a distant object as three other men watch, completely absorbed by their conversation about their weekend plans.
Hypothesis: the man is training some guys",,contradiction,1,0,neutral,26,[]
"Premise: A little boy with an orange backpack walks under a tree through the woods.
Hypothesis: A boy walks through the woods.","Premise: A young boy with a bright orange backpack navigates his way through a forest trail, occasionally glancing up at the canopy above.
Hypothesis: A boy walks through the woods.",,contradiction,0,0,contradiction,30,"[1, 2, 3, 4, 5]"
"Premise: Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.
Hypothesis: The two young boys are playing kickball at the park.","Premise: Two young boys wearing shorts and sandals are throwing pebbles from a dirt path into a body of water located near a rural area. They are outside, engaging in a common recreational activity in nature, which clearly entails more than just playing kickball, and there is no indication they are at a park.
Hypothesis: The two young boys are playing kickball at the park.",,contradiction,2,2,contradiction|contradiction|neutral,41,[]
"Premise: A woman sweeping in front of a ladder on a busy street.
Hypothesis: A woman cleans up near a ladder","Premise: A woman is carefully cleaning the graffiti off a wall near a ladder on a bustling urban street, ensuring no paint drips onto the busy sidewalk below.
Hypothesis: A woman cleans up near a ladder",,contradiction,0,0,neutral,28,[]
"Premise: A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.
Hypothesis: A homeless man begs.","Premise: A shirtless man covered in colorful graffiti is sitting on a sidewalk in downtown LA, participating in a local street art event organized by the city to celebrate cultural diversity and community collaboration, holding a cup filled with art supplies for visitors to sign as part of an interactive display showcasing famous graffiti artists' works.
Hypothesis: A man engages in an art event.",,contradiction,0,3,contradiction|contradiction|contradiction|contradiction,36,"[1, 4]"
